ticker,bs_years,bs_quarters,is_years,cf_years,ratio_years,start_year,end_year
ABB,15,54,15,15,15,2011,2025
ACB,15,62,15,15,15,2011,2025
BAB,15,43,15,15,15,2011,2025
BID,15,60,15,15,15,2011,2025
BVB,15,47,15,15,15,2011,2025
CTG,15,62,15,15,15,2011,2025
EIB,15,62,15,15,15,2011,2025
HDB,15,55,15,15,15,2011,2025
KLB,15,58,15,15,15,2011,2025
LPB,15,55,15,15,15,2011,2025
MBB,15,62,15,15,15,2011,2025
MSB,15,46,15,15,15,2011,2025
NAB,15,61,15,15,15,2011,2025
NVB,15,62,15,15,15,2011,2025
OCB,15,54,15,14,15,2011,2025
PCB,15,55,15,15,0,2011,2025
PGB,15,56,15,15,15,2011,2025
SGB,15,57,15,14,15,2011,2025
SHB,15,62,15,15,15,2011,2025
SSB,15,44,15,15,15,2011,2025
STB,15,62,15,15,15,2011,2025
TCB,15,57,15,15,15,2011,2025
TPB,15,51,15,15,15,2011,2025
VAB,15,50,15,15,15,2011,2025
VBB,12,39,13,12,12,2011,2025
VCB,15,62,15,15,15,2011,2025
VIB,15,57,15,15,15,2011,2025
VPB,15,60,15,15,15,2011,2025
