NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,1982.96,1982.96,3.73,0.00188457,1981.0,1992.15,1971.18,285273354.0,10202474184150.0,28834907.0,1019570633300.0,314108261.0,11222044817450.0,-18310706.0,-5446356.0,-19265693.0,23757062.0,-717544351401.0,73857742100.0,-669758151000.0,643686609300.0
27/08/2026,1979.23,1979.23,9.22,0.00468018,1969.75,1984.09,1967.92,231380275.0,8976255197650.0,28107415.0,790532673750.0,259487690.0,9766787871400.0,-8074599.0,-8621715.0,-14238448.0,16696314.0,-79613643949.0,-415523041750.0,-610762086000.0,495136685700.0
26/08/2026,1970.01,1970.01,33.86,0.01748831,1935.55,1970.01,1934.62,292355104.0,10847155469250.0,65688150.0,1999131196000.0,358043254.0,12846286665250.0,-1908292.0,3095622.0,9802650.0,-1187330.0,-350803928298.0,244598020100.0,324514058000.0,106205908200.0
25/08/2026,1936.15,1936.15,-5.85,-0.00301236,1944.09,1958.81,1932.33,260516349.0,9901197225600.0,47996072.0,1499875297150.0,308512421.0,11401072522750.0,-3209290.0,6089376.0,-8546050.0,-2880086.0,-471552195799.0,290326527298.0,-363343222000.0,181225668500.0
24/08/2026,1942.0,1942.0,14.21,0.00737113,1947.91,1952.13,1933.63,256440735.0,8114813840000.0,26341496.0,933545119650.0,282782231.0,9048358959650.0,-5234860.0,-1221751.0,-2149137.0,6456611.0,43973401746.0,-205694295101.0,-129854151000.0,161720893350.0
21/08/2026,1927.79,1927.79,40.73,0.02158384,1885.84,1927.79,1877.05,283752696.0,8509130744900.0,48844190.0,1582665241500.0,332596886.0,10091795986400.0,-3357195.0,-5100496.0,3841330.0,8457691.0,-56528941451.0,81960347601.0,195330178000.0,-25431406150.0
20/08/2026,1887.06,1887.06,11.33,0.00604032,1883.05,1896.2,1881.72,161633435.0,6218722075600.0,41907621.0,1845225106000.0,203541056.0,8063947181600.0,15088505.0,-2527272.0,12973944.0,-12561233.0,199196024401.0,170391184950.0,487986646000.0,-369587209350.0
19/08/2026,1875.73,1875.73,-0.41,-0.00021853,1876.72,1878.75,1864.16,170760161.0,5751949033950.0,92403816.0,2400067372250.0,263163977.0,8152016406200.0,15658373.0,377531.0,5093647.0,-16035904.0,379088478603.0,227681307200.0,160762050000.0,-606769785800.0
18/08/2026,1876.14,1876.14,-1.54,-0.00082016,1879.51,1894.83,1866.45,215330975.0,6883792010900.0,29598499.0,1658857365750.0,244929474.0,8542649376650.0,17834810.0,-2531098.0,-9279537.0,-15303712.0,692273156045.0,-105747649100.0,-346586488000.0,-586525506950.0
17/08/2026,1877.68,1877.68,0.87,0.00046355,1875.43,1885.29,1868.97,187118946.0,6556446242900.0,44272148.0,1327499503250.0,231391094.0,7883945746150.0,8114369.0,3363977.0,6729758.0,-11478346.0,145007653847.0,362193747900.0,234921840000.0,-507201401750.0
14/08/2026,1876.81,1876.81,-32.42,-0.01698067,1907.07,1908.9,1868.27,265895343.0,9560237967200.0,23259112.0,1638191691900.0,289154455.0,11198429659100.0,15708730.0,1648024.0,-6357515.0,-17356754.0,874804028502.0,41246483650.0,-326556312000.0,-916050512150.0
13/08/2026,1909.23,1909.23,-27.23,-0.01406174,1939.41,1944.4,1909.23,289858008.0,9689272969950.0,23130334.0,883463456700.0,312988342.0,10572736426650.0,7842338.0,10445676.0,-1911031.0,-18288014.0,315743779852.0,260517508850.0,-166914898000.0,-576261288700.0
12/08/2026,1936.46,1936.46,13.93,0.00724566,1924.31,1944.59,1919.58,192702926.0,6772981105900.0,35606187.0,685963383150.0,228309113.0,7458944489050.0,-9672682.0,11339942.0,19031038.0,-1667260.0,-604966064151.0,491219934050.0,702926510000.0,113746130100.0
11/08/2026,1922.53,1922.53,-2.65,-0.00137649,1928.29,1938.94,1920.22,217020374.0,7766105589850.0,30791464.0,701520808100.0,247811838.0,8467626397950.0,14760498.0,10730866.0,9470510.0,-25491364.0,181203233349.0,643412759850.0,306521410000.0,-824615993200.0
10/08/2026,1925.18,1925.18,14.09,0.00737276,1916.34,1933.73,1899.64,305649738.0,9459106447050.0,30702057.0,618571587350.0,336351795.0,10077678034400.0,-2926368.0,10275440.0,14288999.0,-7349072.0,-66362072997.0,586272860100.0,519591956000.0,-519910787100.0
07/08/2026,1911.09,1911.09,8.3,0.00436202,1901.64,1916.14,1894.06,268480686.0,9610032607200.0,32484190.0,980717116560.0,300964876.0,10590749723760.0,27475125.0,-12916092.0,632286.0,-14559033.0,766058215003.0,-178521449450.0,51477144000.0,-587536765550.0
06/08/2026,1902.79,1902.79,-14.09,-0.00735049,1923.49,1923.49,1901.3,195022762.0,7442227824750.0,54222159.0,1418902816150.0,249244921.0,8861130640900.0,13803354.0,-8344915.0,-3673206.0,-5458439.0,305169218048.0,-269226970200.0,-149789281000.0,-35942247850.0
