NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,1853.08,1853.08,25.36,0.01387521,1829.66,1862.63,1829.66,502020153.0,13745178984620.0,117921821.0,2995965578540.0,619941974.0,16741144563160.0,0.0,-5884344.0,-5884344.0,-18475229.0,0.0,-160341879000.0,-160341879000.0,89966784950.0
03/09/2026,1827.72,1827.72,-4.4,-0.00240159,1821.82,1829.84,1802.11,521093292.0,14644811810280.0,113334157.0,2854832299509.0,634427449.0,17499644109789.0,0.0,0.0,-9665960.0,-51008374.0,0.0,0.0,-280212279000.0,-1452641308590.0
28/08/2026,1832.12,1832.12,0.56,0.00030575,1833.27,1838.2,1819.16,563255108.0,15468372075980.0,82121243.0,1942562942720.0,645376351.0,17410935018700.0,-6089230.0,4679991.0,-18765167.0,1409239.0,-571498042859.0,256756612416.0,-668960115000.0,314741430440.0
27/08/2026,1831.56,1831.56,10.24,0.0056223,1821.82,1838.25,1815.42,485077587.0,13739946207930.0,127368106.0,2305603732960.0,612445693.0,16045549940890.0,4902751.0,-1622112.0,-13325339.0,-3280639.0,51095656219.0,-307084586571.0,-595845693000.0,255988930350.0
26/08/2026,1821.32,1821.32,29.91,0.01669635,1789.43,1821.32,1787.8,588203527.0,16413902821860.0,144438667.0,3517132841410.0,732642194.0,19931035663270.0,7830213.0,3471948.0,10745300.0,-11302161.0,-254254676424.0,247340763197.0,352331992000.0,6913913230.0
25/08/2026,1791.41,1791.41,2.63,0.00147028,1792.19,1812.18,1785.22,644090164.0,17459827636980.0,196270361.0,3940447363510.0,840360525.0,21400275000490.0,-15688272.0,7951960.0,-7343231.0,7736312.0,-628890697343.0,335893476806.0,-328551876000.0,292997220550.0
24/08/2026,1788.78,1788.78,20.66,0.01168473,1787.54,1795.38,1778.4,669767737.0,15280477350690.0,211494036.0,4129346653640.0,881261773.0,19409824004330.0,-1630401.0,-12225137.0,-4029663.0,13855538.0,254275952875.0,-432208876487.0,-164544865000.0,177932923600.0
21/08/2026,1768.12,1768.12,33.88,0.01953594,1733.52,1768.31,1725.4,668560916.0,15509366455600.0,115824892.0,2871089212040.0,784385808.0,18380455667640.0,-9861111.0,-14952800.0,2483144.0,24813911.0,51819901529.0,-91421717758.0,159872969000.0,39601816240.0
20/08/2026,1734.24,1734.24,7.55,0.00437253,1735.56,1742.38,1729.48,340061703.0,9796519360780.0,128747449.0,3768921944250.0,468809152.0,13565441305030.0,27675521.0,1135363.0,13792444.0,-28810884.0,345166573350.0,267489871440.0,512774349000.0,-612656444790.0
19/08/2026,1726.69,1726.69,-5.33,-0.00307733,1732.02,1734.39,1719.16,391282300.0,10040106686030.0,191855889.0,4901626572150.0,583138189.0,14941733258180.0,25029734.0,-4311219.0,5285653.0,-20718515.0,520471137488.0,187291124617.0,155876192000.0,-707762262100.0
