NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,1952.35,1952.35,-4.42,-0.00225882,1958.23,1964.89,1947.9,226760457.0,4300867033050.0,41977261.0,813422425210.0,268737718.0,5114289458260.0,0.0,-6883900.0,-6883900.0,-18393278.0,0.0,-104105455000.0,-104105455000.0,-225787861500.0
03/09/2026,1956.77,1956.77,-18.42,-0.00932569,1968.68,1969.92,1955.29,229816022.0,4680192505100.0,68128783.0,1118227405700.0,297944805.0,5798419910800.0,0.0,0.0,-284500.0,-12678295.0,0.0,0.0,-6949440000.0,-172985186600.0
28/08/2026,1975.19,1975.19,-0.54,-0.00027332,1976.7,1983.63,1967.24,232351818.0,4541609257950.0,47931794.0,867664050800.0,280283612.0,5409273308750.0,11522546.0,8138534.0,-118100.0,-19661080.0,149308327402.0,133885227648.0,-16053360000.0,-283193555050.0
27/08/2026,1975.73,1975.73,-0.39,-0.00019736,1980.36,1986.11,1968.29,208851762.0,4133150906050.0,72175485.0,1171888681550.0,281027247.0,5305039587600.0,11013521.0,5516708.0,650210.0,-16530229.0,131734304203.0,74676896800.0,6226666000.0,-206411201000.0
26/08/2026,1976.12,1976.12,10.71,0.00544924,1965.81,1977.52,1957.54,245204004.0,4821048006800.0,59356308.0,1301455337700.0,304560312.0,6122503344500.0,7211053.0,-643810.0,933850.0,-6567243.0,89942850355.0,-34889532402.0,25640777000.0,-55053317950.0
25/08/2026,1965.41,1965.41,-7.33,-0.00371564,1977.73,1978.31,1962.72,317785325.0,6525763993600.0,111498805.0,2040516779950.0,429284130.0,8566280773550.0,-15524049.0,3226543.0,1152578.0,12297506.0,-211120573896.0,58411942899.0,34635067000.0,152708631000.0
24/08/2026,1972.74,1972.74,16.22,0.00829023,1978.48,1984.2,1968.97,333723983.0,6095160648350.0,136791834.0,2726804848400.0,470515817.0,8821965496750.0,6371903.0,-12787502.0,-1855120.0,6415599.0,191543769196.0,-216937571051.0,-32680942000.0,25393801850.0
21/08/2026,1956.52,1956.52,56.01,0.02947104,1905.26,1956.83,1903.6,306379790.0,5888568553050.0,61511046.0,1159907856690.0,367890836.0,7048476409740.0,-7965030.0,-6257354.0,-589432.0,14222384.0,47214947537.0,-128006466230.0,-10534917000.0,80791518700.0
20/08/2026,1900.51,1900.51,0.81,0.00042638,1908.92,1914.93,1895.88,141458508.0,2999232796060.0,67020862.0,1571866382160.0,208479370.0,4571099178220.0,11589500.0,2895358.0,632000.0,-14484858.0,110760931752.0,87194535201.0,18746275000.0,-197955466950.0
19/08/2026,1899.7,1899.7,-10.43,-0.00546036,1908.92,1912.77,1890.57,173006679.0,3507760415210.0,86098007.0,2184912495440.0,259104686.0,5692672910650.0,7867409.0,-4242402.0,339784.0,-3625007.0,118128547884.0,-25482680179.0,1962528000.0,-92645867700.0
18/08/2026,1910.13,1910.13,-9.82,-0.00511472,1920.14,1932.86,1905.48,193014921.0,3932790737000.0,53747148.0,1525502995400.0,246762069.0,5458293732400.0,11690319.0,494347.0,-120900.0,-12184666.0,152962084352.0,97118158450.0,-4353110000.0,-250080242800.0
17/08/2026,1919.95,1919.95,3.77,0.00196746,1915.07,1923.75,1902.26,168773877.0,3393166903250.0,72726231.0,1710031748000.0,241500108.0,5103198651250.0,8018368.0,-5071477.0,447700.0,-2946891.0,106467187950.0,-21966403000.0,8172865000.0,-84500784950.0
14/08/2026,1916.18,1916.18,-14.37,-0.00744347,1926.57,1936.98,1905.86,311832014.0,5739828043350.0,55307318.0,1278484265670.0,367139332.0,7018312309020.0,5824577.0,-11434470.0,688550.0,5609893.0,78123081051.0,-150276017899.0,20941523000.0,72152936850.0
13/08/2026,1930.55,1930.55,-21.85,-0.01119135,1958.66,1962.94,1930.55,287167730.0,5709765175200.0,65327446.0,1145380158250.0,352495176.0,6855145333450.0,7212882.0,-5673826.0,-974250.0,-1539056.0,33408046402.0,-19648128300.0,-23804950000.0,-13759918100.0
12/08/2026,1952.4,1952.4,1.47,0.00075349,1953.81,1962.44,1949.82,202314646.0,4120818205800.0,57983324.0,1024115434250.0,260297970.0,5144933640050.0,-1599787.0,-11539162.0,-794100.0,13138949.0,24231798296.0,-237476559601.0,-17137730000.0,213244761300.0
11/08/2026,1950.93,1950.93,1.02,0.0005231,1953.46,1965.17,1950.93,260536938.0,5347648813900.0,31427719.0,622613359420.0,291964657.0,5970262173320.0,-1165159.0,-969334.0,-1804000.0,2134493.0,-73556441445.0,9788573700.0,-19657820000.0,63767867750.0
10/08/2026,1949.91,1949.91,32.44,0.01691813,1926.62,1952.93,1925.7,253026232.0,5106749644050.0,51093416.0,1104118520430.0,304119648.0,6210868164480.0,-68694.0,-1610360.0,-668750.0,1679054.0,-39727407851.0,-45157428000.0,-21184822000.0,84884835850.0
07/08/2026,1917.47,1917.47,1.24,0.0006471,1911.13,1933.44,1910.2,204438674.0,4052013360750.0,73714916.0,1566705358260.0,278153590.0,5618718719010.0,14574699.0,-3104493.0,-281780.0,-11470206.0,265050685653.0,-73210651850.0,-12010931000.0,-191840033800.0
06/08/2026,1916.23,1916.23,-16.11,-0.00833704,1934.67,1935.12,1910.65,227316569.0,4309718872950.0,47442526.0,1174940379440.0,274759095.0,5484659252390.0,2958192.0,1181479.0,433085.0,-4139671.0,59624426951.0,9379920850.0,20810461000.0,-69004347800.0
05/08/2026,1932.34,1932.34,2.28,0.00118131,1943.52,1951.39,1931.77,301406592.0,5703252609600.0,80573194.0,2115748321500.0,381979786.0,7819000931100.0,3462806.0,1749427.0,275300.0,-5212233.0,62602584253.0,-53889820749.0,-936165000.0,-8712763500.0
04/08/2026,1930.06,1930.06,16.9,0.00883355,1918.99,1930.06,1909.05,240754523.0,4563566419350.0,75736204.0,1633584958820.0,316490727.0,6197151378170.0,-3697142.0,6229674.0,-667275.0,-2532532.0,-158654732293.0,97163833700.0,-16533444000.0,61490898600.0
03/08/2026,1913.16,1913.16,39.76,0.02122344,1879.63,1923.59,1879.31,293810598.0,5524626928880.0,74719060.0,1559926460270.0,368529658.0,7084553389150.0,3577166.0,4679205.0,-1256500.0,-8256371.0,-31235866635.0,57643535089.0,-30693365000.0,-26407668450.0
31/07/2026,1873.4,1873.4,-9.19,-0.00488157,1896.63,1896.63,1866.61,281141578.0,5290492398770.0,97613456.0,1807638995250.0,378755034.0,7098131394020.0,22971927.0,3820122.0,3672900.0,-26792049.0,243579772944.0,143640283460.0,211830755000.0,-387220056400.0
30/07/2026,1882.59,1882.59,51.12,0.02791201,1832.91,1887.11,1832.91,316771909.0,5431252191350.0,85102267.0,1470006607940.0,401874176.0,6901258799290.0,-686842.0,5947254.0,-2388195.0,-5260412.0,-20688042069.0,18098085719.0,-53940833000.0,2589956350.0
29/07/2026,1831.47,1831.47,5.25,0.00287479,1832.18,1833.53,1814.24,165414616.0,2948033064820.0,55091136.0,1148977242800.0,220505752.0,4097010307620.0,16703067.0,-3942001.0,-666400.0,-12761066.0,198794031440.0,-70582491939.0,-34948175000.0,-128211539500.0
28/07/2026,1826.22,1826.22,28.21,0.01568957,1777.16,1835.75,1771.43,292355826.0,4978663796110.0,68714830.0,1068088004700.0,361070656.0,6046751800810.0,-519965.0,-13072806.0,-525600.0,13592771.0,-153739100335.0,-151862903160.0,-18690690000.0,305602003500.0
27/07/2026,1798.01,1798.01,-47.79,-0.02589121,1850.06,1853.65,1798.01,265699613.0,4461840550060.0,40471138.0,685269993100.0,306170751.0,5147110543160.0,11562305.0,5553447.0,-563700.0,-17115752.0,148616534430.0,143788728610.0,-14708122000.0,-292405263040.0
24/07/2026,1845.8,1845.8,-26.11,-0.01394832,1860.67,1867.09,1842.43,229609184.0,4462717506590.0,49726519.0,731010947750.0,279335703.0,5193728454340.0,32662368.0,6527790.0,-1069300.0,-39190158.0,689727502111.0,184695036499.0,-31036035000.0,-874422538610.0
23/07/2026,1871.91,1871.91,30.42,0.01651923,1829.19,1876.45,1792.54,325136390.0,5485054994900.0,47932715.0,1009546372600.0,373069105.0,6494601367500.0,-1944917.0,-920726.0,-2271600.0,2865643.0,14480148570.0,-68487924820.0,-69774080000.0,54007776250.0
