NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,1251.81,1251.81,-2.28,-0.00181805,1253.97,1258.5,1249.2,36279856.0,444173725960.0,9442055.0,151026840130.0,45721911.0,595200566090.0,0.0,412000.0,412000.0,-1145318.0,0.0,13795266000.0,13795266000.0,-26486177290.0
03/09/2026,1254.09,1254.09,-9.3,-0.00736115,1258.96,1260.48,1252.64,38089573.0,497992852090.0,9762658.0,125604728009.0,47852231.0,623597580099.0,0.0,0.0,390300.0,-1643972.0,0.0,0.0,14968240000.0,-30215861980.0
28/08/2026,1263.39,1263.39,0.02,1.583e-05,1262.64,1263.79,1259.5,36850860.0,489246514210.0,2499542.0,27499088620.0,39350402.0,516745602830.0,1089539.0,1023436.0,211100.0,-2112975.0,6662197033.0,17137894488.0,3272575000.0,-23800091520.0
27/08/2026,1263.37,1263.37,-3.92,-0.00309321,1268.54,1270.19,1261.27,38173457.0,464970921420.0,26305206.0,319750877660.0,64478663.0,784721799080.0,2578471.0,699781.0,-16400.0,-3278252.0,20519621133.0,10663117829.0,-362800000.0,-31182738970.0
26/08/2026,1267.29,1267.29,1.66,0.0013116,1266.68,1268.26,1262.81,43822228.0,579363239450.0,13824209.0,148731907710.0,57646437.0,728095147160.0,2516249.0,936091.0,-134700.0,-3452340.0,7009450077.0,34471010369.0,-2869195000.0,-41480460450.0
25/08/2026,1265.63,1265.63,-6.28,-0.00493746,1274.19,1274.66,1262.76,55073596.0,753086165390.0,32875124.0,338984566410.0,87948720.0,1092070731800.0,3210828.0,-1772045.0,67200.0,-1438783.0,61451760091.0,-25785603431.0,917550000.0,-35666156650.0
24/08/2026,1271.91,1271.91,8.26,0.00653662,1267.73,1271.93,1263.15,67826181.0,793984940070.0,43318005.0,362469614590.0,111144186.0,1156454554660.0,-3252374.0,1811127.0,195700.0,1441247.0,-6029319611.0,-291311985.0,3954792000.0,6320631600.0
21/08/2026,1263.65,1263.65,18.61,0.01494731,1243.13,1263.65,1243.13,67546181.0,833081477920.0,5409656.0,126480253850.0,72955837.0,959561731770.0,295450.0,-3035726.0,61900.0,2740276.0,21043038164.0,-39281796650.0,881497000.0,18238758480.0
20/08/2026,1245.04,1245.04,0.5,0.00040175,1246.83,1249.35,1242.49,31275554.0,449623420030.0,9768966.0,163166206090.0,41044520.0,612789626120.0,1116697.0,164692.0,40000.0,-1281389.0,30392193246.0,-3306159171.0,1056750000.0,-27086034080.0
19/08/2026,1244.54,1244.54,-4.47,-0.00357883,1248.22,1249.79,1237.59,39587316.0,591544384970.0,10362866.0,153905387660.0,49950182.0,745449772630.0,1869906.0,-503255.0,164935.0,-1366651.0,33329903020.0,-5319282942.0,1683747000.0,-28010620080.0
