NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,7480.0,7600.0,-120.0,-0.01578947,7740.0,7740.0,7480.0,9831.0,73856580.0,0.0,0.0,9831.0,73856580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,7600.0,7490.0,110.0,0.01468625,7490.0,7740.0,7490.0,8082.0,61703260.0,0.0,0.0,8082.0,61703260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,7490.0,7400.0,90.0,0.01216216,7500.0,7500.0,7450.0,7775.0,58252100.0,0.0,0.0,7775.0,58252100.0,1828.0,-1828.0,0.0,0.0,13690900.0,-13690900.0,0.0,0.0
27/08/2026,7400.0,7430.0,-30.0,-0.00403769,7480.0,7490.0,7400.0,573.0,4268110.0,0.0,0.0,573.0,4268110.0,-197.0,197.0,0.0,0.0,-1473690.0,1473690.0,0.0,0.0
26/08/2026,7430.0,7280.0,150.0,0.0206044,7280.0,7430.0,7280.0,3740.0,27339070.0,0.0,0.0,3740.0,27339070.0,-496.0,496.0,0.0,0.0,-3667330.0,3667330.0,0.0,0.0
25/08/2026,7280.0,7280.0,0.0,0.0,7280.0,7280.0,7280.0,9889.0,71989130.0,0.0,0.0,9889.0,71989130.0,-1522.0,1522.0,0.0,0.0,-11077360.0,11077360.0,0.0,0.0
24/08/2026,7280.0,7050.0,230.0,0.03262411,7000.0,7280.0,7000.0,422.0,2992350.0,0.0,0.0,422.0,2992350.0,-65.0,65.0,0.0,0.0,-458250.0,458250.0,0.0,0.0
21/08/2026,7050.0,7050.0,0.0,0.0,7040.0,7050.0,7040.0,5685.0,40078100.0,0.0,0.0,5685.0,40078100.0,-1195.0,1195.0,0.0,0.0,-8425600.0,8425600.0,0.0,0.0
20/08/2026,7050.0,7050.0,0.0,0.0,7050.0,7050.0,7050.0,106.0,755400.0,0.0,0.0,106.0,755400.0,-85.0,85.0,0.0,0.0,-607351.0,607350.0,0.0,0.0
19/08/2026,7050.0,7300.0,-250.0,-0.03424658,7110.0,7110.0,7050.0,1304.0,9207610.0,0.0,0.0,1304.0,9207610.0,-83.0,83.0,0.0,0.0,-584060.0,584060.0,0.0,0.0
