NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,16100.0,16050.0,50.0,0.00311526,16000.0,16100.0,15850.0,277964.0,4450005200.0,0.0,0.0,277964.0,4450005200.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
28/08/2026,16050.0,16200.0,-150.0,-0.00925926,16100.0,16150.0,15750.0,313370.0,4998030800.0,0.0,0.0,313370.0,4998030800.0,-5200.0,5200.0,0,0.0,-82560000.0,82560000.0,0,0.0
27/08/2026,16200.0,16400.0,-200.0,-0.01219512,16400.0,16450.0,16150.0,354037.0,5760251900.0,0.0,0.0,354037.0,5760251900.0,2475.0,-2475.0,0,0.0,40461250.0,-40461250.0,0,0.0
26/08/2026,16400.0,16200.0,200.0,0.01234568,16100.0,16400.0,16000.0,409010.0,6648478700.0,0.0,0.0,409010.0,6648478700.0,8886.0,-8886.0,0,0.0,144625600.0,-144625600.0,0,0.0
25/08/2026,16200.0,16400.0,-200.0,-0.01219512,16350.0,16500.0,16000.0,331059.0,5378763000.0,0.0,0.0,331059.0,5378763000.0,8590.0,-8590.0,0,0.0,137362400.0,-137362400.0,0,0.0
24/08/2026,16400.0,16350.0,50.0,0.0030581,16350.0,16450.0,16250.0,339156.0,5550820850.0,0.0,0.0,339156.0,5550820850.0,1202.0,-1202.0,0,0.0,19714849.0,-19714850.0,0,0.0
21/08/2026,16350.0,15350.0,1000.0,0.06514658,15250.0,16350.0,15200.0,536092.0,8430410100.0,0.0,0.0,536092.0,8430410100.0,-25873.0,25873.0,0,0.0,-409099450.0,409099450.0,0,0.0
20/08/2026,15350.0,15200.0,150.0,0.00986842,15200.0,15450.0,15200.0,374858.0,5751345900.0,0.0,0.0,374858.0,5751345900.0,1286.0,-1286.0,0,0.0,19815000.0,-19815000.0,0,0.0
19/08/2026,15200.0,15250.0,-50.0,-0.00327869,15200.0,15250.0,15150.0,120823.0,1836720950.0,0.0,0.0,120823.0,1836720950.0,-40700.0,40700.0,0,0.0,-618655000.0,618655000.0,0,0.0
18/08/2026,15250.0,15350.0,-100.0,-0.00651466,15350.0,15400.0,15250.0,144686.0,2218974450.0,0.0,0.0,144686.0,2218974450.0,205.0,-205.0,0,0.0,3173600.0,-3173600.0,0,0.0
17/08/2026,15350.0,15200.0,150.0,0.00986842,15150.0,15450.0,15100.0,139748.0,2138996750.0,0.0,0.0,139748.0,2138996750.0,-9475.0,9475.0,0,0.0,-145280000.0,145280000.0,0,0.0
14/08/2026,15200.0,15350.0,-150.0,-0.00977199,15300.0,15300.0,15200.0,136425.0,2078346100.0,0.0,0.0,136425.0,2078346100.0,8550.0,-8550.0,0,0.0,130143550.0,-130143550.0,0,0.0
13/08/2026,15350.0,15400.0,-50.0,-0.00324675,15350.0,15400.0,15300.0,149307.0,2292227300.0,0.0,0.0,149307.0,2292227300.0,-501.0,501.0,0,0.0,-7690201.0,7690200.0,0,0.0
12/08/2026,15400.0,15500.0,-100.0,-0.00645161,15550.0,15550.0,15400.0,176651.0,2733347950.0,0.0,0.0,176651.0,2733347950.0,-17530.0,17530.0,0,0.0,-271268500.0,271268500.0,0,0.0
11/08/2026,15500.0,15550.0,-50.0,-0.00321543,15500.0,15600.0,15450.0,180056.0,2796650100.0,0.0,0.0,180056.0,2796650100.0,-11784.0,11784.0,0,0.0,-182366000.0,182366000.0,0,0.0
