NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,10600.0,11300.0,-700.0,-0.0619469,10800.0,10800.0,10600.0,5418.0,57603300.0,0.0,0.0,5418.0,57603300.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
03/09/2026,11300.0,11500.0,-200.0,-0.0173913,11200.0,11300.0,11200.0,403.0,4532250.0,0.0,0.0,403.0,4532250.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
28/08/2026,11500.0,11500.0,0.0,0.0,11500.0,11500.0,11500.0,20.0,223100.0,0.0,0.0,20.0,223100.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
27/08/2026,11500.0,11500.0,0.0,0.0,11500.0,11500.0,11500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
26/08/2026,11500.0,11500.0,0.0,0.0,11500.0,11500.0,11500.0,1.0,11150.0,0.0,0.0,1.0,11150.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
25/08/2026,11500.0,11600.0,-100.0,-0.00862069,11050.0,11500.0,10900.0,6021.0,66056600.0,0.0,0.0,6021.0,66056600.0,-713.0,713.0,0,0.0,-7876700.0,7876700.0,0,0.0
24/08/2026,11600.0,11750.0,-150.0,-0.01276596,11700.0,11700.0,11600.0,6117.0,71558900.0,0.0,0.0,6117.0,71558900.0,-5000.0,5000.0,0,0.0,-58500000.0,58500000.0,0,0.0
21/08/2026,11750.0,11150.0,600.0,0.05381166,11150.0,11750.0,11000.0,4601.0,50856900.0,0.0,0.0,4601.0,50856900.0,1200.0,-1200.0,0,0.0,13230000.0,-13230000.0,0,0.0
20/08/2026,11150.0,11700.0,-550.0,-0.04700855,11150.0,11150.0,11150.0,803.0,8956500.0,0.0,0.0,803.0,8956500.0,-401.0,401.0,0,0.0,-4472500.0,4472500.0,0,0.0
19/08/2026,11700.0,11400.0,300.0,0.02631579,11000.0,11750.0,11000.0,7324.0,85361250.0,0.0,0.0,7324.0,85361250.0,6120.0,-6120.0,0,0.0,71328901.0,-71328900.0,0,0.0
18/08/2026,11400.0,12250.0,-850.0,-0.06938776,11500.0,11500.0,11400.0,2354.0,26892450.0,0.0,0.0,2354.0,26892450.0,801.0,-801.0,0,0.0,9127750.0,-9127750.0,0,0.0
17/08/2026,12250.0,11750.0,500.0,0.04255319,11300.0,12450.0,10950.0,13525.0,149730450.0,0.0,0.0,13525.0,149730450.0,8206.0,-8206.0,0,0.0,90420450.0,-90420450.0,0,0.0
14/08/2026,11750.0,12600.0,-850.0,-0.06746032,11800.0,12700.0,11750.0,13100.0,154985000.0,0.0,0.0,13100.0,154985000.0,9600.0,-9600.0,0,0.0,112900000.0,-112900000.0,0,0.0
13/08/2026,12600.0,13500.0,-900.0,-0.06666667,13500.0,14400.0,12600.0,13015.0,173323150.0,0.0,0.0,13015.0,173323150.0,-9903.0,9903.0,0,0.0,-132332851.0,132332850.0,0,0.0
12/08/2026,13500.0,12650.0,850.0,0.06719368,13300.0,13500.0,11850.0,24830.0,333919950.0,0.0,0.0,24830.0,333919950.0,-16430.0,16430.0,0,0.0,-220984950.0,220984950.0,0,0.0
11/08/2026,12650.0,11850.0,800.0,0.06751055,12550.0,12650.0,12550.0,13534.0,171040100.0,0.0,0.0,13534.0,171040100.0,2300.0,-2300.0,0,0.0,29105000.0,-29105000.0,0,0.0
10/08/2026,11850.0,11100.0,750.0,0.06756757,11450.0,11850.0,11450.0,4500.0,52170000.0,0.0,0.0,4500.0,52170000.0,2400.0,-2400.0,0,0.0,27770000.0,-27770000.0,0,0.0
07/08/2026,11100.0,11100.0,0.0,0.0,11100.0,11100.0,11100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
06/08/2026,11100.0,11100.0,0.0,0.0,11100.0,11100.0,11100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
05/08/2026,11100.0,11100.0,0.0,0.0,11100.0,11100.0,11100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
04/08/2026,11100.0,11000.0,100.0,0.00909091,11000.0,11100.0,11000.0,1101.0,12121100.0,0.0,0.0,1101.0,12121100.0,-100.0,100.0,0,0.0,-1110000.0,1110000.0,0,0.0
03/08/2026,11000.0,11000.0,0.0,0.0,11000.0,11000.0,11000.0,300.0,3300000.0,0.0,0.0,300.0,3300000.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
31/07/2026,11000.0,11000.0,0.0,0.0,11000.0,11000.0,11000.0,100.0,1100000.0,0.0,0.0,100.0,1100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
30/07/2026,11000.0,11000.0,0.0,0.0,11000.0,11000.0,11000.0,300.0,3300000.0,0.0,0.0,300.0,3300000.0,100.0,-100.0,0,0.0,1100000.0,-1100000.0,0,0.0
29/07/2026,11000.0,11050.0,-50.0,-0.00452489,11000.0,11000.0,11000.0,300.0,3300000.0,0.0,0.0,300.0,3300000.0,-200.0,200.0,0,0.0,-2200000.0,2200000.0,0,0.0
28/07/2026,11050.0,11350.0,-300.0,-0.02643172,11050.0,11050.0,11050.0,200.0,2210000.0,0.0,0.0,200.0,2210000.0,100.0,-100.0,0,0.0,1105000.0,-1105000.0,0,0.0
27/07/2026,11350.0,11100.0,250.0,0.02252252,11350.0,11350.0,11350.0,103.0,1167800.0,0.0,0.0,103.0,1167800.0,-100.0,0.0,0,100.0,-1135001.0,0.0,0,1135000.0
24/07/2026,11100.0,11550.0,-450.0,-0.03896104,10950.0,11300.0,10950.0,600.0,6650000.0,0.0,0.0,600.0,6650000.0,-400.0,400.0,0,0.0,-4460000.0,4460000.0,0,0.0
23/07/2026,11550.0,11550.0,0.0,0.0,11550.0,11550.0,11550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
22/07/2026,11550.0,11550.0,0.0,0.0,11550.0,11550.0,11550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
21/07/2026,11550.0,11550.0,0.0,0.0,11550.0,11550.0,11550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
20/07/2026,11550.0,11400.0,150.0,0.01315789,11250.0,11550.0,10800.0,1306.0,14232900.0,0.0,0.0,1306.0,14232900.0,104.0,-104.0,0,0.0,1173600.0,-1173600.0,0,0.0
17/07/2026,11400.0,11400.0,0.0,0.0,11400.0,11400.0,11400.0,300.0,3420000.0,0.0,0.0,300.0,3420000.0,100.0,-100.0,0,0.0,1140000.0,-1140000.0,0,0.0
