NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,2830.0,2900.0,-70.0,-0.02413793,2950.0,2950.0,2810.0,410067.0,1176523470.0,0.0,0.0,410067.0,1176523470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,2900.0,2980.0,-80.0,-0.02684564,2940.0,2950.0,2850.0,348317.0,1006734310.0,0.0,0.0,348317.0,1006734310.0,4319.0,-4319.0,0.0,0.0,13052390.0,-13052390.0,0.0,0.0
27/08/2026,2980.0,2990.0,-10.0,-0.00334448,2990.0,3030.0,2940.0,108050.0,321352610.0,0.0,0.0,108050.0,321352610.0,-19711.0,19711.0,0.0,0.0,-58703800.0,58703800.0,0.0,0.0
26/08/2026,2990.0,3030.0,-40.0,-0.01320132,3040.0,3050.0,2990.0,168997.0,507325840.0,0.0,0.0,168997.0,507325840.0,-79450.0,79450.0,0.0,0.0,-238227500.0,238227500.0,0.0,0.0
25/08/2026,3030.0,3020.0,10.0,0.00331126,3020.0,3070.0,3000.0,191568.0,576246160.0,0.0,0.0,191568.0,576246160.0,-96747.0,96747.0,0.0,0.0,-289916410.0,289916410.0,0.0,0.0
24/08/2026,3020.0,3060.0,-40.0,-0.0130719,3050.0,3060.0,3000.0,677281.0,2052042420.0,0.0,0.0,677281.0,2052042420.0,-335154.0,335154.0,0.0,0.0,-1016305911.0,1016305910.0,0.0,0.0
21/08/2026,3060.0,3090.0,-30.0,-0.00970874,3090.0,3090.0,3030.0,370328.0,1128637710.0,0.0,0.0,370328.0,1128637710.0,-118958.0,118958.0,0.0,0.0,-362092520.0,362092521.0,0.0,0.0
20/08/2026,3090.0,3200.0,-110.0,-0.034375,3200.0,3220.0,3080.0,462729.0,1448634900.0,0.0,0.0,462729.0,1448634900.0,-327834.0,327834.0,0.0,0.0,-1029954380.0,1029954380.0,0.0,0.0
19/08/2026,3200.0,3180.0,20.0,0.00628931,3280.0,3280.0,3160.0,484312.0,1566588340.0,0.0,0.0,484312.0,1566588340.0,-318133.0,318133.0,0.0,0.0,-1029177020.0,1029177020.0,0.0,0.0
18/08/2026,3180.0,3100.0,80.0,0.02580645,3100.0,3250.0,3100.0,149593.0,476982890.0,0.0,0.0,149593.0,476982890.0,-37015.0,37015.0,0.0,0.0,-117877550.0,117877550.0,0.0,0.0
17/08/2026,3100.0,3100.0,0.0,0.0,3100.0,3110.0,3060.0,106450.0,329824300.0,0.0,0.0,106450.0,329824300.0,-67488.0,67488.0,0.0,0.0,-209082810.0,209082810.0,0.0,0.0
14/08/2026,3100.0,3100.0,0.0,0.0,3100.0,3110.0,3040.0,121423.0,374577320.0,0.0,0.0,121423.0,374577320.0,-10690.0,10690.0,0.0,0.0,-33495000.0,33495000.0,0.0,0.0
13/08/2026,3100.0,3100.0,0.0,0.0,3100.0,3100.0,3050.0,195023.0,600442030.0,0.0,0.0,195023.0,600442030.0,-15341.0,15341.0,0.0,0.0,-47740100.0,47740100.0,0.0,0.0
12/08/2026,3100.0,3050.0,50.0,0.01639344,3050.0,3120.0,3030.0,141199.0,435034030.0,0.0,0.0,141199.0,435034030.0,-51848.0,51848.0,0.0,0.0,-161098400.0,161098400.0,0.0,0.0
11/08/2026,3050.0,3080.0,-30.0,-0.00974026,3090.0,3090.0,3040.0,162840.0,497534760.0,0.0,0.0,162840.0,497534760.0,16487.0,-16487.0,0.0,0.0,50875140.0,-50875140.0,0.0,0.0
10/08/2026,3080.0,3040.0,40.0,0.01315789,3040.0,3090.0,3020.0,70804.0,215045530.0,0.0,0.0,70804.0,215045530.0,-4521.0,4521.0,0.0,0.0,-13637800.0,13637800.0,0.0,0.0
07/08/2026,3040.0,3090.0,-50.0,-0.01618123,3090.0,3090.0,3020.0,154033.0,469311570.0,0.0,0.0,154033.0,469311570.0,8084.0,-8084.0,0.0,0.0,25023670.0,-25023670.0,0.0,0.0
