NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,50800.0,51400.0,-600.0,-0.01167315,50300.0,51400.0,50300.0,822.0,41850800.0,0.0,0.0,822.0,41850800.0,-79.0,79.0,0.0,0.0,-3950600.0,3950600.0,0.0,0.0
27/08/2026,51400.0,51500.0,-100.0,-0.00194175,50800.0,51500.0,50000.0,11548.0,582311000.0,0.0,0.0,11548.0,582311000.0,-4220.0,3720.0,0.0,500.0,-211461200.0,186311200.0,0.0,25150000.0
26/08/2026,51500.0,52000.0,-500.0,-0.00961538,51600.0,52400.0,50000.0,17942.0,906859800.0,0.0,0.0,17942.0,906859800.0,-4319.0,4519.0,0.0,-200.0,-217015600.0,227375600.0,0.0,-10360000.0
25/08/2026,52000.0,53000.0,-1000.0,-0.01886792,52600.0,52700.0,51200.0,4149.0,217138300.0,0.0,0.0,4149.0,217138300.0,-689.0,-111.0,0.0,800.0,-35742500.0,-5757500.0,0.0,41500000.0
24/08/2026,53000.0,51200.0,1800.0,0.03515625,53000.0,53000.0,53000.0,108.0,5711400.0,0.0,0.0,108.0,5711400.0,-6.0,6.0,0.0,0.0,-305399.0,305400.0,0.0,0.0
21/08/2026,51200.0,51300.0,-100.0,-0.00194932,51300.0,51500.0,50800.0,3165.0,162560300.0,0.0,0.0,3165.0,162560300.0,-102.0,102.0,0.0,0.0,-5191900.0,5191900.0,0.0,0.0
20/08/2026,51300.0,50400.0,900.0,0.01785714,50400.0,51300.0,50400.0,2670.0,135840800.0,0.0,0.0,2670.0,135840800.0,254.0,-254.0,0.0,0.0,12779300.0,-12779300.0,0.0,0.0
19/08/2026,50400.0,50400.0,0.0,0.0,50400.0,50500.0,50400.0,1564.0,78897200.0,0.0,0.0,1564.0,78897200.0,-198.0,198.0,0.0,0.0,-9988800.0,9988800.0,0.0,0.0
18/08/2026,50400.0,50400.0,0.0,0.0,50700.0,50700.0,50400.0,4054.0,204925700.0,0.0,0.0,4054.0,204925700.0,-649.0,649.0,0.0,0.0,-32772700.0,32772700.0,0.0,0.0
17/08/2026,50400.0,50400.0,0.0,0.0,50400.0,50400.0,50100.0,5735.0,288121550.0,0.0,0.0,5735.0,288121550.0,3875.0,-4575.0,0.0,700.0,194571250.0,-229821250.0,0.0,35250000.0
14/08/2026,50400.0,50500.0,-100.0,-0.0019802,50500.0,50500.0,50100.0,4270.0,214782200.0,0.0,0.0,4270.0,214782200.0,-280.0,150.0,0.0,130.0,-14088800.0,7531000.0,0.0,6557800.0
13/08/2026,50500.0,51000.0,-500.0,-0.00980392,52000.0,52000.0,50200.0,3958.0,200595300.0,0.0,0.0,3958.0,200595300.0,374.0,934.0,0.0,-1308.0,18769699.0,47216700.0,0.0,-65986400.0
12/08/2026,51000.0,50500.0,500.0,0.00990099,50500.0,51000.0,50500.0,23211.0,1172398000.0,0.0,0.0,23211.0,1172398000.0,-1505.0,1605.0,0.0,-100.0,-76064100.0,81054100.0,0.0,-4990000.0
11/08/2026,50500.0,50900.0,-400.0,-0.00785855,50900.0,50900.0,50000.0,22574.0,1131944000.0,0.0,0.0,22574.0,1131944000.0,-4596.0,4596.0,0.0,0.0,-230706800.0,230706800.0,0.0,0.0
10/08/2026,50900.0,50500.0,400.0,0.00792079,50500.0,51000.0,50100.0,5645.0,284592200.0,0.0,0.0,5645.0,284592200.0,-3802.0,3802.0,0.0,0.0,-191761800.0,191761800.0,0.0,0.0
07/08/2026,50500.0,50900.0,-400.0,-0.00785855,50200.0,50900.0,50200.0,3011.0,152449600.0,0.0,0.0,3011.0,152449600.0,95.0,-95.0,0.0,0.0,4435100.0,-4435100.0,0.0,0.0
06/08/2026,50900.0,50600.0,300.0,0.00592885,50500.0,51000.0,50200.0,9140.0,460971600.0,0.0,0.0,9140.0,460971600.0,-628.0,828.0,0.0,-200.0,-31557401.0,41757400.0,0.0,-10200000.0
05/08/2026,50600.0,50500.0,100.0,0.0019802,50400.0,50800.0,50400.0,4120.0,207922000.0,0.0,0.0,4120.0,207922000.0,880.0,-880.0,0.0,0.0,44438000.0,-44438000.0,0.0,0.0
04/08/2026,50500.0,50500.0,0.0,0.0,50500.0,50700.0,50200.0,10670.0,538795800.0,0.0,0.0,10670.0,538795800.0,1155.0,-1087.0,0.0,-68.0,58248300.0,-54814300.0,0.0,-3434000.0
03/08/2026,50500.0,50400.0,100.0,0.00198413,50500.0,50500.0,50000.0,12235.0,615833900.0,0.0,0.0,12235.0,615833900.0,-1911.0,1911.0,0.0,0.0,-96343300.0,96343300.0,0.0,0.0
31/07/2026,50400.0,50400.0,0.0,0.0,50700.0,50700.0,50400.0,5400.0,272450000.0,0.0,0.0,5400.0,272450000.0,-4000.0,3300.0,0.0,700.0,-201790000.0,166300000.0,0.0,35490000.0
30/07/2026,50400.0,50200.0,200.0,0.00398406,49200.0,50600.0,49200.0,2309.0,116235400.0,0.0,0.0,2309.0,116235400.0,-900.0,900.0,0.0,0.0,-45490001.0,45490000.0,0.0,0.0
29/07/2026,50200.0,50800.0,-600.0,-0.01181102,50900.0,50900.0,49700.0,15243.0,767999400.0,0.0,0.0,15243.0,767999400.0,-2090.0,3090.0,0.0,-1000.0,-106096600.0,156546600.0,0.0,-50450000.0
