NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,22200.0,22650.0,-450.0,-0.01986755,22550.0,22550.0,22200.0,10299454.0,230034514300.0,0.0,0.0,10299454.0,230034514300.0,0.0,0.0,-735300.0,-3678852.0,0.0,0.0,-16352955000.0,-82209466850.0
28/08/2026,22650.0,22600.0,50.0,0.00221239,22600.0,22700.0,22450.0,5571128.0,125857109250.0,47000.0,989350000.0,5618128.0,126846459250.0,232130.0,-981504.0,-1324400.0,749374.0,5158419651.0,-22146214650.0,-29870170000.0,16987795000.0
27/08/2026,22600.0,22250.0,350.0,0.01573034,22250.0,22650.0,22250.0,7440924.0,167522330250.0,0.0,0.0,7440924.0,167522330250.0,844918.0,-1111248.0,-1095500.0,266330.0,19015920950.0,-24965967200.0,-24596675000.0,5950046250.0
26/08/2026,22250.0,22200.0,50.0,0.00225225,22250.0,22450.0,22150.0,7451669.0,166160379800.0,48000.0,991200000.0,7499669.0,167151579800.0,2866902.0,627999.0,649300.0,-3494901.0,63870153750.0,14039702900.0,14551760000.0,-77909856650.0
25/08/2026,22200.0,22500.0,-300.0,-0.01333333,22500.0,22700.0,22200.0,7792149.0,174690761100.0,0.0,0.0,7792149.0,174690761100.0,2590816.0,-961368.0,-1223800.0,-1629448.0,57987386650.0,-21471478050.0,-27357675000.0,-36515908600.0
24/08/2026,22500.0,22750.0,-250.0,-0.01098901,22750.0,22750.0,22450.0,6400566.0,144338734800.0,0.0,0.0,6400566.0,144338734800.0,2303903.0,-2314564.0,-1378600.0,10661.0,51930907300.0,-52187662000.0,-31044625000.0,256754700.0
21/08/2026,22750.0,21950.0,800.0,0.03644647,21950.0,22750.0,21900.0,12188173.0,273035614850.0,2400000.0,49197500000.0,14588173.0,322233114850.0,836589.0,-1441699.0,128500.0,605110.0,18386241000.0,-31868617800.0,3252250000.0,13482376800.0
20/08/2026,21950.0,21800.0,150.0,0.00688073,21850.0,22100.0,21850.0,7602291.0,167293816800.0,0.0,0.0,7602291.0,167293816800.0,1319490.0,8186.0,1101700.0,-1327676.0,28994526700.0,165889400.0,24288255000.0,-29160416100.0
19/08/2026,21800.0,21650.0,150.0,0.00692841,21650.0,21900.0,21600.0,6255908.0,136003106000.0,50000.0,1007500000.0,6305908.0,137010606000.0,1789095.0,645727.0,936900.0,-2434822.0,38872957151.0,14073395350.0,20377440000.0,-52946352500.0
18/08/2026,21650.0,21850.0,-200.0,-0.00915332,21850.0,22100.0,21550.0,7336547.0,159909132100.0,0.0,0.0,7336547.0,159909132100.0,1026202.0,52193.0,-4000.0,-1078395.0,22295208250.0,1163276000.0,16980000.0,-23458484250.0
