NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,4680.0,4750.0,-70.0,-0.01473684,4750.0,4770.0,4650.0,257071.0,1206952520.0,0.0,0.0,257071.0,1206952520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,4750.0,4720.0,30.0,0.00635593,4790.0,4800.0,4710.0,597608.0,2837745630.0,0.0,0.0,597608.0,2837745630.0,31358.0,-31358.0,0.0,0.0,147220180.0,-147220180.0,0.0,0.0
27/08/2026,4720.0,4680.0,40.0,0.00854701,4650.0,4780.0,4650.0,296114.0,1388746340.0,0.0,0.0,296114.0,1388746340.0,-56899.0,56899.0,0.0,0.0,-264849370.0,264849370.0,0.0,0.0
26/08/2026,4680.0,4700.0,-20.0,-0.00425532,4770.0,4840.0,4670.0,413746.0,1960289570.0,0.0,0.0,413746.0,1960289570.0,-110972.0,110972.0,0.0,0.0,-525320630.0,525320630.0,0.0,0.0
25/08/2026,4700.0,4800.0,-100.0,-0.02083333,4860.0,4860.0,4670.0,325681.0,1550133080.0,0.0,0.0,325681.0,1550133080.0,30190.0,-30190.0,0.0,0.0,141748340.0,-141748340.0,0.0,0.0
24/08/2026,4800.0,4720.0,80.0,0.01694915,4730.0,4900.0,4680.0,618225.0,2949778510.0,0.0,0.0,618225.0,2949778510.0,-23137.0,23137.0,0.0,0.0,-111641480.0,111641480.0,0.0,0.0
21/08/2026,4720.0,4650.0,70.0,0.01505376,4890.0,4890.0,4670.0,589531.0,2811246090.0,0.0,0.0,589531.0,2811246090.0,-105010.0,105010.0,0.0,0.0,-504739191.0,504739190.0,0.0,0.0
20/08/2026,4650.0,4350.0,300.0,0.06896552,4350.0,4650.0,4350.0,237463.0,1082480250.0,0.0,0.0,237463.0,1082480250.0,-75261.0,75261.0,0.0,0.0,-337259020.0,337259020.0,0.0,0.0
19/08/2026,4350.0,4500.0,-150.0,-0.03333333,4500.0,4500.0,4300.0,289364.0,1268974400.0,0.0,0.0,289364.0,1268974400.0,-32481.0,32481.0,0.0,0.0,-140766799.0,140766800.0,0.0,0.0
18/08/2026,4500.0,4600.0,-100.0,-0.02173913,4600.0,4600.0,4500.0,545229.0,2480019810.0,0.0,0.0,545229.0,2480019810.0,-25310.0,25310.0,0.0,0.0,-116176970.0,116176970.0,0.0,0.0
17/08/2026,4600.0,4650.0,-50.0,-0.01075269,4660.0,4680.0,4540.0,475329.0,2186817470.0,1.0,4970.0,475330.0,2186822440.0,-10677.0,10677.0,0.0,0.0,-47393200.0,47393200.0,0.0,0.0
14/08/2026,4650.0,4780.0,-130.0,-0.02719665,4800.0,4850.0,4650.0,724079.0,3402002520.0,0.0,0.0,724079.0,3402002520.0,-16322.0,16322.0,0.0,0.0,-74789270.0,74789270.0,0.0,0.0
13/08/2026,4780.0,4700.0,80.0,0.01702128,4690.0,4950.0,4690.0,907736.0,4405923280.0,0.0,0.0,907736.0,4405923280.0,-161963.0,161963.0,0.0,0.0,-784506500.0,784506500.0,0.0,0.0
12/08/2026,4700.0,4750.0,-50.0,-0.01052632,4700.0,4750.0,4630.0,666217.0,3115791700.0,0.0,0.0,666217.0,3115791700.0,4551.0,-4551.0,0.0,0.0,20025910.0,-20025910.0,0.0,0.0
11/08/2026,4750.0,4890.0,-140.0,-0.02862986,4900.0,4900.0,4750.0,824883.0,3947949840.0,0.0,0.0,824883.0,3947949840.0,39873.0,-39873.0,0.0,0.0,190549340.0,-190549340.0,0.0,0.0
10/08/2026,4890.0,4850.0,40.0,0.00824742,5150.0,5150.0,4650.0,1632841.0,8091911110.0,0.0,0.0,1632841.0,8091911110.0,130269.0,-130269.0,0.0,0.0,666446150.0,-666446150.0,0.0,0.0
07/08/2026,4850.0,4540.0,310.0,0.06828194,4680.0,4850.0,4640.0,1247894.0,6008195220.0,0.0,0.0,1247894.0,6008195220.0,-19970.0,19970.0,0.0,0.0,-94579549.0,94579550.0,0.0,0.0
06/08/2026,4540.0,4250.0,290.0,0.06823529,4270.0,4540.0,4250.0,1648287.0,7418476720.0,0.0,0.0,1648287.0,7418476720.0,-408269.0,408269.0,0.0,0.0,-1844580539.0,1844580540.0,0.0,0.0
05/08/2026,4250.0,4360.0,-110.0,-0.02522936,4440.0,4440.0,4200.0,931625.0,3971747450.0,0.0,0.0,931625.0,3971747450.0,58879.0,-58879.0,0.0,0.0,244399400.0,-244399400.0,0.0,0.0
04/08/2026,4360.0,4190.0,170.0,0.04057279,4310.0,4400.0,4200.0,690043.0,2967097230.0,0.0,0.0,690043.0,2967097230.0,57133.0,-57133.0,0.0,0.0,241708820.0,-241708820.0,0.0,0.0
03/08/2026,4190.0,4500.0,-310.0,-0.06888889,4190.0,4390.0,4190.0,3493414.0,14664825700.0,0.0,0.0,3493414.0,14664825700.0,980819.0,-980819.0,0.0,0.0,4106306049.0,-4106306050.0,0.0,0.0
31/07/2026,4500.0,4830.0,-330.0,-0.06832298,4840.0,4880.0,4500.0,487806.0,2233444650.0,0.0,0.0,487806.0,2233444650.0,-92577.0,92577.0,0.0,0.0,-414307820.0,414307820.0,0.0,0.0
30/07/2026,4830.0,4830.0,0.0,0.0,4800.0,4990.0,4780.0,1091421.0,5314953360.0,0.0,0.0,1091421.0,5314953360.0,531186.0,-531186.0,0.0,0.0,2578068160.0,-2578068160.0,0.0,0.0
29/07/2026,4830.0,4520.0,310.0,0.06858407,4210.0,4830.0,4210.0,6170372.0,27167297420.0,0.0,0.0,6170372.0,27167297420.0,-1507395.0,1507395.0,0.0,0.0,-5975562850.0,5975562850.0,0.0,0.0
28/07/2026,4520.0,4850.0,-330.0,-0.06804124,4520.0,4520.0,4520.0,112177.0,507093580.0,0.0,0.0,112177.0,507093580.0,-34466.0,34466.0,0.0,0.0,-155791790.0,155791790.0,0.0,0.0
27/07/2026,4850.0,5210.0,-360.0,-0.06909789,4850.0,4850.0,4850.0,69755.0,338339290.0,1006700.0,4882495000.0,1076455.0,5220834290.0,-19007.0,19007.0,0.0,0.0,-92190450.0,92190450.0,0.0,0.0
24/07/2026,5210.0,5600.0,-390.0,-0.06964286,5210.0,5210.0,5210.0,21272.0,110915950.0,0.0,0.0,21272.0,110915950.0,-9625.0,9625.0,0.0,0.0,-50153480.0,50153480.0,0.0,0.0
23/07/2026,5600.0,6020.0,-420.0,-0.06976744,5600.0,5600.0,5600.0,51473.0,288266210.0,0.0,0.0,51473.0,288266210.0,-41822.0,41822.0,0.0,0.0,-234217490.0,234217490.0,0.0,0.0
22/07/2026,6020.0,6470.0,-450.0,-0.06955178,6020.0,6020.0,6020.0,13185.0,79380910.0,0.0,0.0,13185.0,79380910.0,-4979.0,4979.0,0.0,0.0,-29980780.0,29980780.0,0.0,0.0
21/07/2026,6470.0,6950.0,-480.0,-0.06906475,6470.0,6470.0,6470.0,16241.0,105085810.0,0.0,0.0,16241.0,105085810.0,-5217.0,5217.0,0.0,0.0,-33758130.0,33758130.0,0.0,0.0
20/07/2026,6950.0,7470.0,-520.0,-0.06961178,6950.0,6950.0,6950.0,3499.0,24323250.0,0.0,0.0,3499.0,24323250.0,-2101.0,2101.0,0.0,0.0,-14601950.0,14601950.0,0.0,0.0
17/07/2026,7470.0,8030.0,-560.0,-0.06973848,7470.0,7470.0,7470.0,18311.0,136835250.0,0.0,0.0,18311.0,136835250.0,-3633.0,3633.0,0.0,0.0,-27144110.0,27144110.0,0.0,0.0
16/07/2026,8030.0,8630.0,-600.0,-0.06952491,8030.0,8030.0,8030.0,4094.0,32882490.0,0.0,0.0,4094.0,32882490.0,-1681.0,1681.0,0.0,0.0,-13499020.0,13499020.0,0.0,0.0
15/07/2026,8630.0,9270.0,-640.0,-0.06903991,8630.0,8630.0,8630.0,11125.0,96060480.0,0.0,0.0,11125.0,96060480.0,-650.0,650.0,0.0,0.0,-5619101.0,5619100.0,0.0,0.0
14/07/2026,9270.0,9960.0,-690.0,-0.06927711,9270.0,9270.0,9270.0,34859.0,323206790.0,0.0,0.0,34859.0,323206790.0,27368.0,-27368.0,0.0,0.0,253653180.0,-253653180.0,0.0,0.0
13/07/2026,9960.0,10700.0,-740.0,-0.06915888,10250.0,10500.0,9960.0,128429.0,1282586900.0,0.0,0.0,128429.0,1282586900.0,67290.0,-67290.0,0.0,0.0,667348500.0,-667348500.0,0.0,0.0
10/07/2026,10700.0,10850.0,-150.0,-0.01382488,10550.0,10850.0,10250.0,13640.0,141198600.0,0.0,0.0,13640.0,141198600.0,7140.0,-7140.0,0.0,0.0,72288600.0,-72288600.0,0.0,0.0
09/07/2026,10850.0,10950.0,-100.0,-0.00913242,10950.0,10950.0,10550.0,11543.0,122683050.0,1800000.0,19720800000.0,1811543.0,19843483050.0,7497.0,-7497.0,0.0,0.0,78688150.0,-78688150.0,0.0,0.0
08/07/2026,10950.0,10900.0,50.0,0.00458716,10500.0,11000.0,10500.0,2325.0,24525700.0,63900.0,734850000.0,66225.0,759375700.0,-415.0,415.0,0.0,0.0,-4459200.0,4459200.0,0.0,0.0
07/07/2026,10900.0,11100.0,-200.0,-0.01801802,10600.0,11000.0,10500.0,230014.0,2497359450.0,1800000.0,19800000000.0,2030014.0,22297359450.0,24205.0,-24205.0,0.0,0.0,254988600.0,-254988600.0,0.0,0.0
06/07/2026,11100.0,11000.0,100.0,0.00909091,10950.0,11100.0,10550.0,8833.0,95897450.0,0.0,0.0,8833.0,95897450.0,1011.0,-1011.0,0.0,0.0,10388801.0,-10388800.0,0.0,0.0
03/07/2026,11000.0,11400.0,-400.0,-0.03508772,11000.0,11000.0,10650.0,50725.0,547209900.0,0.0,0.0,50725.0,547209900.0,7619.0,-7619.0,0.0,0.0,80897850.0,-80897850.0,0.0,0.0
02/07/2026,11400.0,11200.0,200.0,0.01785714,11200.0,11750.0,10800.0,14446.0,162245400.0,0.0,0.0,14446.0,162245400.0,2202.0,-2202.0,0.0,0.0,24672600.0,-24672600.0,0.0,0.0
01/07/2026,11200.0,12000.0,-800.0,-0.06666667,11600.0,11750.0,11200.0,74350.0,838845000.0,0.0,0.0,74350.0,838845000.0,40700.0,-40700.0,0.0,0.0,460085000.0,-460085000.0,0.0,0.0
30/06/2026,12000.0,12250.0,-250.0,-0.02040816,11950.0,12000.0,11700.0,5919.0,70263200.0,0.0,0.0,5919.0,70263200.0,3000.0,-3000.0,0.0,0.0,35500001.0,-35500000.0,0.0,0.0
29/06/2026,12250.0,12300.0,-50.0,-0.00406504,12100.0,12450.0,11850.0,57510.0,693199100.0,0.0,0.0,57510.0,693199100.0,13800.0,-13800.0,0.0,0.0,165655000.0,-165655000.0,0.0,0.0
26/06/2026,12300.0,12400.0,-100.0,-0.00806452,12050.0,12350.0,12050.0,7000.0,84980000.0,0.0,0.0,7000.0,84980000.0,-2100.0,2100.0,0.0,0.0,-25750000.0,25750000.0,0.0,0.0
25/06/2026,12400.0,12500.0,-100.0,-0.008,12050.0,12400.0,12050.0,14702.0,182270000.0,0.0,0.0,14702.0,182270000.0,7000.0,-7000.0,0.0,0.0,86765000.0,-86765000.0,0.0,0.0
24/06/2026,12500.0,12350.0,150.0,0.01214575,12450.0,12500.0,11900.0,8180.0,101879550.0,0.0,0.0,8180.0,101879550.0,-4465.0,4465.0,-80.0,0.0,-55875950.0,55875950.0,-955000.0,0.0
23/06/2026,12350.0,12350.0,0.0,0.0,12000.0,12350.0,12000.0,1402.0,17194250.0,0.0,0.0,1402.0,17194250.0,-1000.0,1000.0,0.0,0.0,-12300000.0,12300000.0,0.0,0.0
22/06/2026,12350.0,12450.0,-100.0,-0.00803213,12100.0,12350.0,12100.0,401.0,4927450.0,0.0,0.0,401.0,4927450.0,400.0,-400.0,0.0,0.0,4915000.0,-4915000.0,0.0,0.0
19/06/2026,12450.0,12400.0,50.0,0.00403226,12400.0,12450.0,12350.0,13808.0,171179300.0,0.0,0.0,13808.0,171179300.0,-2500.0,2500.0,0.0,0.0,-31005000.0,31005000.0,0.0,0.0
18/06/2026,12400.0,12350.0,50.0,0.00404858,12400.0,12400.0,12100.0,1408.0,17304250.0,0.0,0.0,1408.0,17304250.0,699.0,-699.0,0.0,0.0,8667200.0,-8667200.0,0.0,0.0
17/06/2026,12350.0,12500.0,-150.0,-0.012,12100.0,12450.0,12100.0,6246.0,76764050.0,900000.0,10800000000.0,906246.0,10876764050.0,2131.0,-2131.0,0.0,0.0,25882550.0,-25882550.0,0.0,0.0
16/06/2026,12500.0,12500.0,0.0,0.0,12050.0,12500.0,12000.0,30500.0,371035000.0,0.0,0.0,30500.0,371035000.0,8200.0,-8200.0,0.0,0.0,98550000.0,-98550000.0,0.0,0.0
15/06/2026,12500.0,12600.0,-100.0,-0.00793651,12500.0,12500.0,12500.0,7008.0,87594000.0,40000.0,504000000.0,47008.0,591594000.0,-2000.0,2000.0,0.0,0.0,-25000000.0,25000000.0,0.0,0.0
12/06/2026,12600.0,12850.0,-250.0,-0.01945525,13000.0,13000.0,12150.0,29305.0,360459250.0,0.0,0.0,29305.0,360459250.0,-7500.0,7500.0,0.0,0.0,-93515000.0,93515000.0,0.0,0.0
11/06/2026,12850.0,12400.0,450.0,0.03629032,12400.0,13050.0,12200.0,3510.0,44444000.0,0.0,0.0,3510.0,44444000.0,-1800.0,1800.0,0.0,0.0,-22890000.0,22890000.0,0.0,0.0
10/06/2026,12400.0,12500.0,-100.0,-0.008,12100.0,12400.0,12050.0,4912.0,59765550.0,0.0,0.0,4912.0,59765550.0,-1400.0,1400.0,0.0,0.0,-17325000.0,17325000.0,0.0,0.0
09/06/2026,12500.0,12500.0,0.0,0.0,12100.0,12500.0,12100.0,1607.0,19835300.0,0.0,0.0,1607.0,19835300.0,-1505.0,1505.0,0.0,0.0,-18600500.0,18600500.0,0.0,0.0
08/06/2026,12500.0,12650.0,-150.0,-0.01185771,12550.0,12550.0,12050.0,6911.0,85263150.0,0.0,0.0,6911.0,85263150.0,-3000.0,3000.0,0.0,0.0,-36965000.0,36965000.0,0.0,0.0
05/06/2026,12650.0,12650.0,0.0,0.0,12650.0,12650.0,12650.0,13.0,156450.0,0.0,0.0,13.0,156450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/06/2026,12650.0,12350.0,300.0,0.0242915,12300.0,12650.0,12300.0,2203.0,27535500.0,0.0,0.0,2203.0,27535500.0,-100.0,100.0,0.0,0.0,-1215000.0,1215000.0,0.0,0.0
03/06/2026,12350.0,12350.0,0.0,0.0,12050.0,12350.0,11650.0,1510.0,18448000.0,0.0,0.0,1510.0,18448000.0,1310.0,-1310.0,0.0,0.0,16103000.0,-16103000.0,0.0,0.0
02/06/2026,12350.0,12400.0,-50.0,-0.00403226,12350.0,12350.0,12050.0,702.0,8639400.0,0.0,0.0,702.0,8639400.0,199.0,-199.0,0.0,0.0,2428000.0,-2428000.0,0.0,0.0
01/06/2026,12400.0,12450.0,-50.0,-0.00401606,12400.0,12400.0,12050.0,38211.0,471125300.0,0.0,0.0,38211.0,471125300.0,22700.0,-22700.0,0.0,0.0,279505001.0,-279505000.0,0.0,0.0
29/05/2026,12450.0,12500.0,-50.0,-0.004,12500.0,12650.0,12200.0,73700.0,915835000.0,0.0,0.0,73700.0,915835000.0,13700.0,-13700.0,0.0,0.0,168335000.0,-168335000.0,0.0,0.0
28/05/2026,12500.0,12550.0,-50.0,-0.00398406,12000.0,12500.0,12000.0,504.0,6233600.0,0.0,0.0,504.0,6233600.0,-97.0,97.0,0.0,0.0,-1254000.0,1254000.0,0.0,0.0
27/05/2026,12550.0,12550.0,0.0,0.0,12100.0,12650.0,11850.0,16902.0,204339950.0,645000.0,7998000000.0,661902.0,8202339950.0,3502.0,-3502.0,0.0,0.0,42074950.0,-42074950.0,0.0,0.0
26/05/2026,12550.0,12550.0,0.0,0.0,12450.0,12600.0,12100.0,1602.0,19954800.0,640000.0,8000000000.0,641602.0,8019954800.0,200.0,-200.0,0.0,0.0,2510000.0,-2510000.0,0.0,0.0
25/05/2026,12550.0,12600.0,-50.0,-0.00396825,12150.0,12550.0,12050.0,3405.0,41377200.0,0.0,0.0,3405.0,41377200.0,401.0,-401.0,0.0,0.0,4911800.0,-4911800.0,0.0,0.0
22/05/2026,12600.0,12800.0,-200.0,-0.015625,12750.0,12750.0,12200.0,26900.0,329375000.0,2000000.0,23900000000.0,2026900.0,24229375000.0,8700.0,-8700.0,0.0,0.0,106005000.0,-106005000.0,0.0,0.0
21/05/2026,12800.0,12700.0,100.0,0.00787402,12650.0,12800.0,12650.0,2626.0,33283400.0,0.0,0.0,2626.0,33283400.0,1624.0,-1624.0,0.0,0.0,20559200.0,-20559200.0,0.0,0.0
20/05/2026,12700.0,12850.0,-150.0,-0.01167315,12850.0,12950.0,12000.0,19281.0,237987300.0,0.0,0.0,19281.0,237987300.0,-6676.0,6676.0,0.0,0.0,-80685800.0,80685800.0,0.0,0.0
19/05/2026,12850.0,12750.0,100.0,0.00784314,12700.0,13000.0,12250.0,2438.0,31066150.0,0.0,0.0,2438.0,31066150.0,1301.0,-1301.0,0.0,0.0,16582700.0,-16582700.0,0.0,0.0
