NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,12300.0,12200.0,100.0,0.00819672,11950.0,12300.0,11950.0,9130.0,110548000.0,0.0,0.0,9130.0,110548000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,12200.0,12200.0,0.0,0.0,12200.0,12200.0,12200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,12200.0,12200.0,0.0,0.0,12200.0,12200.0,12200.0,0.0,0.0,10.0,122000.0,10.0,122000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,12200.0,12200.0,0.0,0.0,12200.0,12200.0,12200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,12200.0,12300.0,-100.0,-0.00813008,12500.0,12500.0,11450.0,2467.0,29638450.0,0.0,0.0,2467.0,29638450.0,-1931.0,1931.0,0.0,0.0,-23313250.0,23313250.0,0.0,0.0
24/08/2026,12300.0,12000.0,300.0,0.025,12300.0,12300.0,12300.0,148.0,1806000.0,0.0,0.0,148.0,1806000.0,-148.0,100.0,0.0,48.0,-1806000.0,1230000.0,0.0,576000.0
21/08/2026,12000.0,11650.0,350.0,0.03004292,11600.0,12000.0,10850.0,16801.0,195411600.0,0.0,0.0,16801.0,195411600.0,-3200.0,1500.0,0.0,1700.0,-38405000.0,18685000.0,0.0,19720000.0
20/08/2026,11650.0,11650.0,0.0,0.0,11650.0,11650.0,11650.0,18.0,210700.0,0.0,0.0,18.0,210700.0,-10.0,6.0,0.0,4.0,-116500.0,69100.0,0.0,47400.0
19/08/2026,11650.0,12500.0,-850.0,-0.068,11800.0,11800.0,11650.0,8376.0,97821800.0,0.0,0.0,8376.0,97821800.0,-1610.0,1110.0,0.0,500.0,-18783000.0,12933000.0,0.0,5850000.0
18/08/2026,12500.0,12500.0,0.0,0.0,12500.0,12500.0,12500.0,10.0,120250.0,0.0,0.0,10.0,120250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,12500.0,12500.0,0.0,0.0,12500.0,12500.0,12500.0,10.0,117400.0,0.0,0.0,10.0,117400.0,8.0,-8.0,0.0,0.0,93600.0,-93600.0,0.0,0.0
14/08/2026,12500.0,12500.0,0.0,0.0,12500.0,12500.0,12500.0,11704.0,146297200.0,0.0,0.0,11704.0,146297200.0,-11700.0,0.0,0.0,11700.0,-146250000.0,0.0,0.0,146250000.0
13/08/2026,12500.0,12150.0,350.0,0.02880658,12100.0,12500.0,12100.0,4887.0,59174150.0,0.0,0.0,4887.0,59174150.0,-4279.0,4279.0,0.0,0.0,-51821700.0,51821700.0,0.0,0.0
12/08/2026,12150.0,12150.0,0.0,0.0,12150.0,12150.0,12150.0,25.0,303600.0,0.0,0.0,25.0,303600.0,-24.0,24.0,0.0,0.0,-291500.0,291500.0,0.0,0.0
11/08/2026,12150.0,12000.0,150.0,0.0125,12350.0,12350.0,11800.0,6024.0,71378800.0,310000.0,3472000000.0,316024.0,3543378800.0,-810.0,-590.0,0.0,1400.0,-9682000.0,-6908000.0,0.0,16590000.0
10/08/2026,12000.0,12300.0,-300.0,-0.02439024,11900.0,12000.0,11900.0,1421.0,16995600.0,0.0,0.0,1421.0,16995600.0,210.0,-210.0,0.0,0.0,2510001.0,-2510000.0,0.0,0.0
07/08/2026,12300.0,12400.0,-100.0,-0.00806452,12300.0,12300.0,12300.0,1500.0,18450000.0,170000.0,1963500000.0,171500.0,1981950000.0,-900.0,900.0,0.0,0.0,-11070000.0,11070000.0,0.0,0.0
06/08/2026,12400.0,12400.0,0.0,0.0,12400.0,12400.0,12400.0,0.0,0.0,270000.0,3118500000.0,270000.0,3118500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/08/2026,12400.0,12500.0,-100.0,-0.008,11800.0,12400.0,11650.0,18316.0,214979500.0,0.0,0.0,18316.0,214979500.0,-3110.0,2610.0,0.0,500.0,-37069500.0,31244500.0,0.0,5825000.0
04/08/2026,12500.0,12350.0,150.0,0.01214575,11900.0,12600.0,11550.0,12186.0,145013100.0,250000.0,2875000000.0,262186.0,3020013100.0,-5494.0,5494.0,0.0,0.0,-67085600.0,67085600.0,0.0,0.0
03/08/2026,12350.0,11900.0,450.0,0.03781513,11900.0,12400.0,11900.0,1003.0,12070700.0,0.0,0.0,1003.0,12070700.0,-400.0,400.0,0.0,0.0,-4875000.0,4875000.0,0.0,0.0
31/07/2026,11900.0,12200.0,-300.0,-0.02459016,11900.0,11900.0,11900.0,105.0,1251000.0,0.0,0.0,105.0,1251000.0,100.0,-100.0,0.0,0.0,1190000.0,-1190000.0,0.0,0.0
30/07/2026,12200.0,12850.0,-650.0,-0.05058366,12100.0,12500.0,12100.0,6944.0,84896400.0,0.0,0.0,6944.0,84896400.0,-4810.0,4710.0,0.0,100.0,-58777500.0,57557500.0,0.0,1220000.0
29/07/2026,12850.0,12850.0,0.0,0.0,12100.0,12850.0,12100.0,1403.0,17868550.0,0.0,0.0,1403.0,17868550.0,-1200.0,1200.0,0.0,0.0,-15410001.0,15410000.0,0.0,0.0
28/07/2026,12850.0,12900.0,-50.0,-0.00387597,12000.0,12850.0,12000.0,711.0,8626300.0,0.0,0.0,711.0,8626300.0,90.0,-90.0,0.0,0.0,1071550.0,-1071550.0,0.0,0.0
27/07/2026,12900.0,12900.0,0.0,0.0,12800.0,12900.0,12400.0,3620.0,45925000.0,0.0,0.0,3620.0,45925000.0,-1380.0,1380.0,0.0,0.0,-17505000.0,17505000.0,0.0,0.0
24/07/2026,12900.0,12900.0,0.0,0.0,12900.0,12900.0,12900.0,1.0,13200.0,0.0,0.0,1.0,13200.0,-1.0,1.0,0.0,0.0,-13200.0,13200.0,0.0,0.0
23/07/2026,12900.0,12900.0,0.0,0.0,12900.0,12900.0,12900.0,22.0,265900.0,0.0,0.0,22.0,265900.0,21.0,-21.0,0.0,0.0,253051.0,-253050.0,0.0,0.0
22/07/2026,12900.0,12900.0,0.0,0.0,12900.0,12900.0,12900.0,8.0,109150.0,0.0,0.0,8.0,109150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/07/2026,12900.0,12600.0,300.0,0.02380952,13150.0,13150.0,12900.0,283.0,3645550.0,0.0,0.0,283.0,3645550.0,-221.0,221.0,0.0,0.0,-2876950.0,2876950.0,0.0,0.0
20/07/2026,12600.0,12600.0,0.0,0.0,12600.0,12600.0,12600.0,10.0,125350.0,0.0,0.0,10.0,125350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/07/2026,12600.0,12600.0,0.0,0.0,12600.0,12600.0,12600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16/07/2026,12600.0,12850.0,-250.0,-0.01945525,12050.0,12600.0,12050.0,2415.0,30320400.0,0.0,0.0,2415.0,30320400.0,-1297.0,1297.0,0.0,0.0,-16451600.0,16451600.0,0.0,0.0
15/07/2026,12850.0,12750.0,100.0,0.00784314,12200.0,13050.0,12200.0,6487.0,79979900.0,0.0,0.0,6487.0,79979900.0,-5215.0,5215.0,0.0,0.0,-63967501.0,63967500.0,0.0,0.0
14/07/2026,12750.0,11950.0,800.0,0.06694561,11950.0,12750.0,11950.0,4163.0,51588650.0,0.0,0.0,4163.0,51588650.0,-2146.0,2146.0,0.0,0.0,-27390500.0,27390500.0,0.0,0.0
