NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,8390.0,8010.0,380.0,0.0474407,8000.0,8390.0,7450.0,1401.0,11202900.0,0.0,0.0,1401.0,11202900.0,-100.0,0.0,0.0,100.0,-800000.0,0.0,0.0,800000.0
03/09/2026,8010.0,8010.0,0.0,0.0,8010.0,8010.0,8010.0,465.0,3725500.0,0.0,0.0,465.0,3725500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,8010.0,8400.0,-390.0,-0.04642857,8000.0,8010.0,8000.0,423.0,3394800.0,0.0,0.0,423.0,3394800.0,-1.0,1.0,0.0,0.0,-9800.0,9800.0,0.0,0.0
27/08/2026,8400.0,8450.0,-50.0,-0.00591716,8000.0,8400.0,8000.0,412.0,3341000.0,0.0,0.0,412.0,3341000.0,-108.0,111.0,0.0,-3.0,-907600.0,932800.0,0.0,-25200.0
26/08/2026,8450.0,7910.0,540.0,0.06826802,8460.0,8460.0,8450.0,402.0,3399920.0,0.0,0.0,402.0,3399920.0,298.0,-298.0,0.0,0.0,2521080.0,-2521080.0,0.0,0.0
25/08/2026,7910.0,8500.0,-590.0,-0.06941176,8100.0,8100.0,7910.0,4346.0,34450000.0,0.0,0.0,4346.0,34450000.0,3015.0,1310.0,0.0,-4325.0,23895500.0,10376000.0,0.0,-34271500.0
24/08/2026,8500.0,8100.0,400.0,0.04938272,8100.0,8500.0,8100.0,951.0,7756280.0,0.0,0.0,951.0,7756280.0,-296.0,296.0,0.0,0.0,-2396801.0,2396800.0,0.0,0.0
21/08/2026,8100.0,8010.0,90.0,0.01123596,8100.0,8100.0,8100.0,264.0,2138500.0,0.0,0.0,264.0,2138500.0,-2.0,2.0,0.0,0.0,-16300.0,16300.0,0.0,0.0
20/08/2026,8010.0,8010.0,0.0,0.0,8010.0,8010.0,8010.0,1201.0,9620200.0,0.0,0.0,1201.0,9620200.0,500.0,-1200.0,0.0,700.0,4005000.0,-9612000.0,0.0,5607000.0
19/08/2026,8010.0,7990.0,20.0,0.00250313,8010.0,8010.0,8010.0,101.0,808990.0,0.0,0.0,101.0,808990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,7990.0,7990.0,0.0,0.0,7990.0,7990.0,7990.0,1000.0,7990000.0,0.0,0.0,1000.0,7990000.0,-600.0,0.0,0.0,600.0,-4794000.0,0.0,0.0,4794000.0
