NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,8180.0,8120.0,60.0,0.00738916,8120.0,8180.0,8060.0,36518.0,295633300.0,0.0,0.0,36518.0,295633300.0,7789.0,-7789.0,0.0,0.0,63043520.0,-63043520.0,0.0,0.0
27/08/2026,8120.0,8240.0,-120.0,-0.01456311,8290.0,8290.0,8120.0,21652.0,176193120.0,0.0,0.0,21652.0,176193120.0,-7510.0,7910.0,0.0,-400.0,-61130821.0,64410820.0,0.0,-3280000.0
26/08/2026,8240.0,8200.0,40.0,0.00487805,8270.0,8270.0,8130.0,21020.0,171724460.0,0.0,0.0,21020.0,171724460.0,-5249.0,7149.0,0.0,-1900.0,-42647381.0,58217380.0,0.0,-15570000.0
25/08/2026,8200.0,8290.0,-90.0,-0.01085645,8220.0,8320.0,8200.0,79955.0,659627490.0,500000.0,4175000000.0,579955.0,4834627490.0,-25493.0,25493.0,0.0,0.0,-209881110.0,209881110.0,0.0,0.0
24/08/2026,8290.0,8230.0,60.0,0.0072904,8230.0,8460.0,8200.0,273933.0,2283935540.0,0.0,0.0,273933.0,2283935540.0,-215119.0,214619.0,0.0,500.0,-1792111000.0,1787916000.0,0.0,4195000.0
21/08/2026,8230.0,8150.0,80.0,0.00981595,8070.0,8250.0,8070.0,177839.0,1462149580.0,0.0,0.0,177839.0,1462149580.0,-133809.0,133809.0,0.0,0.0,-1100112870.0,1100112870.0,0.0,0.0
20/08/2026,8150.0,8050.0,100.0,0.01242236,8100.0,8180.0,8050.0,255562.0,2067956950.0,0.0,0.0,255562.0,2067956950.0,-142763.0,139563.0,0.0,3200.0,-1156375361.0,1130495360.0,0.0,25880000.0
19/08/2026,8050.0,8060.0,-10.0,-0.00124069,8030.0,8060.0,8000.0,44301.0,356337060.0,0.0,0.0,44301.0,356337060.0,-4400.0,10600.0,0.0,-6200.0,-35341000.0,85042000.0,0.0,-49701000.0
18/08/2026,8060.0,8110.0,-50.0,-0.00616523,8150.0,8180.0,8060.0,133896.0,1086352600.0,0.0,0.0,133896.0,1086352600.0,-41050.0,42350.0,0.0,-1300.0,-333221000.0,343751000.0,0.0,-10530000.0
17/08/2026,8110.0,8060.0,50.0,0.00620347,8120.0,8150.0,8020.0,223771.0,1803746760.0,0.0,0.0,223771.0,1803746760.0,-183339.0,183339.0,0.0,0.0,-1477072320.0,1477072320.0,0.0,0.0
14/08/2026,8060.0,8130.0,-70.0,-0.00861009,8010.0,8090.0,7980.0,90725.0,726869290.0,0.0,0.0,90725.0,726869290.0,-59400.0,60000.0,0.0,-600.0,-475920000.0,480714000.0,0.0,-4794000.0
13/08/2026,8130.0,8180.0,-50.0,-0.00611247,8180.0,8180.0,8000.0,63386.0,508883430.0,0.0,0.0,63386.0,508883430.0,-20700.0,20700.0,0.0,0.0,-165768000.0,165768000.0,0.0,0.0
12/08/2026,8180.0,8170.0,10.0,0.00122399,8190.0,8190.0,8070.0,59627.0,484843110.0,0.0,0.0,59627.0,484843110.0,20800.0,-20800.0,0.0,0.0,168819000.0,-168819000.0,0.0,0.0
11/08/2026,8170.0,8090.0,80.0,0.00988875,8110.0,8250.0,8050.0,114001.0,925408100.0,0.0,0.0,114001.0,925408100.0,-53000.0,53000.0,0.0,0.0,-430932001.0,430932000.0,0.0,0.0
10/08/2026,8090.0,8110.0,-20.0,-0.00246609,8120.0,8170.0,8000.0,107819.0,869211380.0,0.0,0.0,107819.0,869211380.0,-42193.0,42393.0,0.0,-200.0,-339874950.0,341508950.0,0.0,-1634000.0
