NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,13200.0,13450.0,-250.0,-0.01858736,13300.0,13400.0,13100.0,229906.0,3049912300.0,0.0,0.0,229906.0,3049912300.0,400.0,0.0,0.0,-400.0,5335000.0,0.0,0.0,-5335000.0
28/08/2026,13450.0,13150.0,300.0,0.02281369,13200.0,13450.0,13100.0,462363.0,6148923650.0,0.0,0.0,462363.0,6148923650.0,31089.0,-33189.0,0.0,2100.0,414535250.0,-442255250.0,0.0,27720000.0
27/08/2026,13150.0,13200.0,-50.0,-0.00378788,13300.0,13300.0,13100.0,134649.0,1774405600.0,0.0,0.0,134649.0,1774405600.0,-21682.0,20982.0,0.0,700.0,-284568200.0,275448199.0,0.0,9120000.0
26/08/2026,13200.0,13200.0,0.0,0.0,13200.0,13250.0,13100.0,279026.0,3676497150.0,0.0,0.0,279026.0,3676497150.0,12773.0,-12767.0,0.0,-6.0,165419150.0,-165350250.0,0.0,-68900.0
25/08/2026,13200.0,13300.0,-100.0,-0.0075188,13300.0,13350.0,13150.0,341682.0,4523191700.0,0.0,0.0,341682.0,4523191700.0,-26956.0,26656.0,0.0,300.0,-357582400.0,353627400.0,0.0,3955000.0
24/08/2026,13300.0,13300.0,0.0,0.0,13500.0,13500.0,13300.0,245219.0,3282445900.0,0.0,0.0,245219.0,3282445900.0,16262.0,-15262.0,0.0,-1000.0,217795100.0,-204340100.0,0.0,-13455000.0
21/08/2026,13300.0,12750.0,550.0,0.04313725,12900.0,13350.0,12800.0,537444.0,7085199600.0,0.0,0.0,537444.0,7085199600.0,1868.0,4732.0,0.0,-6600.0,18858250.0,67096750.0,0.0,-85955000.0
20/08/2026,12750.0,12700.0,50.0,0.00393701,12750.0,12850.0,12650.0,179493.0,2286675850.0,0.0,0.0,179493.0,2286675850.0,33001.0,-15901.0,0.0,-17100.0,419931350.0,-201841350.0,0.0,-218090000.0
19/08/2026,12700.0,12850.0,-150.0,-0.01167315,12900.0,12950.0,12650.0,175072.0,2231563150.0,0.0,0.0,175072.0,2231563150.0,5576.0,-4076.0,0.0,-1500.0,71005149.0,-51840150.0,0.0,-19165000.0
18/08/2026,12850.0,12900.0,-50.0,-0.00387597,12900.0,13050.0,12800.0,209946.0,2703015650.0,0.0,0.0,209946.0,2703015650.0,-9140.0,8140.0,0.0,1000.0,-117770050.0,104915050.0,0.0,12855000.0
17/08/2026,12900.0,12850.0,50.0,0.00389105,12900.0,13100.0,12900.0,188385.0,2438745750.0,0.0,0.0,188385.0,2438745750.0,62543.0,-66543.0,0.0,4000.0,808965050.0,-860370050.0,0.0,51405000.0
14/08/2026,12850.0,13050.0,-200.0,-0.01532567,13050.0,13150.0,12800.0,358905.0,4661057900.0,0.0,0.0,358905.0,4661057900.0,-59695.0,54795.0,-200.0,4900.0,-774105600.0,711180600.0,-2570000.0,62925000.0
13/08/2026,13050.0,13250.0,-200.0,-0.01509434,13450.0,13450.0,13050.0,259386.0,3430129850.0,0.0,0.0,259386.0,3430129850.0,-22927.0,41027.0,0.0,-18100.0,-304708000.0,543913000.0,0.0,-239205000.0
12/08/2026,13250.0,13350.0,-100.0,-0.00749064,13350.0,13450.0,13250.0,196932.0,2620882300.0,0.0,0.0,196932.0,2620882300.0,47834.0,-46234.0,0.0,-1600.0,637762100.0,-616372100.0,0.0,-21390000.0
11/08/2026,13350.0,13400.0,-50.0,-0.00373134,13400.0,13650.0,13300.0,562878.0,7594917850.0,0.0,0.0,562878.0,7594917850.0,22358.0,-26858.0,0.0,4500.0,302847099.0,-364352100.0,0.0,61505000.0
10/08/2026,13400.0,13050.0,350.0,0.02681992,13050.0,13400.0,13050.0,237104.0,3144806200.0,0.0,0.0,237104.0,3144806200.0,-17444.0,-7156.0,0.0,24600.0,-230408700.0,-96751300.0,0.0,327160000.0
07/08/2026,13050.0,13050.0,0.0,0.0,12900.0,13250.0,12900.0,186193.0,2441342250.0,0.0,0.0,186193.0,2441342250.0,-45865.0,41565.0,0.0,4300.0,-601926000.0,545641000.0,0.0,56285000.0
06/08/2026,13050.0,13200.0,-150.0,-0.01136364,13200.0,13300.0,13050.0,207456.0,2726739350.0,0.0,0.0,207456.0,2726739350.0,-8809.0,15791.0,0.0,-6982.0,-115921750.0,207393250.0,0.0,-91471500.0
05/08/2026,13200.0,13300.0,-100.0,-0.0075188,13400.0,13550.0,13200.0,310765.0,4144333200.0,0.0,0.0,310765.0,4144333200.0,4439.0,-4639.0,0.0,200.0,56391750.0,-57046750.0,0.0,655000.0
04/08/2026,13300.0,13200.0,100.0,0.00757576,13350.0,13350.0,13150.0,149094.0,1970948700.0,0.0,0.0,149094.0,1970948700.0,-4681.0,10481.0,0.0,-5800.0,-61921601.0,138586600.0,0.0,-76665000.0
03/08/2026,13200.0,12900.0,300.0,0.02325581,12950.0,13350.0,12950.0,298174.0,3942920350.0,0.0,0.0,298174.0,3942920350.0,-33585.0,25385.0,0.0,8200.0,-441090500.0,332535500.0,0.0,108555000.0
31/07/2026,12900.0,13250.0,-350.0,-0.02641509,13300.0,13300.0,12900.0,353880.0,4620479150.0,0.0,0.0,353880.0,4620479150.0,78965.0,-26265.0,0.0,-52700.0,1032947450.0,-339667450.0,0.0,-693280000.0
30/07/2026,13250.0,12700.0,550.0,0.04330709,12700.0,13400.0,12600.0,409474.0,5339906000.0,0.0,0.0,409474.0,5339906000.0,-35309.0,13109.0,0.0,22200.0,-462494900.0,181654900.0,0.0,280840000.0
29/07/2026,12700.0,12750.0,-50.0,-0.00392157,12900.0,12900.0,12650.0,216832.0,2761681600.0,0.0,0.0,216832.0,2761681600.0,30693.0,-29893.0,0.0,-800.0,390699150.0,-380509150.0,0.0,-10190000.0
28/07/2026,12750.0,12250.0,500.0,0.04081633,12100.0,12900.0,12100.0,473818.0,5924298050.0,0.0,0.0,473818.0,5924298050.0,-29472.0,-10428.0,0.0,39900.0,-352469200.0,-143310800.0,0.0,495780000.0
27/07/2026,12250.0,13150.0,-900.0,-0.06844106,13250.0,13300.0,12250.0,897538.0,11482297650.0,0.0,0.0,897538.0,11482297650.0,115031.0,-38631.0,0.0,-76400.0,1439071500.0,-438141500.0,0.0,-1000930000.0
24/07/2026,13150.0,13850.0,-700.0,-0.05054152,13800.0,13800.0,13150.0,382102.0,5140697350.0,0.0,0.0,382102.0,5140697350.0,-10151.0,9751.0,0.0,400.0,-134925350.0,129525350.0,0.0,5400000.0
23/07/2026,13850.0,13600.0,250.0,0.01838235,13600.0,14150.0,13200.0,402008.0,5482951800.0,0.0,0.0,402008.0,5482951800.0,-74463.0,68463.0,-1300.0,6000.0,-1011353401.0,933573400.0,-17680000.0,77780000.0
22/07/2026,13600.0,13550.0,50.0,0.00369004,13600.0,13800.0,13500.0,552362.0,7541206050.0,0.0,0.0,552362.0,7541206050.0,-141714.0,82279.0,0.0,59435.0,-1936552451.0,1122111200.0,0.0,814441250.0
21/07/2026,13550.0,13550.0,0.0,0.0,13550.0,13750.0,13550.0,322753.0,4406282450.0,0.0,0.0,322753.0,4406282450.0,-16874.0,29774.0,0.0,-12900.0,-228326350.0,405221350.0,0.0,-176895000.0
20/07/2026,13550.0,14100.0,-550.0,-0.03900709,13900.0,14300.0,13450.0,629532.0,8702190100.0,0.0,0.0,629532.0,8702190100.0,4200.0,14000.0,0.0,-18200.0,51224550.0,205485450.0,0.0,-256710000.0
17/07/2026,14100.0,14350.0,-250.0,-0.0174216,14300.0,14450.0,14100.0,248659.0,3531415700.0,0.0,0.0,248659.0,3531415700.0,22213.0,31187.0,0.0,-53400.0,313481150.0,446963850.0,0.0,-760445000.0
16/07/2026,14350.0,14250.0,100.0,0.00701754,14300.0,14400.0,13500.0,845235.0,11792084700.0,0.0,0.0,845235.0,11792084700.0,40166.0,-17726.0,0.0,-22440.0,567886449.0,-233706450.0,0.0,-334180000.0
15/07/2026,14250.0,14650.0,-400.0,-0.02730375,14650.0,14700.0,14000.0,542960.0,7820231600.0,0.0,0.0,542960.0,7820231600.0,-44751.0,64351.0,0.0,-19600.0,-630179951.0,915079950.0,0.0,-284900000.0
14/07/2026,14650.0,14500.0,150.0,0.01034483,14400.0,14750.0,14350.0,514174.0,7485352050.0,0.0,0.0,514174.0,7485352050.0,-35249.0,-1951.0,0.0,37200.0,-503352299.0,-37027700.0,0.0,540380000.0
13/07/2026,14500.0,15350.0,-850.0,-0.05537459,15100.0,15350.0,14300.0,1488640.0,21932756100.0,0.0,0.0,1488640.0,21932756100.0,37575.0,-16575.0,0.0,-21000.0,580001350.0,-267586350.0,0.0,-312415000.0
10/07/2026,15350.0,15950.0,-600.0,-0.03761755,16000.0,16000.0,15350.0,1007370.0,15732060100.0,0.0,0.0,1007370.0,15732060100.0,-27651.0,2751.0,0.0,24900.0,-407669651.0,18639650.0,0.0,389030000.0
09/07/2026,15950.0,15800.0,150.0,0.00949367,15700.0,15950.0,15400.0,906516.0,14299465200.0,0.0,0.0,906516.0,14299465200.0,105559.0,-130259.0,0.0,24700.0,1659445650.0,-2048350650.0,0.0,388905000.0
08/07/2026,15800.0,16000.0,-200.0,-0.0125,16000.0,16300.0,15550.0,1578731.0,25163476350.0,0.0,0.0,1578731.0,25163476350.0,191085.0,-138285.0,0.0,-52800.0,3083098100.0,-2245673100.0,0.0,-837425000.0
07/07/2026,16000.0,15200.0,800.0,0.05263158,15200.0,16000.0,15200.0,1150675.0,18034939250.0,0.0,0.0,1150675.0,18034939250.0,-5682.0,-30518.0,0.0,36200.0,-67810950.0,-494224050.0,0.0,562035000.0
06/07/2026,15200.0,16000.0,-800.0,-0.05,16000.0,16000.0,15000.0,1192135.0,18446787750.0,0.0,0.0,1192135.0,18446787750.0,-198707.0,225107.0,0.0,-26400.0,-3082069850.0,3503039850.0,0.0,-420970000.0
03/07/2026,16000.0,15400.0,600.0,0.03896104,15650.0,16300.0,15450.0,3219876.0,51090758800.0,0.0,0.0,3219876.0,51090758800.0,-32553.0,36553.0,0.0,-4000.0,-487081801.0,552196800.0,0.0,-65115000.0
02/07/2026,15400.0,14950.0,450.0,0.03010033,14900.0,15400.0,14800.0,1368771.0,20722129150.0,0.0,0.0,1368771.0,20722129150.0,242875.0,-249875.0,0.0,7000.0,3665747601.0,-3776182600.0,0.0,110435000.0
01/07/2026,14950.0,14700.0,250.0,0.0170068,14800.0,14950.0,14650.0,445749.0,6618105550.0,0.0,0.0,445749.0,6618105550.0,8424.0,-45824.0,0.0,37400.0,123760000.0,-679295000.0,0.0,555535000.0
30/06/2026,14700.0,14400.0,300.0,0.02083333,14400.0,14800.0,14400.0,616018.0,9057698700.0,0.0,0.0,616018.0,9057698700.0,-82051.0,44751.0,0.0,37300.0,-1201877700.0,655307700.0,0.0,546570000.0
29/06/2026,14400.0,14350.0,50.0,0.00348432,14350.0,14450.0,14200.0,190510.0,2738991700.0,0.0,0.0,190510.0,2738991700.0,-15568.0,6968.0,0.0,8600.0,-223707800.0,100412800.0,0.0,123295000.0
26/06/2026,14350.0,14450.0,-100.0,-0.00692042,14400.0,14600.0,14300.0,272095.0,3920454800.0,0.0,0.0,272095.0,3920454800.0,-15677.0,21977.0,0.0,-6300.0,-227143201.0,318173200.0,0.0,-91030000.0
25/06/2026,14450.0,14600.0,-150.0,-0.01027397,14750.0,14750.0,14450.0,359925.0,5246921200.0,0.0,0.0,359925.0,5246921200.0,9903.0,-10703.0,0.0,800.0,144003800.0,-156223800.0,0.0,12220000.0
24/06/2026,14600.0,14600.0,0.0,0.0,14600.0,14850.0,14350.0,364293.0,5280745900.0,0.0,0.0,364293.0,5280745900.0,-37899.0,46699.0,-83.0,-8800.0,-544673350.0,671948350.0,-1199000.0,-127275000.0
23/06/2026,14600.0,14800.0,-200.0,-0.01351351,14850.0,15150.0,14550.0,658453.0,9810812500.0,0.0,0.0,658453.0,9810812500.0,36856.0,-38456.0,0.0,1600.0,551545100.0,-575535100.0,0.0,23990000.0
22/06/2026,14800.0,15050.0,-250.0,-0.0166113,15050.0,15200.0,14800.0,322486.0,4803566200.0,0.0,0.0,322486.0,4803566200.0,-52255.0,51355.0,0.0,900.0,-774563350.0,761173350.0,0.0,13390000.0
19/06/2026,15050.0,14750.0,300.0,0.02033898,14800.0,15500.0,14700.0,1174230.0,17762193250.0,0.0,0.0,1174230.0,17762193250.0,115009.0,-117409.0,0.0,2400.0,1740214150.0,-1787744150.0,0.0,47530000.0
18/06/2026,14750.0,15000.0,-250.0,-0.01666667,15000.0,15100.0,14700.0,347898.0,5173931950.0,0.0,0.0,347898.0,5173931950.0,-17888.0,15788.0,0.0,2100.0,-266946850.0,235346850.0,0.0,31600000.0
17/06/2026,15000.0,14950.0,50.0,0.00334448,14900.0,15250.0,14800.0,509776.0,7635923000.0,0.0,0.0,509776.0,7635923000.0,36593.0,-32593.0,0.0,-4000.0,559320200.0,-498420200.0,0.0,-60900000.0
16/06/2026,14950.0,14400.0,550.0,0.03819444,14400.0,15200.0,14250.0,920076.0,13672971400.0,0.0,0.0,920076.0,13672971400.0,106922.0,-133522.0,0.0,26600.0,1591346650.0,-1983431650.0,0.0,392085000.0
15/06/2026,14400.0,13950.0,450.0,0.03225806,14200.0,14450.0,14100.0,353380.0,5057708050.0,0.0,0.0,353380.0,5057708050.0,8854.0,1346.0,0.0,-10200.0,121702750.0,22342250.0,0.0,-144045000.0
12/06/2026,13950.0,13950.0,0.0,0.0,14050.0,14100.0,13950.0,186076.0,2605022500.0,0.0,0.0,186076.0,2605022500.0,2636.0,27864.0,0.0,-30500.0,38632800.0,388542200.0,0.0,-427175000.0
11/06/2026,13950.0,14100.0,-150.0,-0.0106383,14000.0,14050.0,13900.0,133142.0,1860618250.0,0.0,0.0,133142.0,1860618250.0,-22893.0,48593.0,0.0,-25700.0,-319980200.0,679485200.0,0.0,-359505000.0
10/06/2026,14100.0,13950.0,150.0,0.01075269,14000.0,14100.0,13950.0,138317.0,1939641050.0,0.0,0.0,138317.0,1939641050.0,31569.0,-3769.0,0.0,-27800.0,443525900.0,-53455900.0,0.0,-390070000.0
09/06/2026,13950.0,13900.0,50.0,0.00359712,14050.0,14050.0,13950.0,137735.0,1923042250.0,0.0,0.0,137735.0,1923042250.0,59313.0,-29313.0,0.0,-30000.0,827479000.0,-408709000.0,0.0,-418770000.0
08/06/2026,13900.0,14200.0,-300.0,-0.02112676,14200.0,14200.0,13900.0,289584.0,4062045900.0,0.0,0.0,289584.0,4062045900.0,66596.0,-26696.0,0.0,-39900.0,932048699.0,-369538700.0,0.0,-562510000.0
05/06/2026,14200.0,14300.0,-100.0,-0.00699301,14300.0,14350.0,14200.0,184805.0,2634375650.0,0.0,0.0,184805.0,2634375650.0,-1274.0,10174.0,0.0,-8900.0,-17323851.0,144523850.0,0.0,-127200000.0
04/06/2026,14300.0,14300.0,0.0,0.0,14300.0,14400.0,14250.0,110848.0,1585470650.0,0.0,0.0,110848.0,1585470650.0,12933.0,2367.0,0.0,-15300.0,185306600.0,33748400.0,0.0,-219055000.0
