NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,16950.0,17150.0,-200.0,-0.01166181,17100.0,17200.0,16850.0,470381.0,7998370450.0,0.0,0.0,470381.0,7998370450.0,-52400.0,0.0,0.0,52400.0,-892720000.0,0.0,0.0,892720000.0
03/09/2026,17150.0,17200.0,-50.0,-0.00290698,17200.0,17200.0,16900.0,337630.0,5744744700.0,0.0,0.0,337630.0,5744744700.0,-38900.0,0.0,10000.0,28900.0,-660485000.0,0.0,170000000.0,490485000.0
28/08/2026,17200.0,17250.0,-50.0,-0.00289855,17250.0,17300.0,17050.0,471243.0,8081426750.0,0.0,0.0,471243.0,8081426750.0,-15919.0,39419.0,10000.0,-23500.0,-265160900.0,668935900.0,171000000.0,-403775000.0
27/08/2026,17250.0,17500.0,-250.0,-0.01428571,17500.0,17500.0,17200.0,393498.0,6825847400.0,0.0,0.0,393498.0,6825847400.0,63902.0,-5902.0,15000.0,-58000.0,1109089400.0,-97189400.0,259750000.0,-1011900000.0
26/08/2026,17500.0,17550.0,-50.0,-0.002849,17550.0,17600.0,17350.0,360511.0,6299796950.0,0.0,0.0,360511.0,6299796950.0,48593.0,-13193.0,0.0,-35400.0,849679150.0,-234679150.0,0.0,-615000000.0
25/08/2026,17550.0,17200.0,350.0,0.02034884,17150.0,17800.0,17150.0,913535.0,15981445500.0,0.0,0.0,913535.0,15981445500.0,19770.0,18430.0,-15000.0,-38200.0,359560450.0,304114550.0,-262250000.0,-663675000.0
24/08/2026,17200.0,17150.0,50.0,0.00291545,17350.0,17400.0,17150.0,413205.0,7130436800.0,0.0,0.0,413205.0,7130436800.0,-14090.0,42090.0,-5000.0,-28000.0,-241759750.0,725989750.0,-86250000.0,-484230000.0
21/08/2026,17150.0,16700.0,450.0,0.02694611,16550.0,17150.0,16450.0,621331.0,10466000200.0,0.0,0.0,621331.0,10466000200.0,164203.0,-199203.0,-10000.0,35000.0,2755969101.0,-3348769100.0,-175000000.0,592800000.0
20/08/2026,16700.0,16750.0,-50.0,-0.00298507,16750.0,16950.0,16550.0,343952.0,5728384950.0,0.0,0.0,343952.0,5728384950.0,-8690.0,23890.0,0.0,-15200.0,-144674400.0,397514400.0,0.0,-252840000.0
19/08/2026,16750.0,16850.0,-100.0,-0.00593472,16900.0,16950.0,16550.0,290919.0,4855423750.0,0.0,0.0,290919.0,4855423750.0,-89716.0,124316.0,0.0,-34600.0,-1489106150.0,2071296150.0,0.0,-582190000.0
