NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,4860.0,4940.0,-80.0,-0.01619433,4940.0,4960.0,4840.0,162629.0,795192400.0,0.0,0.0,162629.0,795192400.0,15300.0,0.0,0.0,-15300.0,75248000.0,0.0,0.0,-75248000.0
03/09/2026,4940.0,4940.0,0.0,0.0,4960.0,4980.0,4900.0,81355.0,401235560.0,0.0,0.0,81355.0,401235560.0,11700.0,0.0,0.0,-11700.0,57881000.0,0.0,0.0,-57881000.0
28/08/2026,4940.0,4990.0,-50.0,-0.01002004,4990.0,5000.0,4850.0,267680.0,1323257270.0,0.0,0.0,267680.0,1323257270.0,5651.0,2949.0,0.0,-8600.0,27048150.0,16016850.0,0.0,-43065000.0
27/08/2026,4990.0,5030.0,-40.0,-0.00795229,5040.0,5050.0,4930.0,138552.0,690723960.0,160000.0,860800000.0,298552.0,1551523960.0,-42789.0,44989.0,0.0,-2200.0,-212126000.0,223406000.0,0.0,-11280000.0
26/08/2026,5030.0,4870.0,160.0,0.03285421,4950.0,5150.0,4840.0,573406.0,2870927780.0,0.0,0.0,573406.0,2870927780.0,45643.0,-57743.0,0.0,12100.0,224672500.0,-285648500.0,0.0,60976000.0
25/08/2026,4870.0,4870.0,0.0,0.0,4850.0,4970.0,4810.0,200455.0,981354820.0,0.0,0.0,200455.0,981354820.0,7590.0,-10290.0,0.0,2700.0,39001360.0,-51525361.0,0.0,12524000.0
24/08/2026,4870.0,4890.0,-20.0,-0.00408998,4950.0,4950.0,4810.0,161330.0,784800610.0,0.0,0.0,161330.0,784800610.0,-5886.0,15086.0,0.0,-9200.0,-27981480.0,73359480.0,0.0,-45378000.0
21/08/2026,4890.0,4710.0,180.0,0.03821656,4760.0,4940.0,4750.0,265346.0,1284820090.0,0.0,0.0,265346.0,1284820090.0,-43614.0,36514.0,0.0,7100.0,-210978710.0,176559710.0,0.0,34419000.0
20/08/2026,4710.0,4710.0,0.0,0.0,4700.0,4830.0,4700.0,133166.0,635202960.0,0.0,0.0,133166.0,635202960.0,11518.0,-12718.0,0.0,1200.0,54395949.0,-60039950.0,0.0,5644000.0
19/08/2026,4710.0,4710.0,0.0,0.0,4710.0,4760.0,4600.0,158847.0,747127430.0,0.0,0.0,158847.0,747127430.0,-2712.0,11512.0,0.0,-8800.0,-13824100.0,54684100.0,0.0,-40860000.0
18/08/2026,4710.0,4680.0,30.0,0.00641026,4700.0,4800.0,4650.0,218503.0,1029626550.0,0.0,0.0,218503.0,1029626550.0,15910.0,-17710.0,0.0,1800.0,76864800.0,-84988800.0,0.0,8124000.0
17/08/2026,4680.0,4810.0,-130.0,-0.02702703,4810.0,4840.0,4650.0,357572.0,1694586240.0,0.0,0.0,357572.0,1694586240.0,133215.0,-132115.0,0.0,-1100.0,636435480.0,-629150480.0,0.0,-7285000.0
14/08/2026,4810.0,4850.0,-40.0,-0.00824742,4840.0,4880.0,4730.0,274248.0,1310059870.0,0.0,0.0,274248.0,1310059870.0,20400.0,-14800.0,-400.0,-5600.0,99142000.0,-71838000.0,-1924000.0,-27304000.0
13/08/2026,4850.0,4950.0,-100.0,-0.02020202,4950.0,5010.0,4850.0,264674.0,1299786430.0,0.0,0.0,264674.0,1299786430.0,-26787.0,35587.0,0.0,-8800.0,-131479599.0,175181600.0,0.0,-43702000.0
12/08/2026,4950.0,4950.0,0.0,0.0,5000.0,5040.0,4880.0,228571.0,1131574850.0,0.0,0.0,228571.0,1131574850.0,19746.0,-19446.0,0.0,-300.0,98305440.0,-97100440.0,0.0,-1205000.0
11/08/2026,4950.0,5040.0,-90.0,-0.01785714,5060.0,5100.0,4950.0,305780.0,1531829500.0,0.0,0.0,305780.0,1531829500.0,-65491.0,56691.0,0.0,8800.0,-327385060.0,283241060.0,0.0,44144000.0
10/08/2026,5040.0,4950.0,90.0,0.01818182,5000.0,5100.0,4950.0,339045.0,1699981780.0,0.0,0.0,339045.0,1699981780.0,-13747.0,18647.0,0.0,-4900.0,-68517140.0,93185140.0,0.0,-24668000.0
07/08/2026,4950.0,4780.0,170.0,0.03556485,4780.0,4950.0,4750.0,565021.0,2749083540.0,0.0,0.0,565021.0,2749083540.0,93532.0,-115732.0,0.0,22200.0,459597310.0,-566711310.0,0.0,107114000.0
06/08/2026,4780.0,4780.0,0.0,0.0,4800.0,4800.0,4730.0,220398.0,1051039340.0,0.0,0.0,220398.0,1051039340.0,21592.0,-30792.0,0.0,9200.0,102373570.0,-146365570.0,0.0,43992000.0
05/08/2026,4780.0,4700.0,80.0,0.01702128,4720.0,4860.0,4710.0,358787.0,1722443700.0,0.0,0.0,358787.0,1722443700.0,62589.0,-63289.0,0.0,700.0,301826990.0,-304331990.0,0.0,2505000.0
