NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,6100.0,5900.0,200.0,0.03389831,5910.0,6100.0,5910.0,439196.0,2640582680.0,0.0,0.0,439196.0,2640582680.0,-10900.0,0.0,0.0,10900.0,-65618000.0,0.0,0.0,65618000.0
28/08/2026,5900.0,5970.0,-70.0,-0.01172529,5970.0,5970.0,5900.0,290991.0,1727233380.0,0.0,0.0,290991.0,1727233380.0,75101.0,-75101.0,0.0,0.0,446010930.0,-446010930.0,0.0,0.0
27/08/2026,5970.0,5930.0,40.0,0.00674536,5900.0,5970.0,5900.0,252826.0,1503899230.0,1490000.0,8940000000.0,1742826.0,10443899230.0,-4567.0,-833.0,0.0,5400.0,-26508550.0,-5664450.0,0.0,32173000.0
26/08/2026,5930.0,5910.0,20.0,0.00338409,5880.0,6000.0,5880.0,111549.0,662231120.0,0.0,0.0,111549.0,662231120.0,-44188.0,37988.0,0.0,6200.0,-262573641.0,226005640.0,0.0,36568000.0
25/08/2026,5910.0,5920.0,-10.0,-0.00168919,5890.0,5930.0,5890.0,203816.0,1204238300.0,0.0,0.0,203816.0,1204238300.0,-25311.0,21611.0,0.0,3700.0,-149190800.0,127266800.0,0.0,21924000.0
24/08/2026,5920.0,5960.0,-40.0,-0.00671141,5930.0,6070.0,5920.0,298971.0,1788518090.0,0.0,0.0,298971.0,1788518090.0,86679.0,-84379.0,0.0,-2300.0,517797860.0,-503997860.0,0.0,-13800000.0
21/08/2026,5960.0,6000.0,-40.0,-0.00666667,6000.0,6000.0,5900.0,135062.0,802275030.0,0.0,0.0,135062.0,802275030.0,32561.0,-28661.0,0.0,-3900.0,192845980.0,-169516980.0,0.0,-23329000.0
20/08/2026,6000.0,6100.0,-100.0,-0.01639344,6100.0,6160.0,5990.0,242261.0,1477137060.0,0.0,0.0,242261.0,1477137060.0,-75610.0,76710.0,0.0,-1100.0,-466430060.0,473132060.0,0.0,-6702000.0
19/08/2026,6100.0,6100.0,0.0,0.0,6140.0,6140.0,5980.0,545243.0,3297712190.0,0.0,0.0,545243.0,3297712190.0,27395.0,-27395.0,0.0,0.0,164870851.0,-164870850.0,0.0,0.0
18/08/2026,6100.0,6000.0,100.0,0.01666667,6080.0,6130.0,6010.0,203810.0,1244036470.0,0.0,0.0,203810.0,1244036470.0,-63438.0,63438.0,0.0,0.0,-387758830.0,387758830.0,0.0,0.0
