NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,5500.0,5500.0,0.0,0.0,5500.0,5500.0,5500.0,12105.0,66578080.0,0.0,0.0,12105.0,66578080.0,3300.0,0.0,0.0,-3300.0,18150000.0,0.0,0.0,-18150000.0
28/08/2026,5500.0,5680.0,-180.0,-0.03169014,5480.0,5650.0,5480.0,18423.0,102138460.0,0.0,0.0,18423.0,102138460.0,12800.0,-12800.0,0.0,0.0,71063000.0,-71063000.0,0.0,0.0
27/08/2026,5680.0,5590.0,90.0,0.01610018,5750.0,5750.0,5210.0,21785.0,120709180.0,0.0,0.0,21785.0,120709180.0,-2513.0,2813.0,0.0,-300.0,-13354970.0,15079970.0,0.0,-1725000.0
26/08/2026,5590.0,5600.0,-10.0,-0.00178571,5600.0,5750.0,5550.0,94188.0,526245350.0,0.0,0.0,94188.0,526245350.0,-8725.0,8725.0,0.0,0.0,-48909539.0,48909540.0,0.0,0.0
25/08/2026,5600.0,5600.0,0.0,0.0,5600.0,5700.0,5540.0,27450.0,152443000.0,0.0,0.0,27450.0,152443000.0,1595.0,-1595.0,0.0,0.0,8912000.0,-8912000.0,0.0,0.0
24/08/2026,5600.0,5600.0,0.0,0.0,5790.0,5800.0,5600.0,139645.0,788850000.0,0.0,0.0,139645.0,788850000.0,-555.0,555.0,0.0,0.0,-3048000.0,3048000.0,0.0,0.0
21/08/2026,5600.0,5640.0,-40.0,-0.0070922,5640.0,5640.0,5500.0,88320.0,496261770.0,0.0,0.0,88320.0,496261770.0,54382.0,-18882.0,0.0,-35500.0,306013480.0,-107003480.0,0.0,-199010000.0
20/08/2026,5640.0,5640.0,0.0,0.0,5630.0,5640.0,5510.0,10848.0,60288770.0,0.0,0.0,10848.0,60288770.0,4830.0,-4830.0,0.0,0.0,26554299.0,-26554300.0,0.0,0.0
19/08/2026,5640.0,5670.0,-30.0,-0.00529101,5500.0,5640.0,5500.0,35009.0,192581190.0,0.0,0.0,35009.0,192581190.0,30301.0,-30301.0,0.0,0.0,166685671.0,-166685670.0,0.0,0.0
18/08/2026,5670.0,5680.0,-10.0,-0.00176056,5840.0,5840.0,5310.0,72805.0,404931500.0,0.0,0.0,72805.0,404931500.0,1298.0,-1298.0,0.0,0.0,7012640.0,-7012640.0,0.0,0.0
17/08/2026,5680.0,5710.0,-30.0,-0.00525394,5710.0,5710.0,5680.0,15402.0,87925610.0,0.0,0.0,15402.0,87925610.0,-6599.0,6600.0,0.0,-1.0,-37679140.0,37685000.0,0.0,-5860.0
14/08/2026,5710.0,5810.0,-100.0,-0.0172117,5810.0,5810.0,5710.0,32120.0,184666500.0,0.0,0.0,32120.0,184666500.0,14200.0,-14200.0,0.0,0.0,81515000.0,-81515000.0,0.0,0.0
13/08/2026,5810.0,5790.0,20.0,0.00345423,5930.0,5950.0,5790.0,74003.0,432298070.0,0.0,0.0,74003.0,432298070.0,-20475.0,20775.0,0.0,-300.0,-118963250.0,120748250.0,0.0,-1785000.0
12/08/2026,5790.0,5810.0,-20.0,-0.00344234,5810.0,5810.0,5720.0,45862.0,264993930.0,0.0,0.0,45862.0,264993930.0,-4842.0,4842.0,0.0,0.0,-27866111.0,27866110.0,0.0,0.0
11/08/2026,5810.0,5890.0,-80.0,-0.01358234,5910.0,6000.0,5780.0,81197.0,477474160.0,0.0,0.0,81197.0,477474160.0,3517.0,-3517.0,0.0,0.0,20849131.0,-20849130.0,0.0,0.0
10/08/2026,5890.0,5620.0,270.0,0.0480427,5700.0,5950.0,5700.0,321095.0,1887601650.0,0.0,0.0,321095.0,1887601650.0,-171702.0,172002.0,0.0,-300.0,-1011521061.0,1013252060.0,0.0,-1731000.0
07/08/2026,5620.0,5510.0,110.0,0.0199637,5500.0,5640.0,5500.0,180635.0,1006208350.0,0.0,0.0,180635.0,1006208350.0,-6400.0,6400.0,0.0,0.0,-36465000.0,36465000.0,0.0,0.0
06/08/2026,5510.0,5550.0,-40.0,-0.00720721,5500.0,5550.0,5470.0,112531.0,622885050.0,53507.0,278236400.0,166038.0,901121450.0,-4369.0,4169.0,0.0,200.0,-23786950.0,22686950.0,0.0,1100000.0
05/08/2026,5550.0,5490.0,60.0,0.01092896,5490.0,5560.0,5430.0,390061.0,2154153600.0,0.0,0.0,390061.0,2154153600.0,63490.0,-63490.0,0.0,0.0,353199900.0,-353199900.0,0.0,0.0
