NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,42300.0,42350.0,-50.0,-0.00118064,43000.0,43500.0,42300.0,386229.0,16459184250.0,0.0,0.0,386229.0,16459184250.0,0.0,100.0,100.0,-20800.0,0.0,4260000.0,4260000.0,-893665000.0
03/09/2026,42350.0,43350.0,-1000.0,-0.02306805,43000.0,43050.0,42200.0,543271.0,23093153400.0,0.0,0.0,543271.0,23093153400.0,74100.0,0.0,500.0,-74600.0,3163440000.0,0.0,21285000.0,-3184725000.0
28/08/2026,43350.0,43350.0,0.0,0.0,43500.0,43950.0,43000.0,541565.0,23525923700.0,0.0,0.0,541565.0,23525923700.0,72177.0,-27777.0,0.0,-44400.0,3139308951.0,-1208333951.0,0.0,-1930975000.0
27/08/2026,43350.0,44450.0,-1100.0,-0.02474691,45100.0,45500.0,43350.0,1070072.0,47384921650.0,0.0,0.0,1070072.0,47384921650.0,5220.0,101780.0,0.0,-107000.0,278023049.0,4504371950.0,0.0,-4782395000.0
26/08/2026,44450.0,41550.0,2900.0,0.06979543,41600.0,44450.0,41600.0,1030859.0,44976149950.0,0.0,0.0,1030859.0,44976149950.0,-216795.0,81895.0,0.0,134900.0,-9425813000.0,3684213000.0,0.0,5741600000.0
25/08/2026,41550.0,42200.0,-650.0,-0.01540284,42450.0,42600.0,41250.0,727279.0,30386051950.0,0.0,0.0,727279.0,30386051950.0,-24830.0,11730.0,200.0,13100.0,-1031142350.0,493637350.0,8375000.0,537505000.0
24/08/2026,42200.0,42650.0,-450.0,-0.010551,43100.0,43200.0,42050.0,1233657.0,52355873550.0,0.0,0.0,1233657.0,52355873550.0,25140.0,18660.0,0.0,-43800.0,1050864100.0,827335900.0,0.0,-1878200000.0
21/08/2026,42650.0,40600.0,2050.0,0.05049261,40800.0,42650.0,39950.0,1287852.0,53212374600.0,0.0,0.0,1287852.0,53212374600.0,260647.0,-177957.0,0.0,-82690.0,10594151850.0,-7104047350.0,0.0,-3490104500.0
20/08/2026,40600.0,41400.0,-800.0,-0.01932367,41850.0,41850.0,40200.0,904581.0,36796253550.0,0.0,0.0,904581.0,36796253550.0,-44903.0,82203.0,0.0,-37300.0,-1801316950.0,3343176950.0,0.0,-1541860000.0
19/08/2026,41400.0,42600.0,-1200.0,-0.02816901,42500.0,42800.0,41100.0,912394.0,37953069850.0,0.0,0.0,912394.0,37953069850.0,293660.0,93640.0,0.0,-387300.0,12180836650.0,3889333350.0,0.0,-16070170000.0
