NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
21/09/2026,27600.0,27500.0,100.0,0.00363636,27500.0,27600.0,27500.0,2319.0,63992500.0,0.0,0.0,2319.0,63992500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/09/2026,27500.0,27300.0,200.0,0.00732601,27500.0,27500.0,27500.0,1135.0,31205700.0,0.0,0.0,1135.0,31205700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/09/2026,27300.0,27800.0,-500.0,-0.01798561,27100.0,27300.0,27100.0,470.0,12759100.0,0.0,0.0,470.0,12759100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16/09/2026,27800.0,28500.0,-700.0,-0.0245614,28500.0,28500.0,27800.0,3704.0,103995000.0,0.0,0.0,3704.0,103995000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/09/2026,28500.0,27800.0,700.0,0.02517986,28650.0,28650.0,28150.0,2870.0,81890500.0,0.0,0.0,2870.0,81890500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/09/2026,27808.745,31500.0,-850.0,-0.02698413,28852.14,28852.14,27808.745,1976.0,62636100.0,0.0,0.0,1976.0,62636100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/09/2026,28579.95,31700.0,-200.0,-0.00630915,28716.045,28716.045,27627.285,3144.0,98837800.0,0.0,0.0,3144.0,98837800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/09/2026,28761.41,31400.0,300.0,0.00955414,28534.585,28761.41,28353.125,1666.0,52510600.0,0.0,0.0,1666.0,52510600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/09/2026,28489.22,31400.0,0.0,0.0,28307.76,28806.775,27264.365,3507.0,109878900.0,0.0,0.0,3507.0,109878900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/09/2026,28489.22,31400.0,0.0,0.0,28489.22,28489.22,28489.22,632.0,19837000.0,0.0,0.0,632.0,19837000.0,100.0,0.0,0.0,-100.0,3140000.0,0.0,0.0,-3140000.0
07/09/2026,28489.22,31400.0,0.0,0.0,28489.22,28670.68,28489.22,2430.0,76485200.0,0.0,0.0,2430.0,76485200.0,-100.0,0.0,0.0,100.0,-3180000.0,0.0,0.0,3180000.0
04/09/2026,28489.22,31700.0,-300.0,-0.00946372,28761.41,29033.6,28398.49,1937.0,61225050.0,0.0,0.0,1937.0,61225050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,28761.41,31100.0,600.0,0.0192926,28262.395,29033.6,28262.395,5785.0,182304000.0,0.0,0.0,5785.0,182304000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,28217.03,30800.0,300.0,0.00974026,28126.3,28217.03,27581.92,3715.0,114994750.0,0.0,0.0,3715.0,114994750.0,1012.0,-1012.0,0.0,0.0,31471801.0,-31471800.0,0.0,0.0
