NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,21600.0,21650.0,-50.0,-0.00230947,21600.0,21650.0,21500.0,16457.0,355298750.0,0.0,0.0,16457.0,355298750.0,0.0,0.0,0.0,13100.0,0.0,0.0,0.0,282935000.0
28/08/2026,21650.0,21600.0,50.0,0.00231481,21600.0,21650.0,21500.0,7076.0,152714800.0,0.0,0.0,7076.0,152714800.0,596.0,-696.0,0.0,100.0,13033200.0,-15198200.0,0.0,2165000.0
27/08/2026,21600.0,21700.0,-100.0,-0.00460829,21800.0,21800.0,21500.0,7252.0,156805900.0,0.0,0.0,7252.0,156805900.0,1474.0,-2374.0,0.0,900.0,32153200.0,-51593200.0,0.0,19440000.0
26/08/2026,21700.0,21350.0,350.0,0.01639344,21400.0,21900.0,21400.0,67806.0,1469380850.0,0.0,0.0,67806.0,1469380850.0,-686.0,14970.0,0.0,-14284.0,-13557950.0,325919950.0,0.0,-312362000.0
25/08/2026,21350.0,21500.0,-150.0,-0.00697674,21300.0,21700.0,21300.0,34283.0,735746850.0,0.0,0.0,34283.0,735746850.0,-12572.0,-160.0,0.0,12732.0,-269969000.0,-3274000.0,0.0,273243000.0
24/08/2026,21500.0,21650.0,-150.0,-0.00692841,21600.0,21800.0,21250.0,55842.0,1204056750.0,0.0,0.0,55842.0,1204056750.0,-29402.0,-3098.0,0.0,32500.0,-635818301.0,-67736700.0,0.0,703555000.0
21/08/2026,21650.0,20900.0,750.0,0.03588517,20750.0,21650.0,20700.0,36954.0,771409500.0,0.0,0.0,36954.0,771409500.0,-3206.0,-5694.0,0.0,8900.0,-68239750.0,-118730250.0,0.0,186970000.0
20/08/2026,20900.0,20700.0,200.0,0.00966184,21700.0,21700.0,20900.0,19419.0,413759400.0,0.0,0.0,19419.0,413759400.0,9990.0,-6490.0,0.0,-3500.0,211569000.0,-137979000.0,0.0,-73590000.0
19/08/2026,20700.0,21400.0,-700.0,-0.03271028,21250.0,21250.0,20700.0,6421.0,134795200.0,0.0,0.0,6421.0,134795200.0,-311.0,-589.0,0.0,900.0,-5973200.0,-12616800.0,0.0,18590000.0
18/08/2026,21400.0,21200.0,200.0,0.00943396,21200.0,21400.0,21200.0,9081.0,192789350.0,0.0,0.0,9081.0,192789350.0,2560.0,-2060.0,0.0,-500.0,54387500.0,-43782500.0,0.0,-10605000.0
17/08/2026,21200.0,21300.0,-100.0,-0.00469484,21250.0,21900.0,20700.0,20911.0,446103700.0,0.0,0.0,20911.0,446103700.0,-14600.0,6100.0,0.0,8500.0,-310946400.0,130436400.0,0.0,180510000.0
14/08/2026,21300.0,21400.0,-100.0,-0.0046729,21800.0,21800.0,21050.0,5058.0,107544150.0,0.0,0.0,5058.0,107544150.0,1878.0,22.0,-200.0,-1900.0,39940450.0,449550.0,-4260000.0,-40390000.0
13/08/2026,21400.0,22000.0,-600.0,-0.02727273,21200.0,22000.0,21200.0,10438.0,226351850.0,0.0,0.0,10438.0,226351850.0,-4324.0,4424.0,0.0,-100.0,-95158000.0,97468000.0,0.0,-2310000.0
12/08/2026,22000.0,21250.0,750.0,0.03529412,21200.0,22000.0,21150.0,21389.0,461024950.0,0.0,0.0,21389.0,461024950.0,-6950.0,6149.0,0.0,801.0,-153550000.0,136864000.0,0.0,16686000.0
11/08/2026,21250.0,21250.0,0.0,0.0,21250.0,21250.0,20100.0,22461.0,470573600.0,0.0,0.0,22461.0,470573600.0,-2918.0,5018.0,0.0,-2100.0,-61265750.0,106080750.0,0.0,-44815000.0
10/08/2026,21250.0,21250.0,0.0,0.0,21300.0,21600.0,21150.0,33388.0,711921650.0,0.0,0.0,33388.0,711921650.0,6619.0,-37.0,0.0,-6582.0,141667600.0,-1143750.0,0.0,-140523850.0
07/08/2026,21250.0,21300.0,-50.0,-0.00234742,21050.0,21300.0,21050.0,13801.0,293102350.0,0.0,0.0,13801.0,293102350.0,4070.0,-3670.0,0.0,-400.0,86453300.0,-77998300.0,0.0,-8455000.0
06/08/2026,21300.0,21300.0,0.0,0.0,21250.0,21300.0,21000.0,4349.0,92166600.0,0.0,0.0,4349.0,92166600.0,562.0,138.0,0.0,-700.0,12000600.0,2824400.0,0.0,-14825000.0
05/08/2026,21300.0,21400.0,-100.0,-0.0046729,21400.0,21400.0,20800.0,8692.0,184510050.0,0.0,0.0,8692.0,184510050.0,4388.0,-2455.0,0.0,-1933.0,93513201.0,-52287000.0,0.0,-41226200.0
04/08/2026,21400.0,21250.0,150.0,0.00705882,21800.0,21800.0,21100.0,25360.0,540933750.0,0.0,0.0,25360.0,540933750.0,13286.0,1314.0,0.0,-14600.0,282430000.0,27790000.0,0.0,-310220000.0
03/08/2026,21250.0,21250.0,0.0,0.0,20700.0,21250.0,20700.0,29456.0,619387800.0,0.0,0.0,29456.0,619387800.0,-14434.0,5934.0,0.0,8500.0,-303038300.0,124508300.0,0.0,178530000.0
