NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,36450.0,36850.0,-400.0,-0.01085482,36750.0,36750.0,36400.0,3267266.0,119326594350.0,55000.0,2167000000.0,3322266.0,121493594350.0,0.0,0.0,-16700.0,-82074.0,0.0,0.0,-612215000.0,-2997127100.0
28/08/2026,36850.0,36950.0,-100.0,-0.00270636,36950.0,37200.0,36700.0,3124839.0,115394697200.0,30000.0,1032000000.0,3154839.0,116426697200.0,128222.0,-1327.0,-106400.0,-126895.0,4730352600.0,-52486400.0,-3920305000.0,-4677866200.0
27/08/2026,36950.0,36900.0,50.0,0.00135501,36900.0,37400.0,36800.0,3101659.0,114656009250.0,55000.0,2169750000.0,3156659.0,116825759250.0,614884.0,149616.0,16800.0,-764500.0,22703307900.0,5548022100.0,622475000.0,-28251330000.0
26/08/2026,36900.0,36700.0,200.0,0.00544959,36500.0,36950.0,36500.0,3777525.0,138732485550.0,0.0,0.0,3777525.0,138732485550.0,1034101.0,90315.0,53800.0,-1124416.0,37935071150.0,3327993050.0,1983735000.0,-41263064200.0
25/08/2026,36700.0,36900.0,-200.0,-0.00542005,36950.0,37350.0,36650.0,4043928.0,149507933350.0,0.0,0.0,4043928.0,149507933350.0,-153799.0,401458.0,-59000.0,-247659.0,-5694944800.0,14847906900.0,-2198645000.0,-9152962100.0
24/08/2026,36900.0,36900.0,0.0,0.0,37600.0,37750.0,36850.0,3934746.0,146169203700.0,0.0,0.0,3934746.0,146169203700.0,352756.0,461617.0,53900.0,-814373.0,13224078950.0,17116055600.0,2008245000.0,-30340134550.0
21/08/2026,36900.0,35850.0,1050.0,0.0292887,36050.0,36950.0,35800.0,4548903.0,165803475450.0,0.0,0.0,4548903.0,165803475450.0,423809.0,-329509.0,-109300.0,-94300.0,15358302350.0,-11869227350.0,-3935385000.0,-3489075000.0
20/08/2026,35850.0,35700.0,150.0,0.00420168,35900.0,36100.0,35550.0,2155142.0,77266748950.0,0.0,0.0,2155142.0,77266748950.0,492090.0,77777.0,198500.0,-569867.0,17644223150.0,2763307500.0,7113610000.0,-20407530650.0
19/08/2026,35700.0,36000.0,-300.0,-0.00833333,36000.0,36000.0,35500.0,2174461.0,77583088450.0,0.0,0.0,2174461.0,77583088450.0,162208.0,308166.0,37200.0,-470374.0,5771046400.0,11033098600.0,1330480000.0,-16804145000.0
18/08/2026,36000.0,35900.0,100.0,0.00278552,36000.0,36400.0,35900.0,2502339.0,90411980850.0,0.0,0.0,2502339.0,90411980850.0,752686.0,-267886.0,-111249.0,-484800.0,27193352349.0,-9679537350.0,-4020139000.0,-17513815000.0
17/08/2026,35900.0,35800.0,98.0,0.00273728,36000.0,36200.0,35600.0,2598407.0,93227333650.0,0.0,0.0,2598407.0,93227333650.0,356624.0,479639.0,14400.0,-836263.0,12748458350.0,17211486450.0,492405000.0,-29959944800.0
14/08/2026,35802.0,38850.0,-600.0,-0.01544402,36223.2,36410.4,35521.2,4744826.0,182260841500.0,0.0,0.0,4744826.0,182260841500.0,-21117.0,-168783.0,-88400.0,189900.0,-812519800.0,-6403430200.0,-3417410000.0,7215950000.0
13/08/2026,36363.6,39250.0,-400.0,-0.01019108,36597.6,37065.6,36363.6,5668637.0,222271280000.0,0.0,0.0,5668637.0,222271280000.0,-812246.0,294618.0,-4900.0,517628.0,-31787408449.0,11539163650.0,-208885000.0,20248244800.0
12/08/2026,36738.0,39100.0,150.0,0.00383632,36597.6,36972.0,36457.2,2705307.0,106160707600.0,0.0,0.0,2705307.0,106160707600.0,-551751.0,155751.0,86200.0,396000.0,-21677208200.0,6140858200.0,3390915000.0,15536350000.0
11/08/2026,36597.6,39500.0,-400.0,-0.01012658,36972.0,37346.4,36597.6,4840264.0,191029496750.0,0.0,0.0,4840264.0,191029496750.0,-1223277.0,877747.0,124200.0,345530.0,-48324917300.0,34627228800.0,4924665000.0,13697688500.0
10/08/2026,36972.0,39050.0,450.0,0.01152369,37018.8,37206.0,36738.0,3027446.0,119427310600.0,0.0,0.0,3027446.0,119427310600.0,-433739.0,91692.0,26900.0,342047.0,-17134522300.0,3644331700.0,1056540000.0,13490190600.0
07/08/2026,36550.8,37900.0,1150.0,0.03034301,35474.4,36878.4,35474.4,8659316.0,337499692250.0,45000.0,1824750000.0,8704316.0,339324442250.0,6694.0,-1087704.0,-200200.0,1081010.0,-8094750.0,-42409696250.0,-7798700000.0,42417791000.0
06/08/2026,35474.4,38000.0,-100.0,-0.00263158,35661.6,35848.8,35474.4,2720042.0,103415107600.0,0.0,0.0,2720042.0,103415107600.0,448200.0,-396033.0,-5400.0,-52167.0,17035331701.0,-15054145300.0,-207290000.0,-1981186400.0
05/08/2026,35568.0,38000.0,0.0,0.0,35942.4,36223.2,35474.4,3386394.0,129256543850.0,45000.0,1590750000.0,3431394.0,130847293850.0,-417853.0,585245.0,-102492.0,-167392.0,-15864711850.0,22281254250.0,-3908967000.0,-6416542400.0
04/08/2026,35568.0,38250.0,-250.0,-0.00653595,35942.4,36036.0,35427.6,3986409.0,151873296850.0,0.0,0.0,3986409.0,151873296850.0,-435036.0,544466.0,-21200.0,-109430.0,-16527205950.0,20753003950.0,-815690000.0,-4225798000.0
03/08/2026,35802.0,38000.0,250.0,0.00657895,35848.8,36504.0,35755.2,4514880.0,174189553700.0,0.0,0.0,4514880.0,174189553700.0,491593.0,-673193.0,-250200.0,181600.0,18940943799.0,-25945548800.0,-9667845000.0,7004605000.0
31/07/2026,35568.0,37250.0,750.0,0.02013423,34959.6,36878.4,34725.6,9580605.0,366896697400.0,40000.0,1594000000.0,9620605.0,368490697400.0,-715056.0,1054855.0,262500.0,-339799.0,-27847077400.0,40782125050.0,9947150000.0,-12935047650.0
30/07/2026,34866.0,35450.0,1800.0,0.05077574,33321.6,34912.8,33228.0,6611842.0,241905217800.0,55200.0,1821600000.0,6667042.0,243726817800.0,112843.0,-816943.0,102800.0,704100.0,3936319900.0,-29916649900.0,3764575000.0,25980330000.0
29/07/2026,33181.2,35100.0,350.0,0.00997151,33087.6,33462.0,32900.4,2232229.0,79058061250.0,50000.0,1632500000.0,2282229.0,80690561250.0,218493.0,76407.0,-80200.0,-294900.0,7708885650.0,2726574350.0,-2833295000.0,-10435460000.0
28/07/2026,32853.6,34700.0,400.0,0.01152738,32292.0,33368.4,32151.6,2780417.0,97382541300.0,0.0,0.0,2780417.0,97382541300.0,168168.0,-258439.0,-1000.0,90271.0,5886932200.0,-9101677500.0,-55425000.0,3214745300.0
27/07/2026,32479.2,36000.0,-1300.0,-0.03611111,33976.8,34070.4,32479.2,3571748.0,126859382500.0,0.0,0.0,3571748.0,126859382500.0,997716.0,-469422.0,5200.0,-528294.0,35578074900.0,-16612691600.0,199135000.0,-18965383300.0
