NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,11200.0,11250.0,-50.0,-0.00444444,11100.0,11200.0,11100.0,4879.0,54390900.0,0.0,0.0,4879.0,54390900.0,1273.0,-1273.0,0.0,0.0,14076300.0,-14076300.0,0.0,0.0
27/08/2026,11250.0,11250.0,0.0,0.0,11300.0,11400.0,11250.0,4700.0,53120000.0,0.0,0.0,4700.0,53120000.0,300.0,-300.0,0.0,0.0,3400000.0,-3400000.0,0.0,0.0
26/08/2026,11250.0,11250.0,0.0,0.0,11200.0,11450.0,11100.0,11512.0,128890450.0,0.0,0.0,11512.0,128890450.0,-609.0,609.0,0.0,0.0,-6726700.0,6726700.0,0.0,0.0
25/08/2026,11250.0,11250.0,0.0,0.0,11450.0,11450.0,11250.0,3357.0,38349900.0,0.0,0.0,3357.0,38349900.0,399.0,-399.0,0.0,0.0,4498600.0,-4498600.0,0.0,0.0
24/08/2026,11250.0,11300.0,-50.0,-0.00442478,11500.0,11500.0,11250.0,4819.0,54739700.0,0.0,0.0,4819.0,54739700.0,-2209.0,2209.0,0.0,0.0,-24981701.0,24981700.0,0.0,0.0
21/08/2026,11300.0,11200.0,100.0,0.00892857,11100.0,11300.0,11050.0,4409.0,49114600.0,0.0,0.0,4409.0,49114600.0,-301.0,301.0,0.0,0.0,-3331100.0,3331100.0,0.0,0.0
20/08/2026,11200.0,11150.0,50.0,0.0044843,11150.0,11250.0,11100.0,6800.0,75745000.0,0.0,0.0,6800.0,75745000.0,-1400.0,1400.0,0.0,0.0,-15765000.0,15765000.0,0.0,0.0
19/08/2026,11150.0,11350.0,-200.0,-0.01762115,11100.0,11150.0,11100.0,373.0,4167800.0,0.0,0.0,373.0,4167800.0,179.0,-161.0,0.0,-18.0,1991100.0,-1786800.0,0.0,-204300.0
18/08/2026,11350.0,11200.0,150.0,0.01339286,11250.0,11500.0,11250.0,4363.0,49307600.0,0.0,0.0,4363.0,49307600.0,1959.0,-1959.0,0.0,0.0,22026600.0,-22026600.0,0.0,0.0
17/08/2026,11200.0,11200.0,0.0,0.0,11200.0,11400.0,11200.0,1920.0,21605000.0,0.0,0.0,1920.0,21605000.0,-1200.0,1200.0,0.0,0.0,-13540000.0,13540000.0,0.0,0.0
