NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
11/09/2026,13500.0,13700.0,-200.0,-0.01459854,13700.0,13800.0,13500.0,43659.0,591773050.0,0.0,0.0,43659.0,591773050.0,-1700.0,0.0,0.0,1700.0,-23020000.0,0.0,0.0,23020000.0
10/09/2026,13700.0,13950.0,-250.0,-0.01792115,13950.0,14000.0,13600.0,29802.0,410544900.0,0.0,0.0,29802.0,410544900.0,0.0,-1000.0,-1000.0,-1000.0,0.0,-13700000.0,-13700000.0,-13700000.0
09/09/2026,13950.0,13800.0,150.0,0.01086957,13850.0,14200.0,13700.0,107993.0,1518682700.0,0.0,0.0,107993.0,1518682700.0,-12700.0,0.0,0.0,12700.0,-178265000.0,0.0,0.0,178265000.0
08/09/2026,13799.5,14300.0,0.0,0.0,13992.5,13992.5,13799.5,77238.0,1112687350.0,0.0,0.0,77238.0,1112687350.0,2700.0,0.0,0.0,-2700.0,39200000.0,0.0,0.0,-39200000.0
07/09/2026,13799.5,14050.0,250.0,0.01779359,13558.25,13847.75,13558.25,101965.0,1443135800.0,0.0,0.0,101965.0,1443135800.0,3502.0,0.0,0.0,-3502.0,49568300.0,0.0,0.0,-49568300.0
04/09/2026,13558.25,14200.0,-150.0,-0.01056338,13799.5,13799.5,13510.0,48845.0,688862550.0,0.0,0.0,48845.0,688862550.0,8300.0,0.0,0.0,-8300.0,117505000.0,0.0,0.0,-117505000.0
03/09/2026,13703.0,14000.0,200.0,0.01428571,13510.0,13896.0,13510.0,151431.0,2140351200.0,0.0,0.0,151431.0,2140351200.0,5419.0,0.0,0.0,-5419.0,76864300.0,0.0,0.0,-76864300.0
28/08/2026,13510.0,14250.0,-250.0,-0.01754386,13751.25,13751.25,13461.75,76465.0,1071487850.0,0.0,0.0,76465.0,1071487850.0,12110.0,-9608.0,0.0,-2502.0,169780150.0,-134661950.0,0.0,-35118200.0
27/08/2026,13751.25,13550.0,700.0,0.05166052,13268.75,13896.0,13124.0,324086.0,4524902800.0,0.0,0.0,324086.0,4524902800.0,71775.0,-72375.0,0.0,600.0,1006171100.0,-1014386100.0,0.0,8215000.0
26/08/2026,13075.75,13500.0,50.0,0.0037037,13027.5,13124.0,13027.5,28622.0,387515600.0,0.0,0.0,28622.0,387515600.0,-1956.0,1956.0,0.0,0.0,-26588500.0,26588500.0,0.0,0.0
25/08/2026,13027.5,13600.0,-100.0,-0.00735294,13124.0,13172.25,13027.5,37037.0,502678850.0,0.0,0.0,37037.0,502678850.0,-6833.0,-5767.0,0.0,12600.0,-92295800.0,-78189200.0,0.0,170485000.0
24/08/2026,13124.0,13600.0,0.0,0.0,13075.75,13220.5,13027.5,105825.0,1437197350.0,0.0,0.0,105825.0,1437197350.0,-23526.0,1426.0,0.0,22100.0,-318363750.0,18893750.0,0.0,299470000.0
21/08/2026,13124.0,13400.0,200.0,0.01492537,12931.0,13124.0,12834.5,28139.0,376963650.0,0.0,0.0,28139.0,376963650.0,2892.0,-1892.0,0.0,-1000.0,37858450.0,-24458450.0,0.0,-13400000.0
20/08/2026,12931.0,13400.0,0.0,0.0,13027.5,13027.5,12738.0,32440.0,431569200.0,0.0,0.0,32440.0,431569200.0,4484.0,-84.0,0.0,-4400.0,59836700.0,-1081700.0,0.0,-58755000.0
19/08/2026,12931.0,13450.0,-50.0,-0.00371747,13172.25,13172.25,12786.25,38868.0,518391750.0,0.0,0.0,38868.0,518391750.0,21310.0,-16210.0,0.0,-5100.0,283849550.0,-215824550.0,0.0,-68025000.0
18/08/2026,12979.25,13450.0,0.0,0.0,12979.25,13027.5,12834.5,19418.0,259486650.0,0.0,0.0,19418.0,259486650.0,12238.0,-10538.0,0.0,-1700.0,163301701.0,-140436700.0,0.0,-22865000.0
17/08/2026,12979.25,13350.0,100.0,0.00749064,12882.75,12979.25,12786.25,44110.0,586899000.0,0.0,0.0,44110.0,586899000.0,8800.0,-6000.0,0.0,-2800.0,116870000.0,-79635000.0,0.0,-37235000.0
14/08/2026,12882.75,13500.0,-150.0,-0.01111111,12931.0,13027.5,12882.75,41364.0,555212000.0,0.0,0.0,41364.0,555212000.0,30381.0,-30381.0,-200.0,0.0,407995751.0,-408015750.0,-2670000.0,20000.0
13/08/2026,13027.5,13550.0,-50.0,-0.00369004,13075.75,13124.0,12882.75,95125.0,1282298800.0,0.0,0.0,95125.0,1282298800.0,-3396.0,2596.0,0.0,800.0,-49056000.0,38481000.0,0.0,10575000.0
12/08/2026,13075.75,13850.0,-300.0,-0.02166065,13220.5,13317.0,13075.75,74773.0,1016990250.0,0.0,0.0,74773.0,1016990250.0,-3057.0,2957.0,0.0,100.0,-41369950.0,40049950.0,0.0,1320000.0
11/08/2026,13365.25,13600.0,250.0,0.01838235,13220.5,13365.25,13124.0,32848.0,450822500.0,0.0,0.0,32848.0,450822500.0,-601.0,3001.0,0.0,-2400.0,-8343250.0,41263250.0,0.0,-32920000.0
10/08/2026,13124.0,13600.0,0.0,0.0,13124.0,13220.5,13027.5,44172.0,601647400.0,0.0,0.0,44172.0,601647400.0,5968.0,-7068.0,0.0,1100.0,81326600.0,-96321600.0,0.0,14995000.0
07/08/2026,13124.0,13500.0,100.0,0.00740741,13124.0,13317.0,13124.0,37096.0,507472700.0,0.0,0.0,37096.0,507472700.0,-4531.0,3631.0,0.0,900.0,-62153900.0,49843900.0,0.0,12310000.0
06/08/2026,13027.5,13450.0,50.0,0.00371747,12882.75,13027.5,12882.75,52303.0,701159600.0,0.0,0.0,52303.0,701159600.0,27272.0,-24072.0,0.0,-3200.0,365146600.0,-322061600.0,0.0,-43085000.0
05/08/2026,12979.25,13600.0,-150.0,-0.01102941,13172.25,13172.25,12738.0,59952.0,809333250.0,0.0,0.0,59952.0,809333250.0,31435.0,-32779.0,0.0,1344.0,426255101.0,-444488100.0,0.0,18233000.0
04/08/2026,13124.0,13800.0,-200.0,-0.01449275,13317.0,13317.0,13075.75,16102.0,220191400.0,0.0,0.0,16102.0,220191400.0,4076.0,-4176.0,0.0,100.0,56431400.0,-57801400.0,0.0,1370000.0
03/08/2026,13317.0,13450.0,350.0,0.0260223,13075.75,13413.5,13027.5,57327.0,787848750.0,0.0,0.0,57327.0,787848750.0,9101.0,-14901.0,0.0,5800.0,126451050.0,-205426050.0,0.0,78975000.0
31/07/2026,12979.25,13400.0,50.0,0.00373134,12979.25,13075.75,12882.75,26951.0,362749100.0,0.0,0.0,26951.0,362749100.0,7079.0,-9279.0,0.0,2200.0,95443600.0,-125023600.0,0.0,29580000.0
30/07/2026,12931.0,12900.0,500.0,0.03875969,12352.0,12931.0,12352.0,103039.0,1368992700.0,0.0,0.0,103039.0,1368992700.0,28891.0,-30291.0,0.0,1400.0,384703700.0,-403043700.0,0.0,18340000.0
29/07/2026,12448.5,12600.0,300.0,0.02380952,12159.0,12496.75,12159.0,94675.0,1213781700.0,0.0,0.0,94675.0,1213781700.0,-26263.0,22963.0,0.0,3300.0,-344776750.0,301371750.0,0.0,43405000.0
28/07/2026,12159.0,12750.0,-150.0,-0.01176471,12062.5,12496.75,12014.25,74965.0,956716200.0,0.0,0.0,74965.0,956716200.0,-45100.0,40500.0,0.0,4600.0,-577488299.0,518668300.0,0.0,58820000.0
27/07/2026,12303.75,12950.0,-200.0,-0.01544402,12496.75,12545.0,11869.5,197418.0,2495781350.0,0.0,0.0,197418.0,2495781350.0,45082.0,-22759.0,0.0,-22323.0,561943700.0,-278219300.0,0.0,-283724400.0
24/07/2026,12496.75,13100.0,-150.0,-0.01145038,12448.5,12641.5,12255.5,93707.0,1203717500.0,0.0,0.0,93707.0,1203717500.0,21874.0,-21174.0,0.0,-700.0,283424900.0,-274089900.0,0.0,-9335000.0
23/07/2026,12641.5,13300.0,-200.0,-0.01503759,12834.5,12834.5,12255.5,114747.0,1496587400.0,0.0,0.0,114747.0,1496587400.0,36628.0,1572.0,-1300.0,-38200.0,478382300.0,18622700.0,-17160000.0,-497005000.0
22/07/2026,12834.5,13350.0,-50.0,-0.00374532,12979.25,13027.5,12834.5,142869.0,1915829700.0,0.0,0.0,142869.0,1915829700.0,21892.0,4308.0,0.0,-26200.0,293592801.0,57552200.0,0.0,-351145000.0
21/07/2026,12882.75,13250.0,100.0,0.00754717,12834.5,13027.5,12834.5,36072.0,482376400.0,0.0,0.0,36072.0,482376400.0,5015.0,-866.0,0.0,-4149.0,67345400.0,-11572300.0,0.0,-55773100.0
20/07/2026,12786.25,13700.0,-450.0,-0.03284672,13124.0,13172.25,12738.0,223606.0,2996970950.0,0.0,0.0,223606.0,2996970950.0,60189.0,-19989.0,0.0,-40200.0,804303100.0,-265058100.0,0.0,-539245000.0
17/07/2026,13220.5,13600.0,100.0,0.00735294,13027.5,13268.75,13027.5,42131.0,573481600.0,0.0,0.0,42131.0,573481600.0,6679.0,1321.0,0.0,-8000.0,91246250.0,17673750.0,0.0,-108920000.0
16/07/2026,13124.0,13700.0,-100.0,-0.00729927,13317.0,13317.0,13075.75,112909.0,1537127400.0,0.0,0.0,112909.0,1537127400.0,21681.0,-2981.0,0.0,-18700.0,295292099.0,-40742100.0,0.0,-254550000.0
15/07/2026,13220.5,13750.0,-50.0,-0.00363636,13124.0,13268.75,13124.0,20509.0,281004300.0,0.0,0.0,20509.0,281004300.0,9244.0,-5930.0,0.0,-3314.0,126679801.0,-81338700.0,0.0,-45341100.0
14/07/2026,13268.75,13550.0,200.0,0.01476015,13075.75,13317.0,12931.0,40062.0,545868800.0,0.0,0.0,40062.0,545868800.0,-8284.0,-916.0,0.0,9200.0,-113440250.0,-12399750.0,0.0,125840000.0
13/07/2026,13075.75,13900.0,-350.0,-0.02517986,13413.5,13413.5,13075.75,233449.0,3187334900.0,0.0,0.0,233449.0,3187334900.0,-23970.0,24170.0,0.0,-200.0,-321512250.0,324377250.0,0.0,-2865000.0
10/07/2026,13413.5,13950.0,-50.0,-0.00358423,13461.75,13510.0,13365.25,60193.0,839111000.0,0.0,0.0,60193.0,839111000.0,12882.0,2418.0,0.0,-15300.0,180677300.0,33522700.0,0.0,-214200000.0
09/07/2026,13461.75,13950.0,0.0,0.0,13413.5,13558.25,13413.5,38107.0,532344500.0,95000.0,1325250000.0,133107.0,1857594500.0,-4266.0,5862.0,0.0,-1596.0,-59954800.0,82759200.0,0.0,-22804400.0
08/07/2026,13461.75,13800.0,150.0,0.01086957,13365.25,13510.0,13317.0,68823.0,960956300.0,0.0,0.0,68823.0,960956300.0,9288.0,1112.0,0.0,-10400.0,130042700.0,15622300.0,0.0,-145665000.0
07/07/2026,13317.0,14000.0,-200.0,-0.01428571,13510.0,13510.0,13268.75,190197.0,2636471550.0,0.0,0.0,190197.0,2636471550.0,-19022.0,24422.0,0.0,-5400.0,-263806900.0,339556900.0,0.0,-75750000.0
06/07/2026,13510.0,14250.0,-250.0,-0.01754386,13751.25,13799.5,13461.75,226459.0,3194243400.0,0.0,0.0,226459.0,3194243400.0,58804.0,-25404.0,0.0,-33400.0,831745601.0,-360080600.0,0.0,-471665000.0
03/07/2026,13751.25,14250.0,0.0,0.0,13703.0,13751.25,13606.5,160504.0,2269343150.0,0.0,0.0,160504.0,2269343150.0,-1193.0,32493.0,0.0,-31300.0,-14923400.0,457383400.0,0.0,-442460000.0
02/07/2026,13751.25,14200.0,50.0,0.00352113,13799.5,13799.5,13703.0,56177.0,798132050.0,0.0,0.0,56177.0,798132050.0,1804.0,5796.0,0.0,-7600.0,25661850.0,82298150.0,0.0,-107960000.0
01/07/2026,13703.0,14250.0,-50.0,-0.00350877,13751.25,13847.75,13654.75,108945.0,1549535800.0,0.0,0.0,108945.0,1549535800.0,-15883.0,36783.0,0.0,-20900.0,-225948100.0,523128100.0,0.0,-297180000.0
30/06/2026,13751.25,14250.0,0.0,0.0,13654.75,13847.75,13654.75,119981.0,1703690350.0,0.0,0.0,119981.0,1703690350.0,-24072.0,47772.0,0.0,-23700.0,-342737400.0,679282400.0,0.0,-336545000.0
29/06/2026,13751.25,14300.0,-50.0,-0.0034965,13703.0,13944.25,13703.0,138609.0,1973358350.0,0.0,0.0,138609.0,1973358350.0,23294.0,20601.0,0.0,-43895.0,330670000.0,293615000.0,0.0,-624285000.0
26/06/2026,13799.5,14400.0,-100.0,-0.00694444,13896.0,13944.25,13654.75,211071.0,3008412500.0,0.0,0.0,211071.0,3008412500.0,70829.0,-31429.0,-114.0,-39400.0,1009470450.0,-448160450.0,-1620000.0,-561310000.0
25/06/2026,13896.0,14450.0,-50.0,-0.00346021,13944.25,13944.25,13799.5,54146.0,778914800.0,0.0,0.0,54146.0,778914800.0,30098.0,-21098.0,0.0,-9000.0,432176100.0,-302791100.0,0.0,-129385000.0
24/06/2026,13944.25,14350.0,100.0,0.00696864,13896.0,13944.25,13751.25,99669.0,1430043600.0,0.0,0.0,99669.0,1430043600.0,35666.0,953.0,0.0,-36619.0,510265400.0,14943200.0,0.0,-525208600.0
23/06/2026,13847.75,14500.0,-150.0,-0.01034483,13992.5,13992.5,13847.75,58215.0,838471200.0,0.0,0.0,58215.0,838471200.0,12207.0,893.0,0.0,-13100.0,175835251.0,12914750.0,0.0,-188750000.0
22/06/2026,13992.5,14400.0,100.0,0.00694444,13896.0,13992.5,13847.75,97110.0,1399449100.0,0.0,0.0,97110.0,1399449100.0,12398.0,11258.0,0.0,-23656.0,177468800.0,163263600.0,0.0,-340732400.0
19/06/2026,13896.0,14550.0,-150.0,-0.01030928,14137.25,14185.5,13896.0,26963.0,390086700.0,0.0,0.0,26963.0,390086700.0,16401.0,-12101.0,0.0,-4300.0,236714550.0,-174264550.0,0.0,-62450000.0
