NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,143000.0,143900.0,-900.0,-0.00625434,143900.0,144100.0,143000.0,72314.0,10360074900.0,0.0,0.0,72314.0,10360074900.0,0.0,1200.0,1200.0,-7900.0,0.0,172140000.0,172140000.0,-1132670000.0
03/09/2026,143900.0,144800.0,-900.0,-0.00621547,144800.0,144800.0,143300.0,44991.0,6473625500.0,0.0,0.0,44991.0,6473625500.0,1010.0,0.0,-300.0,-710.0,140000300.0,0.0,-42780000.0,-97220300.0
28/08/2026,144800.0,144000.0,800.0,0.00555556,144000.0,144900.0,143100.0,34421.0,4965540300.0,0.0,0.0,34421.0,4965540300.0,-1878.0,-3847.0,0.0,5725.0,-271386101.0,-557223900.0,550000.0,828610000.0
27/08/2026,144000.0,144200.0,-200.0,-0.00138696,144300.0,145400.0,143300.0,80463.0,11589129200.0,0.0,0.0,80463.0,11589129200.0,-5488.0,-5912.0,-1200.0,11400.0,-800501400.0,-846748600.0,-173720000.0,1647250000.0
26/08/2026,144200.0,144500.0,-300.0,-0.00207612,144500.0,144900.0,142800.0,117561.0,16874140800.0,0.0,0.0,117561.0,16874140800.0,21450.0,-11671.0,400.0,-9779.0,3065849500.0,-1664591400.0,58640000.0,-1401258100.0
25/08/2026,144500.0,144700.0,-200.0,-0.00138217,144700.0,145400.0,144500.0,67075.0,9714957400.0,0.0,0.0,67075.0,9714957400.0,18304.0,12496.0,800.0,-30800.0,2653029900.0,1809510100.0,116170000.0,-4462540000.0
24/08/2026,144700.0,145500.0,-800.0,-0.00549828,146900.0,146900.0,144600.0,55436.0,8046580100.0,0.0,0.0,55436.0,8046580100.0,13333.0,-4633.0,-12500.0,-8700.0,1935882300.0,-672522300.0,-1811750000.0,-1263360000.0
21/08/2026,145500.0,143600.0,1900.0,0.0132312,143700.0,145500.0,143000.0,88667.0,12771446300.0,0.0,0.0,88667.0,12771446300.0,2079.0,-3979.0,0.0,1900.0,309959300.0,-583559300.0,0.0,273600000.0
20/08/2026,143600.0,144000.0,-400.0,-0.00277778,144000.0,144900.0,143000.0,56569.0,8126811200.0,0.0,0.0,56569.0,8126811200.0,3839.0,1906.0,400.0,-5745.0,554211800.0,271924200.0,57400000.0,-826136000.0
19/08/2026,144000.0,146100.0,-2100.0,-0.01437372,146200.0,146200.0,143800.0,83799.0,12108012600.0,0.0,0.0,83799.0,12108012600.0,9811.0,2589.0,400.0,-12400.0,1420944301.0,376625700.0,58200000.0,-1797570000.0
18/08/2026,146100.0,145600.0,500.0,0.00343407,145300.0,146500.0,145300.0,53505.0,7801636600.0,0.0,0.0,53505.0,7801636600.0,14881.0,2219.0,-400.0,-17100.0,2170401600.0,321398400.0,-57840000.0,-2491800000.0
17/08/2026,145600.0,147200.0,-1600.0,-0.01086957,147200.0,147400.0,145500.0,63802.0,9344074000.0,0.0,0.0,63802.0,9344074000.0,-9995.0,22022.0,1300.0,-12027.0,-1463219299.0,3223408700.0,191350000.0,-1760189400.0
14/08/2026,147200.0,149400.0,-2200.0,-0.01472557,149700.0,149700.0,146700.0,122407.0,18089289500.0,0.0,0.0,122407.0,18089289500.0,31099.0,-4998.0,-26500.0,-26101.0,4602003801.0,-753986100.0,-3928880000.0,-3848017700.0
13/08/2026,149400.0,148500.0,900.0,0.00606061,148700.0,150900.0,148600.0,72829.0,10889611200.0,0.0,0.0,72829.0,10889611200.0,8537.0,-19837.0,-11200.0,11300.0,1274097000.0,-2962307000.0,-1680040000.0,1688210000.0
12/08/2026,148500.0,149000.0,-500.0,-0.0033557,149900.0,149900.0,148500.0,49654.0,7386111600.0,0.0,0.0,49654.0,7386111600.0,11431.0,-1431.0,-300.0,-10000.0,1700125800.0,-211945800.0,-44590000.0,-1488180000.0
11/08/2026,149000.0,148800.0,200.0,0.00134409,148700.0,149800.0,148300.0,63687.0,9497792800.0,0.0,0.0,63687.0,9497792800.0,-6772.0,-728.0,-1800.0,7500.0,-1006167700.0,-112012300.0,-268290000.0,1118180000.0
10/08/2026,148800.0,148800.0,0.0,0.0,149800.0,150200.0,148000.0,59071.0,8811257500.0,0.0,0.0,59071.0,8811257500.0,-6845.0,1723.0,-8100.0,5122.0,-1025159101.0,260486900.0,-1206720000.0,764672200.0
07/08/2026,148800.0,147600.0,1200.0,0.00813008,148200.0,150000.0,147600.0,67273.0,9983060200.0,0.0,0.0,67273.0,9983060200.0,919.0,15281.0,-200.0,-16200.0,125005300.0,2266464700.0,-30400000.0,-2391470000.0
06/08/2026,147600.0,149200.0,-1600.0,-0.01072386,149300.0,149300.0,146400.0,160789.0,23720713300.0,0.0,0.0,160789.0,23720713300.0,69490.0,22197.0,5600.0,-91687.0,10261687299.0,3270927400.0,828110000.0,-13532614700.0
05/08/2026,149200.0,149800.0,-600.0,-0.00400534,150000.0,150300.0,148700.0,85877.0,12831676200.0,0.0,0.0,85877.0,12831676200.0,29970.0,-4510.0,-2100.0,-25460.0,4479567900.0,-672083900.0,-315730000.0,-3807484000.0
04/08/2026,149800.0,151600.0,-1800.0,-0.01187335,152800.0,152800.0,149400.0,134019.0,20139162600.0,135000.0,20653045000.0,269019.0,40792207600.0,16115.0,4667.0,-31400.0,-20782.0,2425793600.0,697271800.0,-4722810000.0,-3123065400.0
03/08/2026,151600.0,153300.0,-1700.0,-0.01108937,153000.0,153500.0,151500.0,91087.0,13873152500.0,0.0,0.0,91087.0,13873152500.0,3347.0,-15274.0,-24100.0,11927.0,495754200.0,-2316300100.0,-3661380000.0,1820545900.0
31/07/2026,153300.0,148100.0,5200.0,0.03511141,149000.0,153300.0,148500.0,276492.0,42084788500.0,0.0,0.0,276492.0,42084788500.0,-146408.0,111708.0,94000.0,34700.0,-22316475300.0,17054745300.0,14355200000.0,5261730000.0
30/07/2026,148100.0,148100.0,0.0,0.0,147800.0,148900.0,147200.0,58072.0,8615091600.0,0.0,0.0,58072.0,8615091600.0,256.0,-2746.0,0.0,2490.0,35134000.0,-405228000.0,0.0,370094000.0
