NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,10900.0,10600.0,300.0,0.02830189,10600.0,10900.0,10600.0,1000.0,10750000.0,0.0,0.0,1000.0,10750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,10600.0,10800.0,-200.0,-0.01851852,10800.0,10900.0,10600.0,2200.0,23655000.0,0.0,0.0,2200.0,23655000.0,-200.0,200.0,0.0,0.0,-2055000.0,2055000.0,0.0,0.0
27/08/2026,10800.0,10900.0,-100.0,-0.00917431,11000.0,11000.0,10700.0,3200.0,34685000.0,0.0,0.0,3200.0,34685000.0,2600.0,-2600.0,0.0,0.0,28145000.0,-28145000.0,0.0,0.0
26/08/2026,10900.0,10950.0,-50.0,-0.00456621,10900.0,10900.0,10900.0,1401.0,15270950.0,0.0,0.0,1401.0,15270950.0,1200.0,-1200.0,0.0,0.0,13080000.0,-13080000.0,0.0,0.0
25/08/2026,10950.0,11550.0,-600.0,-0.05194805,10850.0,11450.0,10850.0,9903.0,108159500.0,0.0,0.0,9903.0,108159500.0,5300.0,-2300.0,0.0,-3000.0,57895000.0,-25045000.0,0.0,-32850000.0
24/08/2026,11550.0,11100.0,450.0,0.04054054,11550.0,11550.0,11550.0,644.0,7438200.0,0.0,0.0,644.0,7438200.0,501.0,-501.0,0.0,0.0,5786551.0,-5786550.0,0.0,0.0
21/08/2026,11100.0,11200.0,-100.0,-0.00892857,11450.0,11450.0,10700.0,1601.0,18146950.0,0.0,0.0,1601.0,18146950.0,0.0,0.0,0.0,0.0,70000.0,-70000.0,0.0,0.0
20/08/2026,11200.38,12250.0,50.0,0.00408163,11154.85,11382.5,11109.32,8906.0,110352350.0,0.0,0.0,8906.0,110352350.0,-4800.0,4800.0,0.0,0.0,-59825000.0,59825000.0,0.0,0.0
19/08/2026,11154.85,12300.0,-50.0,-0.00406504,11200.38,11200.38,11154.85,9200.0,112960000.0,0.0,0.0,9200.0,112960000.0,3000.0,-3000.0,0.0,0.0,36760000.0,-36760000.0,0.0,0.0
18/08/2026,11200.38,12300.0,0.0,0.0,11200.38,11200.38,11200.38,2200.0,27060000.0,0.0,0.0,2200.0,27060000.0,1900.0,-1900.0,0.0,0.0,23370000.0,-23370000.0,0.0,0.0
17/08/2026,11200.38,12500.0,-200.0,-0.016,11382.5,11382.5,11200.38,2112.0,26270600.0,0.0,0.0,2112.0,26270600.0,812.0,-812.0,0.0,0.0,10130601.0,-10130600.0,0.0,0.0
14/08/2026,11382.5,12500.0,0.0,0.0,11382.5,11382.5,11382.5,2331.0,29137500.0,0.0,0.0,2331.0,29137500.0,-700.0,700.0,0.0,0.0,-8750000.0,8750000.0,0.0,0.0
13/08/2026,11382.5,12450.0,50.0,0.00401606,11382.5,11382.5,11382.5,100.0,1250000.0,0.0,0.0,100.0,1250000.0,100.0,-100.0,0.0,0.0,1250000.0,-1250000.0,0.0,0.0
12/08/2026,11336.97,12350.0,100.0,0.00809717,11291.44,11336.97,11291.44,700.0,8710000.0,0.0,0.0,700.0,8710000.0,-500.0,500.0,0.0,0.0,-6225000.0,6225000.0,0.0,0.0
