NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,29200.0,28900.0,300.0,0.01038062,28900.0,29900.0,28650.0,574331.0,16871072250.0,0.0,0.0,574331.0,16871072250.0,70862.0,-9862.0,0.0,-61000.0,2082010500.0,-305115500.0,0.0,-1776895000.0
27/08/2026,28900.0,29150.0,-250.0,-0.00857633,29300.0,29350.0,28800.0,158548.0,4592392750.0,0.0,0.0,158548.0,4592392750.0,29646.0,-386.0,0.0,-29260.0,857441250.0,-10984250.0,0.0,-846457000.0
26/08/2026,29150.0,28950.0,200.0,0.00690846,29000.0,29350.0,28600.0,266186.0,7709150900.0,0.0,0.0,266186.0,7709150900.0,25201.0,8299.0,0.0,-33500.0,728667900.0,240237100.0,0.0,-968905000.0
25/08/2026,28950.0,29300.0,-350.0,-0.01194539,29200.0,29400.0,28800.0,388373.0,11271491200.0,0.0,0.0,388373.0,11271491200.0,-59397.0,17747.0,0.0,41650.0,-1719025850.0,512948450.0,0.0,1206077400.0
24/08/2026,29300.0,29350.0,-50.0,-0.00170358,30000.0,30000.0,29200.0,342097.0,10067981150.0,245232.0,7197559200.0,587329.0,17265540350.0,54389.0,-54089.0,0.0,-300.0,1589376250.0,-1580586250.0,0.0,-8790000.0
21/08/2026,29350.0,27700.0,1650.0,0.05956679,27800.0,29450.0,27700.0,779875.0,22452567550.0,0.0,0.0,779875.0,22452567550.0,-47011.0,2741.0,0.0,44270.0,-1363092200.0,110575200.0,0.0,1252517000.0
20/08/2026,27700.0,27650.0,50.0,0.00180832,28000.0,28000.0,27500.0,114377.0,3165150500.0,0.0,0.0,114377.0,3165150500.0,8878.0,19622.0,0.0,-28500.0,246770400.0,542034600.0,0.0,-788805000.0
19/08/2026,27650.0,27700.0,-50.0,-0.00180505,27700.0,28100.0,27550.0,174487.0,4834365700.0,0.0,0.0,174487.0,4834365700.0,-8626.0,40686.0,-10500.0,-32060.0,-240637000.0,1128606950.0,-290435000.0,-887969950.0
18/08/2026,27700.0,27750.0,-50.0,-0.0018018,27600.0,28150.0,27600.0,225007.0,6261497750.0,0.0,0.0,225007.0,6261497750.0,48894.0,-45294.0,0.0,-3600.0,1359004750.0,-1259224750.0,0.0,-99780000.0
17/08/2026,27750.0,28100.0,-350.0,-0.01245552,28100.0,28250.0,27600.0,264309.0,7361005400.0,0.0,0.0,264309.0,7361005400.0,-6774.0,39264.0,-10200.0,-32490.0,-192165200.0,1099196700.0,-284355000.0,-907031500.0
14/08/2026,28100.0,28350.0,-250.0,-0.00881834,28250.0,28450.0,28000.0,315790.0,8903479600.0,0.0,0.0,315790.0,8903479600.0,-28716.0,29316.0,-200.0,-600.0,-807481099.0,826531100.0,-5620000.0,-19050000.0
13/08/2026,28350.0,29000.0,-650.0,-0.02241379,29200.0,29250.0,28350.0,407100.0,11684889500.0,0.0,0.0,407100.0,11684889500.0,27720.0,10480.0,0.0,-38200.0,796034200.0,313130800.0,0.0,-1109165000.0
12/08/2026,29000.0,29400.0,-400.0,-0.01360544,29500.0,29500.0,28900.0,372173.0,10854119850.0,0.0,0.0,372173.0,10854119850.0,-30123.0,17123.0,0.0,13000.0,-869819349.0,489569350.0,0.0,380250000.0
11/08/2026,29400.0,29100.0,300.0,0.01030928,29300.0,30200.0,29300.0,632115.0,18758703200.0,245232.0,7136251200.0,877347.0,25894954400.0,-21767.0,23787.0,0.0,-2020.0,-651352151.0,708334350.0,0.0,-56982200.0
10/08/2026,29100.0,28150.0,950.0,0.03374778,28600.0,29100.0,28400.0,479924.0,13805118800.0,0.0,0.0,479924.0,13805118800.0,31929.0,-84529.0,0.0,52600.0,916402400.0,-2421917400.0,0.0,1505515000.0
07/08/2026,28150.0,27950.0,200.0,0.00715564,28100.0,28600.0,27900.0,384303.0,10866331350.0,0.0,0.0,384303.0,10866331350.0,23342.0,-50962.0,0.0,27620.0,678825299.0,-1447160300.0,0.0,768335000.0
06/08/2026,27950.0,28200.0,-250.0,-0.00886525,28000.0,28700.0,27950.0,186006.0,5229454200.0,245232.0,6915542400.0,431238.0,12144996600.0,-8665.0,16115.0,0.0,-7450.0,-241236700.0,451694200.0,0.0,-210457500.0
