NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,26750.0,26900.0,-150.0,-0.00557621,26950.0,27100.0,26750.0,4911159.0,131989828100.0,20000.0,560000000.0,4931159.0,132549828100.0,0.0,2900.0,2900.0,-441100.0,0.0,79385000.0,79385000.0,-11851440000.0
03/09/2026,26900.0,26600.0,300.0,0.0112782,27300.0,27800.0,26900.0,11646174.0,317796549400.0,0.0,0.0,11646174.0,317796549400.0,-1048765.0,0.0,-41100.0,1089865.0,-28419732750.0,0.0,-1110735000.0,29530467750.0
28/08/2026,26600.0,26500.0,100.0,0.00377358,26550.0,26950.0,26500.0,5992062.0,160133788750.0,0.0,0.0,5992062.0,160133788750.0,-1012320.0,66460.0,-153000.0,945860.0,-27087051050.0,1783115050.0,-4081075000.0,25303936000.0
27/08/2026,26500.0,26850.0,-350.0,-0.01303538,26900.0,26900.0,26400.0,6292166.0,167154202500.0,0.0,0.0,6292166.0,167154202500.0,887749.0,-7549.0,-179300.0,-880200.0,23603106850.0,-214286850.0,-4767540000.0,-23388820000.0
26/08/2026,26850.0,26700.0,150.0,0.00561798,26650.0,27400.0,26650.0,7553751.0,203747329950.0,20000.0,560000000.0,7573751.0,204307329950.0,143852.0,212548.0,111800.0,-356400.0,3850053950.0,5742301050.0,3018120000.0,-9592355000.0
25/08/2026,26700.0,27400.0,-700.0,-0.02554745,27200.0,27300.0,26600.0,10606835.0,284831513000.0,200000.0,5348600000.0,10806835.0,290180113000.0,1206101.0,-68801.0,-109600.0,-1137300.0,32411822650.0,-1836392650.0,-2932100000.0,-30575430000.0
24/08/2026,27400.0,26850.0,550.0,0.02048417,27000.0,27900.0,26850.0,14151528.0,387331353550.0,135000.0,3691440000.0,14286528.0,391022793550.0,636852.0,81208.0,900.0,-718060.0,17462996900.0,2220526100.0,71090000.0,-19683523000.0
21/08/2026,26850.0,27000.0,-150.0,-0.00555556,27200.0,27200.0,26700.0,8867498.0,238842563750.0,0.0,0.0,8867498.0,238842563750.0,1825103.0,473197.0,64900.0,-2298300.0,49208143500.0,12752931500.0,1746655000.0,-61961075000.0
20/08/2026,27000.0,26700.0,300.0,0.01123596,26850.0,27050.0,26350.0,8284002.0,221478264150.0,0.0,0.0,8284002.0,221478264150.0,342079.0,649321.0,202600.0,-991400.0,9135480450.0,17315769550.0,5420980000.0,-26451250000.0
19/08/2026,26700.0,27200.0,-500.0,-0.01838235,27150.0,27450.0,26550.0,7323223.0,196773053950.0,0.0,0.0,7323223.0,196773053950.0,695347.0,-810518.0,94200.0,115171.0,18634987749.0,-21718303300.0,2525140000.0,3083315550.0
18/08/2026,27200.0,26000.0,1200.0,0.04615385,26200.0,27650.0,26200.0,20622478.0,560521239400.0,0.0,0.0,20622478.0,560521239400.0,-2139656.0,2322881.0,-103000.0,-183225.0,-57866103750.0,63317266250.0,-2799725000.0,-5451162500.0
17/08/2026,26000.0,25350.0,650.0,0.02564103,25400.0,26200.0,24900.0,7181203.0,183949885400.0,0.0,0.0,7181203.0,183949885400.0,-1498477.0,1422677.0,124500.0,75800.0,-38461144000.0,36492194000.0,3177095000.0,1968950000.0
14/08/2026,25350.0,26500.0,-1150.0,-0.04339623,26450.0,26700.0,25350.0,9800532.0,253555043050.0,0.0,0.0,9800532.0,253555043050.0,-28012.0,719802.0,-97700.0,-691790.0,-371431850.0,18465210850.0,-2489575000.0,-18093779000.0
13/08/2026,26500.0,26500.0,0.0,0.0,26600.0,27200.0,26250.0,9713811.0,259555861800.0,0.0,0.0,9713811.0,259555861800.0,-1531417.0,-229083.0,-86500.0,1760500.0,-40886675800.0,-6117949200.0,-2308920000.0,47004625000.0
