NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,7300.0,7440.0,-140.0,-0.0188172,7440.0,7440.0,7300.0,28234.0,207278740.0,0.0,0.0,28234.0,207278740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,7440.0,7390.0,50.0,0.0067659,7390.0,7440.0,7370.0,17790.0,131452400.0,0.0,0.0,17790.0,131452400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,7390.0,7400.0,-10.0,-0.00135135,7400.0,7400.0,7380.0,27272.0,201574260.0,0.0,0.0,27272.0,201574260.0,11820.0,13580.0,0.0,-25400.0,87315040.0,100430960.0,0.0,-187746000.0
27/08/2026,7400.0,7400.0,0.0,0.0,7400.0,7430.0,7400.0,5327.0,39460100.0,0.0,0.0,5327.0,39460100.0,-1310.0,1310.0,0.0,0.0,-9721100.0,9721100.0,0.0,0.0
26/08/2026,7400.0,7390.0,10.0,0.00135318,7380.0,7400.0,7380.0,79058.0,584783200.0,0.0,0.0,79058.0,584783200.0,44653.0,5347.0,0.0,-50000.0,330305200.0,39494800.0,0.0,-369800000.0
25/08/2026,7390.0,7400.0,-10.0,-0.00135135,7400.0,7410.0,7390.0,33301.0,246345400.0,0.0,0.0,33301.0,246345400.0,7320.0,12680.0,0.0,-20000.0,54171001.0,93829000.0,0.0,-148000000.0
24/08/2026,7400.0,7380.0,20.0,0.00271003,7450.0,7500.0,7400.0,16701.0,123936450.0,0.0,0.0,16701.0,123936450.0,3100.0,-3100.0,0.0,0.0,22891000.0,-22891000.0,0.0,0.0
21/08/2026,7380.0,7390.0,-10.0,-0.00135318,7390.0,7400.0,7380.0,9303.0,68756170.0,0.0,0.0,9303.0,68756170.0,-5900.0,5900.0,0.0,0.0,-43592001.0,43592000.0,0.0,0.0
20/08/2026,7390.0,7350.0,40.0,0.00544218,7480.0,7480.0,7300.0,14204.0,104951440.0,0.0,0.0,14204.0,104951440.0,1904.0,-1904.0,0.0,0.0,14255440.0,-14255440.0,0.0,0.0
19/08/2026,7350.0,7420.0,-70.0,-0.00943396,7470.0,7500.0,7350.0,8673.0,64332680.0,0.0,0.0,8673.0,64332680.0,4500.0,0.0,0.0,-4500.0,33415000.0,-44000.0,0.0,-33371000.0
18/08/2026,7420.0,7470.0,-50.0,-0.00669344,7470.0,7470.0,7420.0,4615.0,34294050.0,0.0,0.0,4615.0,34294050.0,-1100.0,1100.0,0.0,0.0,-8197000.0,8197000.0,0.0,0.0
17/08/2026,7470.0,7410.0,60.0,0.00809717,7440.0,7470.0,7400.0,25200.0,186676000.0,0.0,0.0,25200.0,186676000.0,4200.0,15800.0,0.0,-20000.0,31022000.0,117042000.0,0.0,-148064000.0
14/08/2026,7410.0,7410.0,0.0,0.0,7400.0,7490.0,7380.0,69203.0,512737260.0,0.0,0.0,69203.0,512737260.0,6493.0,41607.0,0.0,-48100.0,47936360.0,308417640.0,0.0,-356354000.0
13/08/2026,7410.0,7430.0,-20.0,-0.00269179,7430.0,7450.0,7400.0,30902.0,229037860.0,0.0,0.0,30902.0,229037860.0,14898.0,6102.0,0.0,-21000.0,110320141.0,45217860.0,0.0,-155538000.0
12/08/2026,7430.0,7450.0,-20.0,-0.00268456,7450.0,7450.0,7380.0,48440.0,358291540.0,0.0,0.0,48440.0,358291540.0,26600.0,500.0,0.0,-27100.0,196677000.0,3493000.0,0.0,-200170000.0
11/08/2026,7450.0,7440.0,10.0,0.00134409,7440.0,7500.0,7430.0,28610.0,213289020.0,0.0,0.0,28610.0,213289020.0,10729.0,4271.0,0.0,-15000.0,79866550.0,31791450.0,0.0,-111658000.0
10/08/2026,7440.0,7410.0,30.0,0.00404858,7400.0,7480.0,7350.0,51430.0,381724800.0,0.0,0.0,51430.0,381724800.0,6475.0,-6475.0,0.0,0.0,47932299.0,-47932300.0,0.0,0.0
07/08/2026,7410.0,7410.0,0.0,0.0,7410.0,7470.0,7400.0,15097.0,111930760.0,0.0,0.0,15097.0,111930760.0,-80.0,80.0,0.0,0.0,-586281.0,586280.0,0.0,0.0
06/08/2026,7410.0,7450.0,-40.0,-0.00536913,7600.0,7600.0,7400.0,19662.0,146239580.0,0.0,0.0,19662.0,146239580.0,-4211.0,4211.0,0.0,0.0,-31223460.0,31223460.0,0.0,0.0
05/08/2026,7450.0,7510.0,-60.0,-0.00798935,7500.0,7580.0,7410.0,46499.0,347741480.0,0.0,0.0,46499.0,347741480.0,-10200.0,10200.0,0.0,0.0,-76229001.0,76229000.0,0.0,0.0
04/08/2026,7510.0,7500.0,10.0,0.00133333,7500.0,7580.0,7470.0,62821.0,471042520.0,0.0,0.0,62821.0,471042520.0,-16215.0,16215.0,0.0,0.0,-121517500.0,121517500.0,0.0,0.0
03/08/2026,7500.0,7650.0,-150.0,-0.01960784,7580.0,7580.0,7490.0,118959.0,892917790.0,0.0,0.0,118959.0,892917790.0,-46492.0,46492.0,0.0,0.0,-348899200.0,348899200.0,0.0,0.0
31/07/2026,7650.0,7680.0,-30.0,-0.00390625,7750.0,7750.0,7500.0,58310.0,439346000.0,0.0,0.0,58310.0,439346000.0,-9200.0,9200.0,0.0,0.0,-69147000.0,69147000.0,0.0,0.0
30/07/2026,7680.0,7700.0,-20.0,-0.0025974,7700.0,7700.0,7500.0,64022.0,483901450.0,0.0,0.0,64022.0,483901450.0,-27997.0,27997.0,0.0,0.0,-210588850.0,210588850.0,0.0,0.0
29/07/2026,7700.0,7730.0,-30.0,-0.00388098,7730.0,7800.0,7500.0,85442.0,642319030.0,0.0,0.0,85442.0,642319030.0,-32332.0,32332.0,0.0,0.0,-243162600.0,243162600.0,0.0,0.0
28/07/2026,7730.0,7780.0,-50.0,-0.00642674,7700.0,7770.0,7460.0,37343.0,283063400.0,0.0,0.0,37343.0,283063400.0,1000.0,-1000.0,0.0,0.0,8227120.0,-8227120.0,0.0,0.0
27/07/2026,7780.0,7800.0,-20.0,-0.0025641,7790.0,8000.0,7780.0,10852.0,84630140.0,0.0,0.0,10852.0,84630140.0,-2099.0,2099.0,0.0,0.0,-16368100.0,16368100.0,0.0,0.0
24/07/2026,7800.0,7800.0,0.0,0.0,8100.0,8100.0,7780.0,3110.0,24319400.0,0.0,0.0,3110.0,24319400.0,-1310.0,1310.0,0.0,0.0,-10242400.0,10242400.0,0.0,0.0
23/07/2026,7800.0,7800.0,0.0,0.0,7800.0,7850.0,7700.0,28333.0,220137400.0,0.0,0.0,28333.0,220137400.0,3311.0,-3311.0,0.0,0.0,25872420.0,-25872420.0,0.0,0.0
22/07/2026,7800.0,7900.0,-100.0,-0.01265823,7900.0,7900.0,7800.0,19359.0,151311760.0,0.0,0.0,19359.0,151311760.0,126.0,-126.0,0.0,0.0,1109470.0,-1109470.0,0.0,0.0
21/07/2026,7900.0,7900.0,0.0,0.0,8260.0,8260.0,7850.0,8755.0,69217000.0,0.0,0.0,8755.0,69217000.0,-4719.0,4719.0,0.0,0.0,-37342000.0,37342000.0,0.0,0.0
20/07/2026,7900.0,7920.0,-20.0,-0.00252525,8000.0,8000.0,7800.0,19992.0,157381720.0,0.0,0.0,19992.0,157381720.0,-1602.0,1602.0,0.0,0.0,-13067900.0,13067900.0,0.0,0.0
17/07/2026,7920.0,7950.0,-30.0,-0.00377358,7950.0,8000.0,7920.0,1461.0,11649190.0,0.0,0.0,1461.0,11649190.0,-1193.0,1193.0,0.0,0.0,-9516800.0,9516800.0,0.0,0.0
16/07/2026,7950.0,8100.0,-150.0,-0.01851852,8180.0,8180.0,7800.0,37510.0,296932000.0,0.0,0.0,37510.0,296932000.0,-4100.0,5200.0,0.0,-1100.0,-32095000.0,40910000.0,0.0,-8815000.0
15/07/2026,8100.0,8170.0,-70.0,-0.00856793,8150.0,8150.0,8000.0,8724.0,70259330.0,0.0,0.0,8724.0,70259330.0,671.0,29.0,0.0,-700.0,5398050.0,267950.0,0.0,-5666000.0
14/07/2026,8170.0,8170.0,0.0,0.0,8170.0,8250.0,8170.0,8842.0,72669500.0,0.0,0.0,8842.0,72669500.0,8000.0,-8000.0,0.0,0.0,65740000.0,-65740000.0,0.0,0.0
13/07/2026,8170.0,8200.0,-30.0,-0.00365854,8100.0,8200.0,8100.0,2750.0,22296640.0,0.0,0.0,2750.0,22296640.0,1430.0,-1430.0,0.0,0.0,11586640.0,-11586640.0,0.0,0.0
10/07/2026,8200.0,8240.0,-40.0,-0.00485437,8240.0,8240.0,8190.0,50505.0,414283200.0,0.0,0.0,50505.0,414283200.0,35399.0,-34899.0,0.0,-500.0,290395761.0,-286275760.0,0.0,-4120000.0
09/07/2026,8240.0,8220.0,20.0,0.00243309,8220.0,8240.0,8210.0,5005.0,41131400.0,0.0,0.0,5005.0,41131400.0,2495.0,-2495.0,0.0,0.0,20508600.0,-20508600.0,0.0,0.0
08/07/2026,8220.0,8280.0,-60.0,-0.00724638,8280.0,8280.0,8200.0,5192.0,42722280.0,0.0,0.0,5192.0,42722280.0,-100.0,200.0,0.0,-100.0,-818000.0,1645000.0,0.0,-827000.0
07/07/2026,8280.0,8260.0,20.0,0.00242131,8230.0,8300.0,8190.0,62214.0,510841290.0,0.0,0.0,62214.0,510841290.0,-38010.0,38410.0,0.0,-400.0,-311628300.0,314928300.0,0.0,-3300000.0
06/07/2026,8260.0,8300.0,-40.0,-0.00481928,8280.0,8300.0,8260.0,9013.0,74605900.0,0.0,0.0,9013.0,74605900.0,-2200.0,2200.0,0.0,0.0,-18184000.0,18184000.0,0.0,0.0
03/07/2026,8300.0,8300.0,0.0,0.0,8260.0,8300.0,8250.0,3010.0,24928000.0,0.0,0.0,3010.0,24928000.0,-810.0,810.0,0.0,0.0,-6695000.0,6695000.0,0.0,0.0
02/07/2026,8300.0,8280.0,20.0,0.00241546,8290.0,8330.0,8270.0,27953.0,231566860.0,0.0,0.0,27953.0,231566860.0,22990.0,-3990.0,0.0,-19000.0,190385541.0,-33065540.0,0.0,-157320000.0
01/07/2026,8280.0,8270.0,10.0,0.00120919,8270.0,8330.0,8270.0,4621.0,38345010.0,0.0,0.0,4621.0,38345010.0,-2198.0,2398.0,0.0,-200.0,-18257760.0,19917760.0,0.0,-1660000.0
30/06/2026,8270.0,8290.0,-20.0,-0.00241255,8290.0,8300.0,8250.0,19110.0,158321990.0,0.0,0.0,19110.0,158321990.0,7291.0,-7291.0,0.0,0.0,60486501.0,-60486500.0,0.0,0.0
29/06/2026,8290.0,8290.0,0.0,0.0,8290.0,8300.0,8290.0,4893.0,40538050.0,0.0,0.0,4893.0,40538050.0,70.0,-70.0,0.0,0.0,552000.0,-552000.0,0.0,0.0
26/06/2026,8290.0,8300.0,-10.0,-0.00120482,8300.0,8300.0,8250.0,20781.0,172012290.0,0.0,0.0,20781.0,172012290.0,-11500.0,11500.0,0.0,0.0,-95090000.0,95090000.0,0.0,0.0
25/06/2026,8300.0,8350.0,-50.0,-0.00598802,8310.0,8310.0,8300.0,6910.0,57358500.0,0.0,0.0,6910.0,57358500.0,-200.0,200.0,0.0,0.0,-1664000.0,1664000.0,0.0,0.0
24/06/2026,8350.0,8350.0,0.0,0.0,8300.0,8350.0,8300.0,8623.0,71578400.0,0.0,0.0,8623.0,71578400.0,7958.0,-7958.0,0.0,0.0,66053800.0,-66053800.0,0.0,0.0
23/06/2026,8350.0,8360.0,-10.0,-0.00119617,8360.0,8360.0,8270.0,72042.0,596538480.0,0.0,0.0,72042.0,596538480.0,37600.0,26700.0,0.0,-64300.0,311377001.0,220517000.0,0.0,-531894000.0
