NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
25/09/2026,10500.0,10500.0,0.0,0.0,10500.0,10700.0,10400.0,692519.0,7292982250.0,0.0,0.0,692519.0,7292982250.0,171000.0,0.0,0.0,-171000.0,1798770000.0,0.0,0.0,-1798770000.0
24/09/2026,10500.0,10750.0,-250.0,-0.02325581,10800.0,10800.0,10500.0,734148.0,7786712950.0,0.0,0.0,734148.0,7786712950.0,155600.0,0.0,0.0,-155600.0,1650505000.0,0.0,0.0,-1650505000.0
23/09/2026,10750.0,10550.0,200.0,0.01895735,10850.0,10950.0,10700.0,1040610.0,11286233250.0,0.0,0.0,1040610.0,11286233250.0,80900.0,0.0,0.0,-80900.0,878140000.0,0.0,0.0,-878140000.0
22/09/2026,10566.815,11200.0,-350.0,-0.03125,10810.29,10907.68,10469.425,4843775.0,52975297550.0,30000.0,315000000.0,4873775.0,53290297550.0,-44900.0,0.0,0.0,44900.0,-483950000.0,0.0,0.0,483950000.0
21/09/2026,10907.68,11750.0,-550.0,-0.04680851,11686.8,11735.495,10858.985,1693273.0,19492054700.0,6396154.0,72276540200.0,8089427.0,91768594900.0,-80200.0,0.0,0.0,80200.0,-914080000.0,0.0,0.0,914080000.0
18/09/2026,11443.325,11000.0,750.0,0.06818182,10712.9,11443.325,10712.9,2746628.0,31401516550.0,5349892.0,58848812000.0,8096520.0,90250328550.0,-318900.0,0.0,0.0,318900.0,-3569285000.0,0.0,0.0,3569285000.0
17/09/2026,10712.9,10900.0,100.0,0.00917431,10615.51,10858.985,10566.815,752767.0,8274670050.0,0.0,0.0,752767.0,8274670050.0,-65100.0,0.0,0.0,65100.0,-709735000.0,0.0,0.0,709735000.0
16/09/2026,10615.51,11150.0,-250.0,-0.02242152,10956.375,10956.375,10615.51,1273144.0,13986098400.0,0.0,0.0,1273144.0,13986098400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/09/2026,10858.985,11150.0,0.0,0.0,10810.29,10956.375,10810.29,619729.0,6909502450.0,0.0,0.0,619729.0,6909502450.0,0.0,20000.0,20000.0,0.0,0.0,224000000.0,224000000.0,0.0
14/09/2026,10858.985,11400.0,-250.0,-0.02192982,10810.29,10956.375,10712.9,1525222.0,16927278900.0,0.0,0.0,1525222.0,16927278900.0,1700.0,0.0,0.0,-1700.0,19230000.0,0.0,0.0,-19230000.0
11/09/2026,11102.46,11600.0,-200.0,-0.01724138,11297.24,11297.24,11053.765,435539.0,4987104650.0,0.0,0.0,435539.0,4987104650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/09/2026,11297.24,11600.0,0.0,0.0,11443.325,11443.325,11248.545,305282.0,3542451050.0,0.0,0.0,305282.0,3542451050.0,2000.0,0.0,0.0,-2000.0,23200000.0,0.0,0.0,-23200000.0
09/09/2026,11297.24,11650.0,-50.0,-0.00429185,11443.325,11589.41,11297.24,345225.0,4035831150.0,939277.0,11083468600.0,1284502.0,15119299750.0,2200.0,0.0,0.0,-2200.0,25650000.0,0.0,0.0,-25650000.0
08/09/2026,11345.935,11750.0,-100.0,-0.00851064,11443.325,11492.02,11248.545,559938.0,6526838200.0,0.0,0.0,559938.0,6526838200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
