NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,15900.0,15900.0,0.0,0.0,15900.0,15900.0,15900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,15900.0,15900.0,0.0,0.0,15900.0,15900.0,15900.0,22.0,337200.0,0.0,0.0,22.0,337200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,15900.0,15550.0,350.0,0.02250804,15900.0,15900.0,15900.0,502.0,7441050.0,0.0,0.0,502.0,7441050.0,-140.0,140.0,0.0,0.0,-2172050.0,2172050.0,0.0,0.0
27/08/2026,15550.0,14700.0,850.0,0.05782313,14700.0,15550.0,14500.0,3815.0,56142700.0,0.0,0.0,3815.0,56142700.0,1987.0,113.0,0.0,-2100.0,29191701.0,1658300.0,0.0,-30850000.0
26/08/2026,14700.0,15600.0,-900.0,-0.05769231,15300.0,15300.0,14600.0,2630.0,38652500.0,0.0,0.0,2630.0,38652500.0,10.0,90.0,0.0,-100.0,147500.0,1332500.0,0.0,-1480000.0
25/08/2026,15600.0,15600.0,0.0,0.0,15600.0,15600.0,15600.0,473.0,7132900.0,0.0,0.0,473.0,7132900.0,-51.0,51.0,0.0,0.0,-749700.0,749700.0,0.0,0.0
24/08/2026,15600.0,15350.0,250.0,0.01628665,15300.0,15800.0,15300.0,5900.0,92580000.0,0.0,0.0,5900.0,92580000.0,-5700.0,5800.0,0.0,-100.0,-89520000.0,91050000.0,0.0,-1530000.0
21/08/2026,15350.0,15350.0,0.0,0.0,15350.0,15350.0,15350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,15350.0,15300.0,50.0,0.00326797,15350.0,15350.0,15350.0,322.0,4939900.0,0.0,0.0,322.0,4939900.0,-8.0,8.0,0.0,0.0,-120000.0,120000.0,0.0,0.0
19/08/2026,15300.0,14750.0,550.0,0.03728814,15300.0,15300.0,15300.0,101.0,1544750.0,0.0,0.0,101.0,1544750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,14750.0,15350.0,-600.0,-0.03908795,14700.0,14800.0,14700.0,1824.0,26916900.0,0.0,0.0,1824.0,26916900.0,-100.0,100.0,0.0,0.0,-1486400.0,1486400.0,0.0,0.0
17/08/2026,15350.0,15350.0,0.0,0.0,15350.0,15350.0,15350.0,10.0,153500.0,0.0,0.0,10.0,153500.0,10.0,-10.0,0.0,0.0,153500.0,-153500.0,0.0,0.0
14/08/2026,15350.0,15400.0,-50.0,-0.00324675,15350.0,15350.0,15350.0,136.0,2087450.0,530000.0,8480000000.0,530136.0,8482087450.0,-109.0,109.0,0.0,0.0,-1682300.0,1682300.0,0.0,0.0
13/08/2026,15400.0,15400.0,0.0,0.0,15400.0,15500.0,15400.0,5910.0,91034000.0,0.0,0.0,5910.0,91034000.0,-200.0,200.0,0.0,0.0,-3080000.0,3080000.0,0.0,0.0
12/08/2026,15400.0,15900.0,-500.0,-0.03144654,16800.0,16800.0,15350.0,1010.0,15660000.0,1180000.0,18426000000.0,1181010.0,18441660000.0,90.0,-90.0,0.0,0.0,1385000.0,-1385000.0,0.0,0.0
11/08/2026,15900.0,16050.0,-150.0,-0.00934579,16000.0,16000.0,15900.0,1623.0,25865350.0,0.0,0.0,1623.0,25865350.0,-610.0,610.0,0.0,0.0,-9762000.0,9762000.0,0.0,0.0
10/08/2026,16050.0,15250.0,800.0,0.05245902,15250.0,16050.0,15250.0,202.0,3160400.0,650000.0,9977500000.0,650202.0,9980660400.0,-100.0,100.0,0.0,0.0,-1525000.0,1525000.0,0.0,0.0
07/08/2026,15250.0,15900.0,-650.0,-0.0408805,15300.0,15300.0,15250.0,1184.0,18095700.0,0.0,0.0,1184.0,18095700.0,520.0,-520.0,0.0,0.0,7925500.0,-7925500.0,0.0,0.0
06/08/2026,15900.0,15900.0,0.0,0.0,15850.0,15900.0,15850.0,1008.0,16007200.0,0.0,0.0,1008.0,16007200.0,-800.0,800.0,0.0,0.0,-12700000.0,12700000.0,0.0,0.0
05/08/2026,15900.0,16000.0,-100.0,-0.00625,15950.0,15950.0,15250.0,2328.0,36870150.0,520000.0,8008000000.0,522328.0,8044870150.0,1218.0,-1218.0,0.0,0.0,19269750.0,-19269750.0,0.0,0.0
04/08/2026,16000.0,15200.0,800.0,0.05263158,16000.0,16100.0,15950.0,2403.0,38453100.0,0.0,0.0,2403.0,38453100.0,2101.0,-2001.0,0.0,-100.0,33626001.0,-32016000.0,0.0,-1610000.0
03/08/2026,15200.0,15400.0,-200.0,-0.01298701,15400.0,15400.0,15200.0,1921.0,29282500.0,520000.0,8060000000.0,521921.0,8089282500.0,310.0,-310.0,0.0,0.0,4717800.0,-4717800.0,0.0,0.0
31/07/2026,15400.0,15300.0,100.0,0.00653595,15400.0,15400.0,15250.0,2060.0,31587500.0,0.0,0.0,2060.0,31587500.0,1389.0,-1389.0,0.0,0.0,21347201.0,-21347200.0,0.0,0.0
30/07/2026,15300.0,15950.0,-650.0,-0.04075235,15150.0,16850.0,15150.0,3372.0,52628500.0,0.0,0.0,3372.0,52628500.0,199.0,-199.0,0.0,0.0,2799150.0,-2799150.0,0.0,0.0
29/07/2026,15950.0,15950.0,0.0,0.0,15950.0,15950.0,15950.0,1000.0,15950000.0,0.0,0.0,1000.0,15950000.0,500.0,-500.0,0.0,0.0,7975000.0,-7975000.0,0.0,0.0
28/07/2026,15950.0,15950.0,0.0,0.0,15950.0,16000.0,15950.0,3600.0,57425000.0,0.0,0.0,3600.0,57425000.0,800.0,-700.0,0.0,-100.0,12765000.0,-11170000.0,0.0,-1595000.0
27/07/2026,15950.0,15350.0,600.0,0.03908795,15050.0,16100.0,15050.0,1652.0,26347800.0,0.0,0.0,1652.0,26347800.0,1351.0,-851.0,0.0,-500.0,21517300.0,-13517300.0,0.0,-8000000.0
24/07/2026,15350.0,16450.0,-1100.0,-0.0668693,15350.0,15350.0,15350.0,381.0,5868500.0,0.0,0.0,381.0,5868500.0,-43.0,43.0,0.0,0.0,-682700.0,682701.0,0.0,0.0
23/07/2026,16450.0,16500.0,-50.0,-0.0030303,15450.0,16450.0,15350.0,2589.0,40037000.0,0.0,0.0,2589.0,40037000.0,-473.0,473.0,0.0,0.0,-7407900.0,7407900.0,0.0,0.0
22/07/2026,16500.0,17700.0,-1200.0,-0.06779661,17700.0,17700.0,16500.0,5810.0,96157000.0,0.0,0.0,5810.0,96157000.0,2090.0,-1690.0,0.0,-400.0,34283000.0,-27683000.0,0.0,-6600000.0
