NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,3600.0,3630.0,-30.0,-0.00826446,3650.0,3650.0,3550.0,33604.0,120729510.0,0.0,0.0,33604.0,120729510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,3630.0,3630.0,0.0,0.0,3600.0,3630.0,3600.0,35434.0,128121780.0,0.0,0.0,35434.0,128121780.0,8078.0,-8078.0,0.0,0.0,29160860.0,-29160860.0,0.0,0.0
27/08/2026,3630.0,3680.0,-50.0,-0.01358696,3680.0,3680.0,3600.0,28550.0,103398850.0,0.0,0.0,28550.0,103398850.0,-1544.0,1544.0,0.0,0.0,-5525490.0,5525490.0,0.0,0.0
26/08/2026,3680.0,3700.0,-20.0,-0.00540541,3690.0,3690.0,3680.0,7744.0,28555000.0,0.0,0.0,7744.0,28555000.0,-443.0,443.0,0.0,0.0,-1635310.0,1635310.0,0.0,0.0
25/08/2026,3700.0,3710.0,-10.0,-0.00269542,3630.0,3700.0,3630.0,18234.0,66871310.0,0.0,0.0,18234.0,66871310.0,-10091.0,10091.0,0.0,0.0,-36947499.0,36947500.0,0.0,0.0
24/08/2026,3710.0,3640.0,70.0,0.01923077,3640.0,3710.0,3610.0,103115.0,376406710.0,0.0,0.0,103115.0,376406710.0,49284.0,-49284.0,0.0,0.0,179499920.0,-179499920.0,0.0,0.0
21/08/2026,3640.0,3610.0,30.0,0.00831025,3640.0,3640.0,3570.0,28721.0,103374710.0,0.0,0.0,28721.0,103374710.0,6499.0,-6499.0,0.0,0.0,23477320.0,-23477320.0,0.0,0.0
20/08/2026,3610.0,3610.0,0.0,0.0,3610.0,3610.0,3580.0,10960.0,39532380.0,0.0,0.0,10960.0,39532380.0,1167.0,-1167.0,0.0,0.0,4209220.0,-4209220.0,0.0,0.0
19/08/2026,3610.0,3600.0,10.0,0.00277778,3580.0,3610.0,3540.0,13011.0,46579790.0,0.0,0.0,13011.0,46579790.0,-4749.0,4749.0,0.0,0.0,-17016010.0,17016010.0,0.0,0.0
18/08/2026,3600.0,3590.0,10.0,0.00278552,3590.0,3600.0,3530.0,14478.0,51311330.0,0.0,0.0,14478.0,51311330.0,6238.0,-6238.0,0.0,0.0,22064730.0,-22064730.0,0.0,0.0
17/08/2026,3590.0,3640.0,-50.0,-0.01373626,3640.0,3640.0,3570.0,19753.0,70861670.0,0.0,0.0,19753.0,70861670.0,-77.0,77.0,0.0,0.0,-258610.0,258610.0,0.0,0.0
14/08/2026,3640.0,3650.0,-10.0,-0.00273973,3570.0,3640.0,3570.0,14823.0,53361670.0,0.0,0.0,14823.0,53361670.0,-4892.0,4892.0,0.0,0.0,-17542081.0,17542080.0,0.0,0.0
13/08/2026,3650.0,3680.0,-30.0,-0.00815217,3700.0,3700.0,3600.0,20489.0,74166010.0,0.0,0.0,20489.0,74166010.0,-5458.0,5458.0,0.0,0.0,-19714860.0,19714860.0,0.0,0.0
12/08/2026,3680.0,3640.0,40.0,0.01098901,3640.0,3680.0,3610.0,17637.0,64269770.0,0.0,0.0,17637.0,64269770.0,-5395.0,5395.0,0.0,0.0,-19724450.0,19724450.0,0.0,0.0
