NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,19500.0,19900.0,-400.0,-0.0201005,19700.0,19700.0,19100.0,164868.0,3199957400.0,0.0,0.0,164868.0,3199957400.0,11500.0,0.0,0.0,-11500.0,223550000.0,0.0,0.0,-223550000.0
28/08/2026,19900.0,20200.0,-300.0,-0.01485149,19900.0,20200.0,19700.0,147315.0,2932005800.0,0.0,0.0,147315.0,2932005800.0,-11345.0,15845.0,0.0,-4500.0,-223469200.0,313189200.0,0.0,-89720000.0
27/08/2026,20200.0,20100.0,100.0,0.00497512,19900.0,20200.0,19600.0,306511.0,6085894800.0,0.0,0.0,306511.0,6085894800.0,-71710.0,77510.0,0.0,-5800.0,-1425304699.0,1542504700.0,0.0,-117200000.0
26/08/2026,20100.0,19700.0,400.0,0.02030457,19700.0,20200.0,19300.0,406001.0,8023229700.0,0.0,0.0,406001.0,8023229700.0,-87300.0,75700.0,0.0,11600.0,-1729820000.0,1504180000.0,0.0,225640000.0
25/08/2026,19700.0,20000.0,-300.0,-0.015,20000.0,20400.0,19700.0,223459.0,4476227950.0,0.0,0.0,223459.0,4476227950.0,-29855.0,21655.0,0.0,8200.0,-601210850.0,437245850.0,0.0,163965000.0
24/08/2026,20000.0,19800.0,200.0,0.01010101,19700.0,20100.0,19600.0,251010.0,4982594500.0,2030000.0,40466000000.0,2281010.0,45448594500.0,-95590.0,71890.0,0.0,23700.0,-1897410500.0,1426625500.0,0.0,470785000.0
21/08/2026,19800.0,19500.0,300.0,0.01538462,19400.0,19900.0,19150.0,274000.0,5321055000.0,0.0,0.0,274000.0,5321055000.0,-44500.0,36800.0,0.0,7700.0,-860975000.0,711600000.0,0.0,149375000.0
20/08/2026,19500.0,19600.0,-100.0,-0.00510204,19600.0,19700.0,19200.0,171930.0,3338249300.0,1400000.0,27440000000.0,1571930.0,30778249300.0,2900.0,1600.0,0.0,-4500.0,52035800.0,35409200.0,0.0,-87445000.0
19/08/2026,19600.0,19700.0,-100.0,-0.00507614,19600.0,19700.0,19200.0,180300.0,3498763000.0,0.0,0.0,180300.0,3498763000.0,17400.0,-16200.0,0.0,-1200.0,339280000.0,-315960000.0,0.0,-23320000.0
18/08/2026,19700.0,19800.0,-100.0,-0.00505051,19800.0,20100.0,19300.0,214548.0,4223804950.0,0.0,0.0,214548.0,4223804950.0,-3610.0,1410.0,0.0,2200.0,-52114500.0,8914500.0,0.0,43200000.0
17/08/2026,19800.0,19400.0,400.0,0.02061856,19200.0,20000.0,18800.0,280531.0,5388148200.0,0.0,0.0,280531.0,5388148200.0,-19388.0,19088.0,0.0,300.0,-376941200.0,369586200.0,0.0,7355000.0
14/08/2026,19400.0,19600.0,-200.0,-0.01020408,19500.0,19900.0,18900.0,244822.0,4729558500.0,440000.0,8624000000.0,684822.0,13353558500.0,32210.0,-17110.0,0.0,-15100.0,621190800.0,-334475800.0,0.0,-286715000.0
13/08/2026,19600.0,18800.0,800.0,0.04255319,19000.0,19700.0,18700.0,286428.0,5476396200.0,1526074.0,28690191200.0,1812502.0,34166587400.0,-22912.0,15412.0,0.0,7500.0,-428693750.0,285948750.0,0.0,142745000.0
12/08/2026,18800.0,18900.0,-100.0,-0.00529101,18800.0,19000.0,18600.0,192411.0,3615680400.0,960000.0,17760000000.0,1152411.0,21375680400.0,-42889.0,35989.0,0.0,6900.0,-805509600.0,675624600.0,0.0,129885000.0
11/08/2026,18900.0,18900.0,0.0,0.0,18800.0,18900.0,18700.0,232850.0,4373330000.0,1200000.0,22200000000.0,1432850.0,26573330000.0,-17061.0,6761.0,0.0,10300.0,-320590700.0,127430700.0,0.0,193160000.0
10/08/2026,18900.0,18800.0,100.0,0.00531915,18600.0,18900.0,18500.0,204910.0,3830051000.0,2880000.0,53280000000.0,3084910.0,57110051000.0,28310.0,-37410.0,0.0,9100.0,527976000.0,-698446000.0,0.0,170470000.0
07/08/2026,18800.0,18800.0,0.0,0.0,18650.0,19100.0,18600.0,188213.0,3520879100.0,0.0,0.0,188213.0,3520879100.0,-69711.0,63811.0,0.0,5900.0,-1303776800.0,1193706800.0,0.0,110070000.0
06/08/2026,18800.0,18700.0,100.0,0.00534759,18400.0,18800.0,18400.0,232798.0,4327434800.0,0.0,0.0,232798.0,4327434800.0,-38601.0,28801.0,0.0,9800.0,-716754150.0,534729150.0,0.0,182025000.0
05/08/2026,18700.0,18600.0,100.0,0.00537634,18600.0,18700.0,18300.0,144923.0,2679228200.0,0.0,0.0,144923.0,2679228200.0,-1798.0,-8602.0,0.0,10400.0,-32008200.0,-160481800.0,0.0,192490000.0
04/08/2026,18600.0,18500.0,100.0,0.00540541,18400.0,18600.0,18100.0,162922.0,2981057800.0,429980.0,7954630000.0,592902.0,10935687800.0,-15588.0,10588.0,0.0,5000.0,-287325401.0,195090400.0,0.0,92235000.0
03/08/2026,18500.0,18500.0,0.0,0.0,18600.0,18700.0,18300.0,143595.0,2645382950.0,1274000.0,23569000000.0,1417595.0,26214382950.0,-18600.0,18400.0,0.0,200.0,-340735000.0,337075000.0,0.0,3660000.0
31/07/2026,18500.0,18900.0,-400.0,-0.02116402,18800.0,18850.0,18500.0,149806.0,2797438800.0,400000.0,7200000000.0,549806.0,9997438800.0,-36400.0,37900.0,0.0,-1500.0,-679735001.0,707860000.0,0.0,-28125000.0
30/07/2026,18900.0,18700.0,200.0,0.01069519,18800.0,18900.0,18400.0,176350.0,3294528950.0,0.0,0.0,176350.0,3294528950.0,6954.0,-7654.0,0.0,700.0,129003750.0,-141893750.0,0.0,12890000.0
29/07/2026,18700.0,18300.0,400.0,0.02185792,18500.0,19000.0,18350.0,140524.0,2608457900.0,1150000.0,21045000000.0,1290524.0,23653457900.0,-48000.0,50300.0,0.0,-2300.0,-889298900.0,931888900.0,0.0,-42590000.0
28/07/2026,18300.0,18300.0,0.0,0.0,18200.0,18400.0,17900.0,240989.0,4343043300.0,1150000.0,21135000000.0,1390989.0,25478043300.0,20922.0,-21817.0,0.0,895.0,378108200.0,-394423200.0,0.0,16315000.0
27/07/2026,18300.0,18300.0,0.0,0.0,18300.0,18500.0,18000.0,96710.0,1759553000.0,400000.0,7320000000.0,496710.0,9079553000.0,4410.0,-4110.0,0.0,-300.0,78253000.0,-72753000.0,0.0,-5500000.0
24/07/2026,18300.0,18300.0,0.0,0.0,18200.0,18400.0,18000.0,103007.0,1869020300.0,0.0,0.0,103007.0,1869020300.0,-2000.0,3800.0,0.0,-1800.0,-34790000.0,67450000.0,0.0,-32660000.0
23/07/2026,18300.0,18400.0,-100.0,-0.00543478,18400.0,18400.0,17950.0,106772.0,1938774650.0,2137100.0,38467800000.0,2243872.0,40406574650.0,-30290.0,34700.0,0.0,-4410.0,-549363750.0,629093750.0,0.0,-79730000.0
22/07/2026,18400.0,18500.0,-100.0,-0.00540541,18600.0,18600.0,18050.0,89500.0,1635075000.0,2000000.0,36000000000.0,2089500.0,37635075000.0,13500.0,-8000.0,0.0,-5500.0,243600000.0,-143470000.0,0.0,-100130000.0
21/07/2026,18500.0,18500.0,0.0,0.0,18400.0,18500.0,18100.0,106507.0,1947569250.0,1210000.0,21937500000.0,1316507.0,23885069250.0,4459.0,-190.0,0.0,-4269.0,80412050.0,-2373000.0,0.0,-78039050.0
20/07/2026,18500.0,18600.0,-100.0,-0.00537634,18600.0,18600.0,18100.0,88037.0,1614064600.0,649198.0,12075082800.0,737235.0,13689147400.0,35509.0,-33209.0,0.0,-2300.0,650857200.0,-608432200.0,0.0,-42425000.0
17/07/2026,18600.0,18700.0,-100.0,-0.00534759,18700.0,18700.0,18350.0,105339.0,1950909650.0,1052000.0,19158800000.0,1157339.0,21109709650.0,-5389.0,8390.0,0.0,-3001.0,-99846400.0,155429950.0,0.0,-55583550.0
16/07/2026,18700.0,18700.0,0.0,0.0,18600.0,18900.0,18400.0,179866.0,3337978600.0,740000.0,13320000000.0,919866.0,16657978600.0,3200.0,10.0,0.0,-3210.0,60890000.0,-980000.0,0.0,-59910000.0
15/07/2026,18700.0,18800.0,-100.0,-0.00531915,18800.0,19000.0,18400.0,184791.0,3432898000.0,188560.0,3378680000.0,373351.0,6811578000.0,10800.0,-6400.0,0.0,-4400.0,203815000.0,-121745000.0,0.0,-82070000.0
14/07/2026,18800.0,18900.0,-100.0,-0.00529101,18400.0,19000.0,18400.0,228161.0,4237015650.0,991480.0,19978322000.0,1219641.0,24215337650.0,19000.0,-13100.0,0.0,-5900.0,356410000.0,-244885000.0,0.0,-111525000.0
13/07/2026,18900.0,18600.0,300.0,0.01612903,18000.0,18900.0,18000.0,206338.0,3780237850.0,0.0,0.0,206338.0,3780237850.0,-11469.0,11569.0,0.0,-100.0,-211724650.0,213669650.0,0.0,-1945000.0
10/07/2026,18600.0,18600.0,0.0,0.0,18600.0,18800.0,18000.0,175628.0,3255267500.0,810800.0,14807400000.0,986428.0,18062667500.0,-1400.0,6100.0,0.0,-4700.0,-22925000.0,109985000.0,0.0,-87060000.0
09/07/2026,18600.0,18900.0,-300.0,-0.01587302,18600.0,18900.0,18450.0,101300.0,1887501750.0,2034100.0,38643140000.0,2135400.0,40530641750.0,19578.0,-10878.0,0.0,-8700.0,361424450.0,-199319450.0,0.0,-162105000.0
08/07/2026,18900.0,18650.0,250.0,0.01340483,18800.0,19000.0,18400.0,132256.0,2471246650.0,5350000.0,98870000000.0,5482256.0,101341246650.0,-15678.0,22678.0,0.0,-7000.0,-292156550.0,423146550.0,0.0,-130990000.0
07/07/2026,18650.0,19100.0,-450.0,-0.02356021,18900.0,19000.0,18400.0,141850.0,2644650200.0,3200000.0,59800000000.0,3341850.0,62444650200.0,-21610.0,28910.0,0.0,-7300.0,-402754800.0,538204800.0,0.0,-135450000.0
06/07/2026,19100.0,19800.0,-700.0,-0.03535354,19400.0,19700.0,18700.0,189512.0,3611130250.0,1370000.0,26230000000.0,1559512.0,29841130250.0,21089.0,-11289.0,0.0,-9800.0,406570850.0,-219900850.0,0.0,-186670000.0
03/07/2026,19800.0,20000.0,-200.0,-0.01,19900.0,20300.0,19600.0,137035.0,2715356200.0,0.0,0.0,137035.0,2715356200.0,-24306.0,23106.0,0.0,1200.0,-483233700.0,459803700.0,0.0,23430000.0
02/07/2026,20000.0,19900.0,100.0,0.00502513,20100.0,20200.0,19700.0,118222.0,2347792400.0,0.0,0.0,118222.0,2347792400.0,20491.0,-20591.0,0.0,100.0,406327700.0,-408297700.0,0.0,1970000.0
01/07/2026,19900.0,20000.0,-100.0,-0.005,19900.0,20100.0,19500.0,144331.0,2860707550.0,0.0,0.0,144331.0,2860707550.0,-4491.0,6391.0,0.0,-1900.0,-87874451.0,125174450.0,0.0,-37300000.0
30/06/2026,20000.0,19400.0,600.0,0.03092784,19300.0,20000.0,19200.0,105225.0,2075356550.0,0.0,0.0,105225.0,2075356550.0,-3430.0,-5570.0,0.0,9000.0,-70855100.0,-106779900.0,0.0,177635000.0
29/06/2026,19400.0,19200.0,200.0,0.01041667,19200.0,19400.0,19000.0,91356.0,1755285900.0,0.0,0.0,91356.0,1755285900.0,5699.0,-7199.0,0.0,1500.0,110505800.0,-139345800.0,0.0,28840000.0
26/06/2026,19200.0,18900.0,300.0,0.01587302,18900.0,19300.0,18700.0,104305.0,1973317000.0,0.0,0.0,104305.0,1973317000.0,-5511.0,-389.0,0.0,5900.0,-99307300.0,-11882700.0,0.0,111190000.0
25/06/2026,18900.0,18900.0,0.0,0.0,18700.0,18900.0,18600.0,98811.0,1849777100.0,0.0,0.0,98811.0,1849777100.0,-9588.0,4988.0,0.0,4600.0,-181459700.0,95154700.0,0.0,86305000.0
24/06/2026,18900.0,18950.0,-50.0,-0.00263852,18700.0,19000.0,18500.0,131550.0,2471617500.0,0.0,0.0,131550.0,2471617500.0,11859.0,-11359.0,0.0,-500.0,220382150.0,-210922150.0,0.0,-9460000.0
23/06/2026,18950.0,18600.0,350.0,0.0188172,18700.0,19000.0,18400.0,70114.0,1306305150.0,0.0,0.0,70114.0,1306305150.0,-19206.0,19606.0,0.0,-400.0,-358956399.0,366356400.0,0.0,-7400000.0
22/06/2026,18600.0,18800.0,-200.0,-0.0106383,19000.0,19050.0,18300.0,91901.0,1703378700.0,120000.0,2256000000.0,211901.0,3959378700.0,7491.0,1209.0,0.0,-8700.0,138217700.0,22272300.0,0.0,-160490000.0
19/06/2026,18800.0,18800.0,0.0,0.0,18600.0,18800.0,18500.0,74112.0,1380309950.0,0.0,0.0,74112.0,1380309950.0,-4000.0,4400.0,0.0,-400.0,-74260000.0,81700000.0,0.0,-7440000.0
18/06/2026,18800.0,18900.0,-100.0,-0.00529101,18550.0,18900.0,18500.0,72729.0,1356882900.0,0.0,0.0,72729.0,1356882900.0,7298.0,-7298.0,0.0,0.0,139309300.0,-139309300.0,0.0,0.0
17/06/2026,18900.0,18650.0,250.0,0.01340483,18700.0,18900.0,18450.0,77209.0,1437397800.0,0.0,0.0,77209.0,1437397800.0,-9683.0,11883.0,0.0,-2200.0,-181432300.0,222547300.0,0.0,-41115000.0
16/06/2026,18650.0,18700.0,-50.0,-0.0026738,18850.0,18900.0,18300.0,92821.0,1719121600.0,0.0,0.0,92821.0,1719121600.0,-15209.0,22509.0,0.0,-7300.0,-279253400.0,413728400.0,0.0,-134475000.0
15/06/2026,18700.0,18700.0,0.0,0.0,18500.0,18700.0,18300.0,73667.0,1360014300.0,0.0,0.0,73667.0,1360014300.0,-2671.0,5771.0,0.0,-3100.0,-48116400.0,105116400.0,0.0,-57000000.0
12/06/2026,18700.0,18400.0,300.0,0.01630435,18400.0,19000.0,18150.0,88457.0,1632506900.0,0.0,0.0,88457.0,1632506900.0,7593.0,-293.0,0.0,-7300.0,138622401.0,-5317400.0,0.0,-133305000.0
11/06/2026,18400.0,18800.0,-400.0,-0.0212766,18500.0,18800.0,18100.0,135755.0,2494328350.0,0.0,0.0,135755.0,2494328350.0,8705.0,3895.0,0.0,-12600.0,160240700.0,69619300.0,0.0,-229860000.0
10/06/2026,18800.0,18200.0,600.0,0.03296703,17800.0,18800.0,17100.0,232077.0,4143765450.0,0.0,0.0,232077.0,4143765450.0,-26936.0,67536.0,0.0,-40600.0,-492656400.0,1209546400.0,0.0,-716890000.0
09/06/2026,18200.0,18150.0,50.0,0.00275482,17800.0,18200.0,17000.0,229934.0,3999834350.0,0.0,0.0,229934.0,3999834350.0,5110.0,23190.0,0.0,-28300.0,87776950.0,403153050.0,0.0,-490930000.0
08/06/2026,18150.0,18200.0,-50.0,-0.00274725,18100.0,18150.0,17100.0,181520.0,3247247900.0,0.0,0.0,181520.0,3247247900.0,-54900.0,87200.0,0.0,-32300.0,-994562900.0,1560242900.0,0.0,-565680000.0
05/06/2026,18200.0,18900.0,-700.0,-0.03703704,18800.0,18800.0,17800.0,57109.0,1035213800.0,0.0,0.0,57109.0,1035213800.0,17008.0,5792.0,0.0,-22800.0,306332600.0,106817400.0,0.0,-413150000.0
04/06/2026,18900.0,19550.0,-650.0,-0.03324808,20000.0,20000.0,18300.0,103751.0,1966960950.0,0.0,0.0,103751.0,1966960950.0,-23235.0,54635.0,0.0,-31400.0,-453513800.0,1036093800.0,0.0,-582580000.0
03/06/2026,19550.0,20400.0,-850.0,-0.04166667,20500.0,20500.0,19250.0,54430.0,1072444500.0,0.0,0.0,54430.0,1072444500.0,29209.0,-3409.0,0.0,-25800.0,579094400.0,-68814400.0,0.0,-510280000.0
02/06/2026,20400.0,20600.0,-200.0,-0.00970874,20700.0,20700.0,19800.0,68032.0,1381189450.0,0.0,0.0,68032.0,1381189450.0,1893.0,16007.0,0.0,-17900.0,34130000.0,327870000.0,0.0,-362000000.0
01/06/2026,20600.0,20700.0,-100.0,-0.00483092,20600.0,20800.0,20300.0,77306.0,1587835400.0,1240000.0,25420000000.0,1317306.0,27007835400.0,8300.0,-2300.0,0.0,-6000.0,170815000.0,-47760000.0,0.0,-123055000.0
29/05/2026,20700.0,20800.0,-100.0,-0.00480769,20800.0,20800.0,20500.0,73118.0,1510138350.0,50000.0,1025000000.0,123118.0,2535138350.0,-1590.0,-3010.0,0.0,4600.0,-32349150.0,-62225850.0,0.0,94575000.0
28/05/2026,20800.0,20800.0,0.0,0.0,20800.0,20800.0,20250.0,77138.0,1584780550.0,0.0,0.0,77138.0,1584780550.0,1153.0,7747.0,0.0,-8900.0,20210000.0,161855000.0,0.0,-182065000.0
27/05/2026,20800.0,20450.0,350.0,0.01711491,20500.0,21000.0,20450.0,71831.0,1490238650.0,145000.0,2965250000.0,216831.0,4455488650.0,4994.0,-11494.0,0.0,6500.0,103097951.0,-239317950.0,0.0,136220000.0
26/05/2026,20450.0,21000.0,-550.0,-0.02619048,20900.0,20900.0,19900.0,103384.0,2107255750.0,475000.0,9737500000.0,578384.0,11844755750.0,21103.0,-21503.0,0.0,400.0,439201200.0,-444711200.0,0.0,5510000.0
25/05/2026,21000.0,22100.0,-1100.0,-0.04977376,22000.0,22000.0,20600.0,95009.0,1996854400.0,0.0,0.0,95009.0,1996854400.0,36502.0,-9402.0,0.0,-27100.0,764312401.0,-195482400.0,0.0,-568830000.0
22/05/2026,22100.0,22000.0,100.0,0.00454545,21800.0,23500.0,21700.0,101063.0,2259040750.0,60000.0,1230000000.0,161063.0,3489040750.0,-14782.0,-3018.0,0.0,17800.0,-316104100.0,-73230900.0,0.0,389335000.0
21/05/2026,22000.0,21900.0,100.0,0.00456621,21700.0,22200.0,21700.0,113521.0,2487792800.0,0.0,0.0,113521.0,2487792800.0,-20700.0,-7500.0,0.0,28200.0,-456035000.0,-163825000.0,0.0,619860000.0
20/05/2026,21900.0,21900.0,0.0,0.0,21700.0,22500.0,21000.0,103124.0,2257977400.0,0.0,0.0,103124.0,2257977400.0,-29466.0,-12134.0,0.0,41600.0,-645926301.0,-263673700.0,0.0,909600000.0
19/05/2026,21900.0,21600.0,300.0,0.01388889,21200.0,22600.0,21200.0,91951.0,2002338500.0,977174.0,20520654000.0,1069125.0,22522992500.0,-28186.0,-11914.0,0.0,40100.0,-611899600.0,-266670400.0,0.0,878570000.0
18/05/2026,21600.0,21000.0,600.0,0.02857143,20900.0,21800.0,20700.0,150196.0,3203381200.0,917400.0,19265400000.0,1067596.0,22468781200.0,12135.0,-74335.0,0.0,62200.0,234606400.0,-1572821400.0,0.0,1338215000.0
15/05/2026,21000.0,21100.0,-100.0,-0.00473934,20900.0,21000.0,20400.0,290395.0,6021401650.0,400000.0,8400000000.0,690395.0,14421401650.0,-23088.0,-2712.0,0.0,25800.0,-480574100.0,-52825900.0,0.0,533400000.0
14/05/2026,21100.0,21500.0,-400.0,-0.01860465,21300.0,21400.0,20300.0,285612.0,5945659150.0,0.0,0.0,285612.0,5945659150.0,-27950.0,36550.0,0.0,-8600.0,-577078200.0,759073200.0,0.0,-181995000.0
13/05/2026,21500.0,21800.0,-300.0,-0.01376147,21800.0,22000.0,20300.0,394542.0,8271598800.0,1859000.0,39067200000.0,2253542.0,47338798800.0,-11614.0,14214.0,0.0,-2600.0,-208096250.0,262431250.0,0.0,-54335000.0
12/05/2026,21800.0,20400.0,1400.0,0.06862745,21000.0,21800.0,20800.0,255109.0,5486992900.0,0.0,0.0,255109.0,5486992900.0,-27151.0,6151.0,0.0,21000.0,-581943300.0,129403300.0,0.0,452540000.0
11/05/2026,20400.0,19100.0,1300.0,0.06806283,19400.0,20400.0,19100.0,393879.0,7904843100.0,0.0,0.0,393879.0,7904843100.0,16128.0,-21128.0,0.0,5000.0,302463800.0,-399698800.0,0.0,97235000.0
08/05/2026,19100.0,19000.0,100.0,0.00526316,18800.0,19100.0,18600.0,366206.0,6885817800.0,0.0,0.0,366206.0,6885817800.0,-8531.0,5015.0,0.0,3516.0,-150170049.0,83937750.0,0.0,66232300.0
07/05/2026,19000.0,19100.0,-100.0,-0.0052356,19100.0,19200.0,18600.0,256543.0,4831861750.0,0.0,0.0,256543.0,4831861750.0,-53930.0,64130.0,0.0,-10200.0,-1002853500.0,1194018500.0,0.0,-191165000.0
06/05/2026,19100.0,19000.0,100.0,0.00526316,19500.0,19500.0,18550.0,527210.0,10078766100.0,0.0,0.0,527210.0,10078766100.0,-332589.0,351489.0,0.0,-18900.0,-6361794901.0,6716059900.0,0.0,-354265000.0
05/05/2026,19000.0,19200.0,-200.0,-0.01041667,19000.0,19100.0,18700.0,236274.0,4455551700.0,0.0,0.0,236274.0,4455551700.0,14049.0,-13749.0,0.0,-300.0,261746600.0,-256016600.0,0.0,-5730000.0
04/05/2026,19200.0,18800.0,400.0,0.0212766,18800.0,19200.0,18100.0,497056.0,9365281850.0,0.0,0.0,497056.0,9365281850.0,-263616.0,252116.0,0.0,11500.0,-4990315151.0,4776965150.0,0.0,213350000.0
29/04/2026,18800.0,17700.0,1100.0,0.06214689,18400.0,18800.0,18150.0,401513.0,7479455950.0,86200.0,1629180000.0,487713.0,9108635950.0,181149.0,-210349.0,0.0,29200.0,3408559600.0,-3946349600.0,0.0,537790000.0
28/04/2026,17700.0,19000.0,-1300.0,-0.06842105,19000.0,19000.0,17700.0,192681.0,3577493400.0,0.0,0.0,192681.0,3577493400.0,-20881.0,19981.0,0.0,900.0,-387749199.0,371444200.0,0.0,16305000.0
24/04/2026,19000.0,19000.0,0.0,0.0,19300.0,19300.0,18400.0,199264.0,3741604950.0,0.0,0.0,199264.0,3741604950.0,12185.0,-3485.0,0.0,-8700.0,228108550.0,-66288550.0,0.0,-161820000.0
23/04/2026,19000.0,18600.0,400.0,0.02150538,18900.0,19200.0,18550.0,265475.0,5005645650.0,0.0,0.0,265475.0,5005645650.0,660.0,6440.0,0.0,-7100.0,13457850.0,119322150.0,0.0,-132780000.0
22/04/2026,18600.0,18500.0,100.0,0.00540541,18400.0,18600.0,17800.0,671315.0,12200651900.0,400000.0,7400000000.0,1071315.0,19600651900.0,33308.0,-22048.0,0.0,-11260.0,604745000.0,-403099000.0,0.0,-201646000.0
21/04/2026,18500.0,19200.0,-700.0,-0.03645833,19500.0,19500.0,18500.0,180377.0,3395673850.0,0.0,0.0,180377.0,3395673850.0,7946.0,-3246.0,0.0,-4700.0,161801350.0,-73491350.0,0.0,-88310000.0
20/04/2026,19200.0,19500.0,-300.0,-0.01538462,19600.0,19600.0,18500.0,204301.0,3891591950.0,122100.0,2545785000.0,326401.0,6437376950.0,8990.0,-6270.0,0.0,-2720.0,192580550.0,-141412550.0,0.0,-51168000.0
