NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,25500.0,26100.0,-600.0,-0.02298851,26100.0,26100.0,25500.0,6050.0,156645000.0,0.0,0.0,6050.0,156645000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,26100.0,26300.0,-200.0,-0.00760456,26250.0,26250.0,26100.0,4843.0,127014850.0,0.0,0.0,4843.0,127014850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,26300.0,25650.0,650.0,0.02534113,26300.0,26300.0,26300.0,218.0,5670200.0,0.0,0.0,218.0,5670200.0,7.0,-7.0,0.0,0.0,172200.0,-172200.0,0.0,0.0
27/08/2026,25650.0,26300.0,-650.0,-0.02471483,26250.0,26300.0,25500.0,6150.0,159107700.0,0.0,0.0,6150.0,159107700.0,-960.0,960.0,0.0,0.0,-24715000.0,24715000.0,0.0,0.0
26/08/2026,26300.0,26350.0,-50.0,-0.00189753,26350.0,26400.0,26200.0,2039.0,53622800.0,0.0,0.0,2039.0,53622800.0,-509.0,509.0,0.0,0.0,-13407150.0,13407150.0,0.0,0.0
25/08/2026,26350.0,26300.0,50.0,0.00190114,26200.0,26400.0,26200.0,4609.0,121082600.0,0.0,0.0,4609.0,121082600.0,800.0,-800.0,0.0,0.0,20960000.0,-20960000.0,0.0,0.0
24/08/2026,26300.0,26199.0,100.0,0.00381679,26850.0,26850.0,26200.0,16198.0,427921000.0,0.0,0.0,16198.0,427921000.0,-3804.0,3804.0,0.0,0.0,-99525500.0,99525500.0,0.0,0.0
21/08/2026,26199.6,27850.0,150.0,0.005386,26106.03,26199.6,26106.03,13102.0,365960750.0,0.0,0.0,13102.0,365960750.0,200.0,-200.0,0.0,0.0,5635000.0,-5635000.0,0.0,0.0
20/08/2026,26059.245,27850.0,0.0,0.0,26059.245,26152.815,26012.46,7705.0,214550750.0,0.0,0.0,7705.0,214550750.0,-380.0,380.0,0.0,0.0,-10633000.0,10633000.0,0.0,0.0
19/08/2026,26059.245,27750.0,100.0,0.0036036,26106.03,26106.03,25965.675,4898.0,136299650.0,0.0,0.0,4898.0,136299650.0,511.0,-511.0,0.0,0.0,14231900.0,-14231900.0,0.0,0.0
