NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,7130.0,7000.0,130.0,0.01857143,7000.0,7150.0,6900.0,2036.0,14269040.0,0.0,0.0,2036.0,14269040.0,-25.0,25.0,0.0,0.0,-191640.0,191640.0,0.0,0.0
27/08/2026,7000.0,7000.0,0.0,0.0,7050.0,7050.0,6800.0,5735.0,39970140.0,0.0,0.0,5735.0,39970140.0,310.0,-310.0,0.0,0.0,2180140.0,-2180140.0,0.0,0.0
26/08/2026,7000.0,6800.0,200.0,0.02941176,6850.0,7100.0,6800.0,3323.0,22713600.0,0.0,0.0,3323.0,22713600.0,-118.0,118.0,0.0,0.0,-844600.0,844600.0,0.0,0.0
25/08/2026,6800.0,7000.0,-200.0,-0.02857143,6670.0,7340.0,6670.0,4306.0,29272500.0,0.0,0.0,4306.0,29272500.0,-702.0,702.0,0.0,0.0,-4774500.0,4774500.0,0.0,0.0
24/08/2026,7000.0,7050.0,-50.0,-0.0070922,6710.0,7040.0,6710.0,11318.0,78370270.0,0.0,0.0,11318.0,78370270.0,-1612.0,1612.0,0.0,0.0,-11110220.0,11110220.0,0.0,0.0
21/08/2026,7050.0,7080.0,-30.0,-0.00423729,7080.0,7080.0,6860.0,27247.0,187427150.0,0.0,0.0,27247.0,187427150.0,-509.0,509.0,0.0,0.0,-3456850.0,3456850.0,0.0,0.0
20/08/2026,7080.0,7090.0,-10.0,-0.00141044,6810.0,7080.0,6810.0,17100.0,117472000.0,0.0,0.0,17100.0,117472000.0,-2100.0,2100.0,0.0,0.0,-14525000.0,14525000.0,0.0,0.0
19/08/2026,7090.0,7100.0,-10.0,-0.00140845,6850.0,7090.0,6840.0,23253.0,159585810.0,0.0,0.0,23253.0,159585810.0,-1999.0,1999.0,0.0,0.0,-13692910.0,13692910.0,0.0,0.0
18/08/2026,7100.0,7000.0,100.0,0.01428571,7120.0,7120.0,7100.0,200.0,1422000.0,0.0,0.0,200.0,1422000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,7000.0,6990.0,10.0,0.00143062,7010.0,7010.0,6860.0,13004.0,90299320.0,0.0,0.0,13004.0,90299320.0,1000.0,-1000.0,0.0,0.0,7000000.0,-7000000.0,0.0,0.0
14/08/2026,6990.0,7130.0,-140.0,-0.01963534,6910.0,7180.0,6910.0,24202.0,169441820.0,0.0,0.0,24202.0,169441820.0,900.0,-900.0,0.0,0.0,6318000.0,-6318000.0,0.0,0.0
13/08/2026,7130.0,6980.0,150.0,0.02148997,7190.0,7260.0,7000.0,60141.0,429013230.0,0.0,0.0,60141.0,429013230.0,-3174.0,3174.0,0.0,0.0,-22301430.0,22301430.0,0.0,0.0
12/08/2026,6980.0,7170.0,-190.0,-0.0264993,7000.0,7150.0,6980.0,20301.0,143051990.0,0.0,0.0,20301.0,143051990.0,5601.0,-5601.0,0.0,0.0,39111990.0,-39111990.0,0.0,0.0
11/08/2026,7170.0,7170.0,0.0,0.0,6830.0,7170.0,6830.0,2900.0,20368000.0,0.0,0.0,2900.0,20368000.0,1200.0,-1200.0,0.0,0.0,8430000.0,-8430000.0,0.0,0.0
10/08/2026,7170.0,7190.0,-20.0,-0.00278164,7180.0,7180.0,6920.0,32657.0,227897520.0,0.0,0.0,32657.0,227897520.0,2309.0,-2309.0,0.0,0.0,16326169.0,-16326170.0,0.0,0.0
07/08/2026,7190.0,6950.0,240.0,0.03453237,7300.0,7300.0,6950.0,3310.0,23119000.0,0.0,0.0,3310.0,23119000.0,10.0,-10.0,0.0,0.0,75000.0,-75000.0,0.0,0.0
06/08/2026,6950.0,7170.0,-220.0,-0.0306834,6900.0,6950.0,6900.0,1701.0,11816900.0,0.0,0.0,1701.0,11816900.0,-1.0,1.0,0.0,0.0,-6900.0,6900.0,0.0,0.0
05/08/2026,7170.0,7180.0,-10.0,-0.00139276,7050.0,7180.0,7030.0,195822.0,1402869700.0,0.0,0.0,195822.0,1402869700.0,-202.0,202.0,0.0,0.0,-1442100.0,1442100.0,0.0,0.0
04/08/2026,7180.0,7250.0,-70.0,-0.00965517,7220.0,7240.0,7180.0,42100.0,302873000.0,0.0,0.0,42100.0,302873000.0,1000.0,-1000.0,0.0,0.0,7180000.0,-7180000.0,0.0,0.0
03/08/2026,7250.0,7400.0,-150.0,-0.02027027,7100.0,7590.0,7100.0,222459.0,1665390600.0,0.0,0.0,222459.0,1665390600.0,1154.0,-1154.0,0.0,0.0,8839600.0,-8839600.0,0.0,0.0
31/07/2026,7400.0,7100.0,300.0,0.04225352,7120.0,7590.0,6610.0,77008.0,555207250.0,0.0,0.0,77008.0,555207250.0,11706.0,-11706.0,0.0,0.0,86355150.0,-86355150.0,0.0,0.0
30/07/2026,7100.0,7020.0,80.0,0.01139601,6700.0,7200.0,6670.0,16800.0,118284000.0,0.0,0.0,16800.0,118284000.0,200.0,-200.0,0.0,0.0,1430000.0,-1430000.0,0.0,0.0
29/07/2026,7020.0,7050.0,-30.0,-0.00425532,6900.0,7250.0,6560.0,21636.0,143953600.0,0.0,0.0,21636.0,143953600.0,-2100.0,2100.0,0.0,0.0,-13786000.0,13786000.0,0.0,0.0
28/07/2026,7050.0,7150.0,-100.0,-0.01398601,6850.0,7090.0,6850.0,19233.0,132765170.0,0.0,0.0,19233.0,132765170.0,13800.0,-13800.0,0.0,0.0,94891880.0,-94891880.0,0.0,0.0
27/07/2026,7150.0,7190.0,-40.0,-0.00556328,7150.0,7150.0,7150.0,1324.0,9465760.0,0.0,0.0,1324.0,9465760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2026,7190.0,7210.0,-20.0,-0.00277393,7000.0,7190.0,7000.0,50510.0,356190100.0,0.0,0.0,50510.0,356190100.0,-900.0,900.0,0.0,0.0,-6566000.0,6566000.0,0.0,0.0
23/07/2026,7210.0,6930.0,280.0,0.04040404,6520.0,7290.0,6520.0,14410.0,99584700.0,0.0,0.0,14410.0,99584700.0,290.0,-290.0,0.0,0.0,1976300.0,-1976300.0,0.0,0.0
22/07/2026,6930.0,7370.0,-440.0,-0.05970149,7100.0,7200.0,6930.0,16600.0,116170000.0,0.0,0.0,16600.0,116170000.0,9600.0,-9600.0,0.0,0.0,66562000.0,-66562000.0,0.0,0.0
21/07/2026,7370.0,7130.0,240.0,0.03366059,7130.0,7370.0,7000.0,30742.0,220098380.0,0.0,0.0,30742.0,220098380.0,-600.0,600.0,0.0,0.0,-4272000.0,4272000.0,0.0,0.0
20/07/2026,7130.0,7160.0,-30.0,-0.00418994,7370.0,7370.0,7000.0,14673.0,103745220.0,0.0,0.0,14673.0,103745220.0,-1188.0,1188.0,0.0,0.0,-8516080.0,8516080.0,0.0,0.0
17/07/2026,7160.0,7200.0,-40.0,-0.00555556,7400.0,7400.0,7010.0,63900.0,449224000.0,0.0,0.0,63900.0,449224000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16/07/2026,7200.0,7230.0,-30.0,-0.00414938,7050.0,7200.0,7010.0,11600.0,81998000.0,0.0,0.0,11600.0,81998000.0,-100.0,100.0,0.0,0.0,-698000.0,698000.0,0.0,0.0
15/07/2026,7230.0,7250.0,-20.0,-0.00275862,6940.0,7230.0,6940.0,3466.0,24831760.0,0.0,0.0,3466.0,24831760.0,-1460.0,1460.0,0.0,0.0,-10659000.0,10659000.0,0.0,0.0
14/07/2026,7250.0,7240.0,10.0,0.00138122,6860.0,7250.0,6830.0,14100.0,98519000.0,0.0,0.0,14100.0,98519000.0,-1000.0,1000.0,0.0,0.0,-6899000.0,6899000.0,0.0,0.0
13/07/2026,7240.0,7380.0,-140.0,-0.01897019,7010.0,7320.0,7010.0,22031.0,155872940.0,0.0,0.0,22031.0,155872940.0,-79.0,79.0,0.0,0.0,-521860.0,521860.0,0.0,0.0
10/07/2026,7380.0,7400.0,-20.0,-0.0027027,7440.0,7440.0,7100.0,136957.0,978466350.0,0.0,0.0,136957.0,978466350.0,180.0,-180.0,0.0,0.0,1333199.0,-1333200.0,0.0,0.0
09/07/2026,7400.0,7110.0,290.0,0.04078762,7100.0,7450.0,7000.0,35672.0,258899320.0,0.0,0.0,35672.0,258899320.0,-8291.0,8291.0,0.0,0.0,-58698900.0,58698900.0,0.0,0.0
08/07/2026,7110.0,7130.0,-20.0,-0.00280505,6800.0,7110.0,6800.0,3486.0,24744880.0,0.0,0.0,3486.0,24744880.0,11.0,-11.0,0.0,0.0,78230.0,-78230.0,0.0,0.0
07/07/2026,7130.0,7000.0,130.0,0.01857143,6920.0,7200.0,6610.0,13938.0,93919650.0,0.0,0.0,13938.0,93919650.0,-190.0,190.0,0.0,0.0,-1516291.0,1516290.0,0.0,0.0
06/07/2026,7000.0,7020.0,-20.0,-0.002849,7450.0,7450.0,7000.0,15610.0,110392100.0,0.0,0.0,15610.0,110392100.0,1790.0,-1790.0,0.0,0.0,12706900.0,-12706900.0,0.0,0.0
03/07/2026,7020.0,6700.0,320.0,0.04776119,6700.0,7020.0,6700.0,4181.0,29021360.0,0.0,0.0,4181.0,29021360.0,100.0,-100.0,0.0,0.0,670000.0,-670000.0,0.0,0.0
02/07/2026,6700.0,6980.0,-280.0,-0.04011461,6900.0,7000.0,6700.0,10601.0,72848900.0,0.0,0.0,10601.0,72848900.0,2300.0,-2300.0,0.0,0.0,15352000.0,-15352000.0,0.0,0.0
01/07/2026,6980.0,6790.0,190.0,0.02798233,6780.0,6990.0,6700.0,4200.0,29045000.0,0.0,0.0,4200.0,29045000.0,500.0,-500.0,0.0,0.0,3658000.0,-3658000.0,0.0,0.0
30/06/2026,6790.0,6750.0,40.0,0.00592593,7020.0,7020.0,6750.0,8615.0,58535290.0,0.0,0.0,8615.0,58535290.0,1990.0,-1990.0,0.0,0.0,13471700.0,-13471700.0,0.0,0.0
29/06/2026,6750.0,6910.0,-160.0,-0.02315485,6700.0,7000.0,6700.0,14321.0,98012210.0,0.0,0.0,14321.0,98012210.0,2510.0,-2510.0,0.0,0.0,17088300.0,-17088300.0,0.0,0.0
