NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,27250.0,27200.0,50.0,0.00183824,27200.0,27700.0,27200.0,13612.0,370627350.0,0.0,0.0,13612.0,370627350.0,6389.0,-6389.0,0.0,0.0,173775350.0,-173775350.0,0.0,0.0
27/08/2026,27200.0,27300.0,-100.0,-0.003663,27400.0,27400.0,27200.0,600.0,16390000.0,0.0,0.0,600.0,16390000.0,0.0,100.0,0.0,-100.0,-30000.0,2760000.0,0.0,-2730000.0
26/08/2026,27300.0,27300.0,0.0,0.0,26800.0,27450.0,26800.0,3641.0,99265000.0,0.0,0.0,3641.0,99265000.0,570.0,30.0,0.0,-600.0,15608000.0,832000.0,0.0,-16440000.0
25/08/2026,27300.0,27000.0,300.0,0.01111111,27100.0,27300.0,27100.0,2500.0,68090000.0,0.0,0.0,2500.0,68090000.0,-100.0,800.0,0.0,-700.0,-2720000.0,21800000.0,0.0,-19080000.0
24/08/2026,27000.0,27200.0,-200.0,-0.00735294,27250.0,27250.0,26900.0,4426.0,119645400.0,0.0,0.0,4426.0,119645400.0,-300.0,300.0,0.0,0.0,-8130000.0,8130000.0,0.0,0.0
21/08/2026,27200.0,26950.0,250.0,0.00927644,26950.0,27300.0,26950.0,641.0,17384900.0,0.0,0.0,641.0,17384900.0,-100.0,100.0,0.0,0.0,-2705000.0,2705000.0,0.0,0.0
20/08/2026,26950.0,26950.0,0.0,0.0,27500.0,27500.0,26900.0,12800.0,345685050.0,0.0,0.0,12800.0,345685050.0,-1049.0,-251.0,0.0,1300.0,-28882500.0,-6152500.0,0.0,35035000.0
19/08/2026,26950.0,27550.0,-600.0,-0.02177858,27600.0,27600.0,26950.0,1420.0,38596750.0,0.0,0.0,1420.0,38596750.0,895.0,-895.0,0.0,0.0,24182250.0,-24182250.0,0.0,0.0
18/08/2026,27550.0,27600.0,-50.0,-0.00181159,27600.0,27600.0,27300.0,2500.0,68665000.0,0.0,0.0,2500.0,68665000.0,600.0,-600.0,0.0,0.0,16565000.0,-16565000.0,0.0,0.0
17/08/2026,27600.0,27650.0,-50.0,-0.00180832,27700.0,27700.0,27500.0,3077.0,84910600.0,0.0,0.0,3077.0,84910600.0,700.0,-700.0,0.0,0.0,19290000.0,-19290000.0,0.0,0.0
14/08/2026,27650.0,27800.0,-150.0,-0.00539568,27800.0,27800.0,26800.0,3200.0,88530000.0,0.0,0.0,3200.0,88530000.0,-1200.0,1000.0,0.0,200.0,-33225000.0,27665000.0,0.0,5560000.0
13/08/2026,27800.0,27350.0,450.0,0.01645338,27900.0,27900.0,27350.0,1031.0,28366450.0,0.0,0.0,1031.0,28366450.0,510.0,-410.0,0.0,-100.0,13954950.0,-11214950.0,0.0,-2740000.0
