NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,24000.0,24400.0,-400.0,-0.01639344,24350.0,24350.0,23950.0,171746.0,4134320800.0,0.0,0.0,171746.0,4134320800.0,0.0,0.0,0.0,-72989.0,0.0,0.0,0.0,-1757174900.0
28/08/2026,24400.0,24150.0,250.0,0.01035197,24150.0,24900.0,24150.0,154900.0,3804644850.0,0.0,0.0,154900.0,3804644850.0,-3019.0,21919.0,0.0,-18900.0,-74362750.0,539167750.0,0.0,-464805000.0
27/08/2026,24150.0,24100.0,50.0,0.00207469,24150.0,24400.0,24100.0,72640.0,1759888900.0,0.0,0.0,72640.0,1759888900.0,16924.0,-8168.0,0.0,-8756.0,409839501.0,-197484400.0,0.0,-212355100.0
26/08/2026,24100.0,24100.0,0.0,0.0,24300.0,24450.0,24100.0,123541.0,2987582450.0,0.0,0.0,123541.0,2987582450.0,-4278.0,17143.0,0.0,-12865.0,-102904200.0,413378950.0,0.0,-310474750.0
25/08/2026,24100.0,24550.0,-450.0,-0.01832994,24700.0,24700.0,24100.0,136390.0,3318950200.0,0.0,0.0,136390.0,3318950200.0,26733.0,-27128.0,-12600.0,395.0,656037350.0,-663338350.0,-305660000.0,7301000.0
24/08/2026,24550.0,24500.0,50.0,0.00204082,24600.0,24900.0,24400.0,140213.0,3443138400.0,0.0,0.0,140213.0,3443138400.0,36899.0,-14881.0,0.0,-22018.0,906828800.0,-364354600.0,0.0,-542474200.0
21/08/2026,24500.0,23650.0,850.0,0.0359408,23700.0,24500.0,23650.0,131121.0,3154615150.0,0.0,0.0,131121.0,3154615150.0,-27798.0,21398.0,0.0,6400.0,-671263500.0,515008500.0,0.0,156255000.0
20/08/2026,23650.0,23600.0,50.0,0.00211864,23600.0,24000.0,23600.0,100410.0,2382638250.0,0.0,0.0,100410.0,2382638250.0,-9381.0,-4333.0,0.0,13714.0,-221326600.0,-103168000.0,0.0,324494600.0
19/08/2026,23600.0,24050.0,-450.0,-0.01871102,24100.0,24100.0,23500.0,74570.0,1770265100.0,0.0,0.0,74570.0,1770265100.0,11717.0,-14717.0,0.0,3000.0,276860750.0,-348185750.0,0.0,71325000.0
18/08/2026,24050.0,24050.0,0.0,0.0,24000.0,24050.0,23850.0,106859.0,2561382600.0,0.0,0.0,106859.0,2561382600.0,-40988.0,9420.0,0.0,31568.0,-982444200.0,225882250.0,0.0,756561950.0
17/08/2026,24050.0,24000.0,50.0,0.00208333,24450.0,24450.0,23700.0,77882.0,1861376150.0,0.0,0.0,77882.0,1861376150.0,11035.0,-7084.0,0.0,-3951.0,264173750.0,-168302950.0,0.0,-95870800.0
14/08/2026,24000.0,24300.0,-300.0,-0.01234568,24700.0,24700.0,23600.0,169892.0,4067091750.0,0.0,0.0,169892.0,4067091750.0,-25174.0,44424.0,0.0,-19250.0,-606559150.0,1066845900.0,0.0,-460286750.0
13/08/2026,24300.0,24700.0,-400.0,-0.01619433,24700.0,25200.0,24300.0,180814.0,4436989150.0,0.0,0.0,180814.0,4436989150.0,-55757.0,67689.0,19000.0,-11932.0,-1365358850.0,1659174250.0,467260000.0,-293815400.0
12/08/2026,24700.0,24900.0,-200.0,-0.00803213,24900.0,25200.0,24600.0,125089.0,3099657050.0,0.0,0.0,125089.0,3099657050.0,-14671.0,26669.0,0.0,-11998.0,-361173451.0,659138750.0,0.0,-297965300.0
11/08/2026,24900.0,24800.0,100.0,0.00403226,24950.0,25250.0,24850.0,169370.0,4237172400.0,0.0,0.0,169370.0,4237172400.0,34255.0,-40305.0,0.0,6050.0,857612850.0,-1007882750.0,0.0,150269900.0
10/08/2026,24800.0,24600.0,200.0,0.00813008,24950.0,24950.0,24600.0,147064.0,3647658900.0,0.0,0.0,147064.0,3647658900.0,-6447.0,-18853.0,0.0,25300.0,-161952849.0,-466142150.0,0.0,628095000.0
07/08/2026,24600.0,24950.0,-350.0,-0.01402806,24350.0,24950.0,24350.0,115282.0,2849985000.0,0.0,0.0,115282.0,2849985000.0,-4284.0,-616.0,0.0,4900.0,-102147800.0,-18962200.0,0.0,121110000.0
