NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,9650.0,9650.0,0.0,0.0,9650.0,9650.0,9650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,9650.0,9650.0,0.0,0.0,9650.0,9650.0,9650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,9650.0,9650.0,0.0,0.0,9650.0,9650.0,9650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,9650.0,9690.0,-40.0,-0.00412797,9620.0,9650.0,9620.0,600.0,5782000.0,0.0,0.0,600.0,5782000.0,200.0,-200.0,0.0,0.0,1924000.0,-1924000.0,0.0,0.0
25/08/2026,9690.0,9690.0,0.0,0.0,9690.0,9690.0,9690.0,78.0,755600.0,0.0,0.0,78.0,755600.0,39.0,-39.0,0.0,0.0,377910.0,-377910.0,0.0,0.0
24/08/2026,9690.0,9700.0,-10.0,-0.00103093,9030.0,9690.0,9030.0,1000.0,9242000.0,0.0,0.0,1000.0,9242000.0,300.0,-300.0,0.0,0.0,2907000.0,-2907000.0,0.0,0.0
21/08/2026,9700.0,9700.0,0.0,0.0,9700.0,9700.0,9700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,9700.0,9700.0,0.0,0.0,9700.0,9700.0,9700.0,2.0,18540.0,0.0,0.0,2.0,18540.0,1.0,-1.0,0.0,0.0,9510.0,-9510.0,0.0,0.0
19/08/2026,9700.0,9100.0,600.0,0.06593407,9730.0,9730.0,8530.0,8253.0,77080370.0,0.0,0.0,8253.0,77080370.0,-5491.0,5491.0,0.0,0.0,-50663970.0,50663970.0,0.0,0.0
18/08/2026,9100.0,8510.0,590.0,0.0693302,8630.0,9100.0,8630.0,7388.0,66181690.0,0.0,0.0,7388.0,66181690.0,1509.0,-1509.0,0.0,0.0,13167050.0,-13167050.0,0.0,0.0
