NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,21100.0,22100.0,-1000.0,-0.04524887,22000.0,22100.0,21000.0,3618.0,78512600.0,0.0,0.0,3618.0,78512600.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,-2300000.0
28/08/2026,22100.0,21950.0,150.0,0.00683371,22200.0,22200.0,21600.0,2734.0,59690500.0,0.0,0.0,2734.0,59690500.0,-2390.0,2390.0,0.0,0.0,-52142701.0,52142700.0,0.0,0.0
27/08/2026,21950.0,21950.0,0.0,0.0,21950.0,21950.0,21800.0,5510.0,120675000.0,0.0,0.0,5510.0,120675000.0,-3110.0,3110.0,0.0,0.0,-68020000.0,68020000.0,0.0,0.0
26/08/2026,21950.0,22350.0,-400.0,-0.01789709,21200.0,22200.0,21200.0,1341.0,29169200.0,0.0,0.0,1341.0,29169200.0,0.0,100.0,0.0,-100.0,-471800.0,2671800.0,0.0,-2200000.0
25/08/2026,22350.0,22350.0,0.0,0.0,22350.0,22350.0,22350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,22350.0,22350.0,0.0,0.0,22350.0,22350.0,22350.0,137.0,3061950.0,0.0,0.0,137.0,3061950.0,125.0,-125.0,0.0,0.0,2793751.0,-2793750.0,0.0,0.0
21/08/2026,22350.0,21950.0,400.0,0.01822323,21050.0,22400.0,21050.0,2415.0,51123500.0,0.0,0.0,2415.0,51123500.0,-305.0,305.0,0.0,0.0,-6690000.0,6690000.0,0.0,0.0
20/08/2026,21950.0,21700.0,250.0,0.01152074,21950.0,21950.0,21950.0,371.0,8135300.0,0.0,0.0,371.0,8135300.0,-360.0,360.0,0.0,0.0,-7896300.0,7896300.0,0.0,0.0
19/08/2026,21700.0,21900.0,-200.0,-0.00913242,21900.0,22400.0,21700.0,6950.0,153920000.0,0.0,0.0,6950.0,153920000.0,-100.0,-100.0,0.0,200.0,-2330000.0,-2110000.0,0.0,4440000.0
18/08/2026,21900.0,22000.0,-100.0,-0.00454545,21500.0,22400.0,21500.0,10616.0,233481200.0,0.0,0.0,10616.0,233481200.0,-3499.0,2899.0,0.0,600.0,-77170600.0,63970600.0,0.0,13200000.0
17/08/2026,22000.0,21650.0,350.0,0.01616628,21900.0,22000.0,21500.0,4200.0,91819750.0,0.0,0.0,4200.0,91819750.0,-366.0,266.0,0.0,100.0,-7997399.0,5847400.0,0.0,2150000.0
14/08/2026,21650.0,21700.0,-50.0,-0.00230415,22000.0,22000.0,21500.0,4800.0,103720000.0,0.0,0.0,4800.0,103720000.0,-3900.0,3800.0,0.0,100.0,-84280000.0,82120000.0,0.0,2160000.0
13/08/2026,21700.0,21900.0,-200.0,-0.00913242,21800.0,22000.0,21700.0,4042.0,87978450.0,0.0,0.0,4042.0,87978450.0,-481.0,1181.0,0.0,-700.0,-10571799.0,25831800.0,0.0,-15260000.0
