NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,25050.0,25050.0,0.0,0.0,25050.0,25050.0,25050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,25050.0,25050.0,0.0,0.0,25050.0,25050.0,25050.0,48.0,1221600.0,0.0,0.0,48.0,1221600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,25050.0,26700.0,-1650.0,-0.06179775,25050.0,25050.0,25050.0,106.0,2665200.0,0.0,0.0,106.0,2665200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,26700.0,26700.0,0.0,0.0,26700.0,26700.0,26700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/08/2026,26700.0,28500.0,-1800.0,-0.06315789,26700.0,26700.0,26700.0,109.0,2931000.0,0.0,0.0,109.0,2931000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/08/2026,28500.0,28500.0,0.0,0.0,28500.0,28500.0,28500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,28500.0,30600.0,-2100.0,-0.06862745,28500.0,28500.0,28500.0,105.0,3000000.0,0.0,0.0,105.0,3000000.0,5.0,-5.0,0.0,0.0,150000.0,-150000.0,0.0,0.0
19/08/2026,30600.0,30600.0,0.0,0.0,30600.0,30600.0,30600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,30600.0,30600.0,0.0,0.0,30600.0,30600.0,30600.0,200.0,6120000.0,0.0,0.0,200.0,6120000.0,0.0,200.0,0.0,-200.0,0.0,6120000.0,0.0,-6120000.0
17/08/2026,30600.0,30600.0,0.0,0.0,30600.0,30600.0,30600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,30600.0,30600.0,0.0,0.0,30600.0,30600.0,30600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/08/2026,30600.0,30600.0,0.0,0.0,30600.0,30600.0,30600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/08/2026,30600.0,30600.0,0.0,0.0,30600.0,30600.0,30600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/08/2026,30600.0,30600.0,0.0,0.0,30600.0,30600.0,30600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/08/2026,30600.0,30600.0,0.0,0.0,30600.0,30600.0,30600.0,1.0,32000.0,0.0,0.0,1.0,32000.0,-1.0,1.0,0.0,0.0,-32000.0,32000.0,0.0,0.0
07/08/2026,30600.0,30600.0,0.0,0.0,30600.0,30600.0,30600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/08/2026,30600.0,30600.0,0.0,0.0,30600.0,30600.0,30600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/08/2026,30600.0,30600.0,0.0,0.0,30600.0,30600.0,30600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/08/2026,30600.0,30600.0,0.0,0.0,30600.0,30600.0,30600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/08/2026,30600.0,30600.0,0.0,0.0,30600.0,30600.0,30600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31/07/2026,30600.0,30600.0,0.0,0.0,30600.0,30600.0,30600.0,1.0,32500.0,0.0,0.0,1.0,32500.0,1.0,-1.0,0.0,0.0,32500.0,-32500.0,0.0,0.0
