NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,6580.0,6900.0,-320.0,-0.04637681,6830.0,6910.0,6580.0,371271.0,2494886170.0,30000.0,192600000.0,401271.0,2687486170.0,0.0,0.0,0.0,-40500.0,0.0,0.0,0.0,-273062000.0
28/08/2026,6900.0,6720.0,180.0,0.02678571,6720.0,6900.0,6640.0,247097.0,1662177180.0,0.0,0.0,247097.0,1662177180.0,-5247.0,10547.0,0.0,-5300.0,-34169811.0,69730810.0,0.0,-35561000.0
27/08/2026,6720.0,6780.0,-60.0,-0.00884956,6750.0,6860.0,6700.0,395879.0,2679138590.0,0.0,0.0,395879.0,2679138590.0,-15385.0,14285.0,0.0,1100.0,-102801550.0,95736550.0,0.0,7065000.0
26/08/2026,6780.0,6900.0,-120.0,-0.0173913,6900.0,6940.0,6750.0,372197.0,2539392460.0,0.0,0.0,372197.0,2539392460.0,2503.0,797.0,0.0,-3300.0,17087550.0,5576450.0,0.0,-22664000.0
25/08/2026,6900.0,7120.0,-220.0,-0.03089888,7100.0,7100.0,6850.0,426413.0,2954958910.0,0.0,0.0,426413.0,2954958910.0,-9601.0,10301.0,0.0,-700.0,-66120910.0,71020910.0,0.0,-4900000.0
24/08/2026,7120.0,6970.0,150.0,0.0215208,6950.0,7220.0,6780.0,481923.0,3341252410.0,0.0,0.0,481923.0,3341252410.0,-16194.0,1894.0,0.0,14300.0,-104616110.0,7303110.0,0.0,97313000.0
21/08/2026,6970.0,6900.0,70.0,0.01014493,6830.0,7050.0,6750.0,156001.0,1074723030.0,0.0,0.0,156001.0,1074723030.0,-123800.0,119400.0,0.0,4400.0,-854660000.0,824611000.0,0.0,30049000.0
20/08/2026,6900.0,6800.0,100.0,0.01470588,6890.0,6900.0,6740.0,167984.0,1142471480.0,0.0,0.0,167984.0,1142471480.0,-68193.0,79593.0,0.0,-11400.0,-463861610.0,541016610.0,0.0,-77155000.0
19/08/2026,6800.0,7170.0,-370.0,-0.05160391,7100.0,7100.0,6800.0,76276.0,525816390.0,0.0,0.0,76276.0,525816390.0,13500.0,-900.0,0.0,-12600.0,93730000.0,-6139000.0,0.0,-87591000.0
18/08/2026,7170.0,6800.0,370.0,0.05441176,6900.0,7170.0,6760.0,244506.0,1691175770.0,0.0,0.0,244506.0,1691175770.0,15184.0,-684.0,0.0,-14500.0,105296620.0,-5525620.0,0.0,-99771000.0
