NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,25000.0,25000.0,0.0,0.0,25000.0,25000.0,25000.0,55.0,1337200.0,0.0,0.0,55.0,1337200.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
03/09/2026,25000.0,25000.0,0.0,0.0,25000.0,25000.0,25000.0,61.0,1525000.0,0.0,0.0,61.0,1525000.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
28/08/2026,25000.0,23500.0,1500.0,0.06382979,23500.0,25000.0,23500.0,609.0,14462400.0,0.0,0.0,609.0,14462400.0,-300.0,300.0,0,0.0,-7200001.0,7200000.0,0,0.0
27/08/2026,23500.0,23500.0,0.0,0.0,23500.0,23500.0,23500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
26/08/2026,23500.0,23500.0,0.0,0.0,23500.0,23500.0,23500.0,1.0,23500.0,0.0,0.0,1.0,23500.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
25/08/2026,23500.0,23700.0,-200.0,-0.00843882,23500.0,23500.0,23500.0,403.0,9467900.0,0.0,0.0,403.0,9467900.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
24/08/2026,23700.0,23700.0,0.0,0.0,23700.0,23700.0,23700.0,406.0,9622200.0,0.0,0.0,406.0,9622200.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
21/08/2026,23700.0,25400.0,-1700.0,-0.06692913,25300.0,25300.0,23700.0,1102.0,26920800.0,0.0,0.0,1102.0,26920800.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
20/08/2026,25400.0,25400.0,0.0,0.0,25400.0,25400.0,25400.0,6.0,152400.0,0.0,0.0,6.0,152400.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
19/08/2026,25400.0,27300.0,-1900.0,-0.06959707,25800.0,25800.0,25400.0,1002.0,25534600.0,0.0,0.0,1002.0,25534600.0,-100.0,100.0,0,0.0,-2580000.0,2580000.0,0,0.0
18/08/2026,27300.0,27300.0,0.0,0.0,27300.0,27300.0,27300.0,2.0,52000.0,0.0,0.0,2.0,52000.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
17/08/2026,27300.0,25800.0,1500.0,0.05813953,27300.0,27300.0,27300.0,321.0,8740800.0,0.0,0.0,321.0,8740800.0,-300.0,300.0,0,0.0,-8190001.0,8190000.0,0,0.0
14/08/2026,25800.0,25800.0,0.0,0.0,25800.0,25800.0,25800.0,4.0,103200.0,0.0,0.0,4.0,103200.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
13/08/2026,25800.0,24500.0,1300.0,0.05306122,24500.0,25800.0,24500.0,201.0,5054500.0,0.0,0.0,201.0,5054500.0,-100.0,100.0,0,0.0,-2450000.0,2450000.0,0,0.0
12/08/2026,24500.0,24500.0,0.0,0.0,24500.0,24500.0,24500.0,15.0,367500.0,0.0,0.0,15.0,367500.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
11/08/2026,24500.0,22900.0,1600.0,0.069869,24500.0,24500.0,24500.0,236.0,5782000.0,0.0,0.0,236.0,5782000.0,-99.0,99.0,0,0.0,-2425500.0,2425500.0,0,0.0
10/08/2026,22900.0,23800.0,-900.0,-0.03781513,23500.0,23500.0,22900.0,10327.0,238746900.0,0.0,0.0,10327.0,238746900.0,9800.0,-9800.0,0,0.0,226520001.0,-226520000.0,0,0.0
07/08/2026,23800.0,24900.0,-1100.0,-0.04417671,23700.0,23800.0,23700.0,801.0,19046500.0,0.0,0.0,801.0,19046500.0,500.0,-500.0,0,0.0,11900000.0,-11900000.0,0,0.0
06/08/2026,24900.0,26700.0,-1800.0,-0.06741573,25000.0,25000.0,24900.0,819.0,20457100.0,0.0,0.0,819.0,20457100.0,800.0,-800.0,0,0.0,19955001.0,-19955000.0,0,0.0
05/08/2026,26700.0,26700.0,0.0,0.0,26700.0,26700.0,26700.0,1.0,27000.0,0.0,0.0,1.0,27000.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
04/08/2026,26700.0,26700.0,0.0,0.0,26700.0,26700.0,26700.0,5.0,124400.0,0.0,0.0,5.0,124400.0,-1.0,1.0,0,0.0,-25000.0,25000.0,0,0.0
03/08/2026,26700.0,26700.0,0.0,0.0,26550.0,26700.0,26550.0,2814.0,75028800.0,0.0,0.0,2814.0,75028800.0,-1798.0,1798.0,0,0.0,-48006600.0,48006600.0,0,0.0
31/07/2026,26700.0,26700.0,0.0,0.0,26700.0,26700.0,26700.0,5.0,133500.0,0.0,0.0,5.0,133500.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
30/07/2026,26700.0,25500.0,1200.0,0.04705882,23850.0,26700.0,23850.0,1003.0,24216550.0,0.0,0.0,1003.0,24216550.0,-200.0,200.0,0,0.0,-4780000.0,4780000.0,0,0.0
29/07/2026,25500.0,25500.0,0.0,0.0,25500.0,25500.0,25500.0,1.0,24000.0,0.0,0.0,1.0,24000.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
28/07/2026,25500.0,25500.0,0.0,0.0,25500.0,25500.0,25500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
27/07/2026,25500.0,25500.0,0.0,0.0,25500.0,25500.0,25500.0,1.0,23750.0,0.0,0.0,1.0,23750.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
24/07/2026,25500.0,25500.0,0.0,0.0,25500.0,25500.0,25500.0,3.0,71400.0,0.0,0.0,3.0,71400.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
23/07/2026,25500.0,25500.0,0.0,0.0,25500.0,25500.0,25500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
22/07/2026,25500.0,25500.0,0.0,0.0,25500.0,25500.0,25500.0,22.0,530200.0,0.0,0.0,22.0,530200.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
21/07/2026,25500.0,25500.0,0.0,0.0,25500.0,25500.0,25500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
20/07/2026,25500.0,25500.0,0.0,0.0,25500.0,25500.0,25500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
17/07/2026,25500.0,25500.0,0.0,0.0,25450.0,25500.0,25450.0,508.0,12939400.0,0.0,0.0,508.0,12939400.0,100.0,-100.0,0,0.0,2545000.0,-2545000.0,0,0.0
16/07/2026,25500.0,25500.0,0.0,0.0,25500.0,25500.0,25500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
15/07/2026,25500.0,25500.0,0.0,0.0,25500.0,25500.0,25500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
14/07/2026,25500.0,25500.0,0.0,0.0,25500.0,25500.0,25500.0,3.0,76500.0,0.0,0.0,3.0,76500.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
13/07/2026,25500.0,24050.0,1450.0,0.06029106,25500.0,25500.0,25500.0,405.0,10327500.0,0.0,0.0,405.0,10327500.0,100.0,-100.0,0,0.0,2550000.0,-2550000.0,0,0.0
