NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,20300.0,20300.0,0.0,0.0,20100.0,20300.0,19600.0,307921.0,6132583700.0,0.0,0.0,307921.0,6132583700.0,0.0,0.0,0.0,5300.0,0.0,0.0,0.0,105275000.0
28/08/2026,20300.0,20300.0,0.0,0.0,20300.0,20450.0,19200.0,276308.0,5530514200.0,0.0,0.0,276308.0,5530514200.0,21100.0,-2500.0,0.0,-18600.0,403780000.0,-28725000.0,0.0,-375055000.0
27/08/2026,20300.0,20500.0,-200.0,-0.0097561,20550.0,20550.0,20100.0,278450.0,5669606000.0,180000.0,3510000000.0,458450.0,9179606000.0,14700.0,-4900.0,0.0,-9800.0,288225000.0,-88740000.0,0.0,-199485000.0
26/08/2026,20500.0,20500.0,0.0,0.0,20500.0,20500.0,19900.0,317102.0,6476990000.0,608017.0,11856331500.0,925119.0,18333321500.0,7198.0,-598.0,0.0,-6600.0,149320000.0,-15275000.0,0.0,-134045000.0
25/08/2026,20500.0,21000.0,-500.0,-0.02380952,21000.0,21000.0,20000.0,309902.0,6321045550.0,194000.0,3880000000.0,503902.0,10201045550.0,100800.0,1500.0,0.0,-102300.0,2055005000.0,30640000.0,0.0,-2085645000.0
24/08/2026,21000.0,21150.0,-150.0,-0.0070922,21300.0,21300.0,20100.0,368230.0,7700535000.0,590000.0,11800000000.0,958230.0,19500535000.0,122300.0,9100.0,0.0,-131400.0,2555485000.0,185445000.0,0.0,-2740930000.0
21/08/2026,21150.0,21000.0,150.0,0.00714286,21000.0,21150.0,21000.0,384921.0,8095656000.0,0.0,0.0,384921.0,8095656000.0,-24698.0,1698.0,0.0,23000.0,-519463000.0,35668000.0,0.0,483795000.0
20/08/2026,21000.0,20900.0,100.0,0.00478469,20900.0,21200.0,20750.0,312102.0,6560463200.0,0.0,0.0,312102.0,6560463200.0,1400.0,-9500.0,0.0,8100.0,23038600.0,-196123600.0,0.0,173085000.0
19/08/2026,20900.0,20900.0,0.0,0.0,20850.0,20900.0,20600.0,355801.0,7396925200.0,0.0,0.0,355801.0,7396925200.0,-22200.0,15000.0,0.0,7200.0,-460335000.0,311165000.0,0.0,149170000.0
18/08/2026,20900.0,20750.0,150.0,0.00722892,20800.0,20900.0,20800.0,323942.0,6753891650.0,0.0,0.0,323942.0,6753891650.0,-15008.0,-11092.0,0.0,26100.0,-313411000.0,-231009000.0,0.0,544420000.0
17/08/2026,20750.0,20700.0,50.0,0.00241546,20700.0,20750.0,20150.0,330801.0,6784260700.0,60000.0,1188000000.0,390801.0,7972260700.0,10801.0,-2601.0,0.0,-8200.0,219495700.0,-53420700.0,0.0,-166075000.0
14/08/2026,20700.0,20750.0,-50.0,-0.00240964,20650.0,20700.0,20250.0,332891.0,6845779750.0,97200.0,1914840000.0,430091.0,8760619750.0,38275.0,-3875.0,0.0,-34400.0,784661450.0,-80026450.0,0.0,-704635000.0
13/08/2026,20750.0,20750.0,0.0,0.0,21000.0,21000.0,20300.0,303600.0,6299330000.0,240000.0,4728000000.0,543600.0,11027330000.0,700.0,20200.0,0.0,-20900.0,12470000.0,417720000.0,0.0,-430190000.0
12/08/2026,20750.0,20600.0,150.0,0.00728155,20800.0,20800.0,20650.0,373024.0,7740818200.0,463543.0,9039088500.0,836567.0,16779906700.0,-113762.0,1962.0,0.0,111800.0,-2361391650.0,41376650.0,0.0,2320015000.0
11/08/2026,20600.0,20200.0,400.0,0.01980198,20800.0,20800.0,20000.0,348023.0,7028009050.0,820000.0,15580000000.0,1168023.0,22608009050.0,4192.0,-7692.0,0.0,3500.0,85370300.0,-158250300.0,0.0,72880000.0
10/08/2026,20200.0,19800.0,400.0,0.02020202,20200.0,20450.0,19850.0,333714.0,6747407450.0,1846457.0,35082683000.0,2180171.0,41830090450.0,-34688.0,-5312.0,0.0,40000.0,-704537950.0,-106797050.0,0.0,811335000.0
07/08/2026,19800.0,19600.0,200.0,0.01020408,19650.0,19800.0,19600.0,428148.0,8434169550.0,100041.0,1900779000.0,528189.0,10334948550.0,-8735.0,-24365.0,0.0,33100.0,-173376000.0,-479469000.0,0.0,652845000.0
06/08/2026,19600.0,18950.0,650.0,0.03430079,18950.0,19800.0,18950.0,448995.0,8738713500.0,0.0,0.0,448995.0,8738713500.0,-65825.0,-9675.0,0.0,75500.0,-1289041850.0,-180813150.0,0.0,1469855000.0
05/08/2026,18950.0,18400.0,550.0,0.0298913,18700.0,18950.0,18400.0,392764.0,7300071500.0,0.0,0.0,392764.0,7300071500.0,-34119.0,219.0,0.0,33900.0,-637982700.0,7007700.0,0.0,630975000.0
04/08/2026,18400.0,18000.0,400.0,0.02222222,18500.0,18500.0,18000.0,303915.0,5546806700.0,200000.0,3600000000.0,503915.0,9146806700.0,33700.0,-7000.0,0.0,-26700.0,612890000.0,-127300000.0,0.0,-485590000.0
03/08/2026,18000.0,18000.0,0.0,0.0,18500.0,18500.0,17700.0,336910.0,6041090000.0,1039836.0,17677212000.0,1376746.0,23718302000.0,44504.0,-4004.0,0.0,-40500.0,798452000.0,-72377000.0,0.0,-726075000.0
31/07/2026,18000.0,17650.0,350.0,0.01983003,17800.0,18050.0,17500.0,328944.0,5886721050.0,528903.0,8991351000.0,857847.0,14878072050.0,4958.0,1042.0,0.0,-6000.0,100604200.0,3710800.0,0.0,-104315000.0
30/07/2026,17650.0,17250.0,400.0,0.02318841,17250.0,17650.0,17050.0,360440.0,6276812900.0,0.0,0.0,360440.0,6276812900.0,-21408.0,-8092.0,0.0,29500.0,-373572600.0,-137617400.0,0.0,511190000.0
29/07/2026,17250.0,17350.0,-100.0,-0.00576369,17300.0,17300.0,16900.0,351019.0,6003083250.0,827854.0,14073518000.0,1178873.0,20076601250.0,2478.0,-9978.0,0.0,7500.0,46834250.0,-171949250.0,0.0,125115000.0
28/07/2026,17350.0,17150.0,200.0,0.01166181,17100.0,17350.0,16750.0,322583.0,5531091450.0,362000.0,6154000000.0,684583.0,11685091450.0,6800.0,-9700.0,0.0,2900.0,122070000.0,-169830000.0,0.0,47760000.0
27/07/2026,17150.0,17150.0,0.0,0.0,17350.0,17350.0,16750.0,393908.0,6683925000.0,0.0,0.0,393908.0,6683925000.0,17400.0,1100.0,0.0,-18500.0,297260000.0,17370000.0,0.0,-314630000.0
24/07/2026,17150.0,17000.0,150.0,0.00882353,17000.0,17200.0,16650.0,324920.0,5516184900.0,0.0,0.0,324920.0,5516184900.0,10320.0,-1320.0,0.0,-9000.0,182259900.0,-28119900.0,0.0,-154140000.0
23/07/2026,17000.0,16900.0,100.0,0.00591716,17100.0,17100.0,16450.0,303200.0,5056785000.0,0.0,0.0,303200.0,5056785000.0,13300.0,-14200.0,0.0,900.0,244330000.0,-258280000.0,0.0,13950000.0
22/07/2026,16900.0,17150.0,-250.0,-0.01457726,17150.0,17150.0,16650.0,272900.0,4598680000.0,0.0,0.0,272900.0,4598680000.0,-14500.0,5800.0,0.0,8700.0,-246455000.0,101955000.0,0.0,144500000.0
21/07/2026,17150.0,17100.0,50.0,0.00292398,17100.0,17150.0,16700.0,303909.0,5158273900.0,0.0,0.0,303909.0,5158273900.0,-2000.0,-1100.0,0.0,3100.0,-33315000.0,-18295000.0,0.0,51610000.0
20/07/2026,17100.0,17050.0,50.0,0.00293255,16950.0,17100.0,16450.0,279800.0,4715625000.0,0.0,0.0,279800.0,4715625000.0,2000.0,-7900.0,0.0,5900.0,38075000.0,-135390000.0,0.0,97315000.0
17/07/2026,17050.0,17150.0,-100.0,-0.0058309,17400.0,17400.0,16750.0,279901.0,4749866800.0,0.0,0.0,279901.0,4749866800.0,2400.0,-700.0,0.0,-1700.0,41530000.0,-11955000.0,0.0,-29575000.0
16/07/2026,17150.0,17100.0,50.0,0.00292398,17100.0,17250.0,16050.0,312910.0,5340486000.0,0.0,0.0,312910.0,5340486000.0,590.0,-4490.0,0.0,3900.0,6599000.0,-69969000.0,0.0,63370000.0
15/07/2026,17100.0,17050.0,50.0,0.00293255,17350.0,17350.0,16750.0,338500.0,5710095000.0,223080.0,3792360000.0,561580.0,9502455000.0,17400.0,-11900.0,0.0,-5500.0,297710000.0,-204615000.0,0.0,-93095000.0
14/07/2026,17050.0,16950.0,100.0,0.00589971,17150.0,17150.0,16700.0,403900.0,6837355000.0,0.0,0.0,403900.0,6837355000.0,-21100.0,-900.0,0.0,22000.0,-351670000.0,-16120000.0,0.0,367790000.0
13/07/2026,16950.0,17050.0,-100.0,-0.0058651,17050.0,17050.0,16750.0,328906.0,5583002300.0,0.0,0.0,328906.0,5583002300.0,4100.0,-2300.0,0.0,-1800.0,66340000.0,-35975000.0,0.0,-30365000.0
10/07/2026,17050.0,17100.0,-50.0,-0.00292398,17500.0,17500.0,16900.0,337910.0,5796551500.0,0.0,0.0,337910.0,5796551500.0,-1500.0,-5200.0,0.0,6700.0,-27415000.0,-86070000.0,0.0,113485000.0
09/07/2026,17100.0,17100.0,0.0,0.0,17250.0,17250.0,16800.0,383902.0,6559909700.0,910000.0,15535000000.0,1293902.0,22094909700.0,-1600.0,-3400.0,0.0,5000.0,-25400000.0,-59080000.0,0.0,84480000.0
