NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,31950.0,31900.0,50.0,0.0015674,32050.0,32350.0,31800.0,7727590.0,247851801000.0,0.0,0.0,7727590.0,247851801000.0,-188485.0,23918.0,-136700.0,164567.0,-5936069900.0,689771950.0,-4419285000.0,5246297950.0
27/08/2026,31900.0,31850.0,50.0,0.00156986,31850.0,32200.0,31750.0,6374843.0,203286043550.0,612000.0,18987400000.0,6986843.0,222273443550.0,1072060.0,27820.0,-120800.0,-1099880.0,34180910250.0,872226750.0,-3878660000.0,-35053137000.0
26/08/2026,31850.0,31500.0,350.0,0.01111111,31400.0,31850.0,31150.0,12142621.0,381995929950.0,174000.0,5525700000.0,12316621.0,387521629950.0,1202069.0,1287084.0,75800.0,-2489153.0,37771347500.0,40336432550.0,2394140000.0,-78107780050.0
25/08/2026,31500.0,31800.0,-300.0,-0.00943396,31800.0,31900.0,31350.0,7941937.0,250968019050.0,3022000.0,96097400000.0,10963937.0,347065419050.0,620968.0,815299.0,-497600.0,-1436267.0,19618134850.0,25744223950.0,-15679065000.0,-45362358800.0
24/08/2026,31800.0,32150.0,-350.0,-0.01088647,32250.0,32350.0,31800.0,7229303.0,231068957100.0,119000.0,3768500000.0,7348303.0,234837457100.0,873342.0,283317.0,1100.0,-1156659.0,27945462950.0,9061837650.0,5905000.0,-37007300600.0
21/08/2026,32150.0,31400.0,750.0,0.02388535,31400.0,32250.0,31200.0,6435705.0,204905092850.0,22000.0,697400000.0,6457705.0,205602492850.0,469702.0,212491.0,318400.0,-682193.0,14820422350.0,6929378450.0,10035400000.0,-21749800800.0
20/08/2026,31400.0,31000.0,400.0,0.01290323,31200.0,31400.0,31150.0,2819247.0,88218478200.0,1580000.0,49600000000.0,4399247.0,137818478200.0,461586.0,-525626.0,-153200.0,64040.0,14408178000.0,-16410698000.0,-4762350000.0,2002520000.0
19/08/2026,31000.0,31550.0,-550.0,-0.01743265,31550.0,31550.0,30900.0,5848835.0,181926719450.0,0.0,0.0,5848835.0,181926719450.0,104710.0,261190.0,-40300.0,-365900.0,3332843300.0,8110896700.0,-1329115000.0,-11443740000.0
18/08/2026,31550.0,31500.0,50.0,0.0015873,31500.0,31900.0,31400.0,4293229.0,135811631850.0,927000.0,30114000000.0,5220229.0,165925631850.0,-766263.0,1283063.0,130500.0,-516800.0,-24203421901.0,40576336900.0,4136915000.0,-16372915000.0
17/08/2026,31500.0,31450.0,50.0,0.00158983,31450.0,31700.0,31200.0,4276830.0,134328917500.0,0.0,0.0,4276830.0,134328917500.0,-147211.0,560611.0,632300.0,-413400.0,-4634398650.0,17581213650.0,19885420000.0,-12946815000.0
14/08/2026,31450.0,32150.0,-700.0,-0.02177294,32150.0,32150.0,31350.0,7931803.0,251330718150.0,2730400.0,91430900000.0,10662203.0,342761618150.0,-348099.0,-114601.0,300000.0,462700.0,-11038801500.0,-3640658500.0,9489575000.0,14679460000.0
13/08/2026,32150.0,32200.0,-50.0,-0.0015528,32350.0,32800.0,32150.0,8778890.0,285116001000.0,497442.0,15289887900.0,9276332.0,300405888900.0,-702597.0,-690594.0,299900.0,1393191.0,-23034742700.0,-22320714350.0,9843645000.0,45355457050.0
12/08/2026,32200.0,32300.0,-100.0,-0.00309598,32350.0,32450.0,32100.0,5083885.0,164007774300.0,2705400.0,90630900000.0,7789285.0,254638674300.0,109487.0,-48971.0,469787.0,-60516.0,3561087700.0,-1616440900.0,15145049000.0,-1944646800.0
11/08/2026,32300.0,32800.0,-500.0,-0.0152439,32500.0,32800.0,32300.0,7737700.0,251737013500.0,95000.0,3202500000.0,7832700.0,254939513500.0,-2103489.0,2183889.0,1405200.0,-80400.0,-68492505700.0,71119535700.0,45853200000.0,-2627030000.0
10/08/2026,32800.0,32500.0,300.0,0.00923077,32800.0,32950.0,32600.0,7089514.0,232028977950.0,0.0,0.0,7089514.0,232028977950.0,-1914646.0,757305.0,1106300.0,1157341.0,-62614263250.0,24727819600.0,36158380000.0,37886443650.0
07/08/2026,32500.0,31350.0,1150.0,0.03668262,31450.0,33000.0,31350.0,14947869.0,484165782600.0,25094.0,802993900.0,14972963.0,484968776500.0,-5039431.0,449165.0,560800.0,4590266.0,-163415551250.0,14841386850.0,18356165000.0,148574164400.0
06/08/2026,31350.0,31850.0,-500.0,-0.01569859,31800.0,31850.0,31300.0,5729509.0,180983706000.0,116000.0,3807100000.0,5845509.0,184790806000.0,-1702400.0,-15747.0,111000.0,1718147.0,-53827866150.0,-413515950.0,3548120000.0,54241382100.0
05/08/2026,31850.0,31850.0,0.0,0.0,32100.0,32300.0,31750.0,9439175.0,301941726050.0,0.0,0.0,9439175.0,301941726050.0,-1812793.0,-488858.0,546300.0,2301651.0,-57915854999.0,-15642856900.0,17491790000.0,73558711900.0
04/08/2026,31850.0,31800.0,50.0,0.00157233,31900.0,32000.0,31650.0,7579108.0,241182179050.0,194000.0,6015400000.0,7773108.0,247197579050.0,-1205983.0,-1381370.0,-54847.0,2587353.0,-38411064900.0,-43905358150.0,-1687822000.0,82316423050.0
03/08/2026,31800.0,30800.0,1000.0,0.03246753,31200.0,32000.0,31050.0,11315742.0,358272258150.0,0.0,0.0,11315742.0,358272258150.0,1184346.0,-3673346.0,158500.0,2489000.0,37454971950.0,-116491864500.0,4942775000.0,79036892550.0
31/07/2026,30800.0,30450.0,350.0,0.01149425,30800.0,32000.0,30550.0,15308031.0,477852905000.0,164000.0,5140200000.0,15472031.0,482993105000.0,-257004.0,-574346.0,-154700.0,831350.0,-8017477950.0,-17422752050.0,-4509550000.0,25440230000.0
30/07/2026,30450.0,29350.0,1100.0,0.03747871,29450.0,30600.0,29350.0,11115392.0,334533566600.0,40100.0,1094730000.0,11155492.0,335628296600.0,-85074.0,320274.0,-402800.0,-235200.0,-2579974050.0,9568844050.0,-12342405000.0,-6988870000.0
29/07/2026,29350.0,29000.0,350.0,0.01206897,29250.0,29500.0,29100.0,9184983.0,268989602800.0,0.0,0.0,9184983.0,268989602800.0,-330011.0,-2158889.0,67600.0,2488900.0,-9789747850.0,-63150832150.0,2014920000.0,72940580000.0
28/07/2026,29000.0,28750.0,250.0,0.00869565,28400.0,29200.0,28400.0,4962958.0,143214015950.0,0.0,0.0,4962958.0,143214015950.0,651294.0,-71153.0,-249600.0,-580141.0,18850250349.0,-2110187800.0,-7320315000.0,-16740062550.0
27/07/2026,28750.0,29000.0,-250.0,-0.00862069,29300.0,29600.0,28750.0,6464684.0,188201177400.0,158000.0,4882200000.0,6622684.0,193083377400.0,1140789.0,-523782.0,-1003700.0,-617007.0,33238791851.0,-15370187350.0,-29095075000.0,-17868604500.0
24/07/2026,29000.0,29050.0,-50.0,-0.00172117,29050.0,29600.0,28650.0,7648097.0,222414187100.0,0.0,0.0,7648097.0,222414187100.0,1230702.0,-1427822.0,-387000.0,197120.0,35570835150.0,-41214491650.0,-11256965000.0,5643656500.0
23/07/2026,29050.0,29250.0,-198.0,-0.00676969,29150.0,29850.0,28400.0,11452378.0,333837610050.0,600000.0,16350000000.0,12052378.0,350187610050.0,83391.0,-652269.0,-263800.0,568878.0,2540694200.0,-19079308400.0,-7813260000.0,16538614200.0
22/07/2026,29248.56,30900.0,-1200.0,-0.03883495,30676.52,30676.52,29248.56,15810847.0,480336589150.0,20000.0,616000000.0,15830847.0,480952589150.0,1453564.0,-966278.0,26600.0,-487286.0,42493316950.0,-28000653650.0,718555000.0,-14492663300.0
21/07/2026,30430.32,30800.0,100.0,0.00324675,30134.88,30676.52,30134.88,5602472.0,172902663200.0,1140000.0,36444000000.0,6742472.0,209346663200.0,-501404.0,221853.0,-30500.0,279551.0,-15490476950.0,6836029650.0,-933280000.0,8654447300.0
20/07/2026,30331.84,32000.0,-1200.0,-0.0375,31415.12,31415.12,30036.4,11395291.0,354452508450.0,70000.0,2326000000.0,11465291.0,356778508450.0,-1669818.0,938020.0,343000.0,731798.0,-52266942301.0,29752499700.0,10619385000.0,22514442600.0
17/07/2026,31513.6,32300.0,-300.0,-0.00928793,31759.8,31858.28,31464.36,3660065.0,117242296800.0,920000.0,30179840000.0,4580065.0,147422136800.0,945078.0,588522.0,60500.0,-1533600.0,30274407500.0,18841422500.0,1937340000.0,-49115830000.0
