NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,16950.0,17000.0,-50.0,-0.00294118,17000.0,17100.0,16900.0,158122.0,2683111200.0,0.0,0.0,158122.0,2683111200.0,0.0,0.0,0.0,-17100.0,0.0,0.0,0.0,-289920000.0
28/08/2026,17000.0,17000.0,0.0,0.0,16950.0,17050.0,16900.0,204600.0,3474790000.0,0.0,0.0,204600.0,3474790000.0,-40600.0,38900.0,0.0,1700.0,-687990000.0,659185000.0,0.0,28805000.0
27/08/2026,17000.0,17000.0,0.0,0.0,17050.0,17050.0,16900.0,273882.0,4643834000.0,0.0,0.0,273882.0,4643834000.0,1573.0,1927.0,0.0,-3500.0,26846000.0,32569000.0,0.0,-59415000.0
26/08/2026,17000.0,17000.0,0.0,0.0,17000.0,17100.0,16900.0,175351.0,2985154650.0,0.0,0.0,175351.0,2985154650.0,9417.0,4983.0,0.0,-14400.0,161774350.0,83205650.0,0.0,-244980000.0
25/08/2026,17000.0,16950.0,50.0,0.00294985,17000.0,17100.0,17000.0,167743.0,2853548100.0,0.0,0.0,167743.0,2853548100.0,8790.0,-8890.0,0.0,100.0,150184550.0,-151884550.0,0.0,1700000.0
24/08/2026,16950.0,17100.0,-150.0,-0.00877193,17200.0,17200.0,16900.0,170432.0,2894395450.0,0.0,0.0,170432.0,2894395450.0,-21423.0,17023.0,0.0,4400.0,-361856500.0,286621500.0,0.0,75235000.0
21/08/2026,17100.0,16900.0,200.0,0.01183432,16600.0,17200.0,16600.0,324808.0,5494332600.0,0.0,0.0,324808.0,5494332600.0,-202070.0,168770.0,0.0,33300.0,-3413339501.0,2849034500.0,0.0,564305000.0
20/08/2026,16900.0,16900.0,0.0,0.0,16750.0,17000.0,16750.0,111333.0,1878674200.0,0.0,0.0,111333.0,1878674200.0,-33485.0,34885.0,0.0,-1400.0,-564500000.0,588185000.0,0.0,-23685000.0
19/08/2026,16900.0,17050.0,-150.0,-0.00879765,17000.0,17150.0,16650.0,320265.0,5376359700.0,0.0,0.0,320265.0,5376359700.0,572.0,8528.0,0.0,-9100.0,10308850.0,144991150.0,0.0,-155300000.0
18/08/2026,17050.0,17300.0,-250.0,-0.01445087,17100.0,17600.0,17050.0,352229.0,6078076700.0,370000.0,6475000000.0,722229.0,12553076700.0,26091.0,3509.0,0.0,-29600.0,460769300.0,52220700.0,0.0,-512990000.0
