NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,75500.0,77000.0,-1500.0,-0.01948052,76600.0,76600.0,75500.0,156889.0,11892382000.0,0.0,0.0,156889.0,11892382000.0,5248.0,0.0,0.0,-5248.0,398602000.0,0.0,0.0,-398602000.0
28/08/2026,77000.0,77000.0,0.0,0.0,76500.0,77300.0,76300.0,340546.0,26156888100.0,0.0,0.0,340546.0,26156888100.0,-15401.0,92201.0,3800.0,-76800.0,-1200794500.0,7095514500.0,290880000.0,-5894720000.0
27/08/2026,77000.0,76000.0,1000.0,0.01315789,76200.0,77000.0,75400.0,302395.0,23054993500.0,0.0,0.0,302395.0,23054993500.0,-53044.0,47551.0,0.0,5493.0,-4160552500.0,3694181500.0,0.0,466371000.0
26/08/2026,76000.0,75500.0,500.0,0.00662252,75500.0,76400.0,75500.0,176257.0,13380981200.0,0.0,0.0,176257.0,13380981200.0,-35552.0,32168.0,0.0,3384.0,-2705928299.0,2447525500.0,0.0,258402800.0
25/08/2026,75500.0,76400.0,-900.0,-0.0117801,76400.0,76600.0,75300.0,292367.0,22196225500.0,0.0,0.0,292367.0,22196225500.0,26666.0,-74265.0,-4212.0,47599.0,1993892800.0,-5630927300.0,-320273000.0,3637034500.0
24/08/2026,76400.0,77000.0,-600.0,-0.00779221,77900.0,77900.0,76100.0,256224.0,19605249000.0,0.0,0.0,256224.0,19605249000.0,37790.0,-16107.0,0.0,-21683.0,2888523099.0,-1229165200.0,0.0,-1659357900.0
21/08/2026,77000.0,76800.0,200.0,0.00260417,76100.0,77500.0,76000.0,329026.0,25324175800.0,0.0,0.0,329026.0,25324175800.0,-72216.0,-76315.0,2268.0,148531.0,-5571093900.0,-5877510600.0,175048000.0,11448604500.0
20/08/2026,76800.0,76500.0,300.0,0.00392157,76500.0,77200.0,76200.0,189029.0,14492254500.0,0.0,0.0,189029.0,14492254500.0,-38540.0,-57404.0,0.0,95944.0,-2970135301.0,-4390348100.0,0.0,7360483400.0
19/08/2026,76500.0,77100.0,-600.0,-0.0077821,77100.0,77100.0,75900.0,131572.0,10046916400.0,0.0,0.0,131572.0,10046916400.0,29482.0,-32230.0,3900.0,2748.0,2251795701.0,-2457267900.0,298450000.0,205472200.0
18/08/2026,77100.0,76800.0,300.0,0.00390625,76800.0,78900.0,76700.0,625952.0,48595037300.0,54000.0,4144500000.0,679952.0,52739537300.0,-38855.0,-167645.0,0.0,206500.0,-3025496399.0,-12994263600.0,0.0,16019760000.0
