NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,23300.0,22950.0,350.0,0.01525054,23000.0,24000.0,22850.0,2729899.0,64116601800.0,0.0,0.0,2729899.0,64116601800.0,322864.0,67346.0,0.0,-390210.0,7574446851.0,1546129150.0,0.0,-9120576000.0
27/08/2026,22950.0,23300.0,-350.0,-0.01502146,23450.0,23450.0,22800.0,1298619.0,29874603250.0,0.0,0.0,1298619.0,29874603250.0,230531.0,39069.0,0.0,-269600.0,5317727800.0,908562200.0,0.0,-6226290000.0
26/08/2026,23300.0,22900.0,400.0,0.01746725,23000.0,23350.0,22750.0,1211729.0,27937225550.0,0.0,0.0,1211729.0,27937225550.0,88590.0,710.0,0.0,-89300.0,2009455650.0,27044350.0,0.0,-2036500000.0
25/08/2026,22900.0,23100.0,-200.0,-0.00865801,23200.0,23450.0,22800.0,1714596.0,39537958100.0,0.0,0.0,1714596.0,39537958100.0,-58872.0,-103428.0,0.0,162300.0,-1356841750.0,-2369368250.0,0.0,3726210000.0
24/08/2026,23100.0,23300.0,-200.0,-0.00858369,23700.0,23950.0,23100.0,2292107.0,53661860550.0,0.0,0.0,2292107.0,53661860550.0,-243769.0,42969.0,0.0,200800.0,-5674188400.0,1027388400.0,0.0,4646800000.0
21/08/2026,23300.0,21800.0,1500.0,0.06880734,21800.0,23300.0,21800.0,2711056.0,62101267100.0,0.0,0.0,2711056.0,62101267100.0,-16215.0,-204470.0,0.0,220685.0,-377736600.0,-4761479900.0,0.0,5139216500.0
20/08/2026,21800.0,21700.0,100.0,0.00460829,21900.0,22100.0,21700.0,445388.0,9740962750.0,0.0,0.0,445388.0,9740962750.0,45227.0,-37827.0,0.0,-7400.0,994581150.0,-832051150.0,0.0,-162530000.0
19/08/2026,21700.0,21950.0,-250.0,-0.01138952,21950.0,22000.0,21650.0,836813.0,18251470450.0,0.0,0.0,836813.0,18251470450.0,4835.0,28765.0,0.0,-33600.0,114214400.0,621750600.0,0.0,-735965000.0
18/08/2026,21950.0,22100.0,-150.0,-0.00678733,22250.0,22450.0,21800.0,1167342.0,25814889400.0,0.0,0.0,1167342.0,25814889400.0,87609.0,-37169.0,0.0,-50440.0,1948054000.0,-821638000.0,0.0,-1126416000.0
17/08/2026,22100.0,22400.0,-300.0,-0.01339286,22400.0,22650.0,21800.0,1027426.0,22693057700.0,0.0,0.0,1027426.0,22693057700.0,-46533.0,30333.0,-13400.0,16200.0,-1029078201.0,673118200.0,-296140000.0,355960000.0
