NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,2390.0,2260.0,130.0,0.05752212,2270.0,2410.0,2230.0,120802.0,273783130.0,0.0,0.0,120802.0,273783130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,2260.0,2280.0,-20.0,-0.00877193,2280.0,2280.0,2230.0,55500.0,124814000.0,0.0,0.0,55500.0,124814000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,2280.0,2280.0,0.0,0.0,2300.0,2300.0,2260.0,26702.0,61100600.0,0.0,0.0,26702.0,61100600.0,-3900.0,3900.0,0.0,0.0,-8888000.0,8888000.0,0.0,0.0
27/08/2026,2280.0,2310.0,-30.0,-0.01298701,2300.0,2300.0,2200.0,73900.0,167003000.0,0.0,0.0,73900.0,167003000.0,13700.0,-13700.0,0.0,0.0,30436000.0,-30436000.0,0.0,0.0
26/08/2026,2310.0,2370.0,-60.0,-0.02531646,2360.0,2400.0,2250.0,109903.0,251805340.0,0.0,0.0,109903.0,251805340.0,44300.0,-44300.0,0.0,0.0,101994000.0,-101994000.0,0.0,0.0
25/08/2026,2370.0,2400.0,-30.0,-0.0125,2400.0,2400.0,2350.0,47963.0,113761840.0,0.0,0.0,47963.0,113761840.0,-21900.0,21900.0,0.0,0.0,-52094001.0,52094000.0,0.0,0.0
24/08/2026,2400.0,2400.0,0.0,0.0,2400.0,2400.0,2370.0,27833.0,66545870.0,0.0,0.0,27833.0,66545870.0,-4300.0,4300.0,0.0,0.0,-10307000.0,10307000.0,0.0,0.0
21/08/2026,2400.0,2350.0,50.0,0.0212766,2390.0,2470.0,2350.0,52503.0,126094200.0,0.0,0.0,52503.0,126094200.0,11700.0,-11700.0,0.0,0.0,28198000.0,-28198000.0,0.0,0.0
20/08/2026,2350.0,2360.0,-10.0,-0.00423729,2360.0,2370.0,2340.0,2901.0,6827360.0,0.0,0.0,2901.0,6827360.0,-600.0,600.0,0.0,0.0,-1413000.0,1413000.0,0.0,0.0
19/08/2026,2360.0,2370.0,-10.0,-0.00421941,2360.0,2400.0,2350.0,29003.0,68531080.0,0.0,0.0,29003.0,68531080.0,-20197.0,20197.0,0.0,0.0,-47719920.0,47719920.0,0.0,0.0
18/08/2026,2370.0,2370.0,0.0,0.0,2320.0,2390.0,2320.0,14100.0,33285000.0,0.0,0.0,14100.0,33285000.0,400.0,-400.0,0.0,0.0,880000.0,-880000.0,0.0,0.0
17/08/2026,2370.0,2410.0,-40.0,-0.01659751,2430.0,2450.0,2310.0,94425.0,223322080.0,0.0,0.0,94425.0,223322080.0,-4598.0,4598.0,0.0,0.0,-12918340.0,12918340.0,0.0,0.0
14/08/2026,2410.0,2480.0,-70.0,-0.02822581,2400.0,2410.0,2370.0,82100.0,196837000.0,0.0,0.0,82100.0,196837000.0,-11900.0,11900.0,0.0,0.0,-28781000.0,28781000.0,0.0,0.0
13/08/2026,2480.0,2530.0,-50.0,-0.01976285,2520.0,2530.0,2370.0,82800.0,201208000.0,0.0,0.0,82800.0,201208000.0,8000.0,-8000.0,0.0,0.0,16842000.0,-16842000.0,0.0,0.0
12/08/2026,2530.0,2430.0,100.0,0.04115226,2430.0,2580.0,2370.0,239971.0,577155450.0,0.0,0.0,239971.0,577155450.0,39033.0,-39033.0,0.0,0.0,90366860.0,-90366860.0,0.0,0.0
11/08/2026,2430.0,2480.0,-50.0,-0.02016129,2490.0,2490.0,2410.0,47400.0,115807000.0,611400.0,1516272000.0,658800.0,1632079000.0,4400.0,-4400.0,0.0,0.0,10668000.0,-10668000.0,0.0,0.0
10/08/2026,2480.0,2430.0,50.0,0.02057613,2470.0,2480.0,2420.0,95302.0,231580860.0,0.0,0.0,95302.0,231580860.0,-10900.0,10900.0,0.0,0.0,-26611000.0,26611000.0,0.0,0.0
07/08/2026,2430.0,2480.0,-50.0,-0.02016129,2460.0,2480.0,2420.0,72106.0,176387800.0,0.0,0.0,72106.0,176387800.0,-8300.0,8300.0,0.0,0.0,-20414000.0,20414000.0,0.0,0.0
06/08/2026,2480.0,2510.0,-30.0,-0.01195219,2580.0,2580.0,2460.0,33502.0,84160080.0,0.0,0.0,33502.0,84160080.0,4700.0,-4700.0,0.0,0.0,11423000.0,-11423000.0,0.0,0.0
05/08/2026,2510.0,2610.0,-100.0,-0.03831418,2620.0,2650.0,2510.0,29923.0,76929590.0,0.0,0.0,29923.0,76929590.0,-10220.0,10220.0,0.0,0.0,-26565001.0,26565000.0,0.0,0.0
04/08/2026,2610.0,2470.0,140.0,0.05668016,2470.0,2610.0,2400.0,134100.0,330304000.0,0.0,0.0,134100.0,330304000.0,-96180.0,96180.0,0.0,0.0,-235577600.0,235577600.0,0.0,0.0
03/08/2026,2470.0,2410.0,60.0,0.02489627,2480.0,2490.0,2420.0,125456.0,305499690.0,0.0,0.0,125456.0,305499690.0,-94330.0,94330.0,0.0,0.0,-228562300.0,228562300.0,0.0,0.0
31/07/2026,2410.0,2490.0,-80.0,-0.03212851,2490.0,2520.0,2390.0,92105.0,224004100.0,0.0,0.0,92105.0,224004100.0,27700.0,-27700.0,0.0,0.0,66671000.0,-66671000.0,0.0,0.0
30/07/2026,2490.0,2480.0,10.0,0.00403226,2480.0,2520.0,2470.0,16300.0,40590000.0,0.0,0.0,16300.0,40590000.0,-8800.0,8800.0,0.0,0.0,-21959000.0,21959000.0,0.0,0.0
29/07/2026,2480.0,2490.0,-10.0,-0.00401606,2500.0,2500.0,2400.0,58802.0,143488840.0,0.0,0.0,58802.0,143488840.0,18900.0,-18900.0,0.0,0.0,45552000.0,-45552000.0,0.0,0.0
28/07/2026,2490.0,2500.0,-10.0,-0.004,2400.0,2570.0,2400.0,20000.0,49890000.0,0.0,0.0,20000.0,49890000.0,-6700.0,6700.0,0.0,0.0,-16817000.0,16817000.0,0.0,0.0
27/07/2026,2500.0,2480.0,20.0,0.00806452,2550.0,2590.0,2490.0,74942.0,190980840.0,0.0,0.0,74942.0,190980840.0,-43699.0,43699.0,0.0,0.0,-111381350.0,111381350.0,0.0,0.0
24/07/2026,2480.0,2660.0,-180.0,-0.06766917,2650.0,2650.0,2480.0,182600.0,459834970.0,0.0,0.0,182600.0,459834970.0,-11851.0,11851.0,0.0,0.0,-29513120.0,29513120.0,0.0,0.0
23/07/2026,2660.0,2670.0,-10.0,-0.00374532,2670.0,2680.0,2610.0,20200.0,53258870.0,0.0,0.0,20200.0,53258870.0,453.0,-453.0,0.0,0.0,1306040.0,-1306040.0,0.0,0.0
22/07/2026,2670.0,2710.0,-40.0,-0.01476015,2690.0,2710.0,2650.0,13200.0,35299000.0,0.0,0.0,13200.0,35299000.0,-5700.0,5700.0,0.0,0.0,-15236000.0,15236000.0,0.0,0.0
21/07/2026,2710.0,2740.0,-30.0,-0.01094891,2730.0,2730.0,2710.0,25109.0,68097920.0,0.0,0.0,25109.0,68097920.0,-1000.0,1000.0,0.0,0.0,-2744000.0,2744000.0,0.0,0.0
20/07/2026,2740.0,2720.0,20.0,0.00735294,2730.0,2750.0,2600.0,104344.0,275341080.0,0.0,0.0,104344.0,275341080.0,76500.0,-76500.0,0.0,0.0,201436000.0,-201436000.0,0.0,0.0
17/07/2026,2720.0,2830.0,-110.0,-0.03886926,2750.0,2810.0,2700.0,60700.0,165367150.0,0.0,0.0,60700.0,165367150.0,1900.0,-1900.0,0.0,0.0,5093000.0,-5093000.0,0.0,0.0
16/07/2026,2830.0,2880.0,-50.0,-0.01736111,2720.0,2890.0,2700.0,25700.0,70628000.0,0.0,0.0,25700.0,70628000.0,1000.0,-1000.0,0.0,0.0,3084000.0,-3084000.0,0.0,0.0
15/07/2026,2880.0,2900.0,-20.0,-0.00689655,2720.0,2950.0,2720.0,11620.0,32825660.0,0.0,0.0,11620.0,32825660.0,4584.0,-4584.0,0.0,0.0,12589760.0,-12589760.0,0.0,0.0
14/07/2026,2900.0,2850.0,50.0,0.01754386,2850.0,2900.0,2850.0,8034.0,23094000.0,0.0,0.0,8034.0,23094000.0,-2604.0,2604.0,0.0,0.0,-7550300.0,7550300.0,0.0,0.0
13/07/2026,2850.0,2930.0,-80.0,-0.02730375,2910.0,2910.0,2730.0,176731.0,488394910.0,0.0,0.0,176731.0,488394910.0,91798.0,-91798.0,0.0,0.0,253263351.0,-253263350.0,0.0,0.0
10/07/2026,2930.0,2980.0,-50.0,-0.01677852,3000.0,3000.0,2900.0,47901.0,140259780.0,0.0,0.0,47901.0,140259780.0,-7701.0,7701.0,0.0,0.0,-22926780.0,22926780.0,0.0,0.0
09/07/2026,2980.0,3200.0,-220.0,-0.06875,3150.0,3150.0,2980.0,268400.0,800819000.0,0.0,0.0,268400.0,800819000.0,86900.0,-86900.0,0.0,0.0,259287000.0,-259287000.0,0.0,0.0
08/07/2026,3200.0,3180.0,20.0,0.00628931,3180.0,3200.0,3000.0,35015.0,106964800.0,0.0,0.0,35015.0,106964800.0,-7100.0,7100.0,0.0,0.0,-21569000.0,21569000.0,0.0,0.0
07/07/2026,3180.0,3000.0,180.0,0.06,3090.0,3210.0,3050.0,49811.0,157225310.0,0.0,0.0,49811.0,157225310.0,-15200.0,15200.0,0.0,0.0,-49265000.0,49265000.0,0.0,0.0
06/07/2026,3000.0,3150.0,-150.0,-0.04761905,3100.0,3100.0,3000.0,52224.0,159317040.0,0.0,0.0,52224.0,159317040.0,-1401.0,1401.0,0.0,0.0,-4578070.0,4578070.0,0.0,0.0
03/07/2026,3150.0,3180.0,-30.0,-0.00943396,3180.0,3180.0,3090.0,41800.0,129610000.0,0.0,0.0,41800.0,129610000.0,-100.0,100.0,0.0,0.0,-311000.0,311000.0,0.0,0.0
02/07/2026,3180.0,3180.0,0.0,0.0,3110.0,3200.0,3100.0,49201.0,153775690.0,0.0,0.0,49201.0,153775690.0,9950.0,-9950.0,0.0,0.0,31548500.0,-31548500.0,0.0,0.0
01/07/2026,3180.0,3190.0,-10.0,-0.0031348,3190.0,3200.0,3170.0,110511.0,351394090.0,0.0,0.0,110511.0,351394090.0,38800.0,-38800.0,0.0,0.0,123384000.0,-123384000.0,0.0,0.0
30/06/2026,3190.0,3200.0,-10.0,-0.003125,3200.0,3200.0,3050.0,23330.0,72196760.0,0.0,0.0,23330.0,72196760.0,-3298.0,3298.0,0.0,0.0,-10324000.0,10324000.0,0.0,0.0
29/06/2026,3200.0,3210.0,-10.0,-0.00311526,3210.0,3210.0,3200.0,96411.0,309453310.0,0.0,0.0,96411.0,309453310.0,-79400.0,79400.0,0.0,0.0,-254875000.0,254875000.0,0.0,0.0
26/06/2026,3210.0,3250.0,-40.0,-0.01230769,3250.0,3380.0,3200.0,13014.0,42164800.0,0.0,0.0,13014.0,42164800.0,-2500.0,2500.0,0.0,0.0,-7997000.0,7997000.0,0.0,0.0
25/06/2026,3250.0,3230.0,20.0,0.00619195,3430.0,3430.0,3240.0,14100.0,47032000.0,0.0,0.0,14100.0,47032000.0,-2200.0,2200.0,0.0,0.0,-7337000.0,7337000.0,0.0,0.0
24/06/2026,3230.0,3320.0,-90.0,-0.02710843,3320.0,3320.0,3210.0,40057.0,132372350.0,0.0,0.0,40057.0,132372350.0,8059.0,-8059.0,-160.0,0.0,26596360.0,-26596360.0,-518000.0,0.0
23/06/2026,3320.0,3440.0,-120.0,-0.03488372,3490.0,3490.0,3300.0,281514.0,951904680.0,0.0,0.0,281514.0,951904680.0,224080.0,-224080.0,0.0,0.0,758025210.0,-758025210.0,0.0,0.0
22/06/2026,3440.0,3450.0,-10.0,-0.00289855,3550.0,3680.0,3430.0,157348.0,550769410.0,0.0,0.0,157348.0,550769410.0,33725.0,-33725.0,0.0,0.0,116847400.0,-116847400.0,0.0,0.0
19/06/2026,3450.0,3590.0,-140.0,-0.03899721,3400.0,3590.0,3400.0,34620.0,119496580.0,0.0,0.0,34620.0,119496580.0,6490.0,-6490.0,0.0,0.0,22978300.0,-22978300.0,0.0,0.0
18/06/2026,3590.0,3600.0,-10.0,-0.00277778,3550.0,3640.0,3370.0,203484.0,713089840.0,0.0,0.0,203484.0,713089840.0,95600.0,-95600.0,0.0,0.0,331963001.0,-331963000.0,0.0,0.0
17/06/2026,3600.0,3620.0,-20.0,-0.00552486,3620.0,3620.0,3550.0,90841.0,324827560.0,0.0,0.0,90841.0,324827560.0,62996.0,-62996.0,0.0,0.0,225298620.0,-225298620.0,0.0,0.0
16/06/2026,3620.0,3480.0,140.0,0.04022989,3470.0,3720.0,3470.0,186945.0,671110220.0,0.0,0.0,186945.0,671110220.0,-997.0,997.0,0.0,0.0,-2555200.0,2555200.0,0.0,0.0
15/06/2026,3480.0,3490.0,-10.0,-0.00286533,3460.0,3580.0,3430.0,218725.0,763260060.0,0.0,0.0,218725.0,763260060.0,70002.0,-70002.0,0.0,0.0,245482960.0,-245482960.0,0.0,0.0
12/06/2026,3490.0,3500.0,-10.0,-0.00285714,3420.0,3590.0,3420.0,167843.0,583076340.0,0.0,0.0,167843.0,583076340.0,-62200.0,62200.0,0.0,0.0,-215797000.0,215797000.0,0.0,0.0
11/06/2026,3500.0,3420.0,80.0,0.02339181,3420.0,3530.0,3420.0,246599.0,862137000.0,0.0,0.0,246599.0,862137000.0,106607.0,-106607.0,0.0,0.0,372351500.0,-372351500.0,0.0,0.0
10/06/2026,3420.0,3470.0,-50.0,-0.01440922,3470.0,3680.0,3420.0,203361.0,710491840.0,0.0,0.0,203361.0,710491840.0,19659.0,-19659.0,0.0,0.0,67459520.0,-67459520.0,0.0,0.0
09/06/2026,3470.0,3430.0,40.0,0.01166181,3430.0,3550.0,3420.0,116272.0,400458930.0,0.0,0.0,116272.0,400458930.0,15759.0,-15759.0,0.0,0.0,54914130.0,-54914130.0,0.0,0.0
08/06/2026,3430.0,3370.0,60.0,0.01780415,3320.0,3490.0,3320.0,298716.0,1020066160.0,0.0,0.0,298716.0,1020066160.0,39612.0,-39612.0,0.0,0.0,133077840.0,-133077840.0,0.0,0.0
05/06/2026,3370.0,3280.0,90.0,0.02743902,3280.0,3420.0,3280.0,120213.0,401423550.0,0.0,0.0,120213.0,401423550.0,21037.0,-21037.0,0.0,0.0,71834621.0,-71834620.0,0.0,0.0
04/06/2026,3280.0,3210.0,70.0,0.02180685,3290.0,3340.0,3200.0,227530.0,736147930.0,0.0,0.0,227530.0,736147930.0,-14004.0,14004.0,0.0,0.0,-44442140.0,44442140.0,0.0,0.0
03/06/2026,3210.0,3080.0,130.0,0.04220779,3090.0,3220.0,3090.0,371238.0,1186067510.0,0.0,0.0,371238.0,1186067510.0,-139216.0,139216.0,0.0,0.0,-449394699.0,449394700.0,0.0,0.0
02/06/2026,3080.0,2980.0,100.0,0.03355705,2980.0,3100.0,2980.0,236643.0,713300570.0,0.0,0.0,236643.0,713300570.0,-44203.0,44203.0,0.0,0.0,-129786941.0,129786940.0,0.0,0.0
