NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,7950.0,7800.0,150.0,0.01923077,7770.0,7950.0,7770.0,403.0,3150870.0,0.0,0.0,403.0,3150870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,7800.0,7800.0,0.0,0.0,7800.0,7800.0,7800.0,1.0,7270.0,0.0,0.0,1.0,7270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27/08/2026,7800.0,7800.0,0.0,0.0,7800.0,7800.0,7800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/08/2026,7800.0,7800.0,0.0,0.0,7800.0,7800.0,7800.0,2.0,14640.0,0.0,0.0,2.0,14640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/08/2026,7800.0,8000.0,-200.0,-0.025,7800.0,7800.0,7800.0,5901.0,46027800.0,0.0,0.0,5901.0,46027800.0,-5700.0,5700.0,0.0,0.0,-44460000.0,44460000.0,0.0,0.0
24/08/2026,8000.0,8000.0,0.0,0.0,7880.0,8000.0,7660.0,16760.0,131517990.0,0.0,0.0,16760.0,131517990.0,-13259.0,13259.0,0.0,0.0,-104169000.0,104169000.0,0.0,0.0
21/08/2026,8000.0,8000.0,0.0,0.0,8000.0,8000.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/08/2026,8000.0,8000.0,0.0,0.0,8000.0,8000.0,7450.0,3200.0,24195000.0,0.0,0.0,3200.0,24195000.0,-1000.0,1000.0,0.0,0.0,-7730000.0,7730000.0,0.0,0.0
19/08/2026,8000.0,8000.0,0.0,0.0,8000.0,8000.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,8000.0,8000.0,0.0,0.0,8280.0,8280.0,8000.0,272.0,2224160.0,0.0,0.0,272.0,2224160.0,-100.0,100.0,0.0,0.0,-828001.0,828000.0,0.0,0.0
17/08/2026,8000.0,8000.0,0.0,0.0,8000.0,8000.0,8000.0,501.0,4007750.0,0.0,0.0,501.0,4007750.0,-200.0,200.0,0.0,0.0,-1600000.0,1600000.0,0.0,0.0
14/08/2026,8000.0,8000.0,0.0,0.0,8000.0,8000.0,8000.0,2.0,14920.0,0.0,0.0,2.0,14920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/08/2026,8000.0,8000.0,0.0,0.0,8020.0,8020.0,8000.0,318.0,2542500.0,0.0,0.0,318.0,2542500.0,-300.0,300.0,0.0,0.0,-2403000.0,2403000.0,0.0,0.0
12/08/2026,8000.0,8290.0,-290.0,-0.03498191,8200.0,8200.0,7800.0,1339.0,10669200.0,0.0,0.0,1339.0,10669200.0,189.0,-189.0,0.0,0.0,1462000.0,-1462000.0,0.0,0.0
11/08/2026,8290.0,8290.0,0.0,0.0,8290.0,8290.0,8290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/08/2026,8290.0,8220.0,70.0,0.00851582,8220.0,8290.0,7650.0,924.0,7324400.0,0.0,0.0,924.0,7324400.0,-821.0,821.0,0.0,0.0,-6472450.0,6472450.0,0.0,0.0
07/08/2026,8220.0,7700.0,520.0,0.06753247,8000.0,8220.0,8000.0,211.0,1712520.0,0.0,0.0,211.0,1712520.0,90.0,-90.0,0.0,0.0,717700.0,-717700.0,0.0,0.0
06/08/2026,7700.0,7650.0,50.0,0.00653595,7650.0,7700.0,7650.0,211.0,1619150.0,0.0,0.0,211.0,1619150.0,-100.0,100.0,0.0,0.0,-770000.0,770000.0,0.0,0.0
05/08/2026,7650.0,7900.0,-250.0,-0.03164557,8390.0,8390.0,7600.0,2830.0,21814900.0,0.0,0.0,2830.0,21814900.0,-1290.0,1290.0,0.0,0.0,-9946900.0,9946900.0,0.0,0.0
04/08/2026,7900.0,8440.0,-540.0,-0.06398104,7900.0,7900.0,7900.0,100.0,790000.0,0.0,0.0,100.0,790000.0,-100.0,100.0,0.0,0.0,-790000.0,790000.0,0.0,0.0
03/08/2026,8440.0,8440.0,0.0,0.0,8440.0,8440.0,8440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31/07/2026,8440.0,8440.0,0.0,0.0,8440.0,8440.0,8440.0,600.0,5064000.0,0.0,0.0,600.0,5064000.0,100.0,-100.0,0.0,0.0,844000.0,-844000.0,0.0,0.0
30/07/2026,8440.0,8180.0,260.0,0.03178484,8440.0,8440.0,8440.0,119.0,999420.0,0.0,0.0,119.0,999420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29/07/2026,8180.0,8180.0,0.0,0.0,8180.0,8180.0,8180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/07/2026,8180.0,7970.0,210.0,0.02634881,7960.0,8180.0,7900.0,400.0,3200000.0,0.0,0.0,400.0,3200000.0,-200.0,200.0,0.0,0.0,-1586000.0,1586000.0,0.0,0.0
27/07/2026,7970.0,7970.0,0.0,0.0,7970.0,7970.0,7970.0,1102.0,8782940.0,0.0,0.0,1102.0,8782940.0,-1000.0,1000.0,0.0,0.0,-7970000.0,7970000.0,0.0,0.0
24/07/2026,7970.0,7450.0,520.0,0.06979866,7970.0,7970.0,7970.0,700.0,5579000.0,0.0,0.0,700.0,5579000.0,-600.0,600.0,0.0,0.0,-4782000.0,4782000.0,0.0,0.0
23/07/2026,7450.0,7910.0,-460.0,-0.05815424,7370.0,7450.0,7370.0,901.0,6679910.0,0.0,0.0,901.0,6679910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22/07/2026,7910.0,8500.0,-590.0,-0.06941176,7910.0,7910.0,7910.0,6210.0,49127500.0,0.0,0.0,6210.0,49127500.0,5190.0,-5190.0,0.0,0.0,41046500.0,-41046500.0,0.0,0.0
21/07/2026,8500.0,8500.0,0.0,0.0,8500.0,8500.0,8500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20/07/2026,8500.0,7990.0,510.0,0.06382979,7450.0,8500.0,7450.0,11197.0,90326800.0,0.0,0.0,11197.0,90326800.0,-510.0,510.0,0.0,0.0,-3850000.0,3850000.0,0.0,0.0
17/07/2026,7990.0,8100.0,-110.0,-0.01358025,7550.0,7990.0,7550.0,301.0,2317200.0,0.0,0.0,301.0,2317200.0,-200.0,200.0,0.0,0.0,-1510001.0,1510000.0,0.0,0.0
16/07/2026,8100.0,8100.0,0.0,0.0,8100.0,8100.0,8100.0,41.0,328000.0,0.0,0.0,41.0,328000.0,41.0,-41.0,0.0,0.0,328000.0,-328000.0,0.0,0.0
15/07/2026,8100.0,8100.0,0.0,0.0,8100.0,8100.0,8100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/07/2026,8100.0,8100.0,0.0,0.0,8100.0,8100.0,8100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/07/2026,8100.0,8100.0,0.0,0.0,8100.0,8100.0,8100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
