NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,16800.0,17050.0,-250.0,-0.01466276,16900.0,17150.0,16800.0,2307750.0,39076134250.0,718000.0,12386528000.0,3025750.0,51462662250.0,10700.0,0.0,0.0,-10700.0,186180000.0,0.0,0.0,-186180000.0
03/09/2026,17050.0,17400.0,-350.0,-0.02011494,17150.0,17300.0,17000.0,1997019.0,34165927750.0,445000.0,7815750000.0,2442019.0,41981677750.0,327200.0,0.0,-136700.0,-190500.0,5608320000.0,0.0,-2338045000.0,-3270275000.0
28/08/2026,17400.0,17400.0,0.0,0.0,17400.0,17600.0,17150.0,1751423.0,30297624250.0,718000.0,12461200000.0,2469423.0,42758824250.0,60870.0,-83282.0,-23200.0,22412.0,1062064000.0,-1437478200.0,-402580000.0,375414200.0
27/08/2026,17400.0,17700.0,-300.0,-0.01694915,17700.0,17750.0,17300.0,1818922.0,31780827200.0,2888000.0,52754800000.0,4706922.0,84535627200.0,-87885.0,226685.0,0.0,-138800.0,-1528916500.0,3967826500.0,0.0,-2438910000.0
26/08/2026,17700.0,17700.0,0.0,0.0,17650.0,17700.0,17350.0,1627911.0,28589044300.0,4138808.0,77875471200.0,5766719.0,106464515500.0,150680.0,176020.0,0.0,-326700.0,2629051200.0,3116578800.0,0.0,-5745630000.0
25/08/2026,17700.0,16600.0,1100.0,0.06626506,16500.0,17750.0,16500.0,8762538.0,153825510300.0,613000.0,10290800000.0,9375538.0,164116310300.0,-837835.0,470135.0,148000.0,367700.0,-14947431950.0,8626326950.0,2514855000.0,6321105000.0
24/08/2026,16600.0,16450.0,150.0,0.00911854,16800.0,16800.0,16550.0,1147166.0,19109379650.0,4832150.0,84879090000.0,5979316.0,103988469650.0,-62578.0,-26753.0,300.0,89331.0,-1048040750.0,-446892300.0,4995000.0,1494933050.0
21/08/2026,16450.0,15900.0,550.0,0.0345912,15900.0,16500.0,15850.0,1845578.0,29914515550.0,0.0,0.0,1845578.0,29914515550.0,-213443.0,-250857.0,-116500.0,464300.0,-3514485251.0,-3993079750.0,-1855070000.0,7507565000.0
20/08/2026,15900.0,15950.0,-50.0,-0.0031348,16000.0,16100.0,15850.0,544610.0,8678918400.0,0.0,0.0,544610.0,8678918400.0,218997.0,-198197.0,0.0,-20800.0,3483710200.0,-3151645200.0,0.0,-332065000.0
19/08/2026,15950.0,16050.0,-100.0,-0.00623053,16100.0,16150.0,15900.0,745957.0,11930793800.0,0.0,0.0,745957.0,11930793800.0,-2766.0,130666.0,-19100.0,-127900.0,-44649050.0,2091374050.0,-305915000.0,-2046725000.0
18/08/2026,16050.0,16100.0,-50.0,-0.00310559,16200.0,16300.0,16000.0,739583.0,11963009600.0,600000.0,9870600000.0,1339583.0,21833609600.0,115298.0,-80484.0,0.0,-34814.0,1837147651.0,-1279877250.0,0.0,-557270400.0
17/08/2026,16100.0,16250.0,-150.0,-0.00923077,16250.0,16400.0,16100.0,646658.0,10476445450.0,0.0,0.0,646658.0,10476445450.0,72108.0,-50808.0,-16900.0,-21300.0,1168776800.0,-823921800.0,-273230000.0,-344855000.0
14/08/2026,16250.0,16550.0,-300.0,-0.01812689,16450.0,16600.0,16250.0,1007416.0,16505290050.0,1268000.0,21753600000.0,2275416.0,38258890050.0,90844.0,-58644.0,0.0,-32200.0,1479804750.0,-951724750.0,0.0,-528080000.0
13/08/2026,16550.0,16700.0,-150.0,-0.00898204,16700.0,16800.0,16550.0,1227002.0,20411461500.0,590000.0,9852410000.0,1817002.0,30263871500.0,179684.0,-70984.0,0.0,-108700.0,2992218800.0,-1182103800.0,0.0,-1810115000.0
12/08/2026,16700.0,16700.0,0.0,0.0,16650.0,16800.0,16500.0,977826.0,16292045900.0,0.0,0.0,977826.0,16292045900.0,-22675.0,82275.0,600.0,-59600.0,-379203250.0,1374268250.0,10050000.0,-995065000.0
11/08/2026,16700.0,16800.0,-100.0,-0.00595238,16900.0,16950.0,16700.0,1163277.0,19500136350.0,590000.0,9912000000.0,1753277.0,29412136350.0,-250428.0,376928.0,11900.0,-126500.0,-4197537650.0,6319562650.0,199600000.0,-2122025000.0
10/08/2026,16800.0,16650.0,150.0,0.00900901,16650.0,16800.0,16600.0,1351897.0,22611990950.0,1000000.0,16650000000.0,2351897.0,39261990950.0,-13245.0,-78655.0,0.0,91900.0,-223807850.0,-1314517150.0,0.0,1538325000.0
07/08/2026,16650.0,16600.0,50.0,0.00301205,16500.0,16750.0,16500.0,1161328.0,19302778000.0,0.0,0.0,1161328.0,19302778000.0,-105672.0,101272.0,600.0,4400.0,-1755538250.0,1681543250.0,9975000.0,73995000.0
06/08/2026,16600.0,16750.0,-150.0,-0.00895522,16850.0,16950.0,16600.0,1313466.0,21984623850.0,1171000.0,19614250000.0,2484466.0,41598873850.0,-9832.0,242732.0,0.0,-232900.0,-171607100.0,4073697100.0,0.0,-3902090000.0
