NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,47900.0,48250.0,-350.0,-0.00725389,47200.0,48250.0,47050.0,20243.0,961665450.0,50000.0,2412500000.0,70243.0,3374165450.0,5000.0,0.0,0.0,-5000.0,236330000.0,0.0,0.0,-236330000.0
28/08/2026,48250.0,48150.0,100.0,0.00207684,47650.0,48250.0,47200.0,56387.0,2687684550.0,0.0,0.0,56387.0,2687684550.0,-24102.0,-9198.0,0.0,33300.0,-1146447200.0,-443032800.0,0.0,1589480000.0
27/08/2026,48150.0,48000.0,150.0,0.003125,48000.0,48900.0,47500.0,37318.0,1778854850.0,0.0,0.0,37318.0,1778854850.0,-1206.0,-594.0,0.0,1800.0,-55987300.0,-29562700.0,0.0,85550000.0
26/08/2026,48000.0,50900.0,-900.0,-0.01768173,48672.0,48672.0,48000.0,184433.0,9269197900.0,0.0,0.0,184433.0,9269197900.0,9999.0,-10599.0,0.0,600.0,504469800.0,-534549800.0,0.0,30080000.0
25/08/2026,48864.0,49600.0,1300.0,0.02620968,47520.0,48864.0,47040.0,301801.0,14974559800.0,46000.0,2281600000.0,347801.0,17256159800.0,4600.0,-1700.0,0.0,-2900.0,246390000.0,-101770000.0,0.0,-144620000.0
24/08/2026,47616.0,49200.0,400.0,0.00813008,47232.0,47616.0,46848.0,152716.0,7517536450.0,0.0,0.0,152716.0,7517536450.0,-30855.0,35555.0,0.0,-4700.0,-1506568850.0,1738423850.0,0.0,-231855000.0
21/08/2026,47232.0,49200.0,0.0,0.0,47232.0,47232.0,46752.0,52201.0,2557136500.0,1060000.0,52152000000.0,1112201.0,54709136500.0,8199.0,-3199.0,0.0,-5000.0,402783500.0,-156783500.0,0.0,-246000000.0
20/08/2026,47232.0,49200.0,0.0,0.0,47232.0,47232.0,46704.0,15101.0,736483700.0,0.0,0.0,15101.0,736483700.0,-300.0,100.0,0.0,200.0,-14840000.0,5095000.0,0.0,9745000.0
19/08/2026,47232.0,49450.0,-250.0,-0.00505561,47424.0,47424.0,47040.0,51403.0,2529002350.0,0.0,0.0,51403.0,2529002350.0,6880.0,-1980.0,0.0,-4900.0,338837150.0,-97827150.0,0.0,-241010000.0
18/08/2026,47472.0,49150.0,300.0,0.00610376,47184.0,47472.0,46704.0,109271.0,5360389850.0,0.0,0.0,109271.0,5360389850.0,5666.0,-5166.0,0.0,-500.0,278688901.0,-253908900.0,0.0,-24780000.0
17/08/2026,47184.0,49250.0,-100.0,-0.00203046,47232.0,47232.0,47184.0,221.0,10869500.0,0.0,0.0,221.0,10869500.0,111.0,-11.0,0.0,-100.0,5467500.0,-547500.0,0.0,-4920000.0
14/08/2026,47280.0,49350.0,-100.0,-0.00202634,46752.0,47280.0,46656.0,36250.0,1775331350.0,0.0,0.0,36250.0,1775331350.0,17287.0,-16887.0,0.0,-400.0,846579750.0,-826944750.0,0.0,-19635000.0
13/08/2026,47376.0,49400.0,-50.0,-0.00101215,46608.0,47376.0,46608.0,43065.0,2113303000.0,0.0,0.0,43065.0,2113303000.0,-2337.0,37.0,0.0,2300.0,-115258800.0,1938800.0,0.0,113320000.0
12/08/2026,47424.0,49550.0,-150.0,-0.00302725,47568.0,47568.0,47040.0,12534.0,616078300.0,0.0,0.0,12534.0,616078300.0,5224.0,-24.0,0.0,-5200.0,256148300.0,-1273300.0,0.0,-254875000.0
11/08/2026,47568.0,49600.0,-50.0,-0.00100806,47616.0,47616.0,46656.0,7822.0,384799600.0,47000.0,2331200000.0,54822.0,2715999600.0,3006.0,-3006.0,0.0,0.0,146929501.0,-146929500.0,0.0,0.0
10/08/2026,47616.0,49600.0,0.0,0.0,47616.0,47712.0,47280.0,33297.0,1642284050.0,0.0,0.0,33297.0,1642284050.0,-1886.0,2586.0,0.0,-700.0,-92727000.0,127087000.0,0.0,-34360000.0
07/08/2026,47616.0,49300.0,300.0,0.00608519,47328.0,47616.0,47040.0,38342.0,1890255700.0,47000.0,2317100000.0,85342.0,4207355700.0,-2290.0,6990.0,0.0,-4700.0,-112072000.0,343812000.0,0.0,-231740000.0
06/08/2026,47328.0,49300.0,0.0,0.0,47328.0,47328.0,47136.0,14410.0,710230000.0,50000.0,2465000000.0,64410.0,3175230000.0,5997.0,-697.0,0.0,-5300.0,295667100.0,-34407100.0,0.0,-261260000.0
05/08/2026,47328.0,49200.0,100.0,0.00203252,47328.0,47376.0,47040.0,30110.0,1483256000.0,0.0,0.0,30110.0,1483256000.0,12590.0,-6690.0,0.0,-5900.0,619719000.0,-329054000.0,0.0,-290665000.0
04/08/2026,47232.0,49450.0,-250.0,-0.00505561,47424.0,47424.0,46128.0,9330.0,455721000.0,40000.0,1978000000.0,49330.0,2433721000.0,-520.0,-180.0,0.0,700.0,-24881000.0,-8769000.0,0.0,33650000.0
03/08/2026,47472.0,49500.0,-50.0,-0.0010101,47040.0,47904.0,46944.0,17282.0,850003200.0,30000.0,1485000000.0,47282.0,2335003200.0,298.0,-898.0,0.0,600.0,14412800.0,-43812800.0,0.0,29400000.0
31/07/2026,47520.0,49950.0,-450.0,-0.00900901,47520.0,47520.0,46464.0,35403.0,1743358250.0,1040000.0,51948000000.0,1075403.0,53691358250.0,4998.0,-8898.0,0.0,3900.0,247445750.0,-436630750.0,0.0,189185000.0
30/07/2026,47952.0,48900.0,1050.0,0.02147239,46944.0,47952.0,46560.0,42300.0,2066505000.0,0.0,0.0,42300.0,2066505000.0,-1600.0,-2700.0,0.0,4300.0,-72680000.0,-135945000.0,0.0,208625000.0
29/07/2026,46944.0,48850.0,50.0,0.00102354,46848.0,46944.0,46272.0,3115.0,151001700.0,0.0,0.0,3115.0,151001700.0,601.0,-301.0,0.0,-300.0,29013850.0,-14388850.0,0.0,-14625000.0
28/07/2026,46896.0,48950.0,-100.0,-0.0020429,46080.0,46896.0,45600.0,13719.0,656011800.0,0.0,0.0,13719.0,656011800.0,-600.0,-200.0,0.0,800.0,-28725000.0,-10410000.0,0.0,39135000.0
27/07/2026,46992.0,48200.0,750.0,0.01556017,46272.0,47520.0,46272.0,4000.0,195170000.0,0.0,0.0,4000.0,195170000.0,2400.0,-1200.0,0.0,-1200.0,117030000.0,-58740000.0,0.0,-58290000.0
24/07/2026,46272.0,49000.0,-800.0,-0.01632653,46992.0,46992.0,45696.0,24822.0,1198867900.0,0.0,0.0,24822.0,1198867900.0,2012.0,-3000.0,0.0,988.0,96797900.0,-143685000.0,0.0,46887100.0
