NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,38500.0,38500.0,0.0,0.0,38500.0,38600.0,38500.0,620713.0,23916556700.0,0.0,0.0,620713.0,23916556700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,38500.0,38500.0,0.0,0.0,38500.0,38600.0,38300.0,582017.0,22428161100.0,0.0,0.0,582017.0,22428161100.0,13700.0,-13700.0,0.0,0.0,531675000.0,-531675000.0,0.0,0.0
27/08/2026,38500.0,38700.0,-200.0,-0.00516796,38600.0,39100.0,38200.0,596103.0,23040171200.0,0.0,0.0,596103.0,23040171200.0,2704.0,-2704.0,0.0,0.0,105013700.0,-105013700.0,0.0,0.0
26/08/2026,38700.0,38300.0,400.0,0.01044386,38250.0,38700.0,38000.0,1235866.0,47437158200.0,0.0,0.0,1235866.0,47437158200.0,885.0,-885.0,0.0,0.0,36835400.0,-36835400.0,0.0,0.0
25/08/2026,38300.0,38600.0,-300.0,-0.00777202,38700.0,38800.0,38200.0,684960.0,26308778000.0,0.0,0.0,684960.0,26308778000.0,4265.0,-4265.0,0.0,0.0,164039500.0,-164039500.0,0.0,0.0
24/08/2026,38600.0,38500.0,100.0,0.0025974,38600.0,39000.0,38100.0,1075113.0,41299451950.0,0.0,0.0,1075113.0,41299451950.0,18132.0,-18132.0,0.0,0.0,695880000.0,-695880000.0,0.0,0.0
21/08/2026,38500.0,38800.0,-300.0,-0.00773196,38800.0,39000.0,38300.0,559805.0,21579353550.0,0.0,0.0,559805.0,21579353550.0,8797.0,-8797.0,0.0,0.0,338328550.0,-338328550.0,0.0,0.0
20/08/2026,38800.0,38500.0,300.0,0.00779221,38500.0,39300.0,38300.0,800761.0,30895151900.0,0.0,0.0,800761.0,30895151900.0,-5657.0,5657.0,0.0,0.0,-217773901.0,217773900.0,0.0,0.0
19/08/2026,38500.0,37800.0,700.0,0.01851852,37800.0,39000.0,37800.0,993416.0,37908380900.0,0.0,0.0,993416.0,37908380900.0,3845.0,-3845.0,0.0,0.0,149342450.0,-149342450.0,0.0,0.0
18/08/2026,37800.0,37800.0,0.0,0.0,37800.0,37900.0,36900.0,698417.0,26273760000.0,0.0,0.0,698417.0,26273760000.0,60291.0,-57491.0,0.0,-2800.0,2252214150.0,-2146374150.0,0.0,-105840000.0
17/08/2026,37800.0,38200.0,-400.0,-0.0104712,38000.0,38300.0,37400.0,935304.0,35462528450.0,0.0,0.0,935304.0,35462528450.0,24619.0,-24619.0,0.0,0.0,931588950.0,-931588950.0,0.0,0.0
14/08/2026,38200.0,38900.0,-700.0,-0.01799486,38700.0,38750.0,37950.0,544250.0,20901299800.0,0.0,0.0,544250.0,20901299800.0,15452.0,-15452.0,0.0,0.0,589481500.0,-589481500.0,0.0,0.0
13/08/2026,38900.0,38600.0,300.0,0.00777202,38400.0,38900.0,37900.0,674546.0,25767468600.0,0.0,0.0,674546.0,25767468600.0,1908.0,-1908.0,0.0,0.0,78264650.0,-78264650.0,0.0,0.0
12/08/2026,38600.0,38400.0,200.0,0.00520833,38400.0,38800.0,37600.0,565893.0,21647893650.0,0.0,0.0,565893.0,21647893650.0,10131.0,-10131.0,0.0,0.0,389298651.0,-389298650.0,0.0,0.0
11/08/2026,38400.0,39600.0,-1200.0,-0.03030303,39600.0,40000.0,38200.0,765286.0,29692832400.0,0.0,0.0,765286.0,29692832400.0,44930.0,-44930.0,0.0,0.0,1757551899.0,-1757551900.0,0.0,0.0
10/08/2026,39600.0,39200.0,400.0,0.01020408,39200.0,40400.0,38900.0,743507.0,29364953250.0,0.0,0.0,743507.0,29364953250.0,-24047.0,24047.0,0.0,0.0,-954736700.0,954736700.0,0.0,0.0
07/08/2026,39200.0,40950.0,-1750.0,-0.04273504,38100.0,40900.0,38100.0,1123459.0,43295666400.0,0.0,0.0,1123459.0,43295666400.0,-78463.0,78463.0,0.0,0.0,-2950253300.0,2950253300.0,0.0,0.0
06/08/2026,40950.0,44000.0,-3050.0,-0.06931818,44100.0,44800.0,40950.0,1516711.0,63795156850.0,0.0,0.0,1516711.0,63795156850.0,-200441.0,200441.0,0.0,0.0,-8318112200.0,8318112200.0,0.0,0.0
05/08/2026,44000.0,41900.0,2100.0,0.05011933,42600.0,44800.0,42600.0,1402470.0,61943581400.0,0.0,0.0,1402470.0,61943581400.0,77005.0,-77005.0,0.0,0.0,3454200000.0,-3454200000.0,0.0,0.0
04/08/2026,41900.0,39200.0,2700.0,0.06887755,39600.0,41900.0,39500.0,2656104.0,110790564150.0,0.0,0.0,2656104.0,110790564150.0,-114609.0,114609.0,0.0,0.0,-4767762850.0,4767762850.0,0.0,0.0
03/08/2026,39200.0,38450.0,750.0,0.01950585,38400.0,39500.0,38250.0,1017133.0,39383670500.0,0.0,0.0,1017133.0,39383670500.0,-9496.0,9496.0,0.0,0.0,-373344700.0,373344700.0,0.0,0.0
31/07/2026,38450.0,38000.0,450.0,0.01184211,38000.0,38450.0,37800.0,401729.0,15251006300.0,0.0,0.0,401729.0,15251006300.0,10596.0,-10596.0,0.0,0.0,402163500.0,-402163500.0,0.0,0.0
30/07/2026,38000.0,38050.0,-50.0,-0.00131406,38000.0,38050.0,37600.0,616933.0,23440840000.0,0.0,0.0,616933.0,23440840000.0,2494.0,-2494.0,0.0,0.0,94787200.0,-94787200.0,0.0,0.0
29/07/2026,38050.0,38050.0,0.0,0.0,37900.0,38050.0,37900.0,307502.0,11674145750.0,0.0,0.0,307502.0,11674145750.0,2499.0,-2499.0,0.0,0.0,94987050.0,-94987050.0,0.0,0.0
28/07/2026,38050.0,38050.0,0.0,0.0,38000.0,38100.0,37900.0,450947.0,17131508100.0,0.0,0.0,450947.0,17131508100.0,9302.0,-9302.0,0.0,0.0,352643650.0,-352643650.0,0.0,0.0
27/07/2026,38050.0,38050.0,0.0,0.0,38000.0,38100.0,38000.0,454804.0,17286652000.0,0.0,0.0,454804.0,17286652000.0,-2501.0,2501.0,0.0,0.0,-94988000.0,94988000.0,0.0,0.0
24/07/2026,38050.0,38050.0,0.0,0.0,38000.0,38100.0,38000.0,486801.0,18500813000.0,0.0,0.0,486801.0,18500813000.0,-601.0,601.0,0.0,0.0,-22843000.0,22843000.0,0.0,0.0
23/07/2026,38050.0,38100.0,-50.0,-0.00131234,38000.0,38150.0,37900.0,655811.0,24924193150.0,0.0,0.0,655811.0,24924193150.0,5394.0,-5394.0,0.0,0.0,205072100.0,-205072100.0,0.0,0.0
22/07/2026,38100.0,38100.0,0.0,0.0,38000.0,38100.0,38000.0,564873.0,21496136900.0,0.0,0.0,564873.0,21496136900.0,399.0,-399.0,0.0,0.0,15156899.0,-15156900.0,0.0,0.0
21/07/2026,38100.0,38100.0,0.0,0.0,38100.0,38300.0,38000.0,514168.0,19587090050.0,0.0,0.0,514168.0,19587090050.0,5006.0,-5006.0,0.0,0.0,190617200.0,-190617200.0,0.0,0.0
20/07/2026,38100.0,38300.0,-200.0,-0.00522193,38100.0,38300.0,38000.0,640514.0,24434212050.0,130000.0,4979000000.0,770514.0,29413212050.0,-2330.0,2330.0,0.0,0.0,-88614650.0,88614650.0,0.0,0.0
17/07/2026,38300.0,38400.0,-100.0,-0.00260417,38350.0,38350.0,38000.0,924505.0,35325806050.0,0.0,0.0,924505.0,35325806050.0,9099.0,-9099.0,0.0,0.0,348081799.0,-348081800.0,0.0,0.0
16/07/2026,38400.0,38150.0,250.0,0.00655308,38100.0,38400.0,38000.0,489115.0,18659082250.0,0.0,0.0,489115.0,18659082250.0,1300.0,-1300.0,0.0,0.0,49525000.0,-49525000.0,0.0,0.0
15/07/2026,38150.0,38500.0,-350.0,-0.00909091,38400.0,38400.0,38100.0,536321.0,20508614850.0,150000.0,5400000000.0,686321.0,25908614850.0,-900.0,900.0,0.0,0.0,-34580000.0,34580000.0,0.0,0.0
14/07/2026,38500.0,37800.0,700.0,0.01851852,37800.0,38500.0,37200.0,460678.0,17446094800.0,0.0,0.0,460678.0,17446094800.0,16771.0,-16771.0,0.0,0.0,634192000.0,-634192000.0,0.0,0.0
13/07/2026,37800.0,37900.0,-100.0,-0.00263852,37800.0,38000.0,37750.0,607106.0,22982606850.0,0.0,0.0,607106.0,22982606850.0,4704.0,-4704.0,0.0,0.0,177811150.0,-177811150.0,0.0,0.0
10/07/2026,37900.0,38200.0,-300.0,-0.0078534,38100.0,38400.0,37900.0,665301.0,25329798000.0,0.0,0.0,665301.0,25329798000.0,-701.0,701.0,0.0,0.0,-26508000.0,26508000.0,0.0,0.0
09/07/2026,38200.0,38400.0,-200.0,-0.00520833,38300.0,38450.0,38200.0,647843.0,24777615700.0,0.0,0.0,647843.0,24777615700.0,794.0,-794.0,0.0,0.0,30220600.0,-30220600.0,0.0,0.0
08/07/2026,38400.0,38200.0,200.0,0.0052356,38100.0,38400.0,38000.0,1085619.0,41526594000.0,0.0,0.0,1085619.0,41526594000.0,-11501.0,11501.0,0.0,0.0,-440383200.0,440383200.0,0.0,0.0
07/07/2026,38200.0,38000.0,200.0,0.00526316,38000.0,38500.0,37300.0,1804446.0,68789068650.0,0.0,0.0,1804446.0,68789068650.0,-15070.0,15070.0,0.0,0.0,-579291550.0,579291550.0,0.0,0.0
06/07/2026,38000.0,38350.0,-350.0,-0.00912647,38300.0,38400.0,38000.0,629618.0,24094854600.0,0.0,0.0,629618.0,24094854600.0,3699.0,-3699.0,0.0,0.0,141327000.0,-141327000.0,0.0,0.0
03/07/2026,38350.0,38300.0,50.0,0.00130548,38200.0,38500.0,38100.0,765468.0,29326300150.0,0.0,0.0,765468.0,29326300150.0,-140080.0,146800.0,0.0,-6720.0,-5366805250.0,5623600000.0,0.0,-256794750.0
02/07/2026,38300.0,38200.0,100.0,0.0026178,38000.0,38400.0,38000.0,404914.0,15464992550.0,0.0,0.0,404914.0,15464992550.0,125088.0,-125088.0,0.0,0.0,4782083800.0,-4782083800.0,0.0,0.0
01/07/2026,38200.0,37850.0,350.0,0.00924703,37700.0,38200.0,37600.0,402527.0,15268129600.0,0.0,0.0,402527.0,15268129600.0,3791.0,-3791.0,0.0,0.0,143544699.0,-143544700.0,0.0,0.0
30/06/2026,37850.0,37800.0,50.0,0.00132275,37800.0,37900.0,37700.0,353803.0,13369303350.0,0.0,0.0,353803.0,13369303350.0,1099.0,-1099.0,0.0,0.0,41442250.0,-41442250.0,0.0,0.0
29/06/2026,37800.0,37800.0,0.0,0.0,37800.0,38000.0,37600.0,458126.0,17320861250.0,200000.0,7560000000.0,658126.0,24880861250.0,-99301.0,99301.0,0.0,0.0,-3753557750.0,3753557750.0,0.0,0.0
26/06/2026,37800.0,38000.0,-200.0,-0.00526316,38000.0,38000.0,37800.0,331336.0,12554150000.0,0.0,0.0,331336.0,12554150000.0,-3669.0,3669.0,-119.0,0.0,-138640000.0,138640000.0,-4494000.0,0.0
25/06/2026,38000.0,37400.0,600.0,0.01604278,37500.0,38000.0,37400.0,564212.0,21266954400.0,0.0,0.0,564212.0,21266954400.0,-101347.0,101351.0,0.0,-4.0,-3821554500.0,3821702700.0,0.0,-148200.0
24/06/2026,37400.0,37400.0,0.0,0.0,37200.0,37400.0,37000.0,500041.0,18558480300.0,0.0,0.0,500041.0,18558480300.0,-44199.0,54835.0,0.0,-10636.0,-1637179150.0,2033498350.0,0.0,-396319200.0
23/06/2026,37400.0,37500.0,-100.0,-0.00266667,37500.0,37700.0,37300.0,547608.0,20516251000.0,150000.0,5625000000.0,697608.0,26141251000.0,-192500.0,192500.0,0.0,0.0,-7218655000.0,7218655000.0,0.0,0.0
22/06/2026,37500.0,37400.0,100.0,0.0026738,37400.0,37700.0,37300.0,588250.0,21987923700.0,200000.0,7480000000.0,788250.0,29467923700.0,12200.0,-12200.0,0.0,0.0,457155000.0,-457155000.0,0.0,0.0
19/06/2026,37400.0,37500.0,-100.0,-0.00266667,37500.0,37500.0,37200.0,313821.0,11719924700.0,100000.0,3750000000.0,413821.0,15469924700.0,4470.0,-4470.0,0.0,0.0,167181000.0,-167181000.0,0.0,0.0
18/06/2026,37500.0,37600.0,-100.0,-0.00265957,37600.0,37600.0,37200.0,271930.0,10194313450.0,0.0,0.0,271930.0,10194313450.0,1387.0,-1387.0,0.0,0.0,51847000.0,-51847000.0,0.0,0.0
