NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,42200.0,43100.0,-900.0,-0.02088167,43100.0,43400.0,42200.0,1199841.0,51169239850.0,0.0,0.0,1199841.0,51169239850.0,147381.0,-76099.0,-74400.0,-71282.0,6223791650.0,-3250889150.0,-3141850000.0,-2972902500.0
27/08/2026,43100.0,42250.0,850.0,0.02011834,42400.0,43500.0,42400.0,1470953.0,63245494850.0,0.0,0.0,1470953.0,63245494850.0,-452983.0,-243117.0,0.0,696100.0,-19449210350.0,-10443649650.0,0.0,29892860000.0
26/08/2026,42250.0,42300.0,-50.0,-0.00118203,42500.0,43500.0,42100.0,1820481.0,77604414950.0,100000.0,4263200000.0,1920481.0,81867614950.0,18820.0,268780.0,8100.0,-287600.0,686198250.0,11454521750.0,344210000.0,-12140720000.0
25/08/2026,42300.0,42800.0,-500.0,-0.01168224,42800.0,43300.0,42150.0,1206648.0,51234040750.0,100000.0,4233500000.0,1306648.0,55467540750.0,-77862.0,-171038.0,0.0,248900.0,-3323220800.0,-7239859200.0,0.0,10563080000.0
24/08/2026,42800.0,43000.0,-200.0,-0.00465116,43150.0,43400.0,41850.0,1729984.0,73742868150.0,0.0,0.0,1729984.0,73742868150.0,-18275.0,176175.0,61400.0,-157900.0,-793739600.0,7514859600.0,2635980000.0,-6721120000.0
21/08/2026,43000.0,42700.0,300.0,0.00702576,42650.0,43000.0,42150.0,1247131.0,53172070850.0,0.0,0.0,1247131.0,53172070850.0,144674.0,18208.0,-1800.0,-162882.0,6181454650.0,765873750.0,-76385000.0,-6947328400.0
20/08/2026,42700.0,42700.0,0.0,0.0,42650.0,42950.0,42050.0,818461.0,34789843550.0,0.0,0.0,818461.0,34789843550.0,-11929.0,43329.0,0.0,-31400.0,-521175000.0,1865095000.0,0.0,-1343920000.0
19/08/2026,42700.0,41500.0,1200.0,0.02891566,41200.0,42800.0,41050.0,2197847.0,92589614550.0,0.0,0.0,2197847.0,92589614550.0,-945384.0,-190516.0,0.0,1135900.0,-39725241549.0,-7976508450.0,0.0,47701750000.0
18/08/2026,41500.0,41300.0,200.0,0.00484262,41350.0,42300.0,40800.0,1233567.0,51290170100.0,0.0,0.0,1233567.0,51290170100.0,-123294.0,44908.0,0.0,78386.0,-5129908050.0,1863229700.0,0.0,3266678350.0
17/08/2026,41300.0,41600.0,-300.0,-0.00721154,41600.0,42700.0,40600.0,1062196.0,43985942050.0,0.0,0.0,1062196.0,43985942050.0,31934.0,63564.0,7800.0,-95498.0,1335245100.0,2660836700.0,321735000.0,-3996081800.0
