NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,36250.0,36900.0,-650.0,-0.01761518,36800.0,36800.0,36100.0,223260.0,8114380100.0,93000.0,3431700000.0,316260.0,11546080100.0,0.0,0.0,0.0,35934.0,0.0,0.0,0.0,1299575700.0
28/08/2026,36900.0,36250.0,650.0,0.01793103,36050.0,36900.0,36050.0,375082.0,13726792500.0,0.0,0.0,375082.0,13726792500.0,-76045.0,-15655.0,-5700.0,91700.0,-2808326700.0,-548293300.0,-207675000.0,3356620000.0
27/08/2026,36250.0,36250.0,0.0,0.0,36250.0,36900.0,36000.0,271377.0,9889482450.0,0.0,0.0,271377.0,9889482450.0,-102985.0,40185.0,0.0,62800.0,-3760245050.0,1462550050.0,0.0,2297695000.0
26/08/2026,36250.0,35850.0,400.0,0.0111576,35850.0,36300.0,35600.0,346787.0,12486524450.0,0.0,0.0,346787.0,12486524450.0,-38409.0,38709.0,0.0,-300.0,-1379478350.0,1392993350.0,0.0,-13515000.0
25/08/2026,35850.0,35800.0,50.0,0.00139665,35650.0,35900.0,35250.0,355982.0,12657702100.0,0.0,0.0,355982.0,12657702100.0,47105.0,-46305.0,0.0,-800.0,1667891800.0,-1627716800.0,0.0,-40175000.0
24/08/2026,35800.0,36450.0,-650.0,-0.01783265,36500.0,36600.0,35750.0,298591.0,10739907900.0,0.0,0.0,298591.0,10739907900.0,29994.0,15306.0,0.0,-45300.0,1077600650.0,550874350.0,0.0,-1628475000.0
21/08/2026,36450.0,36550.0,-100.0,-0.00273598,36300.0,36550.0,36050.0,365560.0,13280397100.0,0.0,0.0,365560.0,13280397100.0,-110669.0,56819.0,7800.0,53850.0,-4020402300.0,2066023450.0,283400000.0,1954378850.0
20/08/2026,36550.0,36800.0,-250.0,-0.00679348,36800.0,37100.0,36150.0,597929.0,21900462200.0,0.0,0.0,597929.0,21900462200.0,29914.0,100286.0,0.0,-130200.0,1081263449.0,3675771550.0,0.0,-4757035000.0
19/08/2026,36800.0,35200.0,1600.0,0.04545455,35400.0,36800.0,34850.0,565054.0,20359531050.0,0.0,0.0,565054.0,20359531050.0,-10007.0,-19193.0,0.0,29200.0,-359379200.0,-680805800.0,0.0,1040185000.0
18/08/2026,35200.0,34500.0,700.0,0.02028986,34200.0,35200.0,34200.0,234757.0,8155165000.0,0.0,0.0,234757.0,8155165000.0,4325.0,-25225.0,0.0,20900.0,129359100.0,-851999100.0,0.0,722640000.0
