NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,95900.0,95600.0,300.0,0.00313808,95600.0,95900.0,95000.0,20415.0,1946683100.0,0.0,0.0,20415.0,1946683100.0,5151.0,0.0,0.0,-5151.0,489984500.0,0.0,0.0,-489984500.0
28/08/2026,95600.0,95800.0,-200.0,-0.00208768,95800.0,95900.0,95100.0,3436.0,328990600.0,0.0,0.0,3436.0,328990600.0,-714.0,-186.0,0.0,900.0,-68572000.0,-17648000.0,0.0,86220000.0
27/08/2026,95800.0,96000.0,-200.0,-0.00208333,96000.0,96000.0,95100.0,6909.0,658240000.0,0.0,0.0,6909.0,658240000.0,4972.0,-4872.0,0.0,-100.0,472884900.0,-463194900.0,0.0,-9690000.0
26/08/2026,96000.0,95600.0,400.0,0.0041841,96500.0,96500.0,95700.0,4482.0,430731500.0,0.0,0.0,4482.0,430731500.0,-919.0,19.0,0.0,900.0,-88405000.0,1765000.0,0.0,86640000.0
25/08/2026,95600.0,96100.0,-500.0,-0.00520291,96300.0,96400.0,94600.0,6825.0,652713400.0,0.0,0.0,6825.0,652713400.0,-764.0,-36.0,0.0,800.0,-72676000.0,-3754000.0,0.0,76430000.0
24/08/2026,96100.0,94900.0,1200.0,0.01264489,96000.0,96300.0,95900.0,14328.0,1375685600.0,0.0,0.0,14328.0,1375685600.0,-4013.0,3913.0,0.0,100.0,-385147700.0,375547700.0,0.0,9600000.0
21/08/2026,94900.0,93300.0,1600.0,0.01714898,93300.0,95000.0,93300.0,12490.0,1181288000.0,0.0,0.0,12490.0,1181288000.0,-785.0,2185.0,0.0,-1400.0,-76044800.0,206604800.0,0.0,-130560000.0
20/08/2026,93300.0,93800.0,-500.0,-0.00533049,93800.0,93800.0,93300.0,1532.0,143659400.0,0.0,0.0,1532.0,143659400.0,-126.0,126.0,0.0,0.0,-11890000.0,11890000.0,0.0,0.0
19/08/2026,93800.0,93500.0,300.0,0.00320856,93500.0,93800.0,93000.0,1806.0,168904000.0,0.0,0.0,1806.0,168904000.0,98.0,-98.0,0.0,0.0,9162000.0,-9162000.0,0.0,0.0
18/08/2026,93500.0,93500.0,0.0,0.0,93500.0,93500.0,93300.0,3647.0,340987700.0,0.0,0.0,3647.0,340987700.0,966.0,-166.0,0.0,-800.0,90315400.0,-15515400.0,0.0,-74800000.0
17/08/2026,93500.0,93600.0,-100.0,-0.00106838,93000.0,93500.0,93000.0,5516.0,513549500.0,0.0,0.0,5516.0,513549500.0,-1101.0,662.0,0.0,439.0,-102477500.0,61646800.0,0.0,40830700.0
14/08/2026,93600.0,94900.0,-1300.0,-0.01369863,94200.0,94200.0,93100.0,6039.0,566811300.0,0.0,0.0,6039.0,566811300.0,2667.0,-2837.0,0.0,170.0,250139500.0,-266056500.0,0.0,15917000.0
13/08/2026,94900.0,95600.0,-700.0,-0.00732218,95000.0,95300.0,94900.0,6778.0,644359000.0,0.0,0.0,6778.0,644359000.0,-158.0,158.0,0.0,0.0,-14997400.0,14997400.0,0.0,0.0
12/08/2026,95600.0,95900.0,-300.0,-0.00312826,95800.0,95800.0,94100.0,7902.0,750735800.0,0.0,0.0,7902.0,750735800.0,-2165.0,2165.0,0.0,0.0,-206193400.0,206193399.0,0.0,0.0
11/08/2026,95900.0,95900.0,0.0,0.0,96900.0,96900.0,95900.0,6013.0,580702400.0,0.0,0.0,6013.0,580702400.0,1170.0,-1170.0,0.0,0.0,114682900.0,-114682900.0,0.0,0.0
10/08/2026,95900.0,95600.0,300.0,0.00313808,95600.0,96000.0,95600.0,7105.0,680552000.0,0.0,0.0,7105.0,680552000.0,-1668.0,468.0,0.0,1200.0,-159827300.0,44807300.0,0.0,115020000.0
07/08/2026,95600.0,94800.0,800.0,0.00843882,95300.0,95600.0,95000.0,8484.0,808397900.0,0.0,0.0,8484.0,808397900.0,1019.0,-1029.0,0.0,10.0,97272300.0,-98122300.0,0.0,850000.0
06/08/2026,94800.0,94800.0,0.0,0.0,94800.0,95500.0,94700.0,16250.0,1541241600.0,0.0,0.0,16250.0,1541241600.0,5184.0,-5784.0,0.0,600.0,490960600.0,-548090600.0,0.0,57130000.0
05/08/2026,94800.0,93500.0,1300.0,0.01390374,97000.0,97000.0,93900.0,33875.0,3213509800.0,0.0,0.0,33875.0,3213509800.0,15605.0,-8405.0,0.0,-7200.0,1475242001.0,-794642000.0,0.0,-680600000.0
04/08/2026,93500.0,93000.0,500.0,0.00537634,92900.0,93500.0,92900.0,6141.0,572218000.0,0.0,0.0,6141.0,572218000.0,910.0,-210.0,0.0,-700.0,84766300.0,-19876300.0,0.0,-64890000.0
