NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
28/08/2026,6970.0,6610.0,360.0,0.05446293,6700.0,6970.0,6700.0,1311.0,8836600.0,290000.0,1916900000.0,291311.0,1925736600.0,199.0,-199.0,0.0,0.0,1387400.0,-1387400.0,0.0,0.0
27/08/2026,6610.0,6900.0,-290.0,-0.04202899,6900.0,6980.0,6610.0,5900.0,39454490.0,0.0,0.0,5900.0,39454490.0,451.0,-451.0,0.0,0.0,3127700.0,-3127700.0,0.0,0.0
26/08/2026,6900.0,6600.0,300.0,0.04545455,6970.0,6970.0,6600.0,4401.0,29512800.0,280000.0,1848000000.0,284401.0,1877512800.0,599.0,-599.0,0.0,0.0,4168200.0,-4168200.0,0.0,0.0
25/08/2026,6600.0,6550.0,50.0,0.00763359,6870.0,6870.0,6600.0,6178.0,41250760.0,0.0,0.0,6178.0,41250760.0,1700.0,-1700.0,0.0,0.0,11470000.0,-11470000.0,0.0,0.0
24/08/2026,6550.0,6550.0,0.0,0.0,6900.0,6900.0,6550.0,4361.0,29995550.0,290000.0,1899500000.0,294361.0,1929495550.0,3911.0,-3911.0,0.0,0.0,26986050.0,-26986050.0,0.0,0.0
21/08/2026,6550.0,6800.0,-250.0,-0.03676471,6990.0,6990.0,6550.0,1100.0,7425000.0,299000.0,2033200000.0,300100.0,2040625000.0,400.0,-400.0,0.0,0.0,2620000.0,-2620000.0,0.0,0.0
20/08/2026,6800.0,6500.0,300.0,0.04615385,6800.0,6950.0,6500.0,1100.0,7325000.0,0.0,0.0,1100.0,7325000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,6500.0,6260.0,240.0,0.03833866,6260.0,6500.0,6260.0,5409.0,35064900.0,0.0,0.0,5409.0,35064900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18/08/2026,6260.0,6500.0,-240.0,-0.03692308,6260.0,6260.0,6260.0,3800.0,23788000.0,290000.0,1877750000.0,293800.0,1901538000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17/08/2026,6500.0,6430.0,70.0,0.01088647,6530.0,6540.0,6500.0,4200.0,27380000.0,0.0,0.0,4200.0,27380000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14/08/2026,6430.0,6300.0,130.0,0.02063492,6420.0,6430.0,6420.0,7035.0,45220500.0,0.0,0.0,7035.0,45220500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13/08/2026,6300.0,6380.0,-80.0,-0.01253918,6400.0,6500.0,6300.0,1456.0,9371630.0,305000.0,1933900000.0,306456.0,1943271630.0,0.0,0.0,0.0,0.0,90.0,-90.0,0.0,0.0
12/08/2026,6380.0,6370.0,10.0,0.00156986,6400.0,6400.0,6350.0,1700.0,10838000.0,0.0,0.0,1700.0,10838000.0,-100.0,100.0,0.0,0.0,-640000.0,640000.0,0.0,0.0
11/08/2026,6370.0,6600.0,-230.0,-0.03484848,6600.0,7000.0,6350.0,3910.0,25990350.0,0.0,0.0,3910.0,25990350.0,109.0,-109.0,0.0,0.0,806190.0,-806190.0,0.0,0.0
10/08/2026,6600.0,6300.0,300.0,0.04761905,6300.0,6600.0,6260.0,34900.0,221746000.0,275000.0,1732500000.0,309900.0,1954246000.0,100.0,-100.0,0.0,0.0,660000.0,-660000.0,0.0,0.0
07/08/2026,6300.0,6300.0,0.0,0.0,6300.0,6300.0,6260.0,3800.0,23888000.0,0.0,0.0,3800.0,23888000.0,1000.0,-1000.0,0.0,0.0,6300000.0,-6300000.0,0.0,0.0
06/08/2026,6300.0,6300.0,0.0,0.0,6300.0,6300.0,6300.0,1000.0,6300000.0,0.0,0.0,1000.0,6300000.0,300.0,-300.0,0.0,0.0,1890000.0,-1890000.0,0.0,0.0
05/08/2026,6300.0,6380.0,-80.0,-0.01253918,6380.0,6380.0,6300.0,14208.0,90428480.0,0.0,0.0,14208.0,90428480.0,3299.0,-3299.0,0.0,0.0,20829690.0,-20829690.0,0.0,0.0
04/08/2026,6380.0,6360.0,20.0,0.00314465,6200.0,6380.0,6200.0,34000.0,212811000.0,0.0,0.0,34000.0,212811000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/08/2026,6360.0,6650.0,-290.0,-0.04360902,6250.0,6380.0,6250.0,86323.0,546151650.0,0.0,0.0,86323.0,546151650.0,2008.0,-2008.0,0.0,0.0,12702600.0,-12702600.0,0.0,0.0
31/07/2026,6650.0,6700.0,-50.0,-0.00746269,6680.0,6680.0,6290.0,6517.0,42794260.0,0.0,0.0,6517.0,42794260.0,-90.0,90.0,0.0,0.0,-591980.0,591980.0,0.0,0.0
30/07/2026,6700.0,6690.0,10.0,0.00149477,6280.0,6700.0,6230.0,144317.0,903146620.0,0.0,0.0,144317.0,903146620.0,-1586.0,1586.0,0.0,0.0,-9877860.0,9877860.0,0.0,0.0
29/07/2026,6690.0,6690.0,0.0,0.0,6700.0,6800.0,6350.0,33102.0,221496830.0,0.0,0.0,33102.0,221496830.0,-1.0,1.0,0.0,0.0,-6680.0,6680.0,0.0,0.0
28/07/2026,6690.0,6500.0,190.0,0.02923077,6500.0,6700.0,6500.0,30209.0,200844220.0,0.0,0.0,30209.0,200844220.0,100.0,-100.0,0.0,0.0,710000.0,-710000.0,0.0,0.0
27/07/2026,6500.0,6360.0,140.0,0.02201258,6360.0,6750.0,6300.0,21806.0,140245980.0,0.0,0.0,21806.0,140245980.0,2100.0,-2100.0,0.0,0.0,13304000.0,-13304000.0,0.0,0.0
24/07/2026,6360.0,6780.0,-420.0,-0.0619469,6940.0,7000.0,6310.0,43350.0,283913500.0,0.0,0.0,43350.0,283913500.0,4100.0,-4100.0,0.0,0.0,25122000.0,-25122000.0,0.0,0.0
23/07/2026,6780.0,6420.0,360.0,0.05607477,6390.0,6780.0,6040.0,63901.0,409345420.0,0.0,0.0,63901.0,409345420.0,6100.0,-6100.0,0.0,0.0,38740000.0,-38740000.0,0.0,0.0
22/07/2026,6420.0,6350.0,70.0,0.01102362,6360.0,6540.0,5910.0,197249.0,1215901630.0,0.0,0.0,197249.0,1215901630.0,-2200.0,2200.0,0.0,0.0,-12124000.0,12124000.0,0.0,0.0
21/07/2026,6350.0,6800.0,-450.0,-0.06617647,6800.0,7250.0,6330.0,200884.0,1305813860.0,0.0,0.0,200884.0,1305813860.0,24213.0,-24213.0,0.0,0.0,154204560.0,-154204560.0,0.0,0.0
20/07/2026,6800.0,7280.0,-480.0,-0.06593407,7000.0,7700.0,6800.0,147908.0,1074578160.0,0.0,0.0,147908.0,1074578160.0,7900.0,-7900.0,0.0,0.0,59319000.0,-59319000.0,0.0,0.0
17/07/2026,7280.0,6840.0,440.0,0.06432749,7280.0,7310.0,7280.0,275799.0,2015709490.0,0.0,0.0,275799.0,2015709490.0,29147.0,-29147.0,0.0,0.0,213096570.0,-213096570.0,0.0,0.0
16/07/2026,6840.0,6400.0,440.0,0.06875,6400.0,6840.0,6250.0,249372.0,1646180300.0,0.0,0.0,249372.0,1646180300.0,5754.0,-5754.0,0.0,0.0,39541270.0,-39541270.0,0.0,0.0
15/07/2026,6400.0,6400.0,0.0,0.0,6200.0,6400.0,6200.0,24876.0,156063360.0,0.0,0.0,24876.0,156063360.0,4.0,-4.0,0.0,0.0,24800.0,-24800.0,0.0,0.0
14/07/2026,6400.0,6400.0,0.0,0.0,6300.0,6400.0,6300.0,42600.0,271620000.0,0.0,0.0,42600.0,271620000.0,10000.0,-10000.0,0.0,0.0,64000000.0,-64000000.0,0.0,0.0
13/07/2026,6400.0,6400.0,0.0,0.0,6380.0,6440.0,6200.0,44500.0,281355000.0,0.0,0.0,44500.0,281355000.0,7000.0,-7000.0,0.0,0.0,44880000.0,-44880000.0,0.0,0.0
10/07/2026,6400.0,6400.0,0.0,0.0,6300.0,6400.0,6250.0,10500.0,66880000.0,0.0,0.0,10500.0,66880000.0,5000.0,-5000.0,0.0,0.0,32000000.0,-32000000.0,0.0,0.0
09/07/2026,6400.0,6320.0,80.0,0.01265823,6320.0,6460.0,6200.0,27003.0,171045600.0,0.0,0.0,27003.0,171045600.0,2400.0,-2400.0,0.0,0.0,15814000.0,-15814000.0,0.0,0.0
08/07/2026,6320.0,6200.0,120.0,0.01935484,6200.0,6320.0,6200.0,105369.0,663803800.0,0.0,0.0,105369.0,663803800.0,3200.0,-3200.0,0.0,0.0,20160000.0,-20160000.0,0.0,0.0
07/07/2026,6200.0,6200.0,0.0,0.0,6190.0,6200.0,6190.0,96800.0,599240000.0,0.0,0.0,96800.0,599240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/07/2026,6200.0,6190.0,10.0,0.00161551,6200.0,6200.0,6200.0,153.0,951250.0,0.0,0.0,153.0,951250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/07/2026,6190.0,6200.0,-10.0,-0.0016129,6190.0,6190.0,6190.0,1000.0,6190000.0,0.0,0.0,1000.0,6190000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/07/2026,6200.0,6300.0,-100.0,-0.01587302,6300.0,6350.0,6000.0,67447.0,423683450.0,0.0,0.0,67447.0,423683450.0,-147.0,147.0,0.0,0.0,-933450.0,933450.0,0.0,0.0
01/07/2026,6300.0,6180.0,120.0,0.01941748,6170.0,6300.0,6170.0,11900.0,73927000.0,0.0,0.0,11900.0,73927000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30/06/2026,6180.0,6100.0,80.0,0.01311475,6190.0,6190.0,6180.0,5200.0,32153000.0,0.0,0.0,5200.0,32153000.0,-100.0,100.0,0.0,0.0,-618000.0,618000.0,0.0,0.0
29/06/2026,6100.0,6000.0,100.0,0.01666667,6000.0,6100.0,5810.0,14000.0,83495000.0,0.0,0.0,14000.0,83495000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26/06/2026,6000.0,6050.0,-50.0,-0.00826446,6100.0,6100.0,6000.0,3400.0,20730000.0,0.0,0.0,3400.0,20730000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25/06/2026,6050.0,6100.0,-50.0,-0.00819672,6100.0,6100.0,6050.0,600.0,3645000.0,0.0,0.0,600.0,3645000.0,-300.0,300.0,0.0,0.0,-1815000.0,1815000.0,0.0,0.0
24/06/2026,6100.0,6290.0,-190.0,-0.03020668,6290.0,6290.0,6060.0,7590.0,46482600.0,0.0,0.0,7590.0,46482600.0,109.0,-109.0,0.0,0.0,666500.0,-666500.0,0.0,0.0
23/06/2026,6290.0,6290.0,0.0,0.0,6290.0,6290.0,6250.0,10901.0,68498450.0,0.0,0.0,10901.0,68498450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22/06/2026,6290.0,6290.0,0.0,0.0,6290.0,6450.0,6150.0,27500.0,172236000.0,0.0,0.0,27500.0,172236000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/06/2026,6290.0,6300.0,-10.0,-0.0015873,6300.0,6300.0,6000.0,10801.0,66541300.0,0.0,0.0,10801.0,66541300.0,-3101.0,3101.0,0.0,0.0,-19451300.0,19451300.0,0.0,0.0
18/06/2026,6300.0,6300.0,0.0,0.0,6300.0,6300.0,6100.0,11700.0,72225000.0,0.0,0.0,11700.0,72225000.0,-700.0,700.0,0.0,0.0,-4270000.0,4270000.0,0.0,0.0
17/06/2026,6300.0,6330.0,-30.0,-0.00473934,6330.0,6330.0,6200.0,5200.0,32472000.0,0.0,0.0,5200.0,32472000.0,2700.0,-2700.0,0.0,0.0,16882000.0,-16882000.0,0.0,0.0
16/06/2026,6330.0,6300.0,30.0,0.0047619,6300.0,6380.0,6300.0,10700.0,67765000.0,0.0,0.0,10700.0,67765000.0,1500.0,-1500.0,0.0,0.0,9450000.0,-9450000.0,0.0,0.0
15/06/2026,6300.0,6100.0,200.0,0.03278689,6100.0,6330.0,6100.0,18103.0,113321900.0,0.0,0.0,18103.0,113321900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/06/2026,6100.0,6080.0,20.0,0.00328947,6000.0,6100.0,5960.0,1700.0,10271000.0,0.0,0.0,1700.0,10271000.0,-1600.0,1600.0,0.0,0.0,-9671000.0,9671000.0,0.0,0.0
11/06/2026,6080.0,6100.0,-20.0,-0.00327869,6000.0,6080.0,6000.0,700.0,4240000.0,0.0,0.0,700.0,4240000.0,-700.0,700.0,0.0,0.0,-4240000.0,4240000.0,0.0,0.0
10/06/2026,6100.0,6000.0,100.0,0.01666667,5750.0,6100.0,5750.0,1720.0,9959950.0,0.0,0.0,1720.0,9959950.0,-1600.0,1600.0,0.0,0.0,-9235000.0,9235000.0,0.0,0.0
