NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,11250.0,11400.0,-150.0,-0.01315789,11350.0,11400.0,11150.0,3393257.0,38255024350.0,0.0,0.0,3393257.0,38255024350.0,0.0,0.0,0.0,77853.0,0.0,0.0,0.0,881456550.0
28/08/2026,11400.0,11450.0,-50.0,-0.00436681,11350.0,11500.0,11150.0,8564803.0,96883815550.0,0.0,0.0,8564803.0,96883815550.0,-1490548.0,2445942.0,0.0,-955394.0,-16884381249.0,27743578150.0,0.0,-10859196900.0
27/08/2026,11450.0,11550.0,-100.0,-0.00865801,11450.0,11600.0,11300.0,5645783.0,64295177150.0,0.0,0.0,5645783.0,64295177150.0,-1261963.0,1933763.0,0.0,-671800.0,-14345326951.0,21995261950.0,0.0,-7649935000.0
26/08/2026,11550.0,11350.0,200.0,0.01762115,11300.0,11550.0,11300.0,6367227.0,72758012600.0,0.0,0.0,6367227.0,72758012600.0,645021.0,-414621.0,0.0,-230400.0,7429729151.0,-4798419150.0,0.0,-2631310000.0
25/08/2026,11350.0,11250.0,100.0,0.00888889,11300.0,11450.0,11200.0,9528305.0,107855088550.0,0.0,0.0,9528305.0,107855088550.0,485882.0,-567582.0,0.0,81700.0,5511658400.0,-6421113400.0,0.0,909455000.0
24/08/2026,11250.0,11000.0,250.0,0.02272727,11150.0,11400.0,10950.0,10935988.0,122485082850.0,0.0,0.0,10935988.0,122485082850.0,826167.0,-1231467.0,800.0,405300.0,9367533000.0,-13877298000.0,9040000.0,4509765000.0
21/08/2026,11000.0,10300.0,700.0,0.06796117,10300.0,11000.0,10300.0,10511773.0,113785070900.0,218784.0,2095950720.0,10730557.0,115881021620.0,-183071.0,-1216929.0,-5500.0,1400000.0,-1633838700.0,-13240106300.0,-57475000.0,14873945000.0
20/08/2026,10300.0,10400.0,-100.0,-0.00961538,10500.0,10550.0,10300.0,2437802.0,25353914700.0,0.0,0.0,2437802.0,25353914700.0,494887.0,-228818.0,0.0,-266069.0,5139843601.0,-2368699050.0,0.0,-2771144550.0
19/08/2026,10400.0,10600.0,-200.0,-0.01886792,10600.0,10700.0,10400.0,5217964.0,54733726800.0,0.0,0.0,5217964.0,54733726800.0,431812.0,-182212.0,0.0,-249600.0,4521231800.0,-1893736800.0,0.0,-2627495000.0
18/08/2026,10600.0,10950.0,-350.0,-0.03196347,11000.0,11050.0,10600.0,4466322.0,48216580350.0,0.0,0.0,4466322.0,48216580350.0,75048.0,183152.0,0.0,-258200.0,796997500.0,1985612500.0,0.0,-2782610000.0
17/08/2026,10950.0,10800.0,150.0,0.01388889,10800.0,11200.0,10800.0,8352903.0,91450689000.0,0.0,0.0,8352903.0,91450689000.0,-1329218.0,1247849.0,6300.0,81369.0,-14499703150.0,13525016050.0,69220000.0,974687100.0
14/08/2026,10800.0,10650.0,150.0,0.01408451,10750.0,11050.0,10550.0,7859286.0,84682478700.0,0.0,0.0,7859286.0,84682478700.0,-886719.0,-177881.0,0.0,1064600.0,-9516687300.0,-1925492700.0,0.0,11442180000.0
13/08/2026,10650.0,10950.0,-300.0,-0.02739726,11000.0,11100.0,10650.0,6301380.0,68440581350.0,278400.0,2839680000.0,6579780.0,71280261350.0,-1122923.0,711823.0,-25000.0,411100.0,-12195752301.0,7743687300.0,-271985000.0,4452065000.0
12/08/2026,10950.0,11000.0,-50.0,-0.00454545,11000.0,11100.0,10850.0,7148235.0,78479721550.0,320401.0,3284110250.0,7468636.0,81763831800.0,882392.0,-1494792.0,1400.0,612400.0,9732974951.0,-16465904950.0,15470000.0,6732930000.0
11/08/2026,11000.0,11000.0,0.0,0.0,11000.0,11200.0,10950.0,6465414.0,71433666100.0,0.0,0.0,6465414.0,71433666100.0,-1292863.0,1320063.0,0.0,-27200.0,-14291427300.0,14595967300.0,0.0,-304540000.0
