NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
11/09/2026,57498.0,60000.0,0.0,0.0,57498.0,57498.0,57498.0,28.0,1624000.0,0.0,0.0,28.0,1624000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/09/2026,57498.0,59600.0,400.0,0.00671141,57114.68,57498.0,57114.68,2800.0,167720000.0,0.0,0.0,2800.0,167720000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/09/2026,57114.68,59700.0,-100.0,-0.00167504,57210.51,57210.51,57114.68,416.0,24815200.0,0.0,0.0,416.0,24815200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/09/2026,57210.51,59800.0,-100.0,-0.00167224,57210.51,57210.51,57210.51,100.0,5970000.0,0.0,0.0,100.0,5970000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/09/2026,57306.34,59500.0,300.0,0.00504202,57306.34,57306.34,57306.34,117.0,6996700.0,0.0,0.0,117.0,6996700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/09/2026,57018.85,59500.0,0.0,0.0,57018.85,57018.85,57018.85,6.0,353800.0,0.0,0.0,6.0,353800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/09/2026,57018.85,59700.0,-200.0,-0.00335008,57018.85,57018.85,57018.85,421.0,25071300.0,0.0,0.0,421.0,25071300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,57210.51,60000.0,-300.0,-0.005,57498.0,57498.0,57210.51,451.0,27013000.0,0.0,0.0,451.0,27013000.0,120.0,-120.0,0.0,0.0,7177000.0,-7177000.0,0.0,0.0
27/08/2026,57498.0,56800.0,3200.0,0.05633803,56443.87,57498.0,56443.87,6430.0,385223300.0,0.0,0.0,6430.0,385223300.0,490.0,-290.0,0.0,-200.0,29081000.0,-17081000.0,0.0,-12000000.0
26/08/2026,54431.44,58700.0,-1900.0,-0.03236797,54527.27,54527.27,54431.44,246.0,13962000.0,0.0,0.0,246.0,13962000.0,-120.0,120.0,0.0,0.0,-6816000.0,6816000.0,0.0,0.0
25/08/2026,56252.21,58700.0,0.0,0.0,56252.21,56252.21,56252.21,111.0,6517500.0,0.0,0.0,111.0,6517500.0,-100.0,100.0,0.0,0.0,-5870000.0,5870000.0,0.0,0.0
24/08/2026,56252.21,58000.0,700.0,0.01206897,56252.21,56252.21,56252.21,200.0,11740000.0,0.0,0.0,200.0,11740000.0,100.0,-100.0,0.0,0.0,5870000.0,-5870000.0,0.0,0.0
21/08/2026,55581.4,58900.0,-900.0,-0.01528014,55581.4,55581.4,55581.4,700.0,40600000.0,0.0,0.0,700.0,40600000.0,-500.0,500.0,0.0,0.0,-29000000.0,29000000.0,0.0,0.0
20/08/2026,56443.87,58900.0,0.0,0.0,56443.87,56443.87,56443.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19/08/2026,56443.87,58900.0,0.0,0.0,56443.87,56443.87,56443.87,3.0,174900.0,0.0,0.0,3.0,174900.0,3.0,-3.0,0.0,0.0,174900.0,-174900.0,0.0,0.0
18/08/2026,56443.87,58900.0,0.0,0.0,56443.87,56443.87,56443.87,3.0,167000.0,0.0,0.0,3.0,167000.0,0.0,0.0,0.0,0.0,-1299.0,1300.0,0.0,0.0
17/08/2026,56443.87,57500.0,1400.0,0.02434783,54143.95,56443.87,52993.99,1734.0,97651800.0,0.0,0.0,1734.0,97651800.0,-320.0,120.0,0.0,200.0,-17784000.0,6664000.0,0.0,11120000.0
14/08/2026,55102.25,57500.0,0.0,0.0,55102.25,55102.25,55102.25,215.0,12375000.0,0.0,0.0,215.0,12375000.0,5.0,-5.0,0.0,0.0,285000.0,-285000.0,0.0,0.0
13/08/2026,55102.25,57200.0,300.0,0.00524476,55102.25,55102.25,55006.42,502.0,28845100.0,0.0,0.0,502.0,28845100.0,0.0,0.0,0.0,0.0,-700.0,700.0,0.0,0.0
12/08/2026,54814.76,57200.0,0.0,0.0,54814.76,54814.76,54814.76,3.0,176400.0,0.0,0.0,3.0,176400.0,1.0,-1.0,0.0,0.0,57200.0,-57200.0,0.0,0.0
11/08/2026,54814.76,58700.0,-1500.0,-0.02555366,54623.1,54814.76,54623.1,410.0,23410000.0,0.0,0.0,410.0,23410000.0,100.0,-100.0,0.0,0.0,5680000.0,-5680000.0,0.0,0.0
10/08/2026,56252.21,58000.0,700.0,0.01206897,56731.36,56731.36,56252.21,714.0,42205500.0,0.0,0.0,714.0,42205500.0,100.0,-100.0,0.0,0.0,5920000.0,-5920000.0,0.0,0.0
07/08/2026,55581.4,58000.0,0.0,0.0,55581.4,55581.4,55581.4,3.0,170200.0,0.0,0.0,3.0,170200.0,-2.0,2.0,0.0,0.0,-112201.0,112200.0,0.0,0.0
06/08/2026,55581.4,58000.0,0.0,0.0,55581.4,55581.4,55581.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/08/2026,55581.4,58000.0,0.0,0.0,55581.4,55581.4,55581.4,3.0,174000.0,0.0,0.0,3.0,174000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/08/2026,55581.4,58900.0,-900.0,-0.01528014,55581.4,55581.4,55581.4,104.0,6035700.0,0.0,0.0,104.0,6035700.0,-101.0,101.0,0.0,0.0,-5859001.0,5859000.0,0.0,0.0
03/08/2026,56443.87,56900.0,2000.0,0.03514938,57402.17,57402.17,56443.87,500.0,29850000.0,0.0,0.0,500.0,29850000.0,200.0,-200.0,0.0,0.0,11980000.0,-11980000.0,0.0,0.0
31/07/2026,54527.27,56900.0,0.0,0.0,54527.27,54527.27,54527.27,2.0,110600.0,0.0,0.0,2.0,110600.0,2.0,-2.0,0.0,0.0,110600.0,-110600.0,0.0,0.0
30/07/2026,54527.27,56900.0,0.0,0.0,54431.44,54527.27,54431.44,622.0,35359600.0,0.0,0.0,622.0,35359600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29/07/2026,54527.27,54500.0,2400.0,0.0440367,54527.27,54527.27,54527.27,106.0,6015900.0,0.0,0.0,106.0,6015900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/07/2026,52227.35,55800.0,-1300.0,-0.02329749,52802.33,52802.33,52227.35,3118.0,171086400.0,0.0,0.0,3118.0,171086400.0,2893.0,107.0,0.0,-3000.0,158678601.0,5901400.0,0.0,-164580000.0
27/07/2026,53473.14,57800.0,-2000.0,-0.03460208,54623.1,54623.1,53473.14,1824.0,102071200.0,0.0,0.0,1824.0,102071200.0,1698.0,-1698.0,0.0,0.0,95060001.0,-95060000.0,0.0,0.0
24/07/2026,55389.74,57900.0,-100.0,-0.00172712,55389.74,55389.74,55389.74,103.0,5948300.0,0.0,0.0,103.0,5948300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23/07/2026,55485.57,58600.0,-700.0,-0.01194539,55581.4,55581.4,53664.8,1600.0,89990000.0,0.0,0.0,1600.0,89990000.0,1500.0,-1500.0,0.0,0.0,84190000.0,-84190000.0,0.0,0.0
22/07/2026,56156.38,58600.0,0.0,0.0,56156.38,56156.38,56156.38,10.0,588000.0,0.0,0.0,10.0,588000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21/07/2026,56156.38,57000.0,1600.0,0.02807018,53856.46,56443.87,53856.46,813.0,47551200.0,0.0,0.0,813.0,47551200.0,100.0,0.0,0.0,-100.0,6157201.0,-267200.0,0.0,-5890000.0
