NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,29100.0,28900.0,200.0,0.00692042,28900.0,29200.0,28600.0,275595.0,7954384650.0,0.0,0.0,275595.0,7954384650.0,0.0,200.0,200.0,-5300.0,0.0,5750000.0,5750000.0,-153175000.0
03/09/2026,28900.0,29650.0,-750.0,-0.02529511,29650.0,29650.0,28900.0,240476.0,6989297650.0,0.0,0.0,240476.0,6989297650.0,34000.0,0.0,1000.0,-35000.0,989185000.0,0.0,29210000.0,-1018395000.0
28/08/2026,29650.0,29550.0,100.0,0.00338409,29500.0,29650.0,29000.0,443191.0,12959049950.0,0.0,0.0,443191.0,12959049950.0,45766.0,7634.0,0.0,-53400.0,1317477600.0,249692400.0,0.0,-1567170000.0
27/08/2026,29550.0,30000.0,-450.0,-0.015,30100.0,30100.0,29500.0,294997.0,8736343400.0,0.0,0.0,294997.0,8736343400.0,103945.0,-65945.0,0.0,-38000.0,3078690950.0,-1948015950.0,0.0,-1130675000.0
26/08/2026,30000.0,30300.0,-300.0,-0.00990099,30100.0,30250.0,29800.0,340662.0,10205264000.0,0.0,0.0,340662.0,10205264000.0,-2814.0,49014.0,0.0,-46200.0,-90539800.0,1476239800.0,0.0,-1385700000.0
25/08/2026,30300.0,30500.0,-200.0,-0.00655738,30600.0,31250.0,30000.0,688626.0,21015969250.0,0.0,0.0,688626.0,21015969250.0,93575.0,-40075.0,400.0,-53500.0,2894232100.0,-1247242100.0,12250000.0,-1646990000.0
24/08/2026,30500.0,30000.0,500.0,0.01666667,30100.0,30700.0,29900.0,627725.0,19009929350.0,0.0,0.0,627725.0,19009929350.0,-85815.0,22015.0,0.0,63800.0,-2599706700.0,664286700.0,0.0,1935420000.0
21/08/2026,30000.0,29000.0,1000.0,0.03448276,28900.0,30350.0,28550.0,453220.0,13493182500.0,0.0,0.0,453220.0,13493182500.0,82695.0,-154695.0,0.0,72000.0,2460809100.0,-4589924100.0,0.0,2129115000.0
20/08/2026,29000.0,30000.0,-1000.0,-0.03333333,30000.0,30000.0,28600.0,516070.0,15001498400.0,0.0,0.0,516070.0,15001498400.0,168966.0,-94066.0,0.0,-74900.0,4901008600.0,-2727243600.0,0.0,-2173765000.0
19/08/2026,30000.0,30250.0,-250.0,-0.00826446,29950.0,30150.0,29500.0,301072.0,8974155800.0,0.0,0.0,301072.0,8974155800.0,-75769.0,109669.0,0.0,-33900.0,-2269131950.0,3279676950.0,0.0,-1010545000.0
18/08/2026,30250.0,30150.0,100.0,0.00331675,30200.0,30350.0,29900.0,261655.0,7879109550.0,0.0,0.0,261655.0,7879109550.0,-60253.0,101053.0,400.0,-40800.0,-1824287501.0,3052067500.0,12010000.0,-1227780000.0
17/08/2026,30150.0,30500.0,-350.0,-0.01147541,30000.0,30550.0,29850.0,202316.0,6103395100.0,0.0,0.0,202316.0,6103395100.0,26614.0,-51014.0,0.0,24400.0,801737549.0,-1538467550.0,0.0,736730000.0
14/08/2026,30500.0,30600.0,-100.0,-0.00326797,30150.0,30650.0,30050.0,332608.0,10079469400.0,0.0,0.0,332608.0,10079469400.0,-90021.0,65021.0,400.0,25000.0,-2740543250.0,1983353250.0,12060000.0,757190000.0
13/08/2026,30600.0,30650.0,-50.0,-0.00163132,30650.0,30650.0,30100.0,296715.0,9011198500.0,0.0,0.0,296715.0,9011198500.0,-51699.0,88099.0,0.0,-36400.0,-1582869650.0,2687824650.0,0.0,-1104955000.0
12/08/2026,30650.0,30650.0,0.0,0.0,30650.0,30900.0,30100.0,433465.0,13199550400.0,0.0,0.0,433465.0,13199550400.0,79128.0,-31328.0,0.0,-47800.0,2394951600.0,-940101600.0,0.0,-1454850000.0
11/08/2026,30650.0,30250.0,400.0,0.01322314,30400.0,30700.0,30300.0,276719.0,8439292450.0,0.0,0.0,276719.0,8439292450.0,-61820.0,65520.0,0.0,-3700.0,-1891380050.0,2006415050.0,0.0,-115035000.0
