NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,23300.0,22000.0,1300.0,0.05909091,22250.0,23300.0,22150.0,11245448.0,257571691250.0,0.0,0.0,11245448.0,257571691250.0,0.0,0.0,150000.0,1993686.0,0.0,0.0,3402500000.0,45622267850.0
28/08/2026,22000.0,22050.0,-50.0,-0.00226757,22150.0,22150.0,21950.0,1524458.0,33596201100.0,0.0,0.0,1524458.0,33596201100.0,77510.0,-52780.0,0.0,-24730.0,1709050400.0,-1165747400.0,0.0,-543303000.0
27/08/2026,22050.0,22250.0,-200.0,-0.00898876,22250.0,22350.0,22000.0,1459429.0,32279987000.0,0.0,0.0,1459429.0,32279987000.0,180752.0,-18352.0,0.0,-162400.0,4009536900.0,-416026900.0,0.0,-3593510000.0
26/08/2026,22250.0,22100.0,150.0,0.00678733,21950.0,22300.0,21950.0,2078479.0,46022575900.0,0.0,0.0,2078479.0,46022575900.0,148982.0,-216382.0,0.0,67400.0,3314931000.0,-4803381001.0,0.0,1488450000.0
25/08/2026,22100.0,22300.0,-200.0,-0.00896861,22350.0,22450.0,22000.0,2226245.0,49259779050.0,0.0,0.0,2226245.0,49259779050.0,-51362.0,128762.0,0.0,-77400.0,-1120562449.0,2857407450.0,0.0,-1736845000.0
24/08/2026,22300.0,22200.0,100.0,0.0045045,22400.0,22750.0,22200.0,3426395.0,76945758550.0,0.0,0.0,3426395.0,76945758550.0,23635.0,-224488.0,300.0,200853.0,539978451.0,-5053888200.0,6705000.0,4513909750.0
21/08/2026,22200.0,21800.0,400.0,0.01834862,22050.0,22400.0,21800.0,3407235.0,75252399350.0,0.0,0.0,3407235.0,75252399350.0,-708175.0,328275.0,-40000.0,379900.0,-15687507150.0,7241377150.0,-881000000.0,8446130000.0
20/08/2026,21800.0,21600.0,200.0,0.00925926,21700.0,21800.0,21450.0,1247636.0,26948451400.0,0.0,0.0,1247636.0,26948451400.0,146782.0,-94382.0,-10000.0,-52400.0,3174124700.0,-2039124700.0,-218000000.0,-1135000000.0
19/08/2026,21600.0,21700.0,-100.0,-0.00460829,21700.0,21950.0,21500.0,1287542.0,27881486950.0,0.0,0.0,1287542.0,27881486950.0,65963.0,48637.0,0.0,-114600.0,1422197399.0,1062017600.0,0.0,-2484215000.0
18/08/2026,21700.0,21500.0,200.0,0.00930233,21500.0,22250.0,21500.0,1927467.0,42119721250.0,0.0,0.0,1927467.0,42119721250.0,-140537.0,273148.0,0.0,-132611.0,-3061638799.0,5966469150.0,0.0,-2904830350.0
