NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
04/09/2026,37050.0,37400.0,-350.0,-0.00935829,37400.0,37600.0,37050.0,166562.0,6212871350.0,0.0,0.0,166562.0,6212871350.0,-28242.0,0.0,0.0,28242.0,-1062955300.0,0.0,0.0,1062955300.0
03/09/2026,37400.0,37200.0,200.0,0.00537634,37450.0,37500.0,37150.0,153861.0,5740268450.0,0.0,0.0,153861.0,5740268450.0,-14500.0,0.0,0.0,14500.0,-544305000.0,0.0,0.0,544305000.0
28/08/2026,37200.0,37350.0,-150.0,-0.00401606,37350.0,37600.0,37150.0,153673.0,5737447400.0,0.0,0.0,153673.0,5737447400.0,37879.0,-18079.0,0.0,-19800.0,1412572500.0,-672112500.0,0.0,-740460000.0
27/08/2026,37350.0,37300.0,50.0,0.00134048,37500.0,37650.0,37350.0,182090.0,6820041950.0,0.0,0.0,182090.0,6820041950.0,33947.0,-41547.0,0.0,7600.0,1269126500.0,-1554436500.0,0.0,285310000.0
26/08/2026,37300.0,36900.0,400.0,0.01084011,36900.0,37600.0,36900.0,189868.0,7090133550.0,133900.0,4599465000.0,323768.0,11689598550.0,-3245.0,-3855.0,0.0,7100.0,-116400299.0,-147249700.0,0.0,263650000.0
25/08/2026,36900.0,37000.0,-100.0,-0.0027027,37300.0,37350.0,36750.0,274270.0,10143485200.0,0.0,0.0,274270.0,10143485200.0,40689.0,10411.0,0.0,-51100.0,1505631301.0,386283700.0,0.0,-1891915000.0
24/08/2026,37000.0,37050.0,-50.0,-0.00134953,37200.0,37500.0,37000.0,252931.0,9438360800.0,0.0,0.0,252931.0,9438360800.0,11893.0,-4593.0,0.0,-7300.0,444869200.0,-173489200.0,0.0,-271380000.0
21/08/2026,37050.0,36300.0,750.0,0.02066116,36500.0,37150.0,36350.0,302320.0,11118149500.0,0.0,0.0,302320.0,11118149500.0,9275.0,-30475.0,0.0,21200.0,338470900.0,-1118845900.0,0.0,780375000.0
20/08/2026,36300.0,36100.0,200.0,0.00554017,36600.0,36650.0,36300.0,72061.0,2625243300.0,0.0,0.0,72061.0,2625243300.0,-41996.0,48896.0,0.0,-6900.0,-1530967351.0,1782467350.0,0.0,-251500000.0
19/08/2026,36100.0,36300.0,-200.0,-0.00550964,36500.0,36700.0,36050.0,170975.0,6201166700.0,0.0,0.0,170975.0,6201166700.0,7483.0,34417.0,0.0,-41900.0,271811500.0,1246538500.0,0.0,-1518350000.0
18/08/2026,36300.0,36800.0,-500.0,-0.01358696,36800.0,36950.0,36300.0,320471.0,11716938450.0,0.0,0.0,320471.0,11716938450.0,26104.0,13796.0,0.0,-39900.0,951287301.0,500962700.0,0.0,-1452250000.0
17/08/2026,36800.0,35950.0,850.0,0.02364395,36000.0,37200.0,36000.0,265190.0,9771983400.0,0.0,0.0,265190.0,9771983400.0,1201.0,-8101.0,0.0,6900.0,39615600.0,-295785600.0,0.0,256170000.0
14/08/2026,35950.0,36200.0,-250.0,-0.00690608,36250.0,36350.0,35900.0,119495.0,4317357550.0,0.0,0.0,119495.0,4317357550.0,-11002.0,16697.0,0.0,-5695.0,-397322100.0,603302100.0,0.0,-205980000.0
13/08/2026,36200.0,36500.0,-300.0,-0.00821918,36700.0,37150.0,36200.0,308317.0,11307022250.0,0.0,0.0,308317.0,11307022250.0,31627.0,-35027.0,0.0,3400.0,1163464200.0,-1288924200.0,0.0,125460000.0
12/08/2026,36500.0,36350.0,150.0,0.00412655,36200.0,36700.0,36200.0,163096.0,5934532450.0,0.0,0.0,163096.0,5934532450.0,45088.0,-44888.0,0.0,-200.0,1640468600.0,-1634183599.0,0.0,-6285000.0
11/08/2026,36350.0,36700.0,-350.0,-0.00953678,36700.0,36700.0,36350.0,120743.0,4407188400.0,0.0,0.0,120743.0,4407188400.0,-29307.0,37007.0,0.0,-7700.0,-1071853950.0,1353098950.0,0.0,-281245000.0
10/08/2026,36700.0,36050.0,650.0,0.01803051,36700.0,36750.0,36200.0,235962.0,8605521400.0,0.0,0.0,235962.0,8605521400.0,7284.0,-6484.0,0.0,-800.0,267428000.0,-238398000.0,0.0,-29030000.0
07/08/2026,36050.0,35900.0,150.0,0.00417827,35900.0,37250.0,35900.0,441302.0,16131900900.0,0.0,0.0,441302.0,16131900900.0,111797.0,-101997.0,0.0,-9800.0,4066054100.0,-3708179100.0,0.0,-357875000.0
06/08/2026,35900.0,35800.0,100.0,0.0027933,35750.0,36500.0,35000.0,109609.0,3926743200.0,0.0,0.0,109609.0,3926743200.0,-31019.0,35619.0,0.0,-4600.0,-1117670650.0,1283400650.0,0.0,-165730000.0
05/08/2026,35800.0,36000.0,-200.0,-0.00555556,36300.0,36300.0,35700.0,187995.0,6754435050.0,0.0,0.0,187995.0,6754435050.0,-8490.0,25290.0,0.0,-16800.0,-304602800.0,908132800.0,0.0,-603530000.0
04/08/2026,36000.0,36400.0,-400.0,-0.01098901,36300.0,36600.0,35900.0,218955.0,7892571850.0,0.0,0.0,218955.0,7892571850.0,-16000.0,22100.0,0.0,-6100.0,-577930600.0,798785600.0,0.0,-220855000.0
03/08/2026,36400.0,36000.0,400.0,0.01111111,36050.0,36400.0,35900.0,194969.0,7069462000.0,0.0,0.0,194969.0,7069462000.0,-12020.0,13120.0,0.0,-1100.0,-446754550.0,486604550.0,0.0,-39850000.0
31/07/2026,36000.0,35950.0,50.0,0.00139082,36200.0,36450.0,35800.0,122700.0,4408944400.0,0.0,0.0,122700.0,4408944400.0,-45937.0,53537.0,0.0,-7600.0,-1646913750.0,1921598750.0,0.0,-274685000.0
30/07/2026,35950.0,35100.0,850.0,0.02421652,35300.0,36000.0,35100.0,129394.0,4605669100.0,0.0,0.0,129394.0,4605669100.0,-4501.0,-3499.0,0.0,8000.0,-162097250.0,-121582750.0,0.0,283680000.0
29/07/2026,35100.0,35150.0,-50.0,-0.00142248,35300.0,36000.0,34900.0,194288.0,6830723100.0,0.0,0.0,194288.0,6830723100.0,-36716.0,39516.0,0.0,-2800.0,-1283170750.0,1383180750.0,0.0,-100010000.0
28/07/2026,35150.0,35300.0,-150.0,-0.00424929,35150.0,35150.0,34400.0,162454.0,5656313400.0,0.0,0.0,162454.0,5656313400.0,10838.0,6766.0,0.0,-17604.0,376751600.0,235983200.0,0.0,-612734800.0
27/07/2026,35300.0,35750.0,-450.0,-0.01258741,35750.0,35900.0,35200.0,167492.0,5942896400.0,0.0,0.0,167492.0,5942896400.0,25087.0,1613.0,0.0,-26700.0,891382050.0,57607950.0,0.0,-948990000.0
24/07/2026,35750.0,35800.0,-50.0,-0.00139665,35500.0,35900.0,35500.0,88823.0,3171770150.0,0.0,0.0,88823.0,3171770150.0,14811.0,2889.0,0.0,-17700.0,529213000.0,103702000.0,0.0,-632915000.0
23/07/2026,35800.0,35900.0,-100.0,-0.00278552,35800.0,36350.0,34800.0,220301.0,7803747800.0,0.0,0.0,220301.0,7803747800.0,-11140.0,17640.0,0.0,-6500.0,-383946650.0,620746650.0,0.0,-236800000.0
22/07/2026,35900.0,36250.0,-350.0,-0.00965517,36500.0,37150.0,35800.0,307092.0,11093077700.0,0.0,0.0,307092.0,11093077700.0,-50813.0,59611.0,0.0,-8798.0,-1809029751.0,2128817800.0,0.0,-319788050.0
21/07/2026,36250.0,36700.0,-450.0,-0.01226158,36200.0,36800.0,35900.0,234721.0,8540572200.0,0.0,0.0,234721.0,8540572200.0,-26100.0,29000.0,0.0,-2900.0,-955537500.0,1060212500.0,0.0,-104675000.0
20/07/2026,36700.0,37750.0,-1050.0,-0.02781457,37650.0,37750.0,36550.0,115240.0,4276196500.0,0.0,0.0,115240.0,4276196500.0,-29972.0,31819.0,0.0,-1847.0,-1111219250.0,1179873250.0,0.0,-68654000.0
17/07/2026,37750.0,37800.0,-50.0,-0.00132275,37750.0,37800.0,37400.0,93151.0,3503486300.0,0.0,0.0,93151.0,3503486300.0,27360.0,-16560.0,0.0,-10800.0,1029727051.0,-623257050.0,0.0,-406470000.0
16/07/2026,37800.0,37400.0,400.0,0.01069519,37400.0,37800.0,36800.0,244542.0,9064061250.0,0.0,0.0,244542.0,9064061250.0,-47014.0,13914.0,0.0,33100.0,-1740202950.0,510537950.0,0.0,1229665000.0
15/07/2026,37400.0,38200.0,-800.0,-0.02094241,38200.0,38200.0,37300.0,109569.0,4127770550.0,0.0,0.0,109569.0,4127770550.0,-2429.0,-1271.0,0.0,3700.0,-93751049.0,-46803950.0,0.0,140555000.0
14/07/2026,38200.0,37750.0,450.0,0.01192053,37750.0,38350.0,37600.0,164266.0,6246033300.0,0.0,0.0,164266.0,6246033300.0,-22257.0,-11243.0,0.0,33500.0,-842810349.0,-429174650.0,0.0,1271985000.0
