NGÀY,GIÁ,GIÁ THÔ,THAY ĐỔI,%THAY ĐỔI,MỞ,CAO,THẤP,KL KHỚP,GT KHỚP,KL THỎA THUẬN,GT THỎA THUẬN,TỔNG KHỐI LƯỢNG,TỔNG GIÁ TRỊ,KL Cá Nhân Khớp Ròng,KL Tổ chức Khớp Ròng,KL Tự doanh Khớp Ròng,KL Nước Ngoài Khớp Ròng,GT Cá Nhân Khớp Ròng,GT Tổ chức Khớp Ròng,GT Tự doanh Khớp Ròng,GT Nước Ngoài Khớp Ròng
03/09/2026,41600.0,41700.0,-100.0,-0.00239808,41700.0,41750.0,41600.0,8322.0,346695500.0,0.0,0.0,8322.0,346695500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28/08/2026,41700.0,41700.0,0.0,0.0,41800.0,41800.0,41550.0,9100.0,378260000.0,0.0,0.0,9100.0,378260000.0,-500.0,500.0,0.0,0.0,-20870000.0,20870000.0,0.0,0.0
27/08/2026,41700.0,41550.0,150.0,0.00361011,41550.0,41700.0,41550.0,400.0,16640000.0,0.0,0.0,400.0,16640000.0,100.0,-100.0,0.0,0.0,4140000.0,-4140000.0,0.0,0.0
26/08/2026,41550.0,41400.0,150.0,0.00362319,41400.0,41800.0,41400.0,12100.0,503207100.0,0.0,0.0,12100.0,503207100.0,-1988.0,1988.0,0.0,0.0,-82638401.0,82638400.0,0.0,0.0
25/08/2026,41400.0,41500.0,-100.0,-0.00240964,41400.0,41400.0,41400.0,1027.0,42587600.0,0.0,0.0,1027.0,42587600.0,1.0,-1.0,0.0,0.0,41701.0,-41700.0,0.0,0.0
24/08/2026,41500.0,41350.0,150.0,0.00362757,41500.0,41650.0,41500.0,3000.0,124515000.0,0.0,0.0,3000.0,124515000.0,-600.0,600.0,0.0,0.0,-24915000.0,24915000.0,0.0,0.0
21/08/2026,41350.0,41700.0,-350.0,-0.00839329,41700.0,41700.0,41300.0,1416.0,58664900.0,0.0,0.0,1416.0,58664900.0,-1001.0,1001.0,0.0,0.0,-41436700.0,41436700.0,0.0,0.0
20/08/2026,41700.0,41750.0,-50.0,-0.0011976,41750.0,41750.0,41300.0,2132.0,88281000.0,0.0,0.0,2132.0,88281000.0,-222.0,222.0,0.0,0.0,-9223500.0,9223500.0,0.0,0.0
19/08/2026,41750.0,41300.0,450.0,0.01089588,41300.0,41750.0,41300.0,2171.0,90289300.0,0.0,0.0,2171.0,90289300.0,-1550.0,1550.0,0.0,0.0,-64615000.0,64615000.0,0.0,0.0
18/08/2026,41300.0,41200.0,100.0,0.00242718,41200.0,41350.0,41200.0,1810.0,74750000.0,0.0,0.0,1810.0,74750000.0,0.0,0.0,0.0,0.0,-5000.0,5000.0,0.0,0.0
17/08/2026,41200.0,41300.0,-100.0,-0.00242131,41300.0,41300.0,41150.0,3927.0,161920600.0,0.0,0.0,3927.0,161920600.0,-2000.0,2000.0,0.0,0.0,-82515000.0,82515000.0,0.0,0.0
14/08/2026,41300.0,41400.0,-100.0,-0.00241546,41400.0,41400.0,41300.0,2431.0,100653250.0,0.0,0.0,2431.0,100653250.0,-200.0,200.0,0.0,0.0,-8280000.0,8280000.0,0.0,0.0
13/08/2026,41400.0,41500.0,-100.0,-0.00240964,41500.0,41500.0,41400.0,1513.0,62759600.0,0.0,0.0,1513.0,62759600.0,-199.0,199.0,0.0,0.0,-8253400.0,8253400.0,0.0,0.0
12/08/2026,41500.0,41550.0,-50.0,-0.00120337,41500.0,41600.0,41450.0,5990.0,248556750.0,0.0,0.0,5990.0,248556750.0,-310.0,310.0,0.0,0.0,-12868250.0,12868250.0,0.0,0.0
11/08/2026,41550.0,41500.0,50.0,0.00120482,41500.0,41550.0,41500.0,3946.0,163775400.0,0.0,0.0,3946.0,163775400.0,2646.0,-2646.0,0.0,0.0,109800400.0,-109800400.0,0.0,0.0
10/08/2026,41500.0,41500.0,0.0,0.0,41600.0,41600.0,41500.0,7056.0,293096400.0,0.0,0.0,7056.0,293096400.0,1842.0,-1842.0,0.0,0.0,76417200.0,-76417200.0,0.0,0.0
07/08/2026,41500.0,41500.0,0.0,0.0,41550.0,41550.0,41400.0,4904.0,203571900.0,0.0,0.0,4904.0,203571900.0,2069.0,-2069.0,0.0,0.0,85861950.0,-85861950.0,0.0,0.0
06/08/2026,41500.0,41600.0,-100.0,-0.00240385,41600.0,41600.0,41500.0,809.0,33634400.0,0.0,0.0,809.0,33634400.0,9.0,-9.0,0.0,0.0,374400.0,-374400.0,0.0,0.0
05/08/2026,41600.0,41550.0,50.0,0.00120337,41600.0,41600.0,41500.0,10000.0,415775000.0,0.0,0.0,10000.0,415775000.0,-3100.0,3100.0,0.0,0.0,-128810000.0,128810000.0,0.0,0.0
04/08/2026,41550.0,41600.0,-50.0,-0.00120192,41600.0,41600.0,41500.0,3300.0,137170000.0,0.0,0.0,3300.0,137170000.0,-1100.0,1100.0,0.0,0.0,-45780000.0,45780000.0,0.0,0.0
03/08/2026,41600.0,41600.0,0.0,0.0,41500.0,41950.0,41500.0,2330.0,97040850.0,0.0,0.0,2330.0,97040850.0,-981.0,981.0,0.0,0.0,-40827950.0,40827950.0,0.0,0.0
31/07/2026,41600.0,41800.0,-200.0,-0.00478469,41700.0,41800.0,41600.0,10003.0,417305600.0,0.0,0.0,10003.0,417305600.0,2.0,4998.0,0.0,-5000.0,83600.0,208416400.0,0.0,-208500000.0
30/07/2026,41800.0,41800.0,0.0,0.0,41600.0,41850.0,41500.0,4904.0,204542200.0,0.0,0.0,4904.0,204542200.0,1800.0,-900.0,0.0,-900.0,74965000.0,-37615000.0,0.0,-37350000.0
29/07/2026,41800.0,41500.0,300.0,0.00722892,41950.0,41950.0,41800.0,1707.0,71419950.0,0.0,0.0,1707.0,71419950.0,800.0,-100.0,0.0,-700.0,33485000.0,-4195000.0,0.0,-29290000.0
28/07/2026,41500.0,41500.0,0.0,0.0,41500.0,41900.0,41400.0,10122.0,419321000.0,0.0,0.0,10122.0,419321000.0,9300.0,-8900.0,0.0,-400.0,385210000.0,-368450000.0,0.0,-16760000.0
27/07/2026,41500.0,41300.0,200.0,0.00484262,42000.0,42000.0,41500.0,4668.0,195129000.0,0.0,0.0,4668.0,195129000.0,-609.0,2609.0,0.0,-2000.0,-24873500.0,108873500.0,0.0,-84000000.0
24/07/2026,41300.0,41700.0,-400.0,-0.00959233,41700.0,41700.0,41100.0,913.0,37637100.0,0.0,0.0,913.0,37637100.0,400.0,-400.0,0.0,0.0,16425000.0,-16425000.0,0.0,0.0
23/07/2026,41700.0,41050.0,650.0,0.01583435,41250.0,41700.0,41250.0,3200.0,133055000.0,0.0,0.0,3200.0,133055000.0,1700.0,-1700.0,0.0,0.0,71015000.0,-71015000.0,0.0,0.0
22/07/2026,41050.0,42500.0,-1449.0,-0.03409492,43000.0,43000.0,41000.0,1638.0,69544650.0,0.0,0.0,1638.0,69544650.0,198.0,-198.0,0.0,0.0,8709100.0,-8709100.0,0.0,0.0
